key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
DOSAGE_USAGE__1,DOSAGE_USAGE__1,293,102,0.7103,2.94,15.69,152,0.6879,1.97,17.76,3,0.5571,0.0,0.0,22,0.5071,0.0,27.27,14,0.6022,0.0,21.43,助手随机1k,0.2032,0.6767
DISEASE_DEFINITION_CAUSE__1,DISEASE_DEFINITION_CAUSE__1,294,138,0.6821,3.62,25.36,142,0.6804,2.11,26.76,2,0.6946,0.0,0.0,6,0.5258,16.67,33.33,6,0.612,0.0,33.33,2026搜索,0.0017,0.6768
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__2,OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__2,311,111,0.6944,1.8,22.52,141,0.6993,2.13,19.15,25,0.7048,0.0,20.0,18,0.5661,0.0,33.33,16,0.528,6.25,43.75,2025搜索,0.0104,0.6815
DISEASE_DEFINITION_CAUSE__6,DISEASE_DEFINITION_CAUSE__6,130,66,0.7121,1.52,1.52,60,0.6902,0.0,1.67,0,,,,2,0.582,0.0,50.0,2,0.3417,50.0,50.0,2026搜索,0.0219,0.6943
DISEASE_DEFINITION_CAUSE__5,DISEASE_DEFINITION_CAUSE__5,114,54,0.718,0.0,5.56,49,0.7199,0.0,4.08,4,0.6991,0.0,25.0,4,0.4193,0.0,0.0,3,0.5618,0.0,33.33,2025搜索,0.0019,0.7036
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,684,291,0.7392,1.03,7.22,298,0.7366,1.68,9.06,26,0.7326,0.0,11.54,37,0.4801,8.11,32.43,32,0.537,9.38,21.88,助手随机1k,0.2591,0.7143
TCM_THEORY_AND_FORMULAS__2,TCM_THEORY_AND_FORMULAS__2,218,78,0.6846,0.0,10.26,129,0.7459,0.78,7.75,4,0.6405,0.0,0.0,5,0.4732,20.0,0.0,2,0.8314,0.0,0.0,2025搜索,0.0613,0.7166
CARE_ROUTING_AND_NAVIGATION__2,CARE_ROUTING_AND_NAVIGATION__2,178,28,0.7511,0.0,17.86,41,0.762,0.0,7.32,51,0.7408,1.96,9.8,34,0.648,2.94,32.35,24,0.6582,0.0,29.17,助手随机1k,0.114,0.7184
DISEASE_DEFINITION_CAUSE__2,DISEASE_DEFINITION_CAUSE__2,160,66,0.7149,3.03,22.73,83,0.752,1.2,24.1,4,0.7738,0.0,0.0,3,0.5013,33.33,33.33,4,0.3249,25.0,50.0,2025搜索,0.0371,0.7218
TCM_THEORY_AND_FORMULAS__1,TCM_THEORY_AND_FORMULAS__1,163,55,0.7226,0.0,27.27,97,0.7665,0.0,18.56,2,0.4464,0.0,50.0,4,0.4922,25.0,0.0,5,0.4723,0.0,40.0,2025搜索,0.0439,0.732
DISEASE_DEFINITION_CAUSE__4,DISEASE_DEFINITION_CAUSE__4,320,151,0.7576,1.32,17.88,156,0.7427,1.92,19.23,5,0.6967,20.0,40.0,5,0.5464,20.0,60.0,3,0.4034,0.0,0.0,2026搜索,0.0149,0.7428
CARE_LOGISTICS_COST_DURATION__2,CARE_LOGISTICS_COST_DURATION__2,120,43,0.7941,2.33,25.58,46,0.8344,0.0,26.09,13,0.7482,0.0,30.77,15,0.5285,13.33,26.67,3,0.5492,0.0,33.33,2025搜索,0.0403,0.7653
OPTION_ADJUDICATION__1,OPTION_ADJUDICATION__1,87,48,0.779,0.0,0.0,39,0.7678,0.0,0.0,0,,,,0,,,,0,,,,2026搜索,0.0112,0.774
FEASIBILITY_CLAIM_VERDICT__1,FEASIBILITY_CLAIM_VERDICT__1,550,143,0.7584,3.5,16.08,166,0.7683,3.01,16.87,10,0.8012,0.0,20.0,87,0.7794,0.0,25.29,144,0.8069,0.0,21.53,2025搜索,0.0485,0.7782
OPTION_ADJUDICATION__2,OPTION_ADJUDICATION__2,84,31,0.8065,0.0,19.35,39,0.8147,0.0,7.69,2,0.9587,0.0,0.0,3,0.5158,0.0,33.33,9,0.6778,11.11,11.11,2025搜索,0.0082,0.7897
CARE_ROUTING_AND_NAVIGATION__1,CARE_ROUTING_AND_NAVIGATION__1,55,23,0.8212,0.0,30.43,24,0.7991,0.0,29.17,3,0.8701,0.0,33.33,4,0.6692,0.0,75.0,1,0.425,0.0,0.0,2026搜索,0.0221,0.796
DRUG_EFFICACY_LOOKUP__2,DRUG_EFFICACY_LOOKUP__2,1187,475,0.8033,1.68,5.05,659,0.8141,1.37,5.16,10,0.6442,0.0,20.0,19,0.6034,0.0,31.58,24,0.6306,4.17,54.17,助手语音1k,0.1835,0.8012
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,1105,503,0.8233,1.19,10.93,479,0.8238,1.46,11.9,53,0.7765,1.89,18.87,41,0.5944,7.32,26.83,29,0.6444,3.45,17.24,助手随机1k,0.2294,0.8081
DISEASE_DEFINITION_CAUSE__3,DISEASE_DEFINITION_CAUSE__3,165,77,0.8228,0.0,6.49,74,0.8359,0.0,8.11,6,0.8516,0.0,0.0,5,0.6282,0.0,0.0,3,0.6781,0.0,0.0,2025搜索,0.0131,0.8212
CARE_ROUTING_AND_NAVIGATION__3,CARE_ROUTING_AND_NAVIGATION__3,241,111,0.8301,0.0,0.0,101,0.8293,0.99,0.0,19,0.8339,0.0,0.0,4,0.8733,0.0,0.0,6,0.8387,0.0,0.0,2026搜索,0.0008,0.831
SYMPTOM_CAUSE_EXPLANATION__4,SYMPTOM_CAUSE_EXPLANATION__4,586,261,0.8565,1.53,18.77,248,0.8362,1.61,19.76,16,0.7625,0.0,6.25,32,0.699,3.12,31.25,29,0.7999,3.45,13.79,助手随机1k,0.1575,0.8339
PERSONAL_RESULT_INTERPRETATION__1,PERSONAL_RESULT_INTERPRETATION__1,551,287,0.8528,1.05,3.83,245,0.84,1.63,4.49,7,0.7234,0.0,14.29,8,0.7328,0.0,12.5,4,0.7318,0.0,0.0,2026搜索,0.0128,0.8429
SYMPTOM_CAUSE_EXPLANATION__5,SYMPTOM_CAUSE_EXPLANATION__5,375,188,0.8524,0.0,12.77,144,0.851,0.0,12.5,8,0.7463,0.0,25.0,14,0.8004,7.14,21.43,21,0.8074,0.0,28.57,助手语音1k,0.045,0.8451
HERB_FOOD_EFFICACY_LOOKUP__3,HERB_FOOD_EFFICACY_LOOKUP__3,403,187,0.8518,0.0,18.72,191,0.8445,0.52,18.32,10,0.8633,0.0,0.0,2,0.5579,0.0,0.0,13,0.8345,0.0,7.69,2026搜索,0.0073,0.8466
SYMPTOM_CAUSE_EXPLANATION__3,SYMPTOM_CAUSE_EXPLANATION__3,361,156,0.8629,0.64,15.38,153,0.8604,0.65,15.69,10,0.7422,0.0,20.0,13,0.6742,0.0,7.69,29,0.8227,6.9,37.93,助手语音1k,0.0402,0.8485
SYMPTOM_CAUSE_EXPLANATION__2,SYMPTOM_CAUSE_EXPLANATION__2,402,191,0.8783,0.52,10.99,174,0.8697,0.57,13.22,9,0.7384,0.0,22.22,13,0.6018,23.08,30.77,15,0.6749,6.67,20.0,2026搜索,0.0086,0.8549
NORMAL_RANGE_LOOKUP__1,NORMAL_RANGE_LOOKUP__1,287,128,0.8827,1.56,4.69,135,0.8468,1.48,4.44,13,0.8515,0.0,7.69,7,0.6493,14.29,14.29,4,0.7373,0.0,25.0,2026搜索,0.0359,0.8567
BARE_ENTITY_LOOKUP__1,BARE_ENTITY_LOOKUP__1,1596,825,0.8775,0.61,16.73,551,0.8649,0.91,14.34,139,0.8339,0.0,19.42,31,0.6385,3.23,32.26,50,0.708,0.0,14.0,助手随机1k,0.239,0.8594
HERB_FOOD_EFFICACY_LOOKUP__1,HERB_FOOD_EFFICACY_LOOKUP__1,1783,806,0.8637,0.37,1.36,874,0.8579,0.34,1.49,77,0.8938,0.0,1.3,9,0.7225,11.11,11.11,17,0.7741,0.0,5.88,2026搜索,0.0359,0.8606
HERB_FOOD_EFFICACY_LOOKUP__2,HERB_FOOD_EFFICACY_LOOKUP__2,1449,594,0.8917,0.17,6.9,703,0.8817,0.57,7.25,70,0.9117,0.0,4.29,31,0.5998,3.23,41.94,51,0.7651,1.96,7.84,助手随机1k,0.3119,0.8771
BARE_ENTITY_LOOKUP__2,BARE_ENTITY_LOOKUP__2,1728,1031,0.8904,0.29,23.67,581,0.8765,0.34,27.54,73,0.8952,0.0,27.4,9,0.7131,0.0,11.11,34,0.7785,2.94,23.53,助手语音1k,0.1167,0.8828
SYMPTOM_CAUSE_EXPLANATION__1,SYMPTOM_CAUSE_EXPLANATION__1,427,197,0.9005,0.51,2.54,192,0.9036,0.0,3.12,5,0.7316,0.0,0.0,15,0.6856,0.0,20.0,18,0.7836,0.0,27.78,2025搜索,0.0031,0.8874
DISEASE_SYMPTOM_LIST__1,DISEASE_SYMPTOM_LIST__1,170,75,0.8825,0.0,12.0,84,0.8954,0.0,9.52,7,0.9992,0.0,14.29,3,0.7896,0.0,0.0,1,0.9806,0.0,0.0,2025搜索,0.0129,0.8926
DRUG_EFFICACY_LOOKUP__3,DRUG_EFFICACY_LOOKUP__3,411,177,0.9671,0.0,2.26,217,0.9572,0.46,2.76,6,0.9709,0.0,0.0,4,0.7819,0.0,25.0,7,0.8727,0.0,0.0,2026搜索,0.0099,0.9585
DRUG_EFFICACY_LOOKUP__1,DRUG_EFFICACY_LOOKUP__1,356,154,0.9609,0.0,1.95,194,0.9616,0.0,5.67,2,0.9965,0.0,0.0,3,0.9546,0.0,0.0,3,0.777,0.0,33.33,2025搜索,0.0007,0.9599
DRUG_EFFICACY_LOOKUP__4,DRUG_EFFICACY_LOOKUP__4,1049,433,0.9633,0.46,6.24,589,0.9636,0.17,7.3,16,0.9277,0.0,25.0,6,0.7101,0.0,0.0,5,0.7906,0.0,40.0,2025搜索,0.0003,0.9607
DISEASE_SYMPTOM_LIST__2,DISEASE_SYMPTOM_LIST__2,1269,591,0.9752,0.0,5.08,599,0.9746,0.0,6.34,47,0.982,0.0,10.64,15,0.7357,0.0,40.0,17,0.8467,0.0,5.88,2026搜索,0.0074,0.9706
