key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,用户输入医院/医生名或症状/疾病，要求系统指明挂什么科、去哪个医院、医生在哪、怎么挂号或联系。,474,2.065,162,1.62,1.391,1.887,0.989,166,1.66,1.428,1.93,0.916,73,7.62,6.104,9.475,10.513,42,4.208,3.128,5.64,3.672,31,3.1,2.192,4.367,3.1,8.9,0.7846,0.4449,9.12,0.804,0.4559,41.85,3.6898,2.0924,23.11,2.0378,1.1556,17.02,1.5011,0.8512,5,,,助手头部1k,2025搜索,6.0,4.7,12,13,5,7,10,医院信息查询与挂号咨询,86.9,否,0.03,收到可执行的科室指向、挂号入口、电话或路线后即满足。
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,用户询问某项检查/手术/治疗或医疗商品的价格、疗程天数、清醒/恢复时间等数字参数，用于做决策或事务安排。,423,1.843,187,1.87,1.623,2.155,1.35,168,1.68,1.446,1.951,1.148,18,1.879,1.192,2.95,2.361,38,3.808,2.786,5.183,3.501,12,1.2,0.688,2.086,1.2,17.92,1.0149,0.896,16.1,0.9118,0.805,18.0,1.0195,0.9001,36.48,2.066,1.8241,11.5,0.6511,0.5749,5,,,助手随机1k,助手语音1k,2.608,3.17,11,12,11,10,15,查询孕产流产相关时间,57.9,否,0.03,收到带区间和影响因素的参数说明后即满足。
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,用户询问方剂的组成配方、经络走向、穴位位置、性味归经等中医理论或图解内容。,381,1.66,133,1.33,1.124,1.574,1.032,226,2.26,1.987,2.571,1.688,6,0.626,0.287,1.36,2.261,9,0.902,0.475,1.705,0.939,7,0.7,0.339,1.438,0.7,22.86,0.8014,1.1431,38.85,1.3617,1.9424,10.76,0.3773,0.5382,15.5,0.5433,0.7749,12.03,0.4217,0.6015,5,,,2026搜索,助手头部1k,1.634,3.61,14,11,16,18,18,查询穴位及身体部位准确位置,53.5,否,0.02,收到配方组成、穴位定位图或中医理论说明后即满足。
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,用户已把问题收敛为两个或更多具体选项（饭前还是饭后、早上还是晚上、左手还是右手、A和B区别），要求系统明确选定一项并给理由，而不是并排列举。,363,1.582,151,1.51,1.289,1.769,1.112,151,1.51,1.289,1.769,1.029,3,0.313,0.107,0.917,0.278,25,2.505,1.702,3.672,2.391,33,3.3,2.359,4.598,3.3,16.53,0.9549,0.8263,16.53,0.9549,0.8263,3.43,0.198,0.1713,27.41,1.5839,1.3705,36.11,2.0865,1.8055,5,,,助手语音1k,助手头部1k,2.987,10.54,13,15,18,13,9,药品用法用量查询,30.3,否,0.03,收到明确的单选结论和可执行理由后即满足。
DOSAGE_USAGE,查询药品用法用量与服用时机,用户点名某药，索要一次几片/一天几次/最多几天/饭前或饭后/最佳时间等说明书级用法用量。,293,1.277,102,1.02,0.841,1.237,0.807,152,1.52,1.298,1.779,1.119,3,0.313,0.107,0.917,0.167,22,2.204,1.46,3.315,2.05,14,1.4,0.836,2.336,1.4,15.8,0.7992,0.7899,23.54,1.1909,1.1771,4.85,0.2453,0.2425,34.13,1.7268,1.7067,21.68,1.0967,1.0839,5,,,助手随机1k,助手头部1k,1.891,7.04,17,14,18,15,14,药品用法用量查询,79.5,是,0.03,收到按适应症和人群限制的剂量区间或服用时机，并提示以说明书和医嘱为准后即满足。
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,用户询问某一生理或检验指标的正常数值/标准范围，用于把自己的数值对号入座。,287,1.25,128,1.28,1.078,1.52,1.827,135,1.35,1.142,1.596,1.794,13,1.357,0.795,2.308,1.136,7,0.701,0.34,1.441,0.769,4,0.4,0.156,1.024,0.4,25.16,1.0238,1.2579,26.53,1.0798,1.3267,26.67,1.0852,1.3333,13.78,0.5609,0.6891,7.86,0.3199,0.393,5,,,助手头部1k,助手语音1k,0.957,3.39,15,16,13,19,20,健康指标正常值范围查询,94.8,否,0.01,收到带单位、人群差异和时效标注的权威数值范围后即满足。
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,用户询问某病/分级/检查结果严重吗、能活多久、能治好吗、能怀孕吗、复发率等预后后果。,285,1.242,113,1.13,0.941,1.357,0.844,127,1.27,1.069,1.509,0.833,8,0.835,0.424,1.639,0.809,27,2.705,1.866,3.908,2.647,10,1.0,0.544,1.831,1.0,16.28,0.9102,0.8142,18.3,1.023,0.915,12.03,0.6725,0.6016,38.98,2.1788,1.9489,14.41,0.8053,0.7204,5,,,助手随机1k,助手头部1k,1.87,3.24,16,17,14,12,16,查询疾病治疗与手术方案,35.8,是,0.02,收到分层预后信息、影响预后的关键因素和需面诊的提示后即满足。
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,用户询问某养生方/食疗方怎么做、怎么泡、怎么搭配最佳，要求做法和搭配方案而非单纯功效清单。,163,0.71,68,0.68,0.537,0.861,0.541,73,0.73,0.581,0.917,0.588,4,0.418,0.162,1.069,1.003,12,1.202,0.689,2.09,1.11,6,0.6,0.275,1.303,0.6,18.74,0.9577,0.9368,20.11,1.0281,1.0056,11.5,0.5879,0.5751,33.12,1.6931,1.6561,16.53,0.8449,0.8264,5,,,助手随机1k,助手头部1k,0.785,2.88,18,18,17,17,19,中医方剂配方与食疗搭配吃法查询,43.6,是,0.025,收到具体做法、搭配建议及功效的循证边界说明后即满足。
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,用户以自述症状为入口，跳过诊断，直接询问可以用什么药/药膏/眼药水，期待购买级产品推荐。,152,0.662,65,0.65,0.51,0.828,0.58,65,0.65,0.51,0.828,0.559,8,0.835,0.424,1.639,0.554,6,0.601,0.276,1.305,0.512,8,0.8,0.406,1.571,0.8,18.38,0.9817,0.9192,18.38,0.9817,0.9192,23.61,1.261,1.1806,17.0,0.9078,0.85,22.62,1.208,1.1311,5,,,助手头部1k,助手随机1k,0.234,1.39,19,19,14,20,17,查询病症用药推荐,90.8,是,0.05,收到可购买具体产品的推荐及使用边界（何时必须就医或凭处方）后即满足。
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,用户以第一人称或替家人叙述正在发生的具体经过、诱因、缓解因素，要求判断严重度、现在怎么办、是否需要就医。,146,0.636,41,0.41,0.302,0.556,0.298,40,0.4,0.294,0.544,0.276,2,0.209,0.057,0.758,0.215,47,4.709,3.56,6.206,4.184,16,1.6,0.987,2.583,1.6,5.6,0.6447,0.2798,5.46,0.6289,0.273,2.85,0.3282,0.1424,64.26,7.4035,3.2132,21.83,2.5153,1.0917,5,,,助手随机1k,助手头部1k,4.501,22.56,20,20,20,6,13,查询疾病最快最有效治疗方法,24.7,是,0.04,收到针对该情境的严重度判断和可执行下一步（当场处理或就医提示）后即满足。
