key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
3,疾病发病原因查询,用户输入疾病或症状名称后，希望获得该疾病或症状的发病原因说明。,593,2.584,279,2.791,2.485,3.132,2.529,279,2.791,2.485,3.132,2.76,11,1.148,0.642,2.044,1.769,9,0.902,0.475,1.705,0.769,15,1.5,0.911,2.46,1.5,30.56,1.0801,1.528,30.56,1.0801,1.528,12.57,0.4444,0.6287,9.88,0.349,0.4938,16.43,0.5806,0.8214,5,,,2025搜索,助手随机1k,1.889,3.09,9,10,21,24,21,查询疾病或医学术语的定义、病因与传染性,64.1,是,
22,查询女性生理事件时间,用户想知道怀孕、流产/人工流产、排卵、月经、产后等女性生理事件的发生时间、持续天数、最佳时间窗或恢复天数，获得以天数或孕周表示的具体范围。,576,2.51,253,2.531,2.24,2.857,1.981,228,2.28,2.006,2.592,1.556,27,2.818,1.944,4.07,2.618,48,4.81,3.647,6.319,4.526,20,2.0,1.298,3.069,2.0,17.53,1.0083,0.8763,15.79,0.9087,0.7897,19.52,1.123,0.976,33.31,1.9165,1.6655,13.85,0.7969,0.6926,5,,,助手随机1k,助手语音1k,2.81,2.4,11,12,11,6,19,查询诊疗项目的费用、时长与恢复参数,42.5,是,
27,身体异常症状原因与应对方法查询,用户描述身体出现的异常症状，希望了解其可能原因、是否正常以及就医或自行处理的建议。,534,2.327,239,2.39,2.109,2.709,1.983,208,2.08,1.818,2.379,1.644,22,2.296,1.521,3.453,2.21,43,4.309,3.214,5.753,4.099,22,2.2,1.457,3.309,2.2,18.01,1.0275,0.9003,15.67,0.8942,0.7835,17.3,0.987,0.8649,32.45,1.8519,1.6227,16.57,0.9456,0.8286,5,,,助手随机1k,2026搜索,2.228,2.07,12,16,13,8,17,解释自身症状的原因,69.1,是,
29,健康指标正常值范围查询,用户查询某项健康指标（如血压、血糖、心率、婴幼儿身高体重等）的正常值、标准范围或参考标准，以对照自身情况判断是否正常。,527,2.296,225,2.25,1.978,2.56,2.643,212,2.12,1.856,2.422,2.321,34,3.549,2.551,4.918,3.485,34,3.407,2.448,4.723,3.245,22,2.2,1.457,3.309,2.2,16.64,0.9801,0.8319,15.68,0.9235,0.7838,26.24,1.5457,1.3119,25.19,1.4837,1.2593,16.26,0.9581,0.8132,5,,,助手头部1k,2026搜索,1.429,1.67,14,14,9,11,17,查询指标的正常值或参考范围,51.6,是,
9,药品用法用量查询,用户查询某种药品或补剂的具体服用方法，包括一次用量、每日频次、服用时间及正确吃法。,518,2.257,159,1.59,1.363,1.855,1.161,209,2.09,1.828,2.39,1.502,12,1.253,0.718,2.177,1.639,72,7.214,5.768,8.989,6.405,66,6.6,5.221,8.311,6.6,8.48,0.7047,0.4241,11.15,0.9262,0.5575,6.68,0.555,0.3341,38.48,3.1966,1.9241,35.2,2.9244,1.7602,5,,,助手随机1k,助手头部1k,5.962,5.76,20,15,19,3,4,查询药品用法用量与服用时机,45.0,是,
26,身体疼痛病因查询,用户描述身体某部位疼痛并询问原因或应对方法时，获取该部位疼痛的可能病因、相关疾病提示及必要的就医或处理建议。,504,2.196,225,2.25,1.978,2.56,2.224,219,2.19,1.921,2.496,2.047,6,0.626,0.287,1.36,0.301,28,2.806,1.948,4.025,2.562,26,2.6,1.78,3.782,2.6,21.49,1.0248,1.0744,20.92,0.9975,1.0458,5.98,0.2852,0.299,26.79,1.2777,1.3395,24.83,1.184,1.2413,5,,,助手随机1k,助手头部1k,2.179,4.48,14,13,25,14,12,解释自身症状的原因,83.7,是,
21,医院信息查询与挂号咨询,用户输入医院名称或就医需求后，获取对应医院的基本信息、联系电话、地址、挂号预约方式或专科医院推荐。,490,2.135,172,1.72,1.483,1.994,1.099,171,1.71,1.474,1.984,1.018,82,8.559,6.949,10.501,12.012,37,3.707,2.702,5.068,3.245,28,2.8,1.944,4.017,2.8,9.3,0.8058,0.465,9.25,0.8011,0.4623,46.27,4.0093,2.3137,20.04,1.7366,1.0021,15.14,1.3115,0.7569,5,,,助手头部1k,2026搜索,6.849,5.0,17,18,3,9,10,查询就医科室、医院/医生导航与挂号入口,84.1,是,
16,皮肤瘙痒起疙瘩原因与用药查询,用户描述皮肤瘙痒、起疙瘩或红疹等症状，查询病因、用药及处理方法。,485,2.113,210,2.1,1.837,2.4,1.93,165,1.65,1.419,1.919,1.442,28,2.923,2.03,4.192,3.184,36,3.607,2.617,4.953,3.587,46,4.6,3.466,6.081,4.6,14.12,0.994,0.7058,11.09,0.781,0.5545,19.64,1.3832,0.9821,24.24,1.7071,1.212,30.91,2.1769,1.5456,5,,,助手语音1k,2026搜索,2.95,2.79,16,19,10,10,5,解释自身症状的原因,66.6,是,
8,症状原因与处理方法查询,用户描述某个身体症状或体征后，希望获得该症状或体征的可能原因以及对应的治疗或调理方法。,440,1.917,172,1.72,1.483,1.994,1.64,178,1.78,1.539,2.059,1.597,19,1.983,1.273,3.077,1.412,31,3.106,2.197,4.375,2.904,40,4.0,2.951,5.401,4.0,13.66,0.8974,0.6832,14.14,0.9287,0.707,15.75,1.0346,0.7876,24.67,1.6203,1.2336,31.77,2.0865,1.5885,5,,,助手语音1k,2025搜索,2.28,2.33,17,17,15,13,6,解释自身症状的原因,71.8,是,
4,健康调理食物宜忌查询,用户希望针对特定健康状况或调理目标，获得具体可操作的食物推荐、禁忌或食疗清单。,406,1.769,171,1.71,1.474,1.984,1.634,154,1.54,1.317,1.801,1.492,25,2.61,1.774,3.824,3.708,32,3.206,2.28,4.491,3.074,24,2.4,1.618,3.546,2.4,14.92,0.9669,0.7458,13.43,0.8708,0.6716,22.76,1.4753,1.1379,27.96,1.8126,1.3981,20.93,1.3568,1.0465,5,,,助手随机1k,2026搜索,1.666,2.08,19,20,12,12,15,寻找疾病的治疗或缓解方案,37.7,是,
18,血糖与糖尿病问题查询,用户在提出血糖或糖尿病相关疑问后，获得针对该疑问的具体解释或判断（如正常值、症状、原因、用药、饮食、寿命）即感到满足。,329,1.433,108,1.08,0.896,1.302,0.907,146,1.46,1.243,1.715,1.085,12,1.253,0.718,2.177,1.269,24,2.405,1.621,3.553,2.135,39,3.9,2.866,5.287,3.9,10.7,0.7536,0.5349,14.46,1.0187,0.7231,12.4,0.8739,0.6202,23.81,1.6777,1.1907,38.62,2.7208,1.9311,5,,,助手语音1k,2025搜索,2.82,3.61,22,21,19,17,8,对具体行为、搭配或说法给出是否可行的裁决,31.6,是,
30,医学检查项目查询,用户提交医学检查或体检项目名称，希望了解该检查的目的、包含的项目或指标，以及如何解读相关报告。,314,1.368,147,1.47,1.252,1.726,1.154,132,1.32,1.114,1.563,1.009,7,0.731,0.354,1.501,0.841,19,1.904,1.222,2.954,2.05,9,0.9,0.474,1.702,0.9,23.25,1.0747,1.1623,20.87,0.9651,1.0437,11.55,0.5341,0.5776,30.1,1.3916,1.505,14.23,0.6579,0.7115,5,,,助手随机1k,助手头部1k,1.173,2.61,21,22,24,19,24,查询疾病或医学术语的定义、病因与传染性,38.5,是,
24,医学健康图片查询,用户输入某个疾病、药物、身体部位或健康相关对象的名称后，希望获得该对象对应的清晰图片或结构图，以查看其外观、形态或典型表现。,231,1.006,103,1.03,0.85,1.248,0.753,107,1.07,0.886,1.292,0.685,9,0.939,0.495,1.776,3.309,4,0.401,0.156,1.026,0.342,8,0.8,0.406,1.571,0.8,24.29,1.0236,1.2147,25.24,1.0634,1.2618,22.15,0.9334,1.1077,9.45,0.3982,0.4726,18.86,0.7949,0.9432,5,,,2026搜索,助手随机1k,0.669,2.67,24,23,22,26,25,仅给出名称的裸实体查询,61.5,是,
23,皮肤病症状图片查询,用户查询某种皮肤病或皮疹时，希望获得该病的症状描述和对应图片。,227,0.989,104,1.04,0.859,1.259,1.427,102,1.02,0.841,1.237,1.169,15,1.566,0.951,2.567,1.34,4,0.401,0.156,1.026,0.342,2,0.2,0.055,0.726,0.2,24.61,1.0518,1.2304,24.14,1.0315,1.2068,37.04,1.5831,1.8521,9.48,0.4053,0.4741,4.73,0.2022,0.2366,5,,,助手头部1k,助手语音1k,1.366,7.83,23,24,17,26,27,查询疾病的症状与早期征兆,59.5,是,
19,中医方剂配方与食疗搭配吃法查询,用户想查询某个中药方剂或中成药的标准配方、某种药材或食材的正确吃法、最佳搭配或营养功效对比，以获得具体可操作的配方组成、搭配食材、食用方法和功效说明。,218,0.95,70,0.7,0.555,0.884,0.526,102,1.02,0.841,1.237,0.721,8,0.835,0.424,1.639,0.581,13,1.303,0.763,2.216,1.11,25,2.5,1.699,3.665,2.5,11.01,0.7371,0.5506,16.05,1.0741,0.8023,13.13,0.8792,0.6567,20.49,1.3714,1.0244,39.32,2.6321,1.966,5,,,助手语音1k,2025搜索,1.8,3.57,26,24,23,21,13,获取食疗/养生方的做法与搭配,32.6,是,
28,查询食物寒热属性,用户查询某种食物或水果的寒热温凉属性，或查询热性/凉性食物列表，以获得明确的属性归类或食物列表。,187,0.815,96,0.96,0.787,1.171,0.777,66,0.66,0.519,0.839,0.48,0,0.0,0.0,0.399,0.0,10,1.002,0.545,1.835,0.854,15,1.5,0.911,2.46,1.5,23.29,1.1785,1.1646,16.01,0.8102,0.8007,0.0,0.0,0.0,24.31,1.2298,1.2153,36.39,1.8411,1.8194,4,助手头部1k,,助手语音1k,助手头部1k,1.5,inf,25,26,27,23,21,在两个或几个选项之间给出裁决,55.1,是,
13,疾病传染性与传播途径查询,用户提出某种疾病或症状后，希望了解其是否传染、通过什么途径传播以及是否会传染给他人。,106,0.462,45,0.45,0.337,0.602,0.382,41,0.41,0.302,0.556,0.284,5,0.522,0.223,1.216,0.37,9,0.902,0.475,1.705,0.769,6,0.6,0.275,1.303,0.6,15.61,0.9746,0.7804,14.22,0.8879,0.711,18.1,1.1301,0.9049,31.27,1.9527,1.5635,20.81,1.2992,1.0403,5,,,助手随机1k,2026搜索,0.492,2.2,27,27,26,24,26,查询疾病或医学术语的定义、病因与传染性,75.5,是,
