surface,own_intent,n,k,share,lo,hi
搜索top10k,查找机构客服联系方式,9999,233,0.0233023302330233,0.020523268991141003,0.026447543782701175
搜索top10k,查看价格走势图,9999,161,0.016101610161016102,0.01381382997562072,0.01876107353979634
搜索top10k,了解金融术语与规则,9999,129,0.012901290129012902,0.01086894097164277,0.015307780651140898
搜索top10k,识别陌生来电号码,9999,117,0.011701170117011701,0.009772944301031122,0.014004459112015023
搜索top10k,办理操作与账户问题求助,9999,110,0.011001100110011002,0.00913615323059175,0.013241647893440843
搜索top10k,离域或无法判定的兜底,9999,105,0.010501050105010502,0.008682570944779878,0.012695514258528747
搜索top10k,获取枚举清单或榜单,9999,95,0.009500950095009501,0.0077789166867321706,0.011599736675128524
搜索top10k,查询市场日历与未定状态,9999,74,0.007400740074007401,0.005899652236344189,0.009280194258475843
搜索top10k,获取市场资讯与事件动态,9999,66,0.006600660066006601,0.005191975534512585,0.0083883254871491
搜索top10k,核验机构/平台正规性,9999,66,0.006600660066006601,0.005191975534512585,0.0083883254871491
搜索top10k,获取每日答题答案,9999,53,0.0053005300530053,0.004054908748625354,0.006926130879154016
搜索top10k,获取投资判断/预测,9999,45,0.004500450045004501,0.0033652901291471304,0.006016204025473893
助手top1k,投资理财与创业加盟建议,950,351,0.36947368421052634,0.3393638594425506,0.4006348992612007
助手top1k,数值事实与年度政策查询,950,166,0.17473684210526316,0.1519118521503397,0.20018182881304042
助手top1k,残缺或不可独立解释输入,950,97,0.10210526315789474,0.08442544457754805,0.12299012630969361
助手top1k,价格或费用查询,950,92,0.0968421052631579,0.07962711913026026,0.11730453073697138
助手top1k,通用操作与生活指南,950,62,0.06526315789473684,0.05124196712017358,0.08278615662699788
助手top1k,前往官方入口或话题聚合页,950,52,0.05473684210526316,0.041983600665608425,0.07107668104154295
助手top1k,枚举清单或建议推荐,950,42,0.04421052631578947,0.032872163391442555,0.05922027627568875
助手top1k,解释含义或识别指称,950,40,0.042105263157894736,0.031071552330638602,0.05682731892848869
助手top1k,核查人物或机构背景,950,21,0.022105263157894735,0.01450288944553997,0.03355708193754921
助手top1k,核验真伪、传闻与进展,950,21,0.022105263157894735,0.01450288944553997,0.03355708193754921
助手top1k,法律咨询与案件结果预测,950,3,0.003157894736842105,0.001074518361442939,0.009243337349610133
助手top1k,工具面板单步操作指令,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022
助手top1k,索取或生成成人、色情或暴力内容,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022
助手top1k,查找普通自然人非公开信息,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022
助手random1k,投资理财与创业加盟建议,987,297,0.3009118541033435,0.273114536145473,0.3302529445900957
助手random1k,数值事实与年度政策查询,987,135,0.13677811550151975,0.11674451928770727,0.1596282127413072
助手random1k,通用操作与生活指南,987,118,0.11955420466058764,0.10077376633231115,0.14128470194354648
助手random1k,核验真伪、传闻与进展,987,107,0.10840932117527863,0.09050969039658971,0.12934543074487226
助手random1k,解释含义或识别指称,987,79,0.0800405268490375,0.06469411921678205,0.09864339103712737
助手random1k,价格或费用查询,987,67,0.06788247213779129,0.05380573690380613,0.08530994011258075
助手random1k,枚举清单或建议推荐,987,65,0.06585612968591692,0.05200392709542126,0.08307477771471186
助手random1k,核查人物或机构背景,987,43,0.04356636271529889,0.03250306822363984,0.05816894231770199
助手random1k,残缺或不可独立解释输入,987,26,0.02634245187436677,0.018039122097279536,0.03831862469090538
助手random1k,法律咨询与案件结果预测,987,22,0.022289766970618033,0.014765123523312948,0.03351867885236445
助手random1k,无内容社交与情绪表达轮,987,9,0.00911854103343465,0.004804558194385939,0.01723892484064206
助手random1k,修改上一轮输出,987,8,0.008105369807497468,0.00411268319239232,0.015912313739508802
助手random1k,前往官方入口或话题聚合页,987,5,0.005065856129685917,0.0021656820702990387,0.011803856552221454
助手random1k,按线索查找或获取影音书资源,987,2,0.002026342451874367,0.0005558605492244836,0.007358219763915376
助手random1k,索取或生成成人、色情或暴力内容,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995
助手random1k,命理解梦与占卜,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995
助手random1k,工具面板单步操作指令,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995
助手random1k,查找普通自然人非公开信息,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995
