query,pv,l2,u_ds,p_ds,own_intent,own_leaf,bucket
为什么,2298.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,L 是非/拒绝/情绪回应
打一生肖,2272.0,K12,U13,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
解答题目,2213.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
简笔画,2086.0,K12,U02,0,解释含义或识别指称,文本缩短请求,O 其他
这,2042.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,M 指代词单独(这个/那个/这/那/他)
少,2028.0,K12,U13,0,残缺或不可独立解释输入,文本缩短请求,I 改写/缩短/重做指令碎片
短,2016.0,K12,U13,0,残缺或不可独立解释输入,文本缩短请求,I 改写/缩短/重做指令碎片
有没有其他方法解这道题,1998.0,K12,U13,0,通用操作与生活指南,直接给出答案,C 作答/解题跟进(题目不在文本中)
来,1986.0,K12,U02,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
不用方程,1973.0,K12,U11,0,修改上一轮输出,直接给出答案,O 其他
红星照耀中国读后感,1948.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
列竖式,1936.0,K12,U13,0,残缺或不可独立解释输入,查询短编号、IP地址及专名,C 作答/解题跟进(题目不在文本中)
直接写答案,1897.0,K12,U11,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
再短,1878.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
的,1874.0,K12,U13,0,残缺或不可独立解释输入,表达同意或确认,N 其余1–2字碎片(疑似语音截断/未打完)
手抄报,1861.0,K12,U02,0,残缺或不可独立解释输入,生成与修改作文类文本,O 其他
好词好句,1849.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
衣襟分开,1810.0,K12,U13,0,残缺或不可独立解释输入,图片/视频人物衣物移除与内衣替换,J 图像编辑/绘图指令碎片
2,1703.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
算式,1620.0,K12,U02,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
再来一篇,1588.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,O 其他
全身,1568.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
没事,1561.0,K12,U13,0,无内容社交与情绪表达轮,确认性问题解答,L 是非/拒绝/情绪回应
可,1560.0,K12,U13,0,残缺或不可独立解释输入,检索极短通用词,N 其余1–2字碎片(疑似语音截断/未打完)
爸爸,1552.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
写,1534.0,K12,U13,0,残缺或不可独立解释输入,文本字数查询与控制,N 其余1–2字碎片(疑似语音截断/未打完)
3,1499.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
正面,1486.0,K12,U13,0,无内容社交与情绪表达轮,表达同意或确认,J 图像编辑/绘图指令碎片
孙宇晨小作文,1478.0,K12,U09,0,生成或改写文本,查询孙宇晨与景甜关系及风波,O 其他
这是什么字,1442.0,K12,U13,0,解释含义或识别指称,未知事物识别,D 识图/指代识别(这是谁/这是什么字…)
去,1435.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
高清,1423.0,K12,U13,0,残缺或不可独立解释输入,免费影视在线观看查询,J 图像编辑/绘图指令碎片
在,1420.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
开始,1416.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
450字,1408.0,K12,U11,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
然后,1406.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
重写,1396.0,K12,U13,0,修改上一轮输出,继续或重新生成内容,I 改写/缩短/重做指令碎片
年龄,1365.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
意思,1362.0,K12,U13,0,残缺或不可独立解释输入,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
这道题选什么？,1352.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
价值,1347.0,K12,U02,0,残缺或不可独立解释输入,查询价格费用,N 其余1–2字碎片(疑似语音截断/未打完)
原文,1335.0,K12,U13,0,残缺或不可独立解释输入,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
80字,1334.0,K12,U11,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
答案是什么,1302.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
走,1296.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
再少,1286.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
画图,1275.0,K12,U01,0,残缺或不可独立解释输入,按描述生成图片与Logo设计,N 其余1–2字碎片(疑似语音截断/未打完)
小,1265.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
错,1249.0,K12,U13,0,残缺或不可独立解释输入,确认性问题解答,L 是非/拒绝/情绪回应
哼,1237.0,K12,U13,0,无内容社交与情绪表达轮,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
选择,1228.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
我的,1215.0,K12,U13,0,残缺或不可独立解释输入,归集含“我”字杂项查询,N 其余1–2字碎片(疑似语音截断/未打完)
这首诗的作者是谁,1193.0,K12,U13,0,解释含义或识别指称,人物身份查询,D 识图/指代识别(这是谁/这是什么字…)
解题,1192.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
价位,1191.0,K12,U13,0,价格或费用查询,查询价格费用,H 属性词短答(价格/年龄/地址…)
去字,1173.0,K12,U13,0,工具面板单步操作指令,去除图片文字与图标,J 图像编辑/绘图指令碎片
图,1161.0,K12,U13,0,残缺或不可独立解释输入,查找或生成图片,J 图像编辑/绘图指令碎片
预习,1157.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
分析,1145.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
注音,1144.0,K12,U01,0,残缺或不可独立解释输入,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
看,1124.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
用,1123.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
三,1121.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
打分,1106.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
他,1103.0,K12,U13,0,残缺或不可独立解释输入,短词查询,M 指代词单独(这个/那个/这/那/他)
这道题,1064.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
看图写话,1051.0,K12,U10,0,生成或改写文本,查找或生成图片,O 其他
红岩读后感,1048.0,K12,U09,0,生成或改写文本,生成与修改作文类文本,O 其他
简便,1045.0,K12,U13,0,残缺或不可独立解释输入,文本缩短请求,I 改写/缩短/重做指令碎片
减少,1034.0,K12,U13,0,修改上一轮输出,文本缩短请求,I 改写/缩短/重做指令碎片
第二题,1029.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
人,1028.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
这道题的正确答案是什么,1027.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
过程,1024.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,C 作答/解题跟进(题目不在文本中)
功效,1006.0,K12,U02,0,解释含义或识别指称,功效与作用查询,N 其余1–2字碎片(疑似语音截断/未打完)
一句话,999.0,K12,U13,0,残缺或不可独立解释输入,短句文案查询,I 改写/缩短/重做指令碎片
背面,998.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
精简,993.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
6,982.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
缩写,976.0,K12,U02,0,解释含义或识别指称,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
二,971.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
快,971.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
岳阳楼记,963.0,K12,U02,0,残缺或不可独立解释输入,生成与修改作文类文本,O 其他
简爱读后感,963.0,K12,U10,0,按线索查找或获取影音书资源,文本缩短请求,O 其他
把答案精简成一句话,952.0,K12,U11,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
列竖式计算,947.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
百度教育,947.0,K12,U01,0,前往官方入口或话题聚合页,查询百度及百度AI入口,O 其他
初中,944.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
日记,940.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
能再给我几个类似的生肖谜语吗,938.0,K12,U11,0,生成或改写文本,命理测算与运势查询,K 生肖谜语碎片
全部,936.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,H 属性词短答(价格/年龄/地址…)
600字左右,935.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
没,925.0,K12,U13,0,无内容社交与情绪表达轮,查询杂项信息,L 是非/拒绝/情绪回应
帮我写一篇作文,924.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
这首诗的创作背景是什么,919.0,K12,U04,0,解释含义或识别指称,查询背景音乐歌名,O 其他
骏组词,914.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
100字,913.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
600字,907.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
真假,907.0,K12,U13,0,残缺或不可独立解释输入,确认性问题解答,L 是非/拒绝/情绪回应
哥哥,901.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
一个,900.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
读,900.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
写一篇作文,899.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
说,898.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
清晰,893.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,J 图像编辑/绘图指令碎片
作用,885.0,K12,U13,0,残缺或不可独立解释输入,功效与作用查询,H 属性词短答(价格/年龄/地址…)
解析,877.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,C 作答/解题跟进(题目不在文本中)
50字,868.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
三点式,868.0,K12,U02,0,残缺或不可独立解释输入,杂项查询意图识别,O 其他
这是什么字？,865.0,K12,U13,0,解释含义或识别指称,未知事物识别,D 识图/指代识别(这是谁/这是什么字…)
加拼音,863.0,K12,U01,0,修改上一轮输出,查询字词翻译与语言知识,O 其他
500字,862.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
上,859.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
多选题,859.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
两个字,855.0,K12,U13,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
说话,855.0,K12,U13,0,无内容社交与情绪表达轮,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
4,848.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
整理,848.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
但是,842.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
这个字怎么读,839.0,K12,U03,0,解释含义或识别指称,查询字词翻译与语言知识,D 识图/指代识别(这是谁/这是什么字…)
嗨,838.0,K12,U11,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
好词,837.0,K12,U02,0,生成或改写文本,表达同意或确认,N 其余1–2字碎片(疑似语音截断/未打完)
中,835.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
读什么,834.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,E 字词/诗文工具短指令(无对象)
简便计算,832.0,K12,U02,0,残缺或不可独立解释输入,文本缩短请求,O 其他
年代,827.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
大,826.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
仿写,819.0,K12,U13,0,生成或改写文本,生成与修改作文类文本,E 字词/诗文工具短指令(无对象)
价钱,810.0,K12,U13,0,残缺或不可独立解释输入,查询价格费用,H 属性词短答(价格/年龄/地址…)
批改,806.0,K12,U01,0,残缺或不可独立解释输入,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
第三题,804.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
三年级,792.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
这个谜语还有其他解释吗,791.0,K12,U11,0,修改上一轮输出,直接给出答案,O 其他
第一个,790.0,K12,U11,0,残缺或不可独立解释输入,识别日常口语片段并应答,O 其他
立正,789.0,K12,U02,0,残缺或不可独立解释输入,查询双腿张开姿势,N 其余1–2字碎片(疑似语音截断/未打完)
300字,787.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
地址,783.0,K12,U13,0,残缺或不可独立解释输入,查询网站官网与邮箱登录注册入口,H 属性词短答(价格/年龄/地址…)
开,783.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
裳组词,780.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
赏析,775.0,K12,U13,0,生成或改写文本,生成与修改作文类文本,E 字词/诗文工具短指令(无对象)
停,767.0,K12,U11,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
竖式,766.0,K12,U02,0,残缺或不可独立解释输入,查询双腿张开姿势,C 作答/解题跟进(题目不在文本中)
答题,763.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
1+1等于几？,757.0,K12,U03,0,解释含义或识别指称,直接给出答案,O 其他
唐诗三百首,750.0,K12,U02,0,生成或改写文本,生成与修改作文类文本,O 其他
四年级,750.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
用脱式计算,748.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
教师节手抄报,747.0,K12,U09,0,生成或改写文本,家长感谢老师话术查询,O 其他
了,746.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
什么数字,746.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,O 其他
四个字,744.0,K12,U13,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
内容,743.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
红星照耀中国手抄报,738.0,K12,U09,0,按线索查找或获取影音书资源,生成与修改作文类文本,O 其他
出处,735.0,K12,U13,0,残缺或不可独立解释输入,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
这个怎么读？,735.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,D 识图/指代识别(这是谁/这是什么字…)
你妈,727.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
画,725.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
节哀与节哀顺变不能乱用,718.0,K12,U04,0,解释含义或识别指称,传统文化与收藏信息查询及古风内容生成,O 其他
这篇作文多少字？,716.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
有错别字吗,715.0,K12,U13,0,修改上一轮输出,文本字数查询与控制,E 字词/诗文工具短指令(无对象)
闭嘴,714.0,K12,U11,0,无内容社交与情绪表达轮,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
理想中的学校是啥样？,712.0,K12,U04,0,解释含义或识别指称,查询学校和教育信息,O 其他
红岩读后感600字,705.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
就,703.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
颜色,701.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
念什么,699.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,E 字词/诗文工具短指令(无对象)
多少字,696.0,K12,U11,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
勒组词,691.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
朗读,687.0,K12,U01,0,残缺或不可独立解释输入,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
再写一篇,686.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,O 其他
把字数精简到50字以内,685.0,K12,U11,0,修改上一轮输出,文本字数查询与控制,O 其他
这题选什么？,680.0,K12,U09,0,解释含义或识别指称,查询事物或词语的含义与说明,C 作答/解题跟进(题目不在文本中)
200字,679.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
光脚,678.0,K12,U02,0,残缺或不可独立解释输入,查询双腿张开姿势,N 其余1–2字碎片(疑似语音截断/未打完)
谁,678.0,K12,U13,0,残缺或不可独立解释输入,人物身份查询,D 识图/指代识别(这是谁/这是什么字…)
更多,676.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
用竖式计算,672.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
开学最暖心八个字,671.0,K12,U10,0,生成或改写文本,家长感谢老师话术查询,O 其他
成语,668.0,K12,U02,0,解释含义或识别指称,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
中学施发型令：不合格不让进校门,662.0,K12,U05,0,核验真伪、传闻与进展,查询学校和教育信息,O 其他
退出,661.0,K12,U11,0,修改上一轮输出,查询退款与扣费申诉方法,N 其余1–2字碎片(疑似语音截断/未打完)
评分,657.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
名人名言,654.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
小学毕业感谢老师,653.0,K12,U08,0,生成或改写文本,家长感谢老师话术查询,O 其他
这句诗出自哪里,653.0,K12,U13,0,解释含义或识别指称,查询所在位置与归属地,D 识图/指代识别(这是谁/这是什么字…)
二十字作文,652.0,K12,U10,0,生成或改写文本,文本字数查询与控制,O 其他
西安丁准高三封闭冲刺班收费,650.0,K12,U03,0,通用操作与生活指南,查询学校和教育信息,O 其他
不要用方程,637.0,K12,U11,0,修改上一轮输出,去除图片文字与图标,O 其他
老师,637.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
五年级,636.0,K12,U02,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
第四题,636.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
去裙,634.0,K12,U13,0,工具面板单步操作指令,图片目标物去除查询,J 图像编辑/绘图指令碎片
出师表,633.0,K12,U02,0,残缺或不可独立解释输入,查询地名及地理信息,O 其他
总结全文和概括全文的意思一样吗,633.0,K12,U04,0,解释含义或识别指称,整理生成表格与总结,O 其他
睡觉,633.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
浩组词,632.0,K12,U08,0,残缺或不可独立解释输入,查询字词翻译与语言知识,O 其他
看看,632.0,K12,U13,0,无内容社交与情绪表达轮,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
只要算式,627.0,K12,U11,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
7,624.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
150字左右,621.0,K12,U11,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
错误,620.0,K12,U11,0,残缺或不可独立解释输入,确认性问题解答,N 其余1–2字碎片(疑似语音截断/未打完)
我想对作文《暑假趣事》进行个性化编辑,607.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
脱式,607.0,K12,U02,0,残缺或不可独立解释输入,图片目标物去除查询,C 作答/解题跟进(题目不在文本中)
如果,606.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
四字成语,603.0,K12,U02,0,生成或改写文本,文本字数查询与控制,O 其他
利锁名缰打一生肖,602.0,K12,U09,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
帮我画 红星照耀中国手抄报,602.0,K12,U10,0,生成或编辑非敏感图像,按描述生成图片与Logo设计,O 其他
醉翁亭记,602.0,K12,U02,0,解释含义或识别指称,生成与修改作文类文本,O 其他
造句,601.0,K12,U13,0,生成或改写文本,短句文案查询,E 字词/诗文工具短指令(无对象)
七律长征,596.0,K12,U02,0,按线索查找或获取影音书资源,查询军事历史与国际政治话题,O 其他
兰艾同焚打一肖,596.0,K12,U09,0,解释含义或识别指称,玄幻同人设定创作与剧情讨论查询,O 其他
古诗,596.0,K12,U02,0,解释含义或识别指称,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
