marker,surface,n,k,share,lo,hi,pv_share
推荐/清单,search_top1000,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.0011286835857599075
推荐/清单,search_top10k,9999,71,0.007100710071007101,0.0056336558896437116,0.008946361052741941,0.00382206734587325
推荐/清单,assistant_top1k,955,44,0.04607329842931937,0.03449809780642769,0.061285814781428326,0.06262606964004247
推荐/清单,assistant_random1k,982,59,0.06008146639511202,0.04686267890582746,0.0767287783830514,
演员/角色,search_top1000,1000,25,0.025,0.016990011790561223,0.036645541866509784,0.0139020747307188
演员/角色,search_top10k,9999,194,0.0194019401940194,0.016877117817864,0.022295910774331237,0.01585774669581934
演员/角色,assistant_top1k,955,56,0.05863874345549738,0.045430851144446366,0.07538326455516449,0.06265178876515132
演员/角色,assistant_random1k,982,54,0.054989816700611,0.04238842119925678,0.07105941869713223,
剧情/结局,search_top1000,1000,7,0.007,0.0033948250792319975,0.01437849692694906,0.004165526749110791
剧情/结局,search_top10k,9999,115,0.011501150115011502,0.009590801727442278,0.013786715317314282,0.007049772253084135
剧情/结局,assistant_top1k,955,64,0.06701570680628273,0.05282832788196212,0.08467258989215198,0.053543544315889646
剧情/结局,assistant_random1k,982,56,0.05702647657841141,0.044174356299384966,0.073330930554,
因果追问(为什么),search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
因果追问(为什么),search_top10k,9999,5,0.0005000500050005,0.00021360663783098998,0.0011701601509982963,0.0002478110490761097
因果追问(为什么),assistant_top1k,955,5,0.005235602094240838,0.002238314769432626,0.01219743770522012,0.0036484416047264405
因果追问(为什么),assistant_random1k,982,42,0.04276985743380855,0.03179576842617154,0.05730738972824189,
假设/对战,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
假设/对战,search_top10k,9999,2,0.00020002000200020003,5.48532647069115e-05,0.0007290839716879943,5.577148892671891e-05
假设/对战,assistant_top1k,955,2,0.0020942408376963353,0.0005744923418997891,0.007603709354814244,0.0014990575777727973
假设/对战,assistant_random1k,982,41,0.04175152749490835,0.030924047250899814,0.05615038742501566,
创作/续写/设定,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
创作/续写/设定,search_top10k,9999,4,0.00040004000400040005,0.00015557587970720262,0.00102824772497729,0.0002769370490321006
创作/续写/设定,assistant_top1k,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0010912257367610805
创作/续写/设定,assistant_random1k,982,16,0.016293279022403257,0.01005354812936121,0.026302799584105127,
视频/图像生成请求,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
视频/图像生成请求,search_top10k,9999,0,0.0,0.0,0.00038405086810531917,0.0
视频/图像生成请求,assistant_top1k,955,35,0.03664921465968586,0.026468188197678613,0.05054307205636126,0.02665603609495501
视频/图像生成请求,assistant_random1k,982,34,0.034623217922606926,0.024880901807224222,0.04799246851920549,
「AI视频」卡片,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
「AI视频」卡片,search_top10k,9999,0,0.0,0.0,0.00038405086810531917,0.0
「AI视频」卡片,assistant_top1k,955,4,0.004188481675392671,0.001629961558218383,0.010719940657121459,0.014983227456268303
「AI视频」卡片,assistant_random1k,982,0,0.0,0.0,0.0038967720574988917,
儿童向IP/动画片,search_top1000,1000,8,0.008,0.004059147003819634,0.01570652120518864,0.00385508736577792
儿童向IP/动画片,search_top10k,9999,132,0.013201320132013201,0.011143726548148795,0.015632824627069254,0.008551121531035393
儿童向IP/动画片,assistant_top1k,955,34,0.0356020942408377,0.02558737644840076,0.04933803354632621,0.03642930363631688
儿童向IP/动画片,assistant_random1k,982,75,0.07637474541751528,0.06136389136987999,0.09468714157496633,
短剧,search_top1000,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.003808095595358564
短剧,search_top10k,9999,47,0.0047004700470047005,0.003536837259326524,0.006244543263584086,0.003913206120460815
短剧,assistant_top1k,955,40,0.041884816753926704,0.03090808783584654,0.056532423714757855,0.04785226934537478
短剧,assistant_random1k,982,27,0.0274949083503055,0.018963798883162165,0.03970850709378179,
平台运营/创作者问题,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
平台运营/创作者问题,search_top10k,9999,0,0.0,0.0,0.00038405086810531917,0.0
平台运营/创作者问题,assistant_top1k,955,0,0.0,0.0,0.004006501178088226,0.0
平台运营/创作者问题,assistant_random1k,982,13,0.013238289205702648,0.0077525738041849136,0.022517603473787527,
推荐流抱怨,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
推荐流抱怨,search_top10k,9999,1,0.00010001000100010001,1.7653984947163775e-05,0.0005663400673029488,6.409320319985917e-05
推荐流抱怨,assistant_top1k,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0003821127159028699
推荐流抱怨,assistant_random1k,982,3,0.003054989816700611,0.001039485561675258,0.008943456931317529,
疑问句,search_top1000,1000,8,0.008,0.004059147003819634,0.01570652120518864,0.005443556055234714
疑问句,search_top10k,9999,112,0.0112011201120112,0.009317888631200958,0.01345979886112122,0.007774401526714503
疑问句,assistant_top1k,955,103,0.10785340314136126,0.08972737660596103,0.12912170128135633,0.13822560081713334
疑问句,assistant_random1k,982,339,0.34521384928716903,0.31613208634457324,0.3755019449237359,
委托/动作开头,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
委托/动作开头,search_top10k,9999,10,0.001000100010001,0.0005433344189942962,0.0018401482905589569,0.00044353136746169713
委托/动作开头,assistant_top1k,955,48,0.050261780104712044,0.03811735869668169,0.06600995492842594,0.04582045846177587
委托/动作开头,assistant_random1k,982,46,0.04684317718940937,0.03530095388053954,0.061917098187865754,
第一人称,search_top1000,1000,22,0.022,0.014572598673771597,0.03308591637481774,0.01129124133607589
第一人称,search_top10k,9999,301,0.030103010301030103,0.026930024023348834,0.033636925272339295,0.02008669785975911
第一人称,assistant_top1k,955,70,0.07329842931937172,0.05842285543605673,0.09159316389393478,0.07506310371053491
第一人称,assistant_random1k,982,142,0.1446028513238289,0.12398955172615855,0.1679859542780514,
对助手说话,search_top1000,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00048680537168801634
对助手说话,search_top10k,9999,5,0.0005000500050005,0.00021360663783098998,0.0011701601509982963,0.00047937875202291673
对助手说话,assistant_top1k,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0005658207523946343
对助手说话,assistant_random1k,982,16,0.016293279022403257,0.01005354812936121,0.026302799584105127,
指代画面/上文,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
指代画面/上文,search_top10k,9999,6,0.0006000600060006001,0.0002750372286736318,0.001308672744300448,0.00026549469190653274
指代画面/上文,assistant_top1k,955,20,0.020942408376963352,0.013597171209663715,0.0321263351546826,0.039666239239301765
指代画面/上文,assistant_random1k,982,22,0.02240325865580448,0.014840533024862587,0.033688155559591544,
机械裸短串(≤6字无动作/疑问/资源词),search_top1000,1000,345,0.345,0.3161799875785417,0.3750063509832394,0.3012530796130169
机械裸短串(≤6字无动作/疑问/资源词),search_top10k,9999,3245,0.32453245324532454,0.3154241798890251,0.33377550352893476,0.31374007045451363
机械裸短串(≤6字无动作/疑问/资源词),assistant_top1k,955,331,0.34659685863874345,0.3170830773175447,0.3773398596931147,0.36412402496959634
机械裸短串(≤6字无动作/疑问/资源词),assistant_random1k,982,59,0.06008146639511202,0.04686267890582746,0.0767287783830514,
"露骨关键词(计数,不举例)",search_top1000,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.0006411439676590888
"露骨关键词(计数,不举例)",search_top10k,9999,20,0.002000200020002,0.0012952310869255822,0.0030876834640756043,0.001515192129578693
"露骨关键词(计数,不举例)",assistant_top1k,955,11,0.011518324607329843,0.006443579376559755,0.02050727465397042,0.008483637125189679
"露骨关键词(计数,不举例)",assistant_random1k,982,6,0.006109979633401222,0.002803139813771109,0.013265973114715578,
