domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,ncat,pv_all,edu_pv_share,in_search10k
教育,assistant_top1k,有没有其他方法解这道题,1998.0,,,user,ai04,GENERAL_HOWTO_GUIDE,通用操作与生活指南,直接给出答案,K12,U13,0,1,1998,1.0,False
教育,assistant_top1k,列竖式,1936.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询短编号、IP地址及专名,K12,U13,0,1,1936,1.0,False
教育,assistant_top1k,的,1874.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,表达同意或确认,K12,U13,0,2,2151,0.8712226871222687,True
教育,assistant_top1k,衣襟分开,1810.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,图片/视频人物衣物移除与内衣替换,K12,U13,0,1,1810,1.0,False
教育,assistant_top1k,2,1703.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,3,1898,0.8972602739726028,True
教育,assistant_top1k,没事,1561.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,1,1561,1.0,False
教育,assistant_top1k,可,1560.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,检索极短通用词,K12,U13,0,1,1560,1.0,True
教育,assistant_top1k,写,1534.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U13,0,1,1534,1.0,False
教育,assistant_top1k,3,1499.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,3,1637,0.9156994502138057,True
教育,assistant_top1k,正面,1486.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,表达同意或确认,K12,U13,0,1,1486,1.0,False
教育,assistant_top1k,这是什么字,1442.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,未知事物识别,K12,U13,0,1,1442,1.0,False
教育,assistant_top1k,去,1435.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,2,1683,0.8526440879382056,True
教育,assistant_top1k,高清,1423.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,免费影视在线观看查询,K12,U13,0,1,1423,1.0,True
教育,assistant_top1k,在,1420.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1420,1.0,True
教育,assistant_top1k,开始,1416.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1416,1.0,False
教育,assistant_top1k,然后,1406.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1406,1.0,False
教育,assistant_top1k,重写,1396.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,继续或重新生成内容,K12,U13,0,1,1396,1.0,False
教育,assistant_top1k,年龄,1365.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,3,2133,0.639943741209564,False
教育,assistant_top1k,意思,1362.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U13,0,1,1362,1.0,False
教育,assistant_top1k,这道题选什么？,1352.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,1352,1.0,False
教育,assistant_top1k,原文,1335.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U13,0,4,1525,0.8754098360655738,False
教育,assistant_top1k,答案是什么,1302.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,1302,1.0,False
教育,assistant_top1k,走,1296.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1296,1.0,True
教育,assistant_top1k,小,1265.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,1265,1.0,True
教育,assistant_top1k,错,1249.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,确认性问题解答,K12,U13,0,1,1249,1.0,False
教育,assistant_top1k,哼,1237.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,识别日常口语片段并应答,K12,U13,0,1,1237,1.0,False
教育,assistant_top1k,我的,1215.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,归集含“我”字杂项查询,K12,U13,0,1,1215,1.0,False
教育,assistant_top1k,这首诗的作者是谁,1193.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,人物身份查询,K12,U13,0,1,1193,1.0,False
教育,assistant_top1k,解题,1192.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,1192,1.0,False
教育,assistant_top1k,价位,1191.0,,,user,ai04,PRICE_COST_INQUIRY,价格或费用查询,查询价格费用,K12,U13,0,1,1191,1.0,False
教育,assistant_top1k,去字,1173.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,去除图片文字与图标,K12,U13,0,1,1173,1.0,False
教育,assistant_top1k,图,1161.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查找或生成图片,K12,U13,0,1,1161,1.0,True
教育,assistant_top1k,预习,1157.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,1157,1.0,False
教育,assistant_top1k,分析,1145.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,1145,1.0,False
教育,assistant_top1k,看,1124.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1124,1.0,True
教育,assistant_top1k,用,1123.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,1123,1.0,True
教育,assistant_top1k,三,1121.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,2,1214,0.9233937397034596,True
教育,assistant_top1k,打分,1106.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,1106,1.0,False
教育,assistant_top1k,他,1103.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,1103,1.0,True
教育,assistant_top1k,这道题,1064.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,1064,1.0,False
教育,assistant_top1k,简便,1045.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,1,1045,1.0,False
教育,assistant_top1k,减少,1034.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U13,0,1,1034,1.0,False
教育,assistant_top1k,第二题,1029.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,1029,1.0,False
教育,assistant_top1k,人,1028.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,1028,1.0,True
教育,assistant_top1k,这道题的正确答案是什么,1027.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,1027,1.0,False
教育,assistant_top1k,过程,1024.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,1024,1.0,False
教育,assistant_top1k,一句话,999.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短句文案查询,K12,U13,0,1,999,1.0,False
教育,assistant_top1k,6,982.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,4,1210,0.8115702479338843,True
教育,assistant_top1k,二,971.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,971,1.0,True
教育,assistant_top1k,快,971.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,971,1.0,True
教育,assistant_top1k,列竖式计算,947.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,947,1.0,False
教育,assistant_top1k,全部,936.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,936,1.0,False
教育,assistant_top1k,600字左右,935.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,1,935,1.0,False
教育,assistant_top1k,没,925.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,查询杂项信息,K12,U13,0,1,925,1.0,True
教育,assistant_top1k,100字,913.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,5498,0.16606038559476174,False
教育,assistant_top1k,600字,907.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,4213,0.21528601946356515,False
教育,assistant_top1k,真假,907.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,确认性问题解答,K12,U13,0,1,907,1.0,False
教育,assistant_top1k,一个,900.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,900,1.0,True
教育,assistant_top1k,读,900.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,900,1.0,False
教育,assistant_top1k,说,898.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,898,1.0,True
教育,assistant_top1k,清晰,893.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,893,1.0,False
教育,assistant_top1k,作用,885.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,功效与作用查询,K12,U13,0,1,885,1.0,False
教育,assistant_top1k,解析,877.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,877,1.0,False
教育,assistant_top1k,50字,868.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,5451,0.15923683727756374,False
教育,assistant_top1k,这是什么字？,865.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,未知事物识别,K12,U13,0,1,865,1.0,False
教育,assistant_top1k,500字,862.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,3494,0.2467086433886663,False
教育,assistant_top1k,上,859.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,859,1.0,True
教育,assistant_top1k,多选题,859.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,859,1.0,False
教育,assistant_top1k,两个字,855.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U13,0,2,1069,0.7998129092609916,False
教育,assistant_top1k,说话,855.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,识别日常口语片段并应答,K12,U13,0,1,855,1.0,False
教育,assistant_top1k,4,848.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,3,973,0.8715313463514902,True
教育,assistant_top1k,整理,848.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,848,1.0,False
教育,assistant_top1k,但是,842.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,842,1.0,False
教育,assistant_top1k,中,835.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,835,1.0,True
教育,assistant_top1k,读什么,834.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询事物或词语的含义与说明,K12,U13,0,1,834,1.0,False
教育,assistant_top1k,大,826.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,826,1.0,True
教育,assistant_top1k,仿写,819.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U13,0,1,819,1.0,False
教育,assistant_top1k,价钱,810.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询价格费用,K12,U13,0,1,810,1.0,False
教育,assistant_top1k,第三题,804.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,804,1.0,False
教育,assistant_top1k,三年级,792.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,792,1.0,False
教育,assistant_top1k,300字,787.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,4157,0.18931922059177292,False
教育,assistant_top1k,地址,783.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询网站官网与邮箱登录注册入口,K12,U13,0,4,1045,0.7492822966507177,False
教育,assistant_top1k,开,783.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,783,1.0,True
教育,assistant_top1k,赏析,775.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U13,0,1,775,1.0,False
教育,assistant_top1k,答题,763.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,763,1.0,True
教育,assistant_top1k,四年级,750.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1,750,1.0,False
教育,assistant_top1k,用脱式计算,748.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,748,1.0,False
教育,assistant_top1k,了,746.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,746,1.0,True
教育,assistant_top1k,什么数字,746.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询事物或词语的含义与说明,K12,U13,0,1,746,1.0,False
教育,assistant_top1k,四个字,744.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U13,0,2,848,0.8773584905660378,False
教育,assistant_top1k,内容,743.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,743,1.0,False
教育,assistant_top1k,出处,735.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U13,0,1,735,1.0,False
教育,assistant_top1k,这个怎么读？,735.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,1,735,1.0,False
教育,assistant_top1k,你妈,727.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,727,1.0,False
教育,assistant_top1k,这篇作文多少字？,716.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,1,716,1.0,False
教育,assistant_top1k,有错别字吗,715.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本字数查询与控制,K12,U13,0,1,715,1.0,False
教育,assistant_top1k,就,703.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,703,1.0,True
教育,assistant_top1k,念什么,699.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询事物或词语的含义与说明,K12,U13,0,1,699,1.0,False
教育,assistant_top1k,200字,679.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,2,4415,0.1537938844847112,False
教育,assistant_top1k,谁,678.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,人物身份查询,K12,U13,0,1,678,1.0,True
教育,assistant_top1k,用竖式计算,672.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,672,1.0,False
教育,assistant_top1k,评分,657.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,1,657,1.0,False
教育,assistant_top1k,这句诗出自哪里,653.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询所在位置与归属地,K12,U13,0,1,653,1.0,False
教育,assistant_top1k,第四题,636.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,636,1.0,False
教育,assistant_top1k,去裙,634.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,图片目标物去除查询,K12,U13,0,1,634,1.0,False
教育,assistant_top1k,看看,632.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,识别日常口语片段并应答,K12,U13,0,1,632,1.0,False
教育,assistant_top1k,7,624.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,4,796,0.7839195979899497,True
教育,assistant_top1k,如果,606.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,606,1.0,False
教育,assistant_top1k,造句,601.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,短句文案查询,K12,U13,0,1,601,1.0,False
教育,assistant_top1k,怎么念,586.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,1,586,1.0,False
教育,assistant_top1k,请,586.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,586,1.0,False
教育,assistant_top1k,400字,585.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U13,0,2,3535,0.16548797736916548,False
教育,assistant_top1k,这个多少字？,581.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本字数查询与控制,K12,U13,0,1,581,1.0,False
