domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,sim,nn_query,nn_rank,nn_pv,u_nn
教育,assistant_top1k,一,5134.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1.0000006,一,341,6405,U13
教育,assistant_top1k,有,4597.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U11,0,1.0000005,有,2729,1191,
教育,assistant_top1k,批注,4007.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U02,0,0.65976834,批改网,4514,833,U01
教育,assistant_top1k,怎么读？,3958.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,0.7588012,赟怎么读,1330,2212,U03
教育,assistant_top1k,那个,3838.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.86559045,那,4150,882,
教育,assistant_top1k,简写,3733.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U02,0,0.72206247,简笔画,1191,2447,
教育,assistant_top1k,解答,3711.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,0.78404355,答题,8524,531,
教育,assistant_top1k,怎么写？,3605.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,操作与制作方法查询,K12,U13,0,0.64436,日记怎么写,9765,485,
教育,assistant_top1k,简化,3604.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U11,0,0.70686454,simple,4204,873,U02
教育,assistant_top1k,缩短,3549.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U02,0,0.6305063,short,2423,1309,
教育,assistant_top1k,人生感悟的句子,3461.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,短句文案查询,K12,U08,0,0.7091882,励志的句子经典语句,2440,1300,U08
教育,assistant_top1k,不要,3420.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,检索极短通用词,K12,U13,0,0.77463573,要,5907,690,
教育,assistant_top1k,读音,3389.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,0.77270025,凫的读音,4581,822,U03
教育,assistant_top1k,不知道,3208.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,0.62048995,无,4930,782,
教育,assistant_top1k,脱式计算,3189.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U02,0,0.90392643,脱式计算什么意思,4903,785,U04
教育,assistant_top1k,简洁,3134.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U11,0,0.78949964,simple,4204,873,U02
教育,assistant_top1k,简单,3026.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,0.80756414,simple,4204,873,U02
教育,assistant_top1k,作文,2984.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U02,0,0.9999998,作文,1424,2064,
教育,assistant_top1k,妈妈,2979.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.68456626,阿姨,7117,605,
教育,assistant_top1k,为什么？,2874.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,0.9123278,为什么,1462,2004,
教育,assistant_top1k,不,2851.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,0.9999999,不,1924,1581,
教育,assistant_top1k,裸,2787.0,,,user,ai04,ADULT_OR_VIOLENT_CONTENT_REQUEST,索取或生成成人、色情或暴力内容,查询双腿张开姿势,K12,U13,0,0.9999999,裸,8485,532,
教育,assistant_top1k,竖式计算,2667.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U02,0,0.58567816,毛利率计算公式,2247,1390,
教育,assistant_top1k,不行,2568.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,0.77070576,不,1924,1581,
教育,assistant_top1k,涂色,2541.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,按描述生成图片与Logo设计,K12,U01,0,0.72957504,色,1090,2701,
教育,assistant_top1k,读后感,2525.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U02,0,0.60073304,阿嬷的情书观后感,5152,759,
教育,assistant_top1k,上色,2415.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,图片视频修改生成,K12,U13,0,0.74304146,色,1090,2701,
教育,assistant_top1k,那,2346.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1.0000004,那,4150,882,
教育,assistant_top1k,为什么,2298.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询事物或词语的含义与说明,K12,U13,0,1.0,为什么,1462,2004,
教育,assistant_top1k,打一生肖,2272.0,,,user,ai04,FORTUNE_DREAM_DIVINATION,命理解梦与占卜,命理测算与运势查询,K12,U13,0,0.7955607,万户诸侯打一生肖,1027,2874,
教育,assistant_top1k,解答题目,2213.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,0.81740165,答题,8524,531,
教育,assistant_top1k,简笔画,2086.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,文本缩短请求,K12,U02,0,1.0000005,简笔画,1191,2447,
教育,assistant_top1k,这,2042.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.99999976,这,4884,787,
教育,assistant_top1k,少,2028.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,1.0000001,少,9095,509,
教育,assistant_top1k,短,2016.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,0.68741333,短的笔顺,3481,991,
教育,assistant_top1k,有没有其他方法解这道题,1998.0,,,user,ai04,GENERAL_HOWTO_GUIDE,通用操作与生活指南,直接给出答案,K12,U13,0,0.515617,0除以任何数都得0对吗,6575,639,
教育,assistant_top1k,来,1986.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U02,0,1.0000005,来,4356,851,
教育,assistant_top1k,不用方程,1973.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,直接给出答案,K12,U11,0,0.52639544,无组词,9880,481,
教育,assistant_top1k,红星照耀中国读后感,1948.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,0.5507912,四渡赤水观后感300字左右,2041,1506,
教育,assistant_top1k,列竖式,1936.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询短编号、IP地址及专名,K12,U13,0,0.56309134,竖心旁加斤,7336,592,
教育,assistant_top1k,直接写答案,1897.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,直接给出答案,K12,U11,0,0.71098,答题,8524,531,
教育,assistant_top1k,再短,1878.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U11,0,0.73853594,再,9079,509,U11
教育,assistant_top1k,的,1874.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,表达同意或确认,K12,U13,0,0.99999964,的,1595,1852,
教育,assistant_top1k,手抄报,1861.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,生成与修改作文类文本,K12,U02,0,0.7369482,建党节手抄报,7583,578,U09
教育,assistant_top1k,好词好句,1849.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,短句文案查询,K12,U08,0,0.59638405,好,1026,2875,
教育,assistant_top1k,衣襟分开,1810.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,图片/视频人物衣物移除与内衣替换,K12,U13,0,0.6143818,分,7999,556,U13
教育,assistant_top1k,2,1703.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,0.9999997,2,1780,1679,
教育,assistant_top1k,算式,1620.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U02,0,0.6290978,平方怎么算,6349,655,U06
教育,assistant_top1k,再来一篇,1588.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,继续或重新生成内容,K12,U11,0,0.7525963,再接再厉,6117,673,U02
教育,assistant_top1k,全身,1568.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.7987241,身,5543,720,U02
教育,assistant_top1k,没事,1561.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,0.62638503,事,9197,505,
教育,assistant_top1k,可,1560.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,检索极短通用词,K12,U13,0,0.99999976,可,7114,605,
教育,assistant_top1k,爸爸,1552.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.69127196,爸的笔顺,7210,598,
教育,assistant_top1k,写,1534.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U13,0,0.78088725,write,3445,1001,U02
教育,assistant_top1k,3,1499.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,1.0000004,3,1404,2085,
教育,assistant_top1k,正面,1486.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,表达同意或确认,K12,U13,0,0.70859194,好,1026,2875,
教育,assistant_top1k,孙宇晨小作文,1478.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,查询孙宇晨与景甜关系及风波,K12,U09,0,0.5770034,作文,1424,2064,
教育,assistant_top1k,这是什么字,1442.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,未知事物识别,K12,U13,0,0.61064136,这的笔顺,7409,588,
教育,assistant_top1k,去,1435.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1.0000005,去,3536,981,
教育,assistant_top1k,高清,1423.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,免费影视在线观看查询,K12,U13,0,1.0000002,高清,7169,601,
教育,assistant_top1k,在,1420.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1.0000004,在,2644,1224,
教育,assistant_top1k,开始,1416.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.85928696,start,2569,1252,U13
教育,assistant_top1k,450字,1408.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本字数查询与控制,K12,U11,0,0.5953093,千字文,1971,1556,
教育,assistant_top1k,然后,1406.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.7530633,然,8262,542,U13
教育,assistant_top1k,重写,1396.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,继续或重新生成内容,K12,U13,0,0.651342,write,3445,1001,U02
教育,assistant_top1k,年龄,1365.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,0.71677595,age,2479,1284,U02
教育,assistant_top1k,意思,1362.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U13,0,0.69907,...是什么意思?,3276,1038,U13
教育,assistant_top1k,这道题选什么？,1352.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,0.519944,答题,8524,531,
教育,assistant_top1k,价值,1347.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询价格费用,K12,U02,0,0.70461285,value,4018,902,U02
教育,assistant_top1k,原文,1335.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U13,0,0.6653779,三字经原文,2821,1164,
教育,assistant_top1k,80字,1334.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U11,0,0.5853642,千字文,1971,1556,
教育,assistant_top1k,答案是什么,1302.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,0.711875,答题,8524,531,
教育,assistant_top1k,走,1296.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1.0,走,8972,513,
教育,assistant_top1k,再少,1286.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U11,0,0.75286764,再,9079,509,U11
教育,assistant_top1k,画图,1275.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,按描述生成图片与Logo设计,K12,U01,0,0.7987973,画画,2103,1466,
教育,assistant_top1k,小,1265.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,0.99999964,小,1629,1815,
教育,assistant_top1k,错,1249.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,确认性问题解答,K12,U13,0,0.68164885,对,2864,1148,
教育,assistant_top1k,哼,1237.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,识别日常口语片段并应答,K12,U13,0,0.70357746,嗯,112,11216,U13
教育,assistant_top1k,选择,1228.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.8029295,choose,3898,920,U02
教育,assistant_top1k,我的,1215.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,归集含“我”字杂项查询,K12,U13,0,0.8079045,我,132,10611,U13
教育,assistant_top1k,这首诗的作者是谁,1193.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,人物身份查询,K12,U13,0,0.52006996,古诗,2476,1284,
教育,assistant_top1k,解题,1192.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,0.79125124,解,6958,615,U13
教育,assistant_top1k,价位,1191.0,,,user,ai04,PRICE_COST_INQUIRY,价格或费用查询,查询价格费用,K12,U13,0,0.75018716,price,6015,681,U13
教育,assistant_top1k,去字,1173.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,去除图片文字与图标,K12,U13,0,0.75943744,去的笔顺,4820,793,U03
教育,assistant_top1k,图,1161.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查找或生成图片,K12,U13,0,1.0000001,图,8799,520,
教育,assistant_top1k,预习,1157.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,0.6245359,习,5515,723,
教育,assistant_top1k,分析,1145.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,0.71315277,分,7999,556,U13
教育,assistant_top1k,注音,1144.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U01,0,0.7222064,音标,2019,1520,
教育,assistant_top1k,看,1124.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.9999993,看,4870,788,
教育,assistant_top1k,用,1123.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.9999999,用,4143,883,
教育,assistant_top1k,三,1121.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,1.0,三,2616,1237,
教育,assistant_top1k,打分,1106.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,0.700967,打,4844,790,
教育,assistant_top1k,他,1103.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,0.99999964,他,6002,682,
教育,assistant_top1k,这道题,1064.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,0.6397934,答题,8524,531,
教育,assistant_top1k,看图写话,1051.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,查找或生成图片,K12,U10,0,0.6401375,图,8799,520,
教育,assistant_top1k,红岩读后感,1048.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U09,0,0.53142184,观书有感 朱熹,4332,853,
教育,assistant_top1k,简便,1045.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,0.7947483,simple,4204,873,U02
教育,assistant_top1k,减少,1034.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U13,0,0.7139576,少,9095,509,
教育,assistant_top1k,第二题,1029.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,0.720801,二,3263,1041,
教育,assistant_top1k,人,1028.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,0.9999998,人,1370,2142,
教育,assistant_top1k,这道题的正确答案是什么,1027.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,0.5766267,答题,8524,531,
教育,assistant_top1k,过程,1024.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,整理生成表格与总结,K12,U13,0,0.72190446,process,2719,1196,U13
教育,assistant_top1k,功效,1006.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,功效与作用查询,K12,U02,0,0.5155533,effect,3951,913,
教育,assistant_top1k,一句话,999.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短句文案查询,K12,U13,0,0.6476926,......是什么符号算一句话吗,3799,938,
教育,assistant_top1k,背面,998.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.5984732,face,5123,762,
教育,assistant_top1k,精简,993.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,文本缩短请求,K12,U11,0,0.7162606,simple,4204,873,U02
教育,assistant_top1k,6,982.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询数字对应信息,K12,U13,0,1.0,6,2244,1392,
教育,assistant_top1k,缩写,976.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U02,0,0.61836994,7月英文缩写,3399,1010,
教育,assistant_top1k,二,971.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,0.99999976,二,3263,1041,
教育,assistant_top1k,快,971.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.99999994,快,4913,783,
教育,assistant_top1k,岳阳楼记,963.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,生成与修改作文类文本,K12,U02,0,1.0000001,岳阳楼记,146,10293,U02
教育,assistant_top1k,简爱读后感,963.0,,,user,ai04,MEDIA_CONTENT_SEARCH_OR_ACCESS,按线索查找或获取影音书资源,文本缩短请求,K12,U10,0,0.54518276,simple,4204,873,U02
教育,assistant_top1k,把答案精简成一句话,952.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,直接给出答案,K12,U11,0,0.59442985,要是......就......造句 简单,3559,978,U10
教育,assistant_top1k,列竖式计算,947.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,0.5721131,毛利率计算公式,2247,1390,
教育,assistant_top1k,百度教育,947.0,,,user,ai04,NAVIGATE_OFFICIAL_ENTRY_OR_TOPIC_FEED,前往官方入口或话题聚合页,查询百度及百度AI入口,K12,U01,0,0.99999994,百度教育,3029,1100,
教育,assistant_top1k,初中,944.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.73620564,中考,1193,2445,U02
教育,assistant_top1k,日记,940.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U02,0,0.8065613,diary,7587,578,U02
教育,assistant_top1k,能再给我几个类似的生肖谜语吗,938.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,命理测算与运势查询,K12,U11,0,0.6098972,谜语,8549,530,
教育,assistant_top1k,全部,936.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.8318783,全,7876,562,U13
教育,assistant_top1k,600字左右,935.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,0.582193,难忘的小学生活作文600字六年级,7425,587,
教育,assistant_top1k,没,925.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,查询杂项信息,K12,U13,0,1.0000002,没,5717,707,
教育,assistant_top1k,帮我写一篇作文,924.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,0.66604596,作文,1424,2064,
教育,assistant_top1k,这首诗的创作背景是什么,919.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询背景音乐歌名,K12,U04,0,0.4834036,古诗,2476,1284,
教育,assistant_top1k,骏组词,914.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U08,0,0.6107539,浩组词,3597,971,
