surface,marker,n,k,share,lo,hi,pv_share
助手random1k,行情名词(金价/汇率/指数/行情/走势图),987,61.0,0.06180344478216818,0.0484127890459614,0.0785919713516642,
搜索top1000,客服电话/号码,1000,32.0,0.032,0.02275696612786701,0.04482501094899452,0.014078500002832279
搜索top10k,客服电话/号码,9999,297.0,0.0297029702970297,0.026551736063504878,0.03321544049560408,0.019767562124257416
助手top1k,客服电话/号码,950,19.0,0.02,0.012840549028949488,0.031025853946135683,0.027640537816778506
助手random1k,客服电话/号码,987,15.0,0.015197568389057751,0.009231172203444684,0.024923227450344577,
搜索top1000,每日答题(蚂蚁庄园/新村),1000,8.0,0.008,0.004059147003819634,0.01570652120518864,0.005048917606511313
搜索top10k,每日答题(蚂蚁庄园/新村),9999,53.0,0.0053005300530053,0.004054908748625354,0.006926130879154016,0.005023682181644182
助手top1k,每日答题(蚂蚁庄园/新村),950,32.0,0.03368421052631579,0.02395967979839758,0.04716491782871367,0.018189415726470516
助手random1k,每日答题(蚂蚁庄园/新村),987,2.0,0.002026342451874367,0.0005558605492244836,0.007358219763915376,
搜索top1000,银行账户异常解读,1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,银行账户异常解读,9999,20.0,0.002000200020002,0.0012952310869255822,0.0030876834640756043,0.000576694229726385
助手top1k,银行账户异常解读,950,59.0,0.06210526315789474,0.048451195475141415,0.07928657566002402,0.09038173192734066
助手random1k,银行账户异常解读,987,21.0,0.02127659574468085,0.013957611122299188,0.03230770515025134,
搜索top1000,预测/前景/买卖判断,1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,预测/前景/买卖判断,9999,19.0,0.0019001900190019003,0.0012168560723179534,0.0029661152945384406,0.0006928773765808732
助手top1k,预测/前景/买卖判断,950,49.0,0.05157894736842105,0.0392328852562718,0.06753704383887355,0.020291030651623528
助手random1k,预测/前景/买卖判断,987,108.0,0.1094224924012158,0.09144028437556595,0.1304333228690229,
搜索top1000,具体日期(X月X日),1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,具体日期(X月X日),9999,13.0,0.0013001300130013002,0.0007599805620286864,0.002223331699958947,0.0004952008376199194
助手top1k,具体日期(X月X日),950,3.0,0.003157894736842105,0.001074518361442939,0.009243337349610133,0.001149128628665536
助手random1k,具体日期(X月X日),987,22.0,0.022289766970618033,0.014765123523312948,0.03351867885236445,
搜索top1000,计算(含数字+利息/还款/手续费/收益/等于多少),1000,2.0,0.002,0.000548632102457155,0.007262958889587807,0.0007493796272361362
搜索top10k,计算(含数字+利息/还款/手续费/收益/等于多少),9999,117.0,0.011701170117011701,0.009772944301031122,0.014004459112015023,0.0036934493904468638
助手top1k,计算(含数字+利息/还款/手续费/收益/等于多少),950,8.0,0.008421052631578947,0.004273086293304304,0.016528690437758797,0.004430597546886906
助手random1k,计算(含数字+利息/还款/手续费/收益/等于多少),987,41.0,0.04154002026342452,0.0307666459903004,0.05586839234478768,
搜索top1000,平台/机构可信度,1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,平台/机构可信度,9999,29.0,0.0029002900290029,0.002020185442252399,0.004162217766051928,0.0007214184181857276
助手top1k,平台/机构可信度,950,8.0,0.008421052631578947,0.004273086293304304,0.016528690437758797,0.005702627633163729
助手random1k,平台/机构可信度,987,15.0,0.015197568389057751,0.009231172203444684,0.024923227450344577,
搜索top1000,借贷/征信/信用卡,1000,11.0,0.011,0.006153110089114165,0.01958959672837577,0.004970304588831121
搜索top10k,借贷/征信/信用卡,9999,146.0,0.014601460146014602,0.012429790864528037,0.01714596488871712,0.008365094801685189
助手top1k,借贷/征信/信用卡,950,19.0,0.02,0.012840549028949488,0.031025853946135683,0.012486788093306786
助手random1k,借贷/征信/信用卡,987,83.0,0.08409321175278622,0.06835000616793771,0.1030614484984792,
搜索top1000,保险,1000,5.0,0.005,0.0021375039957652504,0.011651125604761368,0.002576406948506539
搜索top10k,保险,9999,109.0,0.010901090109010901,0.009045349182778451,0.013132508757109347,0.005253020004700554
助手top1k,保险,950,25.0,0.02631578947368421,0.017887338159618977,0.03855977003947823,0.04301551016395055
助手random1k,保险,987,41.0,0.04154002026342452,0.0307666459903004,0.05586839234478768,
搜索top1000,家庭成员,1000,0.0,0.0,0.0,0.003826898586390522,0.0
搜索top10k,家庭成员,9999,3.0,0.00030003000300030005,0.00010204055744611853,0.0008818398630935808,0.00011765149626181184
助手top1k,家庭成员,950,0.0,0.0,0.0,0.0040275030990470535,0.0
助手random1k,家庭成员,987,4.0,0.004052684903748734,0.0015770790606061662,0.010373973458787449,
搜索top1000,导航/下载词,1000,8.0,0.008,0.004059147003819634,0.01570652120518864,0.003400116634638885
搜索top10k,导航/下载词,9999,147.0,0.014701470147014702,0.012521873249151314,0.017253825688238637,0.00702146332214604
助手top1k,导航/下载词,950,29.0,0.030526315789473683,0.021337098647453517,0.043497146367651715,0.04750755843964309
助手random1k,导航/下载词,987,18.0,0.0182370820668693,0.011566398725590434,0.02864345923757946,
