surface,core,query,u_core,u_wrap,own,pv,generic
assistant_top1k,cctv5,cctv5在线直播,U01,U01,按线索查找或获取影音书资源,342.0,False
assistant_top1k,在线观看,b站在线观看,U01,U01,按线索查找或获取影音书资源,331.0,True
assistant_top1k,在线观看,日韩剧欧美在线观看电视剧,U01,U09,按线索查找或获取影音书资源,299.0,True
assistant_top1k,免费观看,两个人免费观看在线看韩剧大全一对,U13,U09,按线索查找或获取影音书资源,273.0,True
assistant_top1k,免费观看,国产免费观看高清电视剧网站百度,U13,U08,按线索查找或获取影音书资源,270.0,True
assistant_top1k,电视剧,免费b站看大片真人电视剧免费,U02,U09,按线索查找或获取影音书资源,249.0,True
assistant_top1k,免费观看,老牛在线影院电视剧免费观看韩剧,U13,U09,按线索查找或获取影音书资源,194.0,True
assistant_top1k,cctv5,cctv5节目表,U01,U03,按线索查找或获取影音书资源,193.0,False
assistant_top1k,在线观看免费,77影视在线观看免费观看电视剧百度,U13,U09,按线索查找或获取影音书资源,188.0,True
assistant_top1k,樱花动漫,樱花动漫网imomoe官网下载,U02,U01,前往官方入口或话题聚合页,181.0,False
assistant_top1k,电影网,8090电影网,U01,U01,残缺或不可独立解释输入,170.0,False
assistant_top1k,在线观看,秘密在线观看播放韩剧TV在线观看,U01,U09,按线索查找或获取影音书资源,169.0,True
assistant_top1k,免费高清视频,免费高清视频在线观看爱奇艺电视剧,U09,U09,按线索查找或获取影音书资源,168.0,True
assistant_top1k,cctv5,cctv5 节目表,U01,U03,按线索查找或获取影音书资源,166.0,False
assistant_top1k,在线观看,60分钟免费观看电视剧在线观看韩剧TV,U01,U09,按线索查找或获取影音书资源,162.0,True
assistant_top1k,电视剧,九门电视剧免费,U02,U09,按线索查找或获取影音书资源,145.0,True
assistant_top1k,免费观看,农夫影院在线播放免费观看电视剧,U13,U09,按线索查找或获取影音书资源,137.0,True
assistant_top1k,抖音极速版,下载抖音极速版,U01,U01,前往官方入口或话题聚合页,134.0,False
assistant_top1k,在线观看,在线观看电影,U01,U09,按线索查找或获取影音书资源,129.0,True
assistant_top1k,cctv5,cctv5今日赛程,U01,U08,核验真伪、传闻与进展,128.0,False
assistant_top1k,西瓜视频,西瓜视频免费,U01,U01,按线索查找或获取影音书资源,128.0,False
assistant_top1k,在线观看免费,星空在线观看免费高清韩剧TV,U13,U09,按线索查找或获取影音书资源,127.0,True
assistant_top1k,免费观看,韩国在线高清免费观看完整版韩剧TV,U13,U09,按线索查找或获取影音书资源,125.0,True
assistant_top1k,cctv5,cctv5直播,U01,U01,核验真伪、传闻与进展,124.0,False
assistant_top1k,在线观看,老王影院高清在线观看电视剧视频,U01,U09,按线索查找或获取影音书资源,121.0,True
assistant_top1k,哔哩哔哩,欧美mv哔哩哔哩,U01,U09,按线索查找或获取影音书资源,105.0,False
assistant_top1k,电视剧,日本免费高清观看电视剧百度云下载,U02,U09,按线索查找或获取影音书资源,104.0,True
assistant_top1k,在线观看,飘雪影院日剧在线观看,U01,U09,按线索查找或获取影音书资源,104.0,True
assistant_top1k,在线观看,战争片《营》在线观看,U01,U09,按线索查找或获取影音书资源,271.0,True
assistant_top1k,在线观看,三年片段在线观看视频,U01,U09,按线索查找或获取影音书资源,239.0,True
assistant_top1k,在线观看,《血战》美国战争片在线观看,U01,U09,按线索查找或获取影音书资源,204.0,True
assistant_top1k,免费观看,空枪电影朱一龙版免费观看,U13,U09,按线索查找或获取影音书资源,172.0,True
assistant_top1k,免费观看,杨思明敏武大郎水浒传电影免费观看,U13,U09,按线索查找或获取影音书资源,139.0,True
assistant_top1k,在线观看电影,人间中毒完整版在线观看电影,U09,U09,按线索查找或获取影音书资源,136.0,True
assistant_top1k,韩国电影,韩国电影《燃烧》,U08,U02,按线索查找或获取影音书资源,130.0,False
assistant_top1k,在线观看,驭女心经电影在线观看完整版国语,U01,U12,按线索查找或获取影音书资源,122.0,True
assistant_top1k,实时票房,牛来实时票房,U03,U03,核验真伪、传闻与进展,114.0,False
assistant_top1k,电视剧,早春晴朗电视剧,U02,U02,按线索查找或获取影音书资源,7848.0,True
assistant_top1k,免费观看,早春晴朗电视剧免费观看全集在线播放男主叫什么,U13,U03,按线索查找或获取影音书资源,2440.0,True
assistant_top1k,电视剧,《早春晴朗》电视剧,U02,U02,按线索查找或获取影音书资源,2230.0,True
assistant_top1k,免费观看,早春晴朗电视剧免费观看全集高清完整,U13,U09,按线索查找或获取影音书资源,1098.0,True
assistant_top1k,免费观看,早春晴朗全集免费观看电视剧完整版,U13,U09,按线索查找或获取影音书资源,690.0,True
assistant_top1k,免费观看,《早春晴朗》免费观看全集,U13,U09,按线索查找或获取影音书资源,646.0,True
assistant_top1k,在线观看,《我的健身教练》完整版在线观看,U01,U09,按线索查找或获取影音书资源,635.0,True
assistant_top1k,电视剧,电视剧醒来全部演员表,U02,U08,按线索查找或获取影音书资源,624.0,True
assistant_top1k,电视剧,花开锦绣 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,584.0,True
assistant_top1k,免费观看,《女医生》免费观看全集,U13,U09,按线索查找或获取影音书资源,538.0,True
assistant_top1k,电视剧,重器 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,495.0,True
assistant_top1k,电视剧,电视剧早春晴朗,U02,U02,按线索查找或获取影音书资源,470.0,True
assistant_top1k,免费观看,早春晴朗免费观看电视剧完整版,U13,U09,按线索查找或获取影音书资源,448.0,True
assistant_top1k,电视剧,藏锋 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,448.0,True
assistant_top1k,在线观看免费,韩剧《更衣室》在线观看免费换,U13,U09,按线索查找或获取影音书资源,428.0,True
assistant_top1k,电视剧,我们的少年时代2 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,419.0,True
assistant_top1k,电视剧,金瓶梅电视剧全集电视剧免费播放在线高清版,U02,U09,按线索查找或获取影音书资源,391.0,True
assistant_top1k,电视剧,电视剧醒来,U02,U02,按线索查找或获取影音书资源,376.0,True
assistant_top1k,在线观看免费,17在线观看免费高清电视剧狂飙,U13,U09,按线索查找或获取影音书资源,355.0,True
assistant_top1k,免费观看,早春晴朗全剧免费观看,U13,U09,按线索查找或获取影音书资源,350.0,True
assistant_top1k,免费观看,藏锋电视剧在线播放免费观看2026,U13,U09,按线索查找或获取影音书资源,296.0,True
assistant_top1k,电视剧,电视剧醒来演员表,U02,U08,按线索查找或获取影音书资源,295.0,True
assistant_top1k,在线观看,韩剧《左邻右舍》在线观看,U01,U09,按线索查找或获取影音书资源,288.0,True
assistant_top1k,在线观看,激战的后厨1-6集在线观看百度云,U01,U09,按线索查找或获取影音书资源,272.0,True
assistant_top1k,在线观看,母亲韩剧结局在线观看全集,U01,U09,按线索查找或获取影音书资源,259.0,True
assistant_top1k,电视剧,早春晴朗 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,258.0,True
assistant_top1k,电视剧,醒来电视剧演员表,U02,U08,按线索查找或获取影音书资源,253.0,True
assistant_top1k,免费观看,醒来电视剧全集免费观看在线播放,U13,U09,按线索查找或获取影音书资源,246.0,True
assistant_top1k,免费观看,花开锦绣电视剧免费观看高清版,U13,U09,按线索查找或获取影音书资源,237.0,True
assistant_top1k,在线观看,韩剧HD免费版在线观看,U01,U09,按线索查找或获取影音书资源,233.0,True
assistant_top1k,在线观看,醒来电视剧在线观看完整版高清,U01,U09,按线索查找或获取影音书资源,230.0,True
assistant_top1k,在线观看,韩剧《初次尝鲜》在线观看完整版,U01,U09,按线索查找或获取影音书资源,227.0,True
assistant_top1k,在线观看,醒来电视剧全集免费播放欧豪在线观看爱奇艺视频,U01,U09,按线索查找或获取影音书资源,221.0,True
assistant_top1k,免费观看,早春晴朗电视剧免费观看全,U13,U09,按线索查找或获取影音书资源,213.0,True
assistant_top1k,电视剧,花开锦绣电视剧全集,U02,U09,按线索查找或获取影音书资源,213.0,True
assistant_top1k,电视剧,醒来欧豪电视剧,U02,U09,按线索查找或获取影音书资源,202.0,True
assistant_top1k,免费观看,花开锦绣电视剧高清免费观看,U13,U09,按线索查找或获取影音书资源,201.0,True
assistant_top1k,电视剧,九门 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,196.0,True
assistant_top1k,电视剧,"井柏然,孙千早春晴朗电视剧",U02,U04,按线索查找或获取影音书资源,193.0,True
assistant_top1k,电视剧,师兄太稳健 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,191.0,True
assistant_top1k,在线观看,花开锦绣电视剧全集免费播放在线观看,U01,U09,按线索查找或获取影音书资源,190.0,True
assistant_top1k,免费观看,《早春晴朗》电视剧免费观看,U13,U09,按线索查找或获取影音书资源,187.0,True
assistant_top1k,免费观看,师兄太稳健免费观看完整版电视剧全集,U13,U09,按线索查找或获取影音书资源,186.0,True
assistant_top1k,免费观看,花开锦绣全集免费观看电视剧完整版高清,U13,U09,按线索查找或获取影音书资源,184.0,True
assistant_top1k,在线观看,《我的男家教》韩剧在线观看完整版,U01,U09,按线索查找或获取影音书资源,181.0,True
assistant_top1k,在线观看,韩剧《初次尝鲜》看全集吗在线观看,U01,U09,按线索查找或获取影音书资源,173.0,True
assistant_top1k,电视剧,电视剧醒来剧情介绍,U02,U04,按线索查找或获取影音书资源,171.0,True
assistant_top1k,电视剧,重器电视剧,U02,U02,残缺或不可独立解释输入,170.0,True
assistant_top1k,电视剧,《九门》电视剧,U02,U02,残缺或不可独立解释输入,167.0,True
assistant_top1k,电视剧,醒来的电视剧,U02,U02,按线索查找或获取影音书资源,167.0,True
assistant_top1k,免费观看,哪里可以免费观看《醒来》全集,U13,U09,按线索查找或获取影音书资源,165.0,True
assistant_top1k,电视剧,我的继父是偶像 电视剧,U02,U02,按线索查找或获取影音书资源,163.0,True
assistant_top1k,电视剧,潘金莲1988年版电视剧,U02,U02,按线索查找或获取影音书资源,158.0,True
assistant_top1k,电视剧,醒来电视剧,U02,U02,按线索查找或获取影音书资源,158.0,True
assistant_top1k,免费观看,早春晴朗电视剧免费观看,U13,U09,按线索查找或获取影音书资源,148.0,True
assistant_top1k,电视剧,主角 电视剧,U02,U02,按线索查找或获取影音书资源,143.0,True
assistant_top1k,电视剧,《醒来》电视剧的结局是什么,U02,U04,按线索查找或获取影音书资源,141.0,True
assistant_top1k,电视剧,日剧《太想被你爱了》电视剧在线观,U02,U09,按线索查找或获取影音书资源,141.0,True
assistant_top1k,免费观看,醒来电视剧免费观看全集完整版高清下载,U13,U09,按线索查找或获取影音书资源,138.0,True
assistant_top1k,在线观看免费,浴火在线观看免费高清电视剧,U13,U09,按线索查找或获取影音书资源,137.0,True
assistant_top1k,电视剧,醒来 电视剧 在线看,U02,U09,按线索查找或获取影音书资源,137.0,True
assistant_top1k,电视剧,《蝉》电视剧的结局是什么,U02,U04,按线索查找或获取影音书资源,136.0,True
assistant_top1k,电视剧,电视剧重器,U02,U02,残缺或不可独立解释输入,131.0,True
assistant_top1k,免费观看,醒来电视剧全集免费观看在线播放下载,U13,U09,按线索查找或获取影音书资源,130.0,True
assistant_top1k,电视剧,《电视剧》分集剧情,U02,U13,按线索查找或获取影音书资源,128.0,True
assistant_top1k,电视剧,电视剧醒来的演员表,U02,U08,按线索查找或获取影音书资源,128.0,True
assistant_top1k,免费观看,XL上司令第二季免费观看百度,U13,U09,按线索查找或获取影音书资源,127.0,True
assistant_top1k,问心2,问心2演员表,U02,U08,按线索查找或获取影音书资源,127.0,False
assistant_top1k,电视剧,我的继父是偶像电视剧观看,U02,U09,按线索查找或获取影音书资源,126.0,True
assistant_top1k,日剧《卖房子的女人》,日剧《卖房子的女人》片段,U02,U09,按线索查找或获取影音书资源,125.0,False
assistant_top1k,电视剧,《早春晴朗》电视剧24,U02,U09,按线索查找或获取影音书资源,123.0,True
assistant_top1k,在线观看,《无法拒绝的她》韩剧国语在线观看,U01,U09,按线索查找或获取影音书资源,122.0,True
assistant_top1k,电视剧,《花开锦绣》电视剧,U02,U02,按线索查找或获取影音书资源,121.0,True
assistant_top1k,天官赐福,张凌赫《天官赐福》,U02,U02,按线索查找或获取影音书资源,121.0,False
assistant_top1k,在线观看,《特殊诊疗室》完整版在线观看日剧,U01,U09,按线索查找或获取影音书资源,120.0,True
assistant_top1k,电视剧,这是哪部电视剧,U02,U13,按线索查找或获取影音书资源,118.0,True
assistant_top1k,免费观看,九门免费观看,U13,U09,按线索查找或获取影音书资源,113.0,True
assistant_top1k,免费观看,哪里可以免费观看《早春晴朗》全集,U13,U09,按线索查找或获取影音书资源,113.0,True
assistant_top1k,电视剧,飞到我心上电视剧,U02,U02,按线索查找或获取影音书资源,111.0,True
assistant_top1k,电视剧,《上甘岭》24集电视剧,U02,U02,按线索查找或获取影音书资源,109.0,True
assistant_top1k,在线观看,醒来电视剧全集免费播放欧豪在线观看爱奇艺,U01,U09,按线索查找或获取影音书资源,108.0,True
assistant_top1k,西游记,《后西游记》 边审边播,U02,U05,核验真伪、传闻与进展,106.0,False
assistant_top1k,老九门,老九门演员表全部,U02,U08,核查人物或机构背景,106.0,False
assistant_top1k,在线观看,韩剧《干柴与烈火》在线观看墨西哥,U01,U09,按线索查找或获取影音书资源,106.0,True
assistant_top1k,电视剧,天才女友电视剧,U02,U02,按线索查找或获取影音书资源,104.0,True
assistant_top1k,在线观看免费,重器电视剧在线观看免费观看,U13,U09,按线索查找或获取影音书资源,101.0,True
assistant_top1k,在线观看免费版高清,在线观看免费版高清短剧,U09,U09,按线索查找或获取影音书资源,349.0,False
assistant_top1k,在线观看,糖糖vlog原版视频百度在线观看,U01,U09,按线索查找或获取影音书资源,185.0,True
assistant_top1k,奥特曼,美女穿奥特曼皮套的过程,U02,U09,通用操作与生活指南,139.0,False
assistant_random1k,在线观看,乐园侵触之死亡岛第一季动漫在线观看,U01,U09,按线索查找或获取影音书资源,3.0,True
assistant_random1k,免费观看,喜羊羊与灰太狼奇妙大营救免费观看,U13,U09,按线索查找或获取影音书资源,2.0,True
assistant_random1k,动画片,杭州新闻综合频道:天天成长记动画片播放完了也播出小小智慧树,U02,U13,按线索查找或获取影音书资源,2.0,True
assistant_random1k,鬼灭之刃,鬼灭之刃最新一集,U02,U09,按线索查找或获取影音书资源,2.0,False
assistant_random1k,奥特曼,《梦比优斯奥特曼外传：复活的恶灵》一共登场了几个反派,U02,U03,虚构续写与角色扮演,1.0,False
assistant_random1k,奥特曼,《泰迦奥特曼》结局,U02,U04,核验真伪、传闻与进展,1.0,False
assistant_random1k,奥特曼,不是我说的是雷杰多、诺亚、罗布、格罗布、令迦这些奥特曼是没有的（赛罗奥特曼宇宙升华里面的记录墙里面没有这些奥特曼）,U02,U11,虚构续写与角色扮演,1.0,False
assistant_random1k,假面骑士,不过你忘了一个人就是假面骑士幻梦的变身者，我记得他后面也加入主角团了,U02,U11,虚构续写与角色扮演,1.0,False
assistant_random1k,咒术回战,假如在咒术回战里，5条悟(13岁)还有一个姐姐，叫做五条忆(14岁)，白色的长发，湛蓝色的眼睛，他的术式比谁都强，比五条悟还强，甚至体术也强的能吊打五条悟和夏油杰，他打破了女性不能调皮捣蛋的性格，他会偷偷跟着五条悟和夏油杰去逃课，虽然说每次都会被抓到，五条忆的战力强到离谱，他还放话说：你俩放心吧！就算你俩死了，我也可以去地府把你俩给捞回来的~只不过，我只要还活着，你们就大概不会死的啦。剩下的自己编,U02,U10,虚构续写与角色扮演,1.0,False
assistant_random1k,小猪佩奇,假如棘斯拉穿越到了各个动画世界里，然后又消失了，这些动画分别是熊出没、非人哉、小猪佩奇、海绵宝宝、猫和老鼠、变形金刚、奥特曼、喜羊羊与灰太狼、巴啦啦小魔仙、小马宝莉、西游记、哪吒、漫威、超级飞侠、猪猪侠、功夫熊猫、我是不白吃，动画角色们只在一瞬间目击到棘斯拉，写一写动画角色们的描述,U02,U10,虚构续写与角色扮演,1.0,False
assistant_random1k,蜡笔小新,假如蜡笔小新里的美伢和广智看到原版的邋遢大王奇遇记和修复版的是什么反应？,U02,U10,虚构续写与角色扮演,1.0,False
assistant_random1k,假面骑士,假面骑士Black/RX,U02,U02,解释含义或识别指称,1.0,False
assistant_random1k,奥特曼,圆古精准拿捏到了所有奥圈粉丝的爱好所以奥特曼观众的爱好只要能把这两个人气王同时给塞到跟奥特曼毫无相干的作品里面百兽战队这个作品里面要能把那些喜欢奥特曼的观众给吸引过来也能把奥圈粉丝给吸引过来捧红这副作品只要圆古点让鹤野刚士回归客串作品质量才会嘎嘎的好,U02,U13,虚构续写与角色扮演,1.0,False
assistant_random1k,熊出没,在熊出没第一部光头强为何开枪不打死熊大熊二？,U02,U04,解释含义或识别指称,1.0,False
assistant_random1k,鬼灭之刃,天神古兹的光头强打得过鬼灭之刃的无惨吗？,U02,U07,核验真伪、传闻与进展,1.0,False
assistant_random1k,奥特曼,奥特曼中所有借力量的变身器,U02,U08,枚举清单或建议推荐,1.0,False
assistant_random1k,奥特曼,奥美迦奥特曼第27集,U02,U02,按线索查找或获取影音书资源,1.0,False
assistant_random1k,奥特曼,女奥特曼变成黑暗妖力女战士,U02,U10,索取或生成成人、色情或暴力内容,1.0,False
assistant_random1k,奥特曼,如果 黑暗特利迦和欧布奥特曼联手打合成兽斯菲亚雷德王 能赢吗,U02,U07,核验真伪、传闻与进展,1.0,False
assistant_random1k,奥特曼,小时候幼儿园老师给学生放雷欧奥特曼的时候为什么只放一集就不放了,U02,U04,解释含义或识别指称,1.0,False
assistant_random1k,熊出没,小时候熊出没看多了，一看到有人在锯树，就说哎呦妈呀，这哪来的光头强呀？,U02,U13,解释含义或识别指称,1.0,False
assistant_random1k,小猪佩奇,小猪佩奇 第十一季 2025中文版 T,U02,U02,索取或生成成人、色情或暴力内容,1.0,False
assistant_random1k,小猪佩奇,小猪佩奇中乔治的寓意有哪些解读,U02,U04,解释含义或识别指称,1.0,False
assistant_random1k,奥特曼,小马宝莉中的苹果嘉儿和珍奇到底有多少个形态详细分析到底有多少个形态？奥特曼中的安培拉星人和基里艾洛德人二代有多强这些全部实力和神兽金刚中的咒冥帝谁能赢？,U02,U07,解释含义或识别指称,1.0,False
assistant_random1k,西游记,张涵予动画片西游记孙悟空图片猴子,U02,U09,按线索查找或获取影音书资源,1.0,False
assistant_random1k,动画片,我们就在动画片里呀,U02,U13,无内容社交与情绪表达轮,1.0,True
assistant_random1k,熊出没,我来问你下，但是呢，熊出没有哪些危险动作，请问都把清单放出来,U02,U08,无内容社交与情绪表达轮,1.0,False
assistant_random1k,熊出没,我要看韩语版熊出没之过年,U02,U09,按线索查找或获取影音书资源,1.0,False
assistant_random1k,奥特曼,所以你就明白吧，别的奥特曼借那个挂逼的力量也就10秒，真男人你就这么说吧，那赛罗的福利咋不好,U02,U13,虚构续写与角色扮演,1.0,False
assistant_random1k,斗罗大陆,斗罗大陆有哪些斗罗称号,U02,U08,枚举清单或建议推荐,1.0,False
assistant_random1k,斗罗大陆,斗罗大陆魂导师的战斗力是不是也确实不行一个九级魂导师还打不过一位超级斗罗魂导师都疏于了魂力修炼仙琳儿魂力是够高了但只是个八级魂导器霍雨浩也没有能配合自身武魂战斗的魂导器要说有就是那件冰极战神甲那是件斗铠是几字斗铠来着孔德明是太依赖魂导器了放弃了自身优势双生武魂这么好的天赋就这样被他浪费了如果孔德明不这样霍雨浩还真的不是他的对手在明德堂的时候镜红尘能跟毒不死抗衡是毒不死没用武魂不然哪有这么容易还真以为九级魂导师很强了能对抗一个没开武魂的人有什么自傲的日月帝国的人还观看玄子和帝天的战力他学的会吗又能看懂领悟多少帝天的阴阳互补双魂核就很难让他受到重创远远超乎你的想象钟离乌自己不也被帝天伤的很重侥幸逃回来罢了从这场战斗中感悟到了什么他们都答不出开吧圣灵教跟日月帝国本来也不是盟友圣灵教不过是在利用他们要我是霍雨浩我不会相信橘子这样的人我会隐瞒部分计划从某种角度来看日月帝国比圣灵教威胁更大霍雨浩可以放出他闭关冲击极限斗罗的假消息以防橘子毁约万一她违背了十年内不发动战争的约定呢,U02,U04,虚构续写与角色扮演,1.0,False
assistant_random1k,免费观看,日漫僧侣也要谈恋爱免费观看,U13,U09,按线索查找或获取影音书资源,1.0,True
assistant_random1k,熊出没,是不是和熊出没一起出的？,U02,U13,核验真伪、传闻与进展,1.0,False
assistant_random1k,熊出没,熊出没吉吉和毛毛蹦蹦偷拿光头强的泡菜是不对的吗？,U02,U07,核验真伪、传闻与进展,1.0,False
assistant_random1k,熊出没,熊出没的熊大熊二的台词,U02,U09,按线索查找或获取影音书资源,1.0,False
assistant_random1k,奥特曼,盖迪在《迪迦奥特曼》中有哪些经典战斗场景,U02,U08,枚举清单或建议推荐,1.0,False
assistant_random1k,假面骑士,石黑英雄假面骑士,U02,U02,解释含义或识别指称,1.0,False
assistant_random1k,小猪佩奇,第几季第几集？小猪佩奇去露营了,U02,U09,核验真伪、传闻与进展,1.0,False
assistant_random1k,奥特曼,维克特利奥，你说听维克特利奥特曼不会说一句，确定到底是谁在？,U02,U13,无内容社交与情绪表达轮,1.0,False
assistant_random1k,免费观看,羊守12之古古怪界有古怪免费观看,U13,U09,按线索查找或获取影音书资源,1.0,True
assistant_random1k,蜡笔小新,蜡笔小新勇士三岛,U02,U02,枚举清单或建议推荐,1.0,False
assistant_random1k,动画片,要严格贴合动画片《超兽武装》里的雪皇形象,U02,U13,虚构续写与角色扮演,1.0,True
assistant_random1k,咒术回战,这个名场面在《咒术回战》中有什么背景故事,U02,U04,按线索查找或获取影音书资源,1.0,False
assistant_random1k,奥特曼,迪迦奥特曼中胜利2号不止一架。,U02,U05,核验真伪、传闻与进展,1.0,False
assistant_random1k,电视剧,张予曦演了哪些电视剧？,U02,U08,核查人物或机构背景,3.0,True
assistant_random1k,电影票房,2011到2025全球电影票房榜,U03,U08,枚举清单或建议推荐,1.0,False
assistant_random1k,电视剧,2017年6月11日电视剧和7月9日综艺,U02,U08,残缺或不可独立解释输入,1.0,True
assistant_random1k,电视剧,农村电视剧免费连续剧大全,U02,U08,按线索查找或获取影音书资源,1.0,True
assistant_random1k,电视剧,刘浩存演过哪些电视剧,U02,U08,核查人物或机构背景,1.0,True
assistant_random1k,电视剧,刚看的韩国电视剧,U02,U13,按线索查找或获取影音书资源,1.0,True
assistant_random1k,电视剧,历年的口碑电视剧,U02,U08,枚举清单或建议推荐,1.0,True
assistant_random1k,电视剧,唐山大地震陈小艺电视剧,U02,U02,核验真伪、传闻与进展,1.0,True
assistant_random1k,四渡赤水,四渡赤水电影，介绍,U02,U04,按线索查找或获取影音书资源,1.0,False
assistant_random1k,电视剧,张丰毅最经典的电视剧是哪部,U02,U08,按线索查找或获取影音书资源,1.0,True
