view,frm,to,code,name,p1,p2,diff,lo,hi
all,assistant_top1k,assistant_random1k,U11,会话与系统指令,0.013612565445026177,0.03054989816700611,0.016937332721979934,0.003776758558215165,0.03085804126184534
all,assistant_top1k,assistant_random1k,U12,违规或灰色内容,0.010471204188481676,0.010183299389002037,-0.000287904799479639,-0.010145919049682015,0.009426101014934489
all,assistant_top1k,assistant_random1k,U13,无法判定,0.13298429319371727,0.18126272912423624,0.048278435930518976,0.01585617458621627,0.08059135146445225
interp,search_top1000,assistant_top1k,U01,导航直达,0.14184397163120568,0.04468599033816425,-0.09715798129304143,-0.12328331523419311,-0.07106133620788442
interp,search_top1000,assistant_top1k,U02,裸实体,0.3698074974670719,0.3357487922705314,-0.03405870519654053,-0.07784025691846416,0.010140007286472713
interp,search_top1000,assistant_top1k,U03,事实与数值,0.022289766970618033,0.013285024154589372,-0.009004742816028661,-0.02166661251603524,0.0037886318464131763
interp,search_top1000,assistant_top1k,U04,解释与介绍,0.008105369807497468,0.08695652173913043,0.07885115193163296,0.0598386894103972,0.10037540068016833
interp,search_top1000,assistant_top1k,U05,核实与动态,0.0,0.020531400966183576,0.020531400966183576,0.011933771242887642,0.03263375630969917
interp,search_top1000,assistant_top1k,U06,办事与操作,0.0010131712259371835,0.0012077294685990338,0.0001945582426618503,-0.00461298622414779,0.005857889918345186
interp,search_top1000,assistant_top1k,U07,个案判断与建议,0.0,0.0,0.0,-0.0038771081068861056,0.004618186924049001
interp,search_top1000,assistant_top1k,U08,清单与推荐,0.0486322188449848,0.12198067632850242,0.07334845748351762,0.047743722703521646,0.10012217841826458
interp,search_top1000,assistant_top1k,U09,获取现成内容,0.3768996960486322,0.30434782608695654,-0.07255186996167567,-0.11571033142117848,-0.028755747931821833
interp,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.043478260869565216,0.043478260869565216,0.030953326614782752,0.05960461068588689
interp,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.01570048309178744,0.01570048309178744,0.008129848056011552,0.02667615766183096
interp,search_top1000,assistant_top1k,U12,违规或灰色内容,0.031408308004052685,0.012077294685990338,-0.01933101331806235,-0.033290118432918875,-0.005738496100478243
interp,search_top1000,assistant_top1k,U13,无法判定,0.0,0.0,0.0,-0.0038771081068861056,0.004618186924049001
interp,assistant_top1k,assistant_random1k,U01,导航直达,0.04468599033816425,0.009950248756218905,-0.03473574158194534,-0.05175647280464829,-0.019318573964403667
interp,assistant_top1k,assistant_random1k,U02,裸实体,0.3357487922705314,0.09701492537313433,-0.23873386689739706,-0.2764852538612861,-0.20019937600638935
interp,assistant_top1k,assistant_random1k,U03,事实与数值,0.013285024154589372,0.09328358208955224,0.07999855793496287,0.05905070171892918,0.10284309639662378
interp,assistant_top1k,assistant_random1k,U04,解释与介绍,0.08695652173913043,0.1791044776119403,0.09214795587280986,0.05943188410676922,0.12509005814721635
interp,assistant_top1k,assistant_random1k,U05,核实与动态,0.020531400966183576,0.053482587064676616,0.03295118609849304,0.014793305632261243,0.05231963242219091
interp,assistant_top1k,assistant_random1k,U06,办事与操作,0.0012077294685990338,0.026119402985074626,0.024911673516475594,0.014333475327676617,0.03842863077076231
interp,assistant_top1k,assistant_random1k,U07,个案判断与建议,0.0,0.03855721393034826,0.03855721393034826,0.026384177193173354,0.054208892794123935
interp,assistant_top1k,assistant_random1k,U08,清单与推荐,0.12198067632850242,0.15049751243781095,0.028516836109308538,-0.0047989936030675626,0.06196018671870896
interp,assistant_top1k,assistant_random1k,U09,获取现成内容,0.30434782608695654,0.21766169154228857,-0.08668613454466798,-0.12879083770202368,-0.04410984358057306
interp,assistant_top1k,assistant_random1k,U10,生成与编辑,0.043478260869565216,0.0845771144278607,0.041098853558295484,0.017438081257991626,0.06547178925510068
interp,assistant_top1k,assistant_random1k,U11,会话与系统指令,0.01570048309178744,0.03731343283582089,0.021612949744033452,0.006035925424010911,0.038379185554077266
interp,assistant_top1k,assistant_random1k,U12,违规或灰色内容,0.012077294685990338,0.012437810945273632,0.00036051625928329445,-0.011143578432048927,0.012043551911322206
interp,assistant_top1k,assistant_random1k,U13,无法判定,0.0,0.0,0.0,-0.004618186924049001,0.004755387689863953
