domain,surface,code,name,n,k,share,lo,hi,pv_share
金融,assistant_top1k,U11,会话与系统指令,950,0,0.0,-4.336808689942018e-19,0.0040275030990470535,0.0
金融,assistant_top1k,U12,违规或灰色内容,950,0,0.0,-4.336808689942018e-19,0.0040275030990470535,0.0
金融,assistant_top1k,U13,无法判定,950,44,0.04631578947368421,0.034680608598917806,0.06160539947621753,0.03460290539045793
金融,assistant_random1k,U01,导航直达,987,8,0.008105369807497468,0.00411268319239232,0.015912313739508802,
金融,assistant_random1k,U02,裸实体,987,23,0.02330293819655522,0.015577299553705456,0.03472498892509883,
金融,assistant_random1k,U03,事实与数值,987,231,0.23404255319148937,0.2086900034079902,0.2614573945212045,
金融,assistant_random1k,U04,解释与介绍,987,90,0.0911854103343465,0.07477568836410545,0.11076516902419961,
金融,assistant_random1k,U05,核实与动态,987,107,0.10840932117527863,0.09050969039658971,0.12934543074487226,
金融,assistant_random1k,U06,办事与操作,987,108,0.1094224924012158,0.09144028437556595,0.1304333228690229,
金融,assistant_random1k,U07,个案判断与建议,987,241,0.24417426545086118,0.21839830407196045,0.271933954888503,
金融,assistant_random1k,U08,清单与推荐,987,80,0.08105369807497467,0.0656069450196786,0.09974905133735769,
金融,assistant_random1k,U09,获取现成内容,987,12,0.0121580547112462,0.0069683380428229875,0.021130603301585643,
金融,assistant_random1k,U10,生成与编辑,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995,
金融,assistant_random1k,U11,会话与系统指令,987,9,0.00911854103343465,0.004804558194385939,0.01723892484064206,
金融,assistant_random1k,U12,违规或灰色内容,987,3,0.00303951367781155,0.0010342169923891007,0.008898349423877636,
金融,assistant_random1k,U13,无法判定,987,74,0.07497467071935157,0.06014205530535263,0.0931030244329224,
医疗,search_top1000,U01,导航直达,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0007707072487611884
医疗,search_top1000,U02,裸实体,1000,44,0.044,0.03293803969043349,0.058552091820354674,0.04148549660183716
医疗,search_top1000,U03,事实与数值,1000,33,0.033,0.023592783250793958,0.045981540028894805,0.03631284642654288
医疗,search_top1000,U04,解释与介绍,1000,784,0.784,0.7574329030779414,0.8083934185249888,0.7915442544607008
医疗,search_top1000,U05,核实与动态,1000,7,0.007,0.0033948250792319975,0.01437849692694906,0.0081673423820436
医疗,search_top1000,U06,办事与操作,1000,40,0.04,0.02951080927390945,0.05400993742556984,0.03215279001899837
医疗,search_top1000,U07,个案判断与建议,1000,57,0.057,0.04425323441955428,0.07313739772798773,0.05087206455530094
医疗,search_top1000,U08,清单与推荐,1000,12,0.012,0.006877579092159561,0.020857473928157594,0.008436649235168537
医疗,search_top1000,U09,获取现成内容,1000,20,0.02,0.012983581129037627,0.03069024151389728,0.020007540591887498
医疗,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
医疗,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
医疗,search_top1000,U12,违规或灰色内容,1000,0,0.0,0.0,0.003826898586390522,0.0
医疗,search_top1000,U13,无法判定,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.010250308478759034
医疗,assistant_top1k,U01,导航直达,958,10,0.010438413361169102,0.005679625568108352,0.019107823841440993,0.008597936647988786
医疗,assistant_top1k,U02,裸实体,958,203,0.21189979123173278,0.18719865744973316,0.23890227226676067,0.19186270802537747
医疗,assistant_top1k,U03,事实与数值,958,45,0.04697286012526096,0.035288877981278506,0.06227562744248357,0.051484490483447734
医疗,assistant_top1k,U04,解释与介绍,958,345,0.36012526096033404,0.330341363203361,0.39102647948508157,0.31365853472214267
医疗,assistant_top1k,U05,核实与动态,958,15,0.015657620041753653,0.009511269453352565,0.025672902243941455,0.02202767687647771
医疗,assistant_top1k,U06,办事与操作,958,84,0.08768267223382047,0.07137925941963277,0.10727967984853778,0.09959244787190565
医疗,assistant_top1k,U07,个案判断与建议,958,78,0.081419624217119,0.06572743757804364,0.1004554349448333,0.0985382361816147
医疗,assistant_top1k,U08,清单与推荐,958,23,0.024008350730688934,0.01605037896890853,0.035768548388776966,0.04587730656552346
医疗,assistant_top1k,U09,获取现成内容,958,22,0.022964509394572025,0.01521349049470148,0.03452609240543508,0.04294384794906171
医疗,assistant_top1k,U10,生成与编辑,958,13,0.013569937369519834,0.007947200162196775,0.023078282619999377,0.010381693384821644
医疗,assistant_top1k,U11,会话与系统指令,958,2,0.0020876826722338203,0.000572692718093295,0.0075800010310645705,0.003842525218959004
医疗,assistant_top1k,U12,违规或灰色内容,958,3,0.003131524008350731,0.0010655406340600929,0.009166497572646707,0.0022841253289637023
医疗,assistant_top1k,U13,无法判定,958,115,0.12004175365344467,0.10096327469583809,0.14215534275634945,0.10890847074371579
医疗,assistant_random1k,U01,导航直达,998,1,0.001002004008016032,0.00017689566411348105,0.005653966220639558,
医疗,assistant_random1k,U02,裸实体,998,19,0.01903807615230461,0.0122212963235922,0.029543389830386638,
医疗,assistant_random1k,U03,事实与数值,998,87,0.0871743486973948,0.07121769819713397,0.10629699075169788,
医疗,assistant_random1k,U04,解释与介绍,998,225,0.22545090180360722,0.20060567648282546,0.2524016651967375,
医疗,assistant_random1k,U05,核实与动态,998,94,0.09418837675350701,0.07759034600419679,0.11389860793822285,
医疗,assistant_random1k,U06,办事与操作,998,51,0.05110220440881764,0.039079334520942574,0.06656770588943768,
医疗,assistant_random1k,U07,个案判断与建议,998,336,0.3366733466933868,0.3080295382209924,0.366569719785463,
医疗,assistant_random1k,U08,清单与推荐,998,45,0.045090180360721446,0.03386740815155018,0.05980169083575482,
医疗,assistant_random1k,U09,获取现成内容,998,9,0.009018036072144289,0.00475152368675049,0.017049926762102905,
医疗,assistant_random1k,U10,生成与编辑,998,10,0.01002004008016032,0.005451616182295629,0.018346157837070307,
医疗,assistant_random1k,U11,会话与系统指令,998,8,0.008016032064128256,0.004067292437718945,0.015737834440621903,
医疗,assistant_random1k,U12,违规或灰色内容,998,1,0.001002004008016032,0.00017689566411348105,0.005653966220639558,
医疗,assistant_random1k,U13,无法判定,998,112,0.11222444889779559,0.09410918231376417,0.13331359589788128,
教育,search_top1000,U01,导航直达,1000,96,0.096,0.0792566195200465,0.11583551453775706,0.11322047479510218
教育,search_top1000,U02,裸实体,1000,759,0.759,0.7315325254793826,0.7844851410528672,0.7379061148903835
教育,search_top1000,U03,事实与数值,1000,55,0.055,0.04249722594783333,0.07090871379405425,0.044458100533415874
教育,search_top1000,U04,解释与介绍,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.02016903928660993
教育,search_top1000,U05,核实与动态,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0005782249142791731
教育,search_top1000,U06,办事与操作,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.005895966207204541
教育,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
教育,search_top1000,U08,清单与推荐,1000,13,0.013,0.0076127471221297755,0.022114652101014598,0.010853879596974675
教育,search_top1000,U09,获取现成内容,1000,30,0.03,0.021093603189697094,0.04250368148151,0.04741594915717581
教育,search_top1000,U10,生成与编辑,1000,4,0.004,0.0015565629678934295,0.010239720429805971,0.002221172912444638
教育,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
教育,search_top1000,U12,违规或灰色内容,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0007973750185449187
教育,search_top1000,U13,无法判定,1000,15,0.015,0.00911089683719635,0.02460119479160246,0.016483702687864733
教育,assistant_top1k,U01,导航直达,859,34,0.03958090803259604,0.028460709625823657,0.05480092263669126,0.13095700046769546
教育,assistant_top1k,U02,裸实体,859,135,0.15715948777648428,0.13435323622338163,0.18301857338802324,0.12251230972135138
教育,assistant_top1k,U03,事实与数值,859,25,0.02910360884749709,0.01978958249618814,0.042610746834247475,0.0218895123563771
教育,assistant_top1k,U04,解释与介绍,859,14,0.01629802095459837,0.009732740626754752,0.027170440675583937,0.00946315163004949
教育,assistant_top1k,U05,核实与动态,859,2,0.002328288707799767,0.0006387197502677883,0.008449390975965159,0.004095464492129402
教育,assistant_top1k,U06,办事与操作,859,10,0.011641443538998836,0.006335437881492166,0.021296053228811278,0.004635988424822225
教育,assistant_top1k,U07,个案判断与建议,859,3,0.0034924330616996507,0.0011884164608494587,0.010217616813392302,0.0012369463470254683
教育,assistant_top1k,U08,清单与推荐,859,68,0.07916181606519208,0.06292308422661588,0.09914791466819864,0.03914758806841781
教育,assistant_top1k,U09,获取现成内容,859,50,0.05820721769499418,0.044428137723897164,0.07592025530675875,0.029269086469035945
教育,assistant_top1k,U10,生成与编辑,859,50,0.05820721769499418,0.044428137723897164,0.07592025530675875,0.03247922965667058
教育,assistant_top1k,U11,会话与系统指令,859,111,0.12922002328288706,0.10842748465894989,0.1533141838002435,0.11137182698227195
教育,assistant_top1k,U12,违规或灰色内容,859,0,0.0,0.0,0.004452265630215325,0.0
教育,assistant_top1k,U13,无法判定,859,357,0.41559953434225844,0.3830892593427535,0.4488613559266076,0.49294189538415323
教育,assistant_random1k,U01,导航直达,970,1,0.0010309278350515464,0.00018200258135636855,0.005816508880877326,
教育,assistant_random1k,U02,裸实体,970,26,0.026804123711340205,0.018356381294117007,0.03898518226200957,
教育,assistant_random1k,U03,事实与数值,970,136,0.1402061855670103,0.11977252096067327,0.16347847180858202,
教育,assistant_random1k,U04,解释与介绍,970,122,0.12577319587628866,0.10637060435146788,0.1481282792452074,
教育,assistant_random1k,U05,核实与动态,970,23,0.023711340206185566,0.01585118009938226,0.03532921720547717,
教育,assistant_random1k,U06,办事与操作,970,48,0.049484536082474224,0.037524738501995766,0.06499871089675655,
教育,assistant_random1k,U07,个案判断与建议,970,61,0.06288659793814433,0.049266632333666224,0.07995520415391037,
教育,assistant_random1k,U08,清单与推荐,970,76,0.07835051546391752,0.06305427540550015,0.09697339233841218,
教育,assistant_random1k,U09,获取现成内容,970,83,0.08556701030927835,0.06955720321819872,0.10484651911200363,
教育,assistant_random1k,U10,生成与编辑,970,199,0.20515463917525772,0.18092847905500156,0.2317070049908638,
教育,assistant_random1k,U11,会话与系统指令,970,62,0.06391752577319587,0.05017866518584579,0.08109689338548652,
教育,assistant_random1k,U12,违规或灰色内容,970,1,0.0010309278350515464,0.00018200258135636855,0.005816508880877326,
教育,assistant_random1k,U13,无法判定,970,132,0.1360824742268041,0.11593504412053868,0.1591010603136937,
影视,search_top1000,U01,导航直达,1000,140,0.14,0.11986822971832733,0.16288713726387388,0.23931763250174054
影视,search_top1000,U02,裸实体,1000,365,0.365,0.3357299509340308,0.39530331168429467,0.31429740768429987
影视,search_top1000,U03,事实与数值,1000,22,0.022,0.014572598673771597,0.03308591637481774,0.027237017532188997
影视,search_top1000,U04,解释与介绍,1000,8,0.008,0.004059147003819634,0.01570652120518864,0.0043887376586027324
影视,search_top1000,U05,核实与动态,1000,0,0.0,0.0,0.003826898586390522,0.0
影视,search_top1000,U06,办事与操作,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00039898950071684476
影视,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
影视,search_top1000,U08,清单与推荐,1000,48,0.048,0.036393116113688354,0.06306640020840869,0.026721723399684243
影视,search_top1000,U09,获取现成内容,1000,372,0.372,0.3425855843534176,0.4023941016846984,0.3623704293711488
影视,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
影视,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
影视,search_top1000,U12,违规或灰色内容,1000,31,0.031,0.02192386473850233,0.04366576613553198,0.01676020231719357
影视,search_top1000,U13,无法判定,1000,13,0.013,0.0076127471221297755,0.022114652101014598,0.008507860034424409
影视,assistant_top1k,U01,导航直达,955,37,0.0387434554973822,0.0282372537379331,0.05294570703473258,0.034235829680605206
影视,assistant_top1k,U02,裸实体,955,278,0.29109947643979056,0.26317040850633316,0.3207024647607423,0.31351613507684506
影视,assistant_top1k,U03,事实与数值,955,11,0.011518324607329843,0.006443579376559755,0.02050727465397042,0.016203048818573616
影视,assistant_top1k,U04,解释与介绍,955,72,0.07539267015706806,0.06029559523648839,0.09389212461212892,0.05971980850274276
影视,assistant_top1k,U05,核实与动态,955,17,0.01780104712041885,0.011143291932029611,0.028322663654377987,0.011294370083513673
影视,assistant_top1k,U06,办事与操作,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0006172590026123283
影视,assistant_top1k,U07,个案判断与建议,955,0,0.0,0.0,0.004006501178088226,0.0
影视,assistant_top1k,U08,清单与推荐,955,101,0.10575916230366492,0.08780906004921185,0.12686831731947967,0.12323135087867554
影视,assistant_top1k,U09,获取现成内容,955,252,0.2638743455497382,0.23690736644553428,0.2927334000794057,0.24108740460960204
影视,assistant_top1k,U10,生成与编辑,955,36,0.03769633507853403,0.02735151309418176,0.051745597419171015,0.03166391716972051
影视,assistant_top1k,U11,会话与系统指令,955,13,0.013612565445026177,0.007972217724537803,0.023150336824618173,0.014557024811607408
影视,assistant_top1k,U12,违规或灰色内容,955,10,0.010471204188481676,0.005697497559229333,0.019167506211987935,0.00498216194965665
影视,assistant_top1k,U13,无法判定,955,127,0.13298429319371727,0.11291153695313184,0.15599794715769522,0.14889168941584519
影视,assistant_random1k,U01,导航直达,982,8,0.008146639511201629,0.004133651976583247,0.015992907908899366,
影视,assistant_random1k,U02,裸实体,982,78,0.07942973523421588,0.06410922675066402,0.09802797662967619,
影视,assistant_random1k,U03,事实与数值,982,75,0.07637474541751528,0.06136389136987999,0.09468714157496633,
影视,assistant_random1k,U04,解释与介绍,982,144,0.14663951120162932,0.1258912889397546,0.1701416640214513,
影视,assistant_random1k,U05,核实与动态,982,43,0.04378818737270876,0.03266937923185989,0.05846250240105151,
影视,assistant_random1k,U06,办事与操作,982,21,0.021384928716904276,0.01402888904478178,0.032471076061174386,
影视,assistant_random1k,U07,个案判断与建议,982,31,0.031568228105906315,0.022327307361410392,0.044459892529525424,
影视,assistant_random1k,U08,清单与推荐,982,121,0.12321792260692464,0.10411567964629884,0.14525663330945385,
影视,assistant_random1k,U09,获取现成内容,982,175,0.17820773930753564,0.1555398666430516,0.20338351415159125,
影视,assistant_random1k,U10,生成与编辑,982,68,0.06924643584521385,0.054988553995520814,0.08686141459983975,
影视,assistant_random1k,U11,会话与系统指令,982,30,0.03054989816700611,0.021481732452232886,0.04327674396020496,
影视,assistant_random1k,U12,违规或灰色内容,982,10,0.010183299389002037,0.00554058724272869,0.018643419599749855,
影视,assistant_random1k,U13,无法判定,982,178,0.18126272912423624,0.15842471778558095,0.20658483344455578,
人物,search_top1000,U01,导航直达,1000,25,0.025,0.016990011790561223,0.036645541866509784,0.014492507735765511
人物,search_top1000,U02,裸实体,1000,541,0.541,0.5100158973406579,0.5716702969752581,0.7044618562061641
人物,search_top1000,U03,事实与数值,1000,38,0.038,0.027808845539615407,0.05172720875420944,0.02064694871872687
人物,search_top1000,U04,解释与介绍,1000,345,0.345,0.3161799875785417,0.3750063509832394,0.20197152397149387
人物,search_top1000,U05,核实与动态,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.000936249263103965
人物,search_top1000,U06,办事与操作,1000,0,0.0,0.0,0.003826898586390522,0.0
人物,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
人物,search_top1000,U08,清单与推荐,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.0427730661303107
人物,search_top1000,U09,获取现成内容,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.007101682452829693
人物,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
人物,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
人物,search_top1000,U12,违规或灰色内容,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.0032567996954680806
人物,search_top1000,U13,无法判定,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.004359365826137222
人物,assistant_top1k,U01,导航直达,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.0009160849596259389
人物,assistant_top1k,U02,裸实体,889,515,0.5793025871766029,0.5465773644936609,0.6113453846255557,0.600931007610552
人物,assistant_top1k,U03,事实与数值,889,43,0.048368953880764905,0.03610564995050978,0.0645186937180648,0.039163668319212086
人物,assistant_top1k,U04,解释与介绍,889,87,0.09786276715410573,0.08002628406838928,0.11915977536253326,0.11211056026263866
人物,assistant_top1k,U05,核实与动态,889,98,0.11023622047244094,0.09130169322803146,0.1325247951434781,0.08623634162922186
人物,assistant_top1k,U06,办事与操作,889,0,0.0,-4.336808689942018e-19,0.004302666900825409,0.0
人物,assistant_top1k,U07,个案判断与建议,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.0013927807530964501
人物,assistant_top1k,U08,清单与推荐,889,20,0.02249718785151856,0.014609825128403225,0.03449362166439854,0.01764603472003449
人物,assistant_top1k,U09,获取现成内容,889,19,0.021372328458942633,0.013724300504896904,0.03313910729330605,0.019034670292318152
人物,assistant_top1k,U10,生成与编辑,889,0,0.0,-4.336808689942018e-19,0.004302666900825409,0.0
人物,assistant_top1k,U11,会话与系统指令,889,4,0.0044994375703037125,0.0017510644786957429,0.011511758400524937,0.003767969358823432
人物,assistant_top1k,U12,违规或灰色内容,889,14,0.015748031496062992,0.00940351322502189,0.026259699600186967,0.011573344829301455
人物,assistant_top1k,U13,无法判定,889,87,0.09786276715410573,0.08002628406838928,0.11915977536253326,0.1072275372651755
人物,assistant_random1k,U01,导航直达,950,2,0.002105263157894737,0.0005775169811057398,0.007643554525945324,
人物,assistant_random1k,U02,裸实体,950,108,0.11368421052631579,0.09503533560954652,0.13544486152171722,
人物,assistant_random1k,U03,事实与数值,950,199,0.2094736842105263,0.1847922552511772,0.23649530444426908,
人物,assistant_random1k,U04,解释与介绍,950,146,0.15368421052631578,0.13214901523111483,0.17800898165222512,
人物,assistant_random1k,U05,核实与动态,950,155,0.1631578947368421,0.14102526942993493,0.18800378528942313,
人物,assistant_random1k,U06,办事与操作,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,
人物,assistant_random1k,U07,个案判断与建议,950,20,0.021052631578947368,0.013668946788507674,0.0322942403905795,
人物,assistant_random1k,U08,清单与推荐,950,143,0.15052631578947367,0.12919683859513387,0.17467080567620008,
人物,assistant_random1k,U09,获取现成内容,950,32,0.03368421052631579,0.02395967979839758,0.04716491782871367,
人物,assistant_random1k,U10,生成与编辑,950,9,0.009473684210526316,0.00499197438095776,0.017906586554107352,
人物,assistant_random1k,U11,会话与系统指令,950,9,0.009473684210526316,0.00499197438095776,0.017906586554107352,
人物,assistant_random1k,U12,违规或灰色内容,950,38,0.04,0.029279329020244806,0.05442597383087849,
人物,assistant_random1k,U13,无法判定,950,88,0.09263157894736843,0.07580045739363624,0.11274405565758737,
合计,search_top1000,U01,导航直达,5000,322,0.0644,0.057924900026326734,0.07154394646953356,0.1041173754752074
合计,search_top1000,U02,裸实体,5000,2223,0.4446,0.43087379749444665,0.4584112670047974,0.49053516235653677
合计,search_top1000,U03,事实与数值,5000,549,0.1098,0.10143177013494471,0.11876736646442325,0.16010351178072946
合计,search_top1000,U04,解释与介绍,5000,1162,0.2324,0.220900839893684,0.2443100492759492,0.09775129246677886
合计,search_top1000,U05,核实与动态,5000,11,0.0022,0.001228902612090369,0.00393544951288497,0.0009775196126274326
合计,search_top1000,U06,办事与操作,5000,46,0.0092,0.006904702346799829,0.012248901556249381,0.0042183562347649205
合计,search_top1000,U07,个案判断与建议,5000,58,0.0116,0.008984481447483776,0.014965437350905044,0.003988513355000836
合计,search_top1000,U08,清单与推荐,5000,102,0.0204,0.01683402366822501,0.024702383079742398,0.017129239395441146
合计,search_top1000,U09,获取现成内容,5000,442,0.0884,0.08084403955018579,0.09658795589907065,0.10756505582700002
合计,search_top1000,U10,生成与编辑,5000,4,0.0008,0.0003111419445903861,0.0020553598247701793,0.0005479296714970827
合计,search_top1000,U11,会话与系统指令,5000,0,0.0,0.0,0.000767730137580694,0.0
合计,search_top1000,U12,违规或灰色内容,5000,38,0.0076,0.005542191270153625,0.010413869369335844,0.004943702613483715
合计,search_top1000,U13,无法判定,5000,43,0.0086,0.0063911409908157125,0.011563384188398593,0.008122341210932377
合计,assistant_top1k,U01,导航直达,4611,134,0.029060941227499457,0.02459063908387762,0.03431530473009857,0.07758605979641454
合计,assistant_top1k,U02,裸实体,4611,1399,0.30340490132292347,0.2903034039101621,0.3168337077948204,0.2372877437551294
合计,assistant_top1k,U03,事实与数值,4611,439,0.09520711342441987,0.08706926019612962,0.10401890196310895,0.06005897405834986
合计,assistant_top1k,U04,解释与介绍,4611,552,0.11971372804163956,0.11065878608929697,0.1294018045060552,0.07789650751817413
合计,assistant_top1k,U05,核实与动态,4611,182,0.03947083062242464,0.03422326813123248,0.045485123160030914,0.02290983089956631
合计,assistant_top1k,U06,办事与操作,4611,130,0.028193450444589027,0.02379432943712697,0.03337807708707529,0.019455824775379514
合计,assistant_top1k,U07,个案判断与建议,4611,159,0.034482758620689655,0.029591513868142506,0.04014903800692078,0.019868654192612994
合计,assistant_top1k,U08,清单与推荐,4611,249,0.054001301236174366,0.04784084729601393,0.060904293598962836,0.04858892152993481
合计,assistant_top1k,U09,获取现成内容,4611,380,0.082411624376491,0.07481756506642093,0.0907009220686521,0.06081252535460671
合计,assistant_top1k,U10,生成与编辑,4611,100,0.02168726957276079,0.017864009879057414,0.026306866971840346,0.02203408209580835
合计,assistant_top1k,U11,会话与系统指令,4611,130,0.028193450444589027,0.02379432943712697,0.03337807708707529,0.05710696850551898
合计,assistant_top1k,U12,违规或灰色内容,4611,27,0.005855562784645413,0.004027469612327382,0.008506351700196106,0.0026123845522534705
合计,assistant_top1k,U13,无法判定,4611,730,0.15831706788115377,0.14806553992654445,0.16913746006374777,0.29378152296625093
合计,assistant_random1k,U01,导航直达,4887,20,0.0040924902803355845,0.0026508651943691125,0.006313154413217443,
合计,assistant_random1k,U02,裸实体,4887,254,0.051974626560261916,0.046095451421080284,0.05855762096629779,
合计,assistant_random1k,U03,事实与数值,4887,728,0.14896664620421526,0.13925967664832245,0.1592250667545308,
合计,assistant_random1k,U04,解释与介绍,4887,727,0.14876202169019848,0.13906086346623545,0.15901495236063576,
合计,assistant_random1k,U05,核实与动态,4887,422,0.08635154491508083,0.07879768142094229,0.09455522373141431,
合计,assistant_random1k,U06,办事与操作,4887,229,0.04685901370984244,0.041281288365203964,0.05314859462262374,
合计,assistant_random1k,U07,个案判断与建议,4887,689,0.14098629015756087,0.1315108817632339,0.15102568617632073,
合计,assistant_random1k,U08,清单与推荐,4887,465,0.09515039901780234,0.08723872893735231,0.10369806198223096,
合计,assistant_random1k,U09,获取现成内容,4887,311,0.06363822385921833,0.057130989391786714,0.0708309548265662,
合计,assistant_random1k,U10,生成与编辑,4887,287,0.058727235522815634,0.05247539340444175,0.06567228899034283,
合计,assistant_random1k,U11,会话与系统指令,4887,118,0.024145692653979946,0.020201193483819074,0.028837728570004953,
合计,assistant_random1k,U12,违规或灰色内容,4887,53,0.010845099242889298,0.008301223754973672,0.014157405860019378,
合计,assistant_random1k,U13,无法判定,4887,584,0.11950071618579906,0.1107036251905784,0.12889554727086466,
