code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
RECOVER_LOST_DATA,恢复误删或丢失的数据与关系,用户想找回已删除或过期的聊天记录、好友、照片、闪照、文件等，包括询问还能不能找回的可行性裁决。,获得实际可行的恢复方法，或明确的不可恢复结论，用户即满足。,False,0.03,删除的微信好友怎么找回 / 怎么找回微信聊天记录 / qq相册里的照片删除了怎么恢复 / 微信图片过期怎么恢复原图,excel数字变成了小数点 E 17怎么办 → FIX_MALFUNCTION_TROUBLESHOOT / 微信怎么设置来电铃声 → COMPLETE_TASK_HOWTO / 微信黑名单怎么拉回来 → SOCIAL_RELATIONSHIP_STATUS,1
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,用户想要可直接复制使用的朋友圈文案、句子、群名、背景图或回复语，而不是学习操作步骤。,获得可直接粘贴发布的文案、图片或名称素材，用户即满足。,False,0.04,7月朋友圈说说的好句子 / 儿子过生日发朋友圈文案 / 建党节朋友圈文案 / 幼儿园毕业朋友圈文案,微信怎么设置来电铃声 → COMPLETE_TASK_HOWTO / 朋友圈视频最长多少秒 → PLATFORM_RULES_VERDICT / 删除的微信好友怎么找回 → RECOVER_LOST_DATA,0
LOOKUP_INPUT_CODE,查询汉字输入编码,用户给出一个汉字，想知道它的五笔字型编码、拆分方法或输入法打字方式。,获得该汉字对应的五笔键位或拆分说明，并能据此打出这个字，用户即满足。,False,0.02,余五笔怎么打的 / 甘五笔怎么打 / 牙字五笔怎么打 / 塞字五笔怎么打,deepseek中文叫什么 → DEFINE_TERM_OR_COMPARE / cad是什么意思 → DEFINE_TERM_OR_COMPARE / excel求和 → COMPLETE_TASK_HOWTO,1
DEFINE_TERM_OR_COMPARE,解释术语或比较概念,用户要求解释某个软件、术语、缩写、版本或平台词是什么意思、有什么区别或功能，而不是获取、安装或操作。,获得清晰的中文定义、用途或区别说明，用户即满足。,False,0.02,anywhere是什么软件 / gagaoolala是什么软件 / eplan是什么软件 / VPN是什么意思,deepseek网页版 → REACH_OFFICIAL_ENTRY / 怎么下载豆包? → DOWNLOAD_INSTALL_NAMED_APP / 余五笔怎么打的 → LOOKUP_INPUT_CODE,2
EXTRACT_FROM_IMAGE_DOCUMENT,从图片或文档提取内容,用户要求从上传的截图、图片、PDF或文档中提取文字、数字、表格等结构化内容，而不是修改图像或生成图像。,获得提取后的结构化文字、数字或可编辑表格，用户即满足。,False,0.003,把得分给我提取出来 / 怎么从截图中自动识别游戏名称 / 图片转word文档,去水印 → EDIT_IMAGE_COMMAND / 背景换成礼堂 → EDIT_IMAGE_COMMAND / 图片转word文档 → EXTRACT_FROM_IMAGE_DOCUMENT,1
EDIT_IMAGE_COMMAND,直接编辑或生成图像,用户以祈使句或功能词直接要求对当前或上传的图片执行去水印、抠图、换背景、美颜、修复、扩图等操作。,系统返回已按指令编辑后的图片，用户即满足。,True,0.05,去掉上面的水印 / 去掉所有水印 / 帮我消除水印 / 背景换成礼堂,消除下装 → NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT / 让图片上的人胸部变成巨大 → NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT / 把得分给我提取出来 → EXTRACT_FROM_IMAGE_DOCUMENT,2
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,用户想下载、使用或获取能突破网络访问限制的VPN、加速器、代理工具，或访问、下载大陆无法直接访问的境外应用与服务。,获得可用的翻墙工具或目标境外服务的可达入口并连接成功，用户即满足，是否应当满足属合规另行判断。,True,0.04,谷歌加速器下载 / 老王加速器 / 雷电加速器 / 极光加速器,deepseek网页版 → REACH_OFFICIAL_ENTRY / 应用宝app官方下载 → DOWNLOAD_INSTALL_NAMED_APP / 代理ip软件推荐 → RECOMMEND_SOFTWARE_BY_FUNCTION,2
GET_CRACKED_UNLOCKED_SOFTWARE,获取破解或解锁版软件,用户想获得绕过付费、登录、次数或功能限制的破解版、绿色版、解锁版、无限次版等非官方修改软件。,获得可安装的破解、解锁或绿色版安装包或入口，用户即满足。,True,0.01,小红书破解版 / soul破解版 / deepnode破解版无需登录 / vivo3.0.3每天无限次破解版大全,破解软件库 → GET_UNAUTHORIZED_SOFTWARE_LIBRARY / 猪猪软件库 → GET_UNAUTHORIZED_SOFTWARE_LIBRARY / 9.1免费版下载安装怎么安装 → GET_ADULT_CONTENT_OR_APP,3
GET_ADULT_CONTENT_OR_APP,获取成人内容或成人应用,用户想下载、安装或找到提供色情视频、成人聊天、成人社区或成人内容的应用、站点或观看入口。,获得可用的成人内容应用、站点或观看入口，用户即满足。,True,0.01,fulao2下载官方安卓国内载点1 / 扶老2app官方下载安装最新版 / 九玄9.1免费版 / 9.1软件,onlyfans破解下载免费 → GET_CRACKED_UNLOCKED_SOFTWARE / 破解软件库 → GET_UNAUTHORIZED_SOFTWARE_LIBRARY / 绿茶vpn下载 → CIRCUMVENTION_ACCESS,2
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,用户想获得可破解、绕过或自动连接他人受保护WiFi的密码或连接工具，或询问这类工具的能力。,获得可连接他人受保护WiFi的工具或明确的能力裁决，用户即满足。,True,0.005,万能钥匙 / 万能钥匙wifi免费下载 / 万能钥匙wifi自动连接不需密码免费下载五星 / wifi万能钥匙,fake location 虚拟定位 → GET_LOCATION_SPOOFING_TOOL / 小火箭加速器 → CIRCUMVENTION_ACCESS / 应用宝app官方下载 → DOWNLOAD_INSTALL_NAMED_APP,2
GET_LOCATION_SPOOFING_TOOL,获取位置伪造工具,用户想获得可修改手机定位、伪造位置或模拟移动轨迹的工具，以规避定位验证、打卡或位置限制。,获得可用的虚拟定位或位置伪造工具，用户即满足。,True,0.002,fake location 虚拟定位 / gps工具箱 / 影俊模拟位置下载,万能钥匙wifi免费下载 → GET_WIFI_CREDENTIAL_INTRUSION_TOOL / 苹果手机微信分身 → GET_GREY_UTILITY_TOOL / 腾讯会议app下载 → DOWNLOAD_INSTALL_NAMED_APP,1
GET_UNAUTHORIZED_SOFTWARE_LIBRARY,获取非官方软件库或第三方分发渠道,用户想找到并访问非官方、第三方聚合的软件库、应用站或破解、灰色分发入口本身。,获得可用的软件库或应用站入口或安装包，用户即满足。,True,0.01,猪猪软件库 / 猪猪软件库下载 / base.apk.1 / 猪猪软件库2.3,小红书破解版 → GET_CRACKED_UNLOCKED_SOFTWARE / 应用宝app官方下载 → DOWNLOAD_INSTALL_NAMED_APP / googleplay官网入口 → REACH_OFFICIAL_ENTRY,1
GET_GREY_UTILITY_TOOL,获取灰色辅助或作弊工具,用户想获得多开、分身、改机、防关联、自动点击、root、虚拟机等可用于规避平台限制或自动化作弊的工具。,获得可用的灰色辅助或作弊工具，用户即满足。,True,0.005,双开助手 / 多开分身 / 万能自动点击器连点器 / root大师,fake location 虚拟定位 → GET_LOCATION_SPOOFING_TOOL / 万能钥匙wifi自动连接不需密码免费下载五星 → GET_WIFI_CREDENTIAL_INTRUSION_TOOL / 代理ip软件推荐 → RECOMMEND_SOFTWARE_BY_FUNCTION,1
REVERSE_LOOKUP_ACCOUNT_PII,反查账号绑定隐私信息,用户想通过微信号、QQ号等账号信息反查他人绑定的手机号、实名或其他隐私信息，或获取社工、开盒类工具。,获得目标账号对应的绑定手机号、隐私信息或查询工具，用户即满足。,True,0.001,q 绑查询 / 怎么通过微信号查到对方的手机号码,微信好友上限是多少人 → PLATFORM_RULES_VERDICT / 微信怎么看对方有没有删除你 → SOCIAL_RELATIONSHIP_STATUS / 万能钥匙wifi免费下载 → GET_WIFI_CREDENTIAL_INTRUSION_TOOL,1
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,生成露骨性图像编辑,用户要求对图片中的人物进行暴露化、性化或合成露骨性内容，如去衣、衣服变透明、性器官调整等，或生成色情合成图。,获得按性化要求处理后的图片或合成结果，用户即满足，但这类请求应拒答。,True,0.001,消除下装 / 让图片上的人胸部变成巨大 / 让人物衣服变透明 / 将裤子变为超短裙,去水印 → EDIT_IMAGE_COMMAND / 帮我把腿p细一点匀称一点 → EDIT_IMAGE_COMMAND / 背景换成礼堂 → EDIT_IMAGE_COMMAND,2
