sid,source,多数,answer,form,goal,deepseek
INV0450,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0086,2025search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0254,2026search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0226,2026search,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0182,2025search_rand,RULE,RULE,RULE,RULE,RULE
INV0310,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0237,2026search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0576,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0248,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0417,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0043,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0328,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0252,2026search,RISK,RISK,RISK,RISK,RISK
INV0020,2025search,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0660,assistant_voice,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0641,assistant_voice,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0428,assistant_top,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0294,2026search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0632,assistant_voice,INFO,INFO,INFO,INFO,INFO
INV0245,2026search,SELECT,SELECT,SELECT,SELECT,SELECT
INV0448,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0626,assistant_voice_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0260,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0002,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0477,assistant_random,SELECT,SELECT,SELECT,SELECT,SELECT
INV0177,2025search_rand,INFO,INFO,INFO,INFO,INFO
INV0469,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0517,assistant_random,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0225,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0659,assistant_voice,SCREEN,缺票,SCREEN,SCREEN,SCREEN
INV0671,assistant_voice,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0030,2025search,RULE,RULE,RULE,RULE,RULE
INV0432,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0418,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0371,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0319,2026search_rand,FORECAST,FORECAST,FORECAST,FORECAST,INFO
INV0257,2026search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0551,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0431,assistant_top,SELECT,SELECT,SELECT,SELECT,SELECT
INV0175,2025search_rand,RULE,RULE,RULE,RULE,RULE
INV0040,2025search,RULE,RULE,RULE,RULE,RULE
INV0465,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0021,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0275,2026search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0634,assistant_voice,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0638,assistant_voice,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0512,assistant_random,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0618,assistant_random,INFO,INFO,INFO,INFO,INFO
INV0007,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0280,2026search_rand,INFO,INFO,INFO,INFO,INFO
INV0564,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0661,assistant_voice,SELECT,SELECT,SELECT,SELECT,SELECT
INV0259,2026search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0042,2025search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0664,assistant_voice,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0300,2026search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0458,assistant_top,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0471,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0025,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0076,2025search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0676,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0256,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0281,2026search_rand,INFO,INFO,INFO,INFO,INFO
INV0625,assistant_voice_top,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0402,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0670,assistant_voice,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0470,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0154,2025search_rand,INFO,INFO,INFO,INFO,INFO
INV0198,2025search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0032,2025search,RULE,RULE,RULE,RULE,RULE
INV0184,2025search_rand,INFO,INFO,INFO,INFO,INFO
INV0530,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0673,assistant_voice,INFO,INFO,INFO,INFO,INFO
INV0600,assistant_random,RISK,RISK,RISK,RISK,RISK
INV0173,2025search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0239,2026search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0037,2025search,SELECT,SELECT,SELECT,SELECT,SELECT
INV0220,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0662,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0242,2026search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0017,2025search,RULE,RULE,RULE,RULE,RULE
INV0026,2025search,RULE,RULE,RULE,RULE,RULE
INV0410,2026search_rand,RULE,RULE,RULE,RULE,RULE
INV0048,2025search,RULE,RULE,RULE,RULE,RULE
INV0005,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0132,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0232,2026search,SELECT,SELECT,SELECT,SELECT,SELECT
INV0353,2026search_rand,RULE,RULE,RULE,RULE,RULE
INV0437,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0648,assistant_voice,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0050,2025search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0039,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0240,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0387,2026search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0473,assistant_random,SELECT,SELECT,SELECT,SELECT,SELECT
INV0326,2026search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0296,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0460,assistant_top,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0229,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0440,assistant_top,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0273,2026search_rand,INFO,INFO,INFO,INFO,INFO
INV0668,assistant_voice,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0655,assistant_voice,INFO,INFO,INFO,INFO,INFO
INV0623,assistant_voice_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0452,assistant_top,SELECT,SELECT,SELECT,SELECT,SELECT
INV0444,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0665,assistant_voice,SELECT,SELECT,SELECT,SELECT,SELECT
INV0162,2025search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0433,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0464,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0142,2025search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0327,2026search_rand,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0569,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0210,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0615,assistant_random,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0415,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0535,assistant_random,SELECT,SELECT,SELECT,SELECT,SELECT
INV0233,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0217,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0320,2026search_rand,RULE,RULE,RULE,RULE,RULE
INV0644,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0628,assistant_voice_top,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0589,assistant_random,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0100,2025search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0669,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0635,assistant_voice,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
