query,bu_leaf,bu_leaf_name,bu_family_final,bu_margin,bu_ambiguous,td_l1,td_confidence,td_margin,td_ambiguous,td_l2
吃西梅汁可以瘦身吗,9,查询特定健康或用药情形下能否吃某物或做某事,17,0.1381,False,EFFICACY_VERDICT,0.6256,0.4048,False,EFFICACY_VERDICT__1
体检报告写建议观察是什么意思,16,查询化验检查指标含义与异常原因,30,0.0374,False,OWN_CASE_VERDICT,0.9358,0.8805,False,OWN_CASE_VERDICT__4
女性到高期双腿为什么要伸直,27,肢体不适症状查询,28,0.0523,False,TREATMENT_SEEKING,0.5092,0.2339,False,TREATMENT_SEEKING__1
人参果的功效是什么？,20,功效作用与副作用查询,3,0.0688,False,PRODUCT_INFO_LOOKUP,0.9851,0.9765,False,PRODUCT_INFO_LOOKUP__2
五洲妇儿医院,1,医院及医生信息查询,20,0.1537,False,PROVIDER_NAVIGATION_AND_ADMIN,0.962,0.9432,False,PROVIDER_NAVIGATION_AND_ADMIN__1
血压多少才正常,14,血压问题查询,40,0.1369,False,MEDICAL_KNOWLEDGE_LOOKUP,0.8688,0.8016,False,MEDICAL_KNOWLEDGE_LOOKUP__2
老人听力下降需要配助听器吗,35,呼吸道症状与用药建议查询,39,0.0003,True,MEDICAL_KNOWLEDGE_LOOKUP,0.3243,0.0483,False,MEDICAL_KNOWLEDGE_LOOKUP__3
牙疼一招三秒止疼,28,查询身体不适症状原因,33,0.088,False,TREATMENT_SEEKING,0.9507,0.9374,False,TREATMENT_SEEKING__1
长时间盯屏幕后眼睛酸胀怎么办,31,查询健康症状处理办法,35,0.0953,False,TREATMENT_SEEKING,0.6208,0.342,False,TREATMENT_SEEKING__1
做爱什么姿势最舒服,28,查询身体不适症状原因,33,0.0192,True,TREATMENT_SEEKING,0.4508,0.2374,False,TREATMENT_SEEKING__1
孩子脊柱侧弯怎么早期发现,26,查询骨科伤病诊疗与康复信息,43,0.0146,True,TREATMENT_SEEKING,0.8513,0.7769,False,TREATMENT_SEEKING__1
紫苏籽油有什么副作用？,20,功效作用与副作用查询,3,0.1623,False,PRODUCT_INFO_LOOKUP,0.9851,0.9818,False,PRODUCT_INFO_LOOKUP__1
孩子总是哭喊打人是多动症吗,35,呼吸道症状与用药建议查询,39,0.0051,True,DIAGNOSIS_PROGNOSIS_VERDICT,0.625,0.348,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
艾滋病初期症状,30,查询疾病症状与诊疗信息,47,0.1572,False,MEDICAL_KNOWLEDGE_LOOKUP,0.9937,0.99,False,MEDICAL_KNOWLEDGE_LOOKUP__1
我想了解炉甘石洗剂,24,药品用法与相互作用查询,19,0.0138,True,MEDICAL_KNOWLEDGE_LOOKUP,0.3284,0.1569,False,MEDICAL_KNOWLEDGE_LOOKUP__2
眼疾手快与手疾眼快,36,医疗恢复与检查时间查询,6,0.0073,True,MEDICAL_KNOWLEDGE_LOOKUP,0.2964,0.0182,True,MEDICAL_KNOWLEDGE_LOOKUP__3
我想了解多囊卵巢综合征,30,查询疾病症状与诊疗信息,47,0.0246,False,MEDICAL_KNOWLEDGE_LOOKUP,0.7363,0.655,False,MEDICAL_KNOWLEDGE_LOOKUP__3
周末补觉越睡越累是怎么回事,32,症状原因查询,36,0.23,False,SYMPTOM_CAUSE_LOOKUP,0.9983,0.998,False,SYMPTOM_CAUSE_LOOKUP__3
感冒有什么症状,35,呼吸道症状与用药建议查询,39,0.0193,True,MEDICAL_KNOWLEDGE_LOOKUP,0.9192,0.8835,False,MEDICAL_KNOWLEDGE_LOOKUP__1
我想了解甲状腺功能减退,30,查询疾病症状与诊疗信息,47,0.0488,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.4015,0.0198,True,DIAGNOSIS_PROGNOSIS_VERDICT__5
吃亚麻籽油的好处和害处,11,健康利弊查询,24,0.2209,False,PRODUCT_INFO_LOOKUP,0.8591,0.8001,False,PRODUCT_INFO_LOOKUP__2
西梅有什么功效,20,功效作用与副作用查询,3,0.1681,False,PRODUCT_INFO_LOOKUP,0.9933,0.9903,False,PRODUCT_INFO_LOOKUP__2
糖蒜的功效与作用,23,查询物品功效与作用,25,0.2143,False,PRODUCT_INFO_LOOKUP,0.9259,0.8765,False,PRODUCT_INFO_LOOKUP__2
吃了盐酸达泊西汀片对人有没有害处？,24,药品用法与相互作用查询,19,0.1015,False,PRODUCT_INFO_LOOKUP,0.4773,0.1927,False,PRODUCT_INFO_LOOKUP__1
手足口病症状图片,30,查询疾病症状与诊疗信息,47,0.0089,True,MEDICAL_KNOWLEDGE_LOOKUP,0.5654,0.1879,False,MEDICAL_KNOWLEDGE_LOOKUP__1
请帮我出几道开学不焦虑的题目,30,查询疾病症状与诊疗信息,47,0.0093,True,TREATMENT_SEEKING,0.2828,0.0869,False,TREATMENT_SEEKING__1
平时饮食需要注意什么？,10,查询食物营养与健康影响,42,0.0429,False,TREATMENT_SEEKING,0.6879,0.4675,False,TREATMENT_SEEKING__2
长期吃素也可能高血脂,14,血压问题查询,40,0.026,False,MEDICAL_KNOWLEDGE_LOOKUP,0.3077,0.1662,False,MEDICAL_KNOWLEDGE_LOOKUP__2
内裤要不要用热水烫洗,34,查询皮肤黏膜异常症状与处理建议,38,0.0616,False,TREATMENT_SEEKING,0.347,0.1397,False,TREATMENT_SEEKING__1
勃起21厘米粗6厘米怎么办,31,查询健康症状处理办法,35,0.1579,False,TREATMENT_SEEKING,0.7568,0.6709,False,TREATMENT_SEEKING__1
产后修复和盆底肌训练的区别,26,查询骨科伤病诊疗与康复信息,43,0.0885,False,ENTITY_COMPARISON,0.8744,0.8228,False,ENTITY_COMPARISON__2
腋臭怎么治疗永久消除,31,查询健康症状处理办法,35,0.0058,True,TREATMENT_SEEKING,0.9974,0.9967,False,TREATMENT_SEEKING__1
自慰达到高潮的方法,25,中药与中成药信息查询,26,0.019,True,TREATMENT_SEEKING,0.4483,0.2929,False,TREATMENT_SEEKING__1
带状疱疹怎么引起的,34,查询皮肤黏膜异常症状与处理建议,38,0.0268,False,SYMPTOM_CAUSE_LOOKUP,0.532,0.2603,False,SYMPTOM_CAUSE_LOOKUP__1
工作压力导致脱发严重怎么办,31,查询健康症状处理办法,35,0.1844,False,TREATMENT_SEEKING,0.993,0.9907,False,TREATMENT_SEEKING__1
颈椎病脑子每天蒙蒙的不清醒,28,查询身体不适症状原因,33,0.0529,False,SYMPTOM_CAUSE_LOOKUP,0.5678,0.3681,False,SYMPTOM_CAUSE_LOOKUP__3
红曲的副作用是什么？,20,功效作用与副作用查询,3,0.1316,False,PRODUCT_INFO_LOOKUP,0.9645,0.9415,False,PRODUCT_INFO_LOOKUP__1
高血压怎么降下来最快最安全,14,血压问题查询,40,0.2289,False,TREATMENT_SEEKING,0.9752,0.9658,False,TREATMENT_SEEKING__2
脑梗前的预兆,17,查询心脑血管疾病诊疗信息,31,0.1354,False,MEDICAL_KNOWLEDGE_LOOKUP,0.5569,0.2156,False,MEDICAL_KNOWLEDGE_LOOKUP__3
亚麻籽粉什么人不能吃？,8,查询食物药物能否食用,16,0.1072,False,PRODUCT_INFO_LOOKUP,0.6329,0.3913,False,PRODUCT_INFO_LOOKUP__1
感冒要做哪些检查,30,查询疾病症状与诊疗信息,47,0.017,True,TREATMENT_SEEKING,0.5624,0.3298,False,TREATMENT_SEEKING__1
症状轻但总反复要不要直接找医生,4,医生信息查询,44,0.0446,False,TREATMENT_SEEKING,0.523,0.3507,False,TREATMENT_SEEKING__1
适度少吃能延缓衰老吗,8,查询食物药物能否食用,16,0.0035,True,MEDICAL_KNOWLEDGE_LOOKUP,0.492,0.2829,False,MEDICAL_KNOWLEDGE_LOOKUP__2
脑卒中的早期症状有哪些表现,17,查询心脑血管疾病诊疗信息,31,0.0459,False,MEDICAL_KNOWLEDGE_LOOKUP,0.9823,0.9727,False,MEDICAL_KNOWLEDGE_LOOKUP__3
检查结果看不懂可以先在线咨询吗,9,查询特定健康或用药情形下能否吃某物或做某事,17,0.0321,False,PROVIDER_NAVIGATION_AND_ADMIN,0.9598,0.9513,False,PROVIDER_NAVIGATION_AND_ADMIN__2
低压高什么原因,33,症状原因查询,37,0.0987,False,MEDICAL_KNOWLEDGE_LOOKUP,0.8008,0.6712,False,MEDICAL_KNOWLEDGE_LOOKUP__3
我想了解糠酸莫米松乳膏,24,药品用法与相互作用查询,19,0.0587,False,PRODUCT_INFO_LOOKUP,0.4096,0.1961,False,PRODUCT_INFO_LOOKUP__1
秋季过敏会诱发咳嗽吗,35,呼吸道症状与用药建议查询,39,0.1253,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.5378,0.3297,False,DIAGNOSIS_PROGNOSIS_VERDICT__6
百合的功效与作用,23,查询物品功效与作用,25,0.222,False,PRODUCT_INFO_LOOKUP,0.9931,0.9894,False,PRODUCT_INFO_LOOKUP__2
板栗的功效与作用？,23,查询物品功效与作用,25,0.2134,False,PRODUCT_INFO_LOOKUP,0.9913,0.9866,False,PRODUCT_INFO_LOOKUP__2
我想了解克霉唑乳膏,24,药品用法与相互作用查询,19,0.1124,False,PRODUCT_INFO_LOOKUP,0.3418,0.1892,False,PRODUCT_INFO_LOOKUP__1
百香果有什么功效,20,功效作用与副作用查询,3,0.1679,False,PRODUCT_INFO_LOOKUP,0.9977,0.9958,False,PRODUCT_INFO_LOOKUP__2
肠胃功能紊乱吃什么调理最快,12,病症用药饮食查询,45,0.1239,False,TREATMENT_SEEKING,0.9883,0.9824,False,TREATMENT_SEEKING__2
阑尾炎一定要做手术吗,36,医疗恢复与检查时间查询,6,0.1908,False,MEDICAL_KNOWLEDGE_LOOKUP,0.5746,0.4716,False,MEDICAL_KNOWLEDGE_LOOKUP__3
焦虑症最严重会怎么样,30,查询疾病症状与诊疗信息,47,0.0529,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.5478,0.1549,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
石榴的功效,20,功效作用与副作用查询,3,0.025,False,PRODUCT_INFO_LOOKUP,0.9531,0.9201,False,PRODUCT_INFO_LOOKUP__2
我想了解皮脂腺囊肿,30,查询疾病症状与诊疗信息,47,0.0082,True,MEDICAL_KNOWLEDGE_LOOKUP,0.3215,0.0077,True,MEDICAL_KNOWLEDGE_LOOKUP__3
斑马豆的营养功效与作用,23,查询物品功效与作用,25,0.1615,False,PRODUCT_INFO_LOOKUP,0.9035,0.8343,False,PRODUCT_INFO_LOOKUP__2
请帮我出几道开学护眼的题目,34,查询皮肤黏膜异常症状与处理建议,38,0.0271,False,PROVIDER_NAVIGATION_AND_ADMIN,0.4747,0.305,False,PROVIDER_NAVIGATION_AND_ADMIN__2
牛油果的禁忌是什么,10,查询食物营养与健康影响,42,0.0444,False,PRODUCT_INFO_LOOKUP,0.8738,0.8043,False,PRODUCT_INFO_LOOKUP__2
骨质疏松风险人群如何安排日常活动,26,查询骨科伤病诊疗与康复信息,43,0.1,False,TREATMENT_SEEKING,0.8515,0.7892,False,TREATMENT_SEEKING__1
熟鹰嘴豆的功效与作用,23,查询物品功效与作用,25,0.1895,False,PRODUCT_INFO_LOOKUP,0.9831,0.9693,False,PRODUCT_INFO_LOOKUP__2
牙痛快速止痛,28,查询身体不适症状原因,33,0.0695,False,TREATMENT_SEEKING,0.9353,0.9084,False,TREATMENT_SEEKING__1
体检数据波动多少范围属于正常,19,判断身体症状或检查结果是否正常,32,0.1517,False,OWN_CASE_VERDICT,0.5284,0.3185,False,OWN_CASE_VERDICT__6
请帮我出几道开学饮食健康相关的题目,10,查询食物营养与健康影响,42,0.0492,False,TREATMENT_SEEKING,0.3568,0.1326,False,TREATMENT_SEEKING__2
成人三级视功能能恢复吗,36,医疗恢复与检查时间查询,6,0.0276,False,MEDICAL_KNOWLEDGE_LOOKUP,0.2858,0.102,False,MEDICAL_KNOWLEDGE_LOOKUP__3
爆❌喷水❌洗澡❌孕,34,查询皮肤黏膜异常症状与处理建议,38,0.0417,False,CONTEXT_DEPENDENT_FOLLOW_UP,0.9328,0.9202,False,CONTEXT_DEPENDENT_FOLLOW_UP__3
我想了解左氧氟沙星,24,药品用法与相互作用查询,19,0.1009,False,PRODUCT_INFO_LOOKUP,0.532,0.3265,False,PRODUCT_INFO_LOOKUP__1
阿莫西林可以早晚2次吃吗,24,药品用法与相互作用查询,19,0.0148,True,DOSAGE_ADMINISTRATION,0.9199,0.8869,False,DOSAGE_ADMINISTRATION__4
莲子有什么功效,20,功效作用与副作用查询,3,0.155,False,PRODUCT_INFO_LOOKUP,0.9924,0.988,False,PRODUCT_INFO_LOOKUP__2
我想了解丁酸氢化可的松乳膏,24,药品用法与相互作用查询,19,0.1123,False,PRODUCT_INFO_LOOKUP,0.368,0.2069,False,PRODUCT_INFO_LOOKUP__1
缺钾是什么症状,16,查询化验检查指标含义与异常原因,30,0.0003,True,MEDICAL_KNOWLEDGE_LOOKUP,0.9853,0.9796,False,MEDICAL_KNOWLEDGE_LOOKUP__2
塞来昔布副作用大吗？,24,药品用法与相互作用查询,19,0.0008,True,PRODUCT_INFO_LOOKUP,0.9028,0.8626,False,PRODUCT_INFO_LOOKUP__1
我想了解霉菌性阴道炎,34,查询皮肤黏膜异常症状与处理建议,38,0.0281,False,MEDICAL_KNOWLEDGE_LOOKUP,0.6563,0.5243,False,MEDICAL_KNOWLEDGE_LOOKUP__1
请帮我出几道开学换季健康的题目,4,医生信息查询,44,0.0085,True,PROVIDER_NAVIGATION_AND_ADMIN,0.3143,0.0839,False,PROVIDER_NAVIGATION_AND_ADMIN__2
百香果功效与作用,23,查询物品功效与作用,25,0.2162,False,PRODUCT_INFO_LOOKUP,0.9974,0.9951,False,PRODUCT_INFO_LOOKUP__2
体检空腹有什么讲究,16,查询化验检查指标含义与异常原因,30,0.0053,True,MEDICAL_KNOWLEDGE_LOOKUP,0.7611,0.6636,False,MEDICAL_KNOWLEDGE_LOOKUP__2
黄精可以长期吃吗,9,查询特定健康或用药情形下能否吃某物或做某事,17,0.0946,False,PERMISSION_VERDICT,0.7079,0.5918,False,PERMISSION_VERDICT__2
鹰嘴豆能长期吃吗,8,查询食物药物能否食用,16,0.0664,False,EFFICACY_VERDICT,0.311,0.0295,False,EFFICACY_VERDICT__1
生南瓜子与熟南瓜子功效一样吗,20,功效作用与副作用查询,3,0.0146,True,PRODUCT_INFO_LOOKUP,0.5154,0.2969,False,PRODUCT_INFO_LOOKUP__2
有耳垂和没耳垂的区别,10,查询食物营养与健康影响,42,0.0101,True,ENTITY_COMPARISON,0.7279,0.6084,False,ENTITY_COMPARISON__2
高温与暴雨交替时家庭健康管理要注意什么,30,查询疾病症状与诊疗信息,47,0.0281,False,TREATMENT_SEEKING,0.5577,0.2707,False,TREATMENT_SEEKING__1
皮肤瘙痒但看不出疹子是什么原因,33,症状原因查询,37,0.081,False,SYMPTOM_CAUSE_LOOKUP,0.9982,0.9972,False,SYMPTOM_CAUSE_LOOKUP__1
我想了解腰椎间盘突出,26,查询骨科伤病诊疗与康复信息,43,0.1116,False,MEDICAL_KNOWLEDGE_LOOKUP,0.7579,0.6538,False,MEDICAL_KNOWLEDGE_LOOKUP__3
工作任务太多时如何快速缓解焦虑,17,查询心脑血管疾病诊疗信息,31,0.0199,True,TREATMENT_SEEKING,0.8501,0.7953,False,TREATMENT_SEEKING__1
