query,bu_leaf,bu_leaf_name,bu_user_need,bu_leaf_pre_governance,bu_family_pre_governance,bu_family_final,bu_margin,bu_ambiguous,td_l1,td_l1_name,td_user_need,td_confidence,td_margin,td_ambiguous,td_decided_by,td_l2,ref_legacy_l2,ref_legacy_dept,ref_legacy_type,snapshot,run_id,generation
甲钴胺治什么的,24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,24,4,19,0.05885,False,PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,0.35021,0.00937,True,model,PRODUCT_INFO_LOOKUP__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
空腹可以吃甲钴胺吗,9,查询特定健康或用药情形下能否吃某物或做某事,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。,9,1,17,0.12109,False,PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,用户给出自己的身体状态（患病、孕期、术后、用药等），就某个具体食物、活动或单个产品询问是否可以食用、使用或进行，期待一个针对本人情形的允许与否判定。,0.5623,0.36482,False,model,PERMISSION_VERDICT__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
儿童感冒鼻塞头晕嗜睡会是什么问题,35,呼吸道症状与用药建议查询,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。,35,7,39,0.09527,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.70689,0.47149,False,model,SYMPTOM_CAUSE_LOOKUP__3,疾病知识,儿科,症状,搜索,health-pool3,1
宫颈上小红疙瘩图片,34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,34,7,38,0.0796,False,DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,用户希望看到身体结构、穴位、手术或注射过程等图示、位置标注或视频，预期以图像或视频作答。,0.5075,0.13929,False,model,DIAGRAM_MEDIA_LOOKUP__1,疾病知识,妇产科,科普,搜索,health-pool3,1
一紧张就口渴是什么原因,33,症状原因查询,用户描述一个身体症状或生理现象后，获得该症状或现象的可能原因及解释，即认为满足。,33,7,37,0.25513,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.99442,0.99152,False,model,SYMPTOM_CAUSE_LOOKUP__4,疾病知识,无明确科室,症状,搜索,health-pool3,1
慢性肾炎中医治疗,3,查询中医机构、医生与术语,用户查询特定中医医院、中医师或中医术语/验方，获得对应机构或医生信息以及概念解释后即满足。,3,0,22,0.13299,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.9883,0.98317,False,model,TREATMENT_SEEKING__1,疾病知识,中医科,治疗,搜索,health-pool3,1
中药调理胆囊息肉有用吗,25,中药与中成药信息查询,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。,25,4,26,0.0872,False,EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,用户询问某具体药物、偏方、保健品、食物或疗法对某个目的或病症是否有效、能否治疗、能否替代，期待有效与否的判定而非功效列举。,0.80142,0.67034,False,model,EFFICACY_VERDICT__2,药品保健品,(无科室),(无类型),搜索,health-pool3,1
18岁血压133/80正常吗,14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,14,2,40,0.06948,False,OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,用户提供具体的个人数值、检查检验结果、体征描述或已有诊断，要求系统判定其是否正常、严重、危险，或是否需要进一步检查、治疗或住院。,0.99965,0.99948,False,model,OWN_CASE_VERDICT__6,疾病知识,内科,治疗,搜索,health-pool3,1
直臂慢起倒立对俄挺压倒立有帮助吗,26,查询骨科伤病诊疗与康复信息,用户输入骨折、脊柱、椎间盘或骨关节损伤相关的位置、治疗、康复训练、药物或图示问题后，获得针对该具体问题的医学说明即满足。,26,5,43,0.06282,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.42064,0.22497,False,model,TREATMENT_SEEKING__1,养生知识,(无科室),(无类型),搜索,health-pool3,1
龙葵加大蒜捣成泥的功效,20,功效作用与副作用查询,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。,21,3,3,0.05383,False,PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,0.81243,0.7139,False,model,PRODUCT_INFO_LOOKUP__2,养生知识,(无科室),(无类型),搜索,health-pool3,1
血压 63 97正常吗,14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,14,2,40,0.0524,False,OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,用户提供具体的个人数值、检查检验结果、体征描述或已有诊断，要求系统判定其是否正常、严重、危险，或是否需要进一步检查、治疗或住院。,0.99524,0.99337,False,model,OWN_CASE_VERDICT__6,疾病知识,内科,治疗,搜索,health-pool3,1
苯溴马隆能和秋水仙碱片一起吃吗,6,食物药物同食同服查询,用户想知道特定食物、药物或药材能否一起食用/服用，或应如何搭配；得到明确的相容性判断或搭配建议后即满足。,6,1,14,0.20769,False,INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,用户询问两种及以上药物、药与食物、药与酒、或保健品之间能否同时使用、需要间隔多久、是否解药性或冲突，期待风险判定。,0.9935,0.99009,False,model,INTERACTION_VERDICT__2,药品保健品,(无科室),(无类型),搜索,health-pool3,1
经常拉稀吃什么食物好,12,病症用药饮食查询,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。,12,1,45,0.09498,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.96414,0.95204,False,model,TREATMENT_SEEKING__2,疾病知识,内科,科普,搜索,health-pool3,1
宝宝晕车按哪个部位缓解,28,查询身体不适症状原因,用户描述自己或他人的身体不适症状（疼痛、酸胀、头晕、睡眠异常等），获得该症状可能的医学原因以及是否需要就医的一般性建议，即感到满足。,28,5,33,0.01622,True,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.9262,0.87767,False,model,TREATMENT_SEEKING__1,疾病知识,儿科,治疗,搜索,health-pool3,1
肾囊肿中药方子大全,25,中药与中成药信息查询,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。,25,4,26,0.06535,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.64909,0.5159,False,model,TREATMENT_SEEKING__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
咳嗽带一点点血印,35,呼吸道症状与用药建议查询,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。,35,7,39,0.09249,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.87204,0.84066,False,model,SYMPTOM_CAUSE_LOOKUP__4,疾病知识,无明确科室,症状,搜索,health-pool3,1
右脚搭左脚上人有点晕,27,肢体不适症状查询,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。,27,5,28,0.1004,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.57964,0.47171,False,model,SYMPTOM_CAUSE_LOOKUP__2,疾病知识,无明确科室,症状,搜索,health-pool3,1
氨甲环酸软膏能祛斑吗,24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,24,4,19,0.072,False,EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,用户询问某具体药物、偏方、保健品、食物或疗法对某个目的或病症是否有效、能否治疗、能否替代，期待有效与否的判定而非功效列举。,0.87852,0.83819,False,model,EFFICACY_VERDICT__2,药品保健品,(无科室),(无类型),搜索,health-pool3,1
检查单上武汉hr是什么意思,30,查询疾病症状与诊疗信息,用户提出关于某个疾病、症状或检查结果的查询后，得到针对该问题的症状表现、病因、诊断、分期、治疗方案或预后说明即满足。,30,6,47,0.01085,True,MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,用户在不涉及自身具体数值和个案决策的情况下，询问医学名词、缩写、检查、疫苗、疾病、症状等的一般定义、区别或机制。,0.90138,0.83307,False,model,MEDICAL_KNOWLEDGE_LOOKUP__3,医疗其它,(无科室),(无类型),搜索,health-pool3,1
为什么洗完澡之后腿和脚会痒,27,肢体不适症状查询,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。,27,5,28,0.11809,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.94601,0.92807,False,model,SYMPTOM_CAUSE_LOOKUP__2,疾病知识,皮肤科,症状,搜索,health-pool3,1
促排激素高怎么降下来,24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,24,4,19,0.01773,True,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.88179,0.84824,False,model,TREATMENT_SEEKING__1,疾病知识,内科,治疗,搜索,health-pool3,1
有点咳嗽可以吃榴莲吗,9,查询特定健康或用药情形下能否吃某物或做某事,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。,9,1,17,0.08472,False,PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,用户给出自己的身体状态（患病、孕期、术后、用药等），就某个具体食物、活动或单个产品询问是否可以食用、使用或进行，期待一个针对本人情形的允许与否判定。,0.98591,0.9798,False,model,PERMISSION_VERDICT__1,疾病知识,内科,科普,搜索,health-pool3,1
"一吃东西肚子感觉不舒服,会拉肚子怎么回事",32,症状原因查询,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。,32,7,36,0.01096,True,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.99762,0.99599,False,model,SYMPTOM_CAUSE_LOOKUP__4,疾病知识,内科,症状,搜索,health-pool3,1
姜水加酒洗澡功效与作用,23,查询物品功效与作用,用户提交某个具体物品（药材、食物、药品或保健品）后，获得该物品的功效、作用、用法、禁忌或不良反应等直接说明即可满足。,23,3,25,0.20388,False,EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,用户询问某具体药物、偏方、保健品、食物或疗法对某个目的或病症是否有效、能否治疗、能否替代，期待有效与否的判定而非功效列举。,0.78865,0.62059,False,model,EFFICACY_VERDICT__1,养生知识,(无科室),(无类型),搜索,health-pool3,1
癌症脚肿是什么征兆,27,肢体不适症状查询,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。,27,5,28,0.00823,True,MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,用户在不涉及自身具体数值和个案决策的情况下，询问医学名词、缩写、检查、疫苗、疾病、症状等的一般定义、区别或机制。,0.57823,0.34718,False,model,MEDICAL_KNOWLEDGE_LOOKUP__1,疾病知识,无明确科室,症状,搜索,health-pool3,1
苄星青霉素怎么配皮试,24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,24,4,19,0.07987,False,DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,用户已指名具体药品，询问如何服用、剂量、频次、疗程、漏服补服、停药或使用时机。,0.24093,0.01945,True,model,DOSAGE_ADMINISTRATION__3,药品保健品,(无科室),(无类型),搜索,health-pool3,1
吃药时间一天三次怎么算,24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,24,4,19,0.06313,False,DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,用户已指名具体药品，询问如何服用、剂量、频次、疗程、漏服补服、停药或使用时机。,0.66141,0.59572,False,model,DOSAGE_ADMINISTRATION__2,药品保健品,(无科室),(无类型),搜索,health-pool3,1
凡士林涂包皮,34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,34,7,38,0.06357,False,PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,0.39394,0.12165,False,model,PRODUCT_INFO_LOOKUP__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
"年轻人天天半夜惊醒,这个礼拜血压特别高",14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,14,2,40,0.18179,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.42577,0.05133,False,model,SYMPTOM_CAUSE_LOOKUP__3,疾病知识,内科,症状,搜索,health-pool3,1
眼药水滴到眼睛里有点痒,34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,34,7,38,0.06619,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.69052,0.5693,False,model,SYMPTOM_CAUSE_LOOKUP__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
女人内裤上有痕迹和一些,34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,34,7,38,0.09785,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.60288,0.52814,False,model,SYMPTOM_CAUSE_LOOKUP__5,疾病知识,妇产科,症状,搜索,health-pool3,1
老人吃东西为什么光掉嘴里,35,呼吸道症状与用药建议查询,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。,35,7,39,0.05042,False,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.8781,0.83199,False,model,SYMPTOM_CAUSE_LOOKUP__4,疾病知识,口腔科,症状,搜索,health-pool3,1
氨茶碱 高血压,14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,14,2,40,0.22922,False,PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,0.76078,0.69368,False,model,PRODUCT_INFO_LOOKUP__1,药品保健品,(无科室),(无类型),搜索,health-pool3,1
北京昌通军程肿瘤医院怎么样,1,医院及医生信息查询,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。,1,0,20,0.14199,False,PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,用户寻找医院、科室、医生、药店等资源，或询问价格、报销、健康证办理、医保等医疗行政流程，期待机构事实信息、价格区间或政策规定。,0.99442,0.99322,False,model,PROVIDER_NAVIGATION_AND_ADMIN__1,医疗服务,内科,(未分类型),搜索,health-pool3,1
月经有的时候20天来一次有的时候2月来一次这算怎么回事啊,32,症状原因查询,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。,32,7,36,0.00963,True,SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,0.71343,0.52803,False,model,SYMPTOM_CAUSE_LOOKUP__5,疾病知识,妇产科,症状,搜索,health-pool3,1
35岁脑干出血会不会遗传,17,查询心脑血管疾病诊疗信息,获得关于心脑血管疾病的症状、检查、治疗、用药或预后方面的具体医学解答后，用户即满足。,17,2,31,0.03231,False,DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,用户基于症状或不带个人数值的情况询问是否患某病、某病是什么类型、能否治愈、会不会恶化、还能活多久或是否会传染，期待可能性判断和预后边界。,0.70028,0.46662,False,model,DIAGNOSIS_PROGNOSIS_VERDICT__5,疾病知识,内科,科普,搜索,health-pool3,1
治疗风湿有什么偏方,20,功效作用与副作用查询,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。,20,3,3,0.03719,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.98761,0.98164,False,model,TREATMENT_SEEKING__1,疾病知识,内科,治疗,搜索,health-pool3,1
老年人听力下降吃什么药,12,病症用药饮食查询,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。,12,1,45,0.20955,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.99446,0.99277,False,model,TREATMENT_SEEKING__2,药品保健品,(无科室),(无类型),搜索,health-pool3,1
大冶新建医院罗桥院区体检时间,1,医院及医生信息查询,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。,1,0,20,0.12515,False,PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,用户寻找医院、科室、医生、药店等资源，或询问价格、报销、健康证办理、医保等医疗行政流程，期待机构事实信息、价格区间或政策规定。,0.99849,0.99821,False,model,PROVIDER_NAVIGATION_AND_ADMIN__1,医疗服务,体检科,(未分类型),搜索,health-pool3,1
术后吃海参的好处视频,11,健康利弊查询,用户想了解某种食物、饮品、保健品或药物对人体健康可能带来的好处和坏处；获得针对该物品的利弊说明即可满足。,11,1,24,0.15057,False,TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,0.31144,0.12732,False,model,TREATMENT_SEEKING__1,养生知识,(无科室),(无类型),搜索,health-pool3,1
