key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
9,查询特定健康或用药情形下能否吃某物或做某事,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。,767,3.775,357,3.57,3.224,3.952,2.067,410,3.974,3.614,4.369,3.858,47.32,0.9456,0.9464,52.68,1.0527,1.0536,2,,,健康管家随机1w,传统搜索随机1w,0.404,1.11,11,10,判断个人情形下能否做某事或吃某物,60.2,4.0,True,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。
28,查询身体不适症状原因,用户描述自己或他人的身体不适症状（疼痛、酸胀、头晕、睡眠异常等），获得该症状可能的医学原因以及是否需要就医的一般性建议，即感到满足。,739,3.638,293,2.93,2.617,3.279,1.981,446,4.323,3.948,4.733,3.744,40.39,0.8055,0.8079,59.61,1.1885,1.1921,2,,,健康管家随机1w,传统搜索随机1w,1.393,1.48,13,8,查询症状或体征的原因,67.4,4.0,True,用户描述自己或他人的身体不适症状（疼痛、酸胀、头晕、睡眠异常等），获得该症状可能的医学原因以及是否需要就医的一般性建议，即感到满足。
1,医院及医生信息查询,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。,611,3.007,541,5.41,4.984,5.871,5.439,70,0.679,0.537,0.856,0.598,88.86,1.7988,1.7771,11.14,0.2256,0.2229,2,,,传统搜索随机1w,健康管家随机1w,4.731,7.97,4,30,就医导航、机构核实与医疗行政事务,96.7,3.0,,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。
27,肢体不适症状查询,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。,610,3.003,288,2.88,2.57,3.226,3.12,322,3.121,2.803,3.475,2.605,47.99,0.9592,0.9598,52.01,1.0396,1.0402,2,,,健康管家随机1w,传统搜索随机1w,0.241,1.08,14,13,查询症状或体征的原因,46.6,4.0,True,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。
16,查询化验检查指标含义与异常原因,用户给出某项化验或检查指标（如血红蛋白、尿蛋白、转氨酶、胆固醇等）的名称或数值，希望获得该指标的含义、偏高或偏低的原因、是否严重以及下一步建议，得到针对该指标的具体解释后即满足。,593,2.919,271,2.71,2.409,3.047,3.578,322,3.121,2.803,3.475,3.21,46.47,0.9284,0.9295,53.53,1.0694,1.0705,2,,,健康管家随机1w,传统搜索随机1w,0.411,1.15,18,13,判读个人测量值、检查结果或自身发现,43.5,4.0,True,用户给出某项化验或检查指标（如血红蛋白、尿蛋白、转氨酶、胆固醇等）的名称或数值，希望获得该指标的含义、偏高或偏低的原因、是否严重以及下一步建议，得到针对该指标的具体解释后即满足。
17,查询心脑血管疾病诊疗信息,获得关于心脑血管疾病的症状、检查、治疗、用药或预后方面的具体医学解答后，用户即满足。,592,2.914,275,2.75,2.447,3.089,4.75,317,3.073,2.757,3.424,3.296,47.23,0.9437,0.9445,52.77,1.0545,1.0555,2,,,健康管家随机1w,传统搜索随机1w,0.323,1.12,17,15,查询医学名词、检查、疫苗或疾病定义,38.3,4.0,True,获得关于心脑血管疾病的症状、检查、治疗、用药或预后方面的具体医学解答后，用户即满足。
12,病症用药饮食查询,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。,577,2.84,276,2.76,2.457,3.1,3.0,301,2.918,2.61,3.261,3.089,48.61,0.9718,0.9722,51.39,1.0273,1.0278,2,,,健康管家随机1w,传统搜索随机1w,0.158,1.06,16,17,寻求症状或疾病的治疗方案与用药推荐,88.2,4.0,True,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。
33,症状原因查询#33,用户描述一个身体症状或生理现象后，获得该症状或现象的可能原因及解释，即认为满足。,561,2.761,283,2.83,2.523,3.174,2.075,278,2.695,2.4,3.025,2.577,51.22,1.0249,1.0245,48.78,0.9759,0.9755,2,,,传统搜索随机1w,健康管家随机1w,0.135,1.05,15,19,查询症状或体征的原因,86.3,4.0,True,用户描述一个身体症状或生理现象后，获得该症状或现象的可能原因及解释，即认为满足。
15,解读个人健康指标与用药疑问,用户提供自身或家人的症状、化验指标、用药或身体数据后，获得针对这些信息是否正常、风险多大、用药如何调整的评估和建议。,526,2.589,226,2.26,1.987,2.57,1.528,300,2.908,2.601,3.25,2.335,43.73,0.8729,0.8746,56.27,1.1232,1.1254,2,,,健康管家随机1w,传统搜索随机1w,0.648,1.29,21,18,判读个人测量值、检查结果或自身发现,55.1,3.0,True,用户提供自身或家人的症状、化验指标、用药或身体数据后，获得针对这些信息是否正常、风险多大、用药如何调整的评估和建议。
13,特定场景饮品饮用适宜性查询,用户给出健康状况、用药或饮食场景，询问能否喝某种饮品；获得针对该具体场景的饮用宜忌及潜在风险说明后，用户即感到满足。,513,2.525,260,2.6,2.306,2.931,1.797,253,2.453,2.171,2.769,2.171,51.46,1.0297,1.0292,48.54,0.9712,0.9708,2,,,传统搜索随机1w,健康管家随机1w,0.147,1.06,19,21,判断个人情形下能否做某事或吃某物,27.5,4.0,True,用户给出健康状况、用药或饮食场景，询问能否喝某种饮品；获得针对该具体场景的饮用宜忌及潜在风险说明后，用户即感到满足。
31,查询健康症状处理办法,用户描述了自身或家人的身体不适、症状或健康问题，获得针对该具体问题的处理、缓解、用药或就医建议后即满意。,512,2.52,204,2.04,1.781,2.336,1.476,308,2.986,2.674,3.332,2.862,40.59,0.8095,0.8118,59.41,1.1847,1.1882,2,,,健康管家随机1w,传统搜索随机1w,0.946,1.46,24,16,寻求症状或疾病的治疗方案与用药推荐,82.0,4.0,True,用户描述了自身或家人的身体不适、症状或健康问题，获得针对该具体问题的处理、缓解、用药或就医建议后即满意。
29,解答月经避孕怀孕相关疑问,用户得到关于月经、同房、避孕与怀孕可能性及结果的可靠判断或解释后，即得到满足。,496,2.441,229,2.29,2.015,2.602,1.562,267,2.588,2.299,2.913,2.271,46.94,0.938,0.9389,53.06,1.0601,1.0611,2,,,健康管家随机1w,传统搜索随机1w,0.298,1.13,20,20,查询医学名词、检查、疫苗或疾病定义,15.3,4.0,True,用户得到关于月经、同房、避孕与怀孕可能性及结果的可靠判断或解释后，即得到满足。
8,查询食物药物能否食用,用户想知道某种食物、药物或可食用物品在其所述健康状况、搭配或时间条件下能否食用，得到明确的能或不能判断及理由后即满足。,450,2.215,215,2.15,1.884,2.453,1.288,235,2.278,2.007,2.584,2.136,48.55,0.9707,0.9711,51.45,1.0284,1.0289,2,,,健康管家随机1w,传统搜索随机1w,0.128,1.06,22,23,判断个人情形下能否做某事或吃某物,69.8,4.0,True,用户想知道某种食物、药物或可食用物品在其所述健康状况、搭配或时间条件下能否食用，得到明确的能或不能判断及理由后即满足。
19,判断身体症状或检查结果是否正常,用户描述一个身体症状、服药或术后反应、生理现象或检查指标，获得该情况是否属于正常范围以及是否需要关注或就医的判断后即满足。,435,2.141,182,1.82,1.576,2.101,1.284,253,2.453,2.171,2.769,2.036,42.6,0.85,0.852,57.4,1.1454,1.148,2,,,健康管家随机1w,传统搜索随机1w,0.633,1.35,26,21,判读个人测量值、检查结果或自身发现,73.1,4.0,True,用户描述一个身体症状、服药或术后反应、生理现象或检查指标，获得该情况是否属于正常范围以及是否需要关注或就医的判断后即满足。
18,血糖与糖尿病管理查询,获得血糖正常/异常标准、饮食与药物等对血糖的影响以及糖尿病管理措施的具体信息后，用户即被满足。,405,1.994,209,2.09,1.827,2.389,1.733,196,1.9,1.654,2.182,1.716,52.38,1.0484,1.0476,47.62,0.9531,0.9524,2,,,传统搜索随机1w,健康管家随机1w,0.19,1.1,23,24,查询医学名词、检查、疫苗或疾病定义,25.7,4.0,True,获得血糖正常/异常标准、饮食与药物等对血糖的影响以及糖尿病管理措施的具体信息后，用户即被满足。
14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,308,1.516,135,1.35,1.142,1.596,0.937,173,1.677,1.447,1.943,1.388,44.6,0.8905,0.892,55.4,1.1062,1.108,2,,,健康管家随机1w,传统搜索随机1w,0.327,1.24,29,26,判读个人测量值、检查结果或自身发现,41.9,4.0,True,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。
7,解答婴幼儿喂养与奶类营养问题,用户获得针对宝宝喂养、奶粉/母乳、奶类及乳制品营养、儿童健康相关具体问题的直接解释或可操作建议后，即满足。,297,1.462,103,1.03,0.85,1.248,0.625,194,1.881,1.636,2.161,1.573,35.39,0.7046,0.7078,64.61,1.2864,1.2922,2,,,健康管家随机1w,传统搜索随机1w,0.851,1.83,30,25,判断个人情形下能否做某事或吃某物,25.3,3.0,True,用户获得针对宝宝喂养、奶粉/母乳、奶类及乳制品营养、儿童健康相关具体问题的直接解释或可操作建议后，即满足。
6,食物药物同食同服查询,用户想知道特定食物、药物或药材能否一起食用/服用，或应如何搭配；得到明确的相容性判断或搭配建议后即满足。,247,1.216,146,1.46,1.243,1.714,0.792,101,0.979,0.806,1.188,0.797,59.86,1.2009,1.1972,40.14,0.8053,0.8028,2,,,传统搜索随机1w,健康管家随机1w,0.481,1.49,28,28,判断药物、食物、酒类之间的相互作用,86.6,4.0,True,用户想知道特定食物、药物或药材能否一起食用/服用，或应如何搭配；得到明确的相容性判断或搭配建议后即满足。
4,医生信息查询,用户想查找到某位医生或某医院、科室医生名单的简介、擅长领域、出诊时间或预约挂号信息，获得该医生的准确信息后即满足。,236,1.162,184,1.84,1.594,2.122,1.382,52,0.504,0.385,0.66,0.392,78.5,1.584,1.5699,21.5,0.4339,0.4301,2,,,传统搜索随机1w,健康管家随机1w,1.336,3.65,25,31,就医导航、机构核实与医疗行政事务,72.5,2.0,True,用户想查找到某位医生或某医院、科室医生名单的简介、擅长领域、出诊时间或预约挂号信息，获得该医生的准确信息后即满足。
23,查询物品功效与作用,用户提交某个具体物品（药材、食物、药品或保健品）后，获得该物品的功效、作用、用法、禁忌或不良反应等直接说明即可满足。,210,1.034,100,1.0,0.823,1.215,1.596,110,1.066,0.886,1.284,1.68,48.4,0.9674,0.9679,51.6,1.0316,1.0321,2,,,健康管家随机1w,传统搜索随机1w,0.066,1.07,31,27,查询药品、药材、保健品或食物的基本信息与功效,98.1,4.0,,用户提交某个具体物品（药材、食物、药品或保健品）后，获得该物品的功效、作用、用法、禁忌或不良反应等直接说明即可满足。
11,健康利弊查询,用户想了解某种食物、饮品、保健品或药物对人体健康可能带来的好处和坏处；获得针对该物品的利弊说明即可满足。,195,0.96,98,0.98,0.805,1.193,1.173,97,0.94,0.771,1.146,1.167,51.03,1.021,1.0207,48.97,0.9796,0.9793,2,,,传统搜索随机1w,健康管家随机1w,0.04,1.04,32,29,查询药品、药材、保健品或食物的基本信息与功效,56.9,4.0,,用户想了解某种食物、饮品、保健品或药物对人体健康可能带来的好处和坏处；获得针对该物品的利弊说明即可满足。
3,查询中医机构、医生与术语,用户查询特定中医医院、中医师或中医术语/验方，获得对应机构或医生信息以及概念解释后即满足。,180,0.886,149,1.49,1.27,1.747,1.023,31,0.301,0.212,0.426,0.285,83.22,1.6817,1.6643,16.78,0.3392,0.3357,2,,,传统搜索随机1w,健康管家随机1w,1.189,4.96,27,32,就医导航、机构核实与医疗行政事务,58.3,4.0,,用户查询特定中医医院、中医师或中医术语/验方，获得对应机构或医生信息以及概念解释后即满足。
0,查询医疗机构联系电话,用户提及某医院、社区卫生服务中心、卫生院、诊所或药店，希望获得其对应科室或服务台的准确电话号码或联系方式。,81,0.399,75,0.75,0.599,0.939,0.496,6,0.058,0.027,0.127,0.057,92.8,1.8811,1.8561,7.2,0.1459,0.1439,2,,,传统搜索随机1w,健康管家随机1w,0.692,12.89,33,33,就医导航、机构核实与医疗行政事务,93.8,4.0,,用户提及某医院、社区卫生服务中心、卫生院、诊所或药店，希望获得其对应科室或服务台的准确电话号码或联系方式。
