key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
OWN_CASE_VERDICT__3,OWN_CASE_VERDICT__3,,253,1.245,109,1.09,0.904,1.313,0.706,144,1.396,1.187,1.641,1.253,43.85,0.8753,0.8769,56.15,1.1209,1.1231,2,,,健康管家随机1w,传统搜索随机1w,0.306,1.28,27,23,判断身体症状或检查结果是否正常,38.7,怀孕几周做nt检查？ / 孕激素六项检查结果怎样为正常 / 宫颈糜烂三度需要治疗吗
DIAGNOSIS_PROGNOSIS_VERDICT__4,DIAGNOSIS_PROGNOSIS_VERDICT__4,,243,1.196,116,1.16,0.968,1.389,0.77,127,1.231,1.036,1.463,2.961,48.51,0.9698,0.9703,51.49,1.0293,1.0297,2,,,健康管家随机1w,传统搜索随机1w,0.071,1.06,25,27,查询皮肤黏膜异常症状与处理建议,24.7,排便困难是便秘吗 / 女人38岁还能生孩子吗？ / 尿道感染会肾疼吗
OWN_CASE_VERDICT__2,OWN_CASE_VERDICT__2,,228,1.122,94,0.94,0.769,1.149,0.869,134,1.299,1.098,1.536,1.082,41.98,0.8376,0.8397,58.02,1.1574,1.1603,2,,,健康管家随机1w,传统搜索随机1w,0.359,1.38,28,25,判断身体症状或检查结果是否正常,48.2,体温35.5浑身没劲头晕 / 火龙果吃多了尿是红色的正常吗 / 黑豆泡水掉色正常吗
DIAGNOSIS_PROGNOSIS_VERDICT__1,DIAGNOSIS_PROGNOSIS_VERDICT__1,,220,1.083,83,0.83,0.67,1.028,0.616,137,1.328,1.125,1.568,1.239,38.46,0.7665,0.7692,61.54,1.2264,1.2308,2,,,健康管家随机1w,传统搜索随机1w,0.498,1.6,29,24,查询疾病症状与诊疗信息,48.2,脚底突然长痣有危险吗 / 带状疱疹吃药几天能好 / 磨玻璃结节是恶性的概率多大
INTERACTION_VERDICT__3,INTERACTION_VERDICT__3,,217,1.068,124,1.24,1.041,1.476,0.723,93,0.902,0.737,1.103,0.797,57.9,1.1609,1.1581,42.1,0.844,0.8419,2,,,传统搜索随机1w,健康管家随机1w,0.338,1.38,24,37,食物药物同食同服查询,59.4,四磨汤是饭前吃还是饭后吃好一些对胃有损伤吗 / 牛奶和葡萄能一块吃吗 / 吃中药不能吃萝卜吗
RECOVERY_TIMELINE__1,RECOVERY_TIMELINE__1,,197,0.97,70,0.7,0.554,0.883,1.04,127,1.231,1.036,1.463,1.004,36.25,0.7219,0.725,63.75,1.2696,1.275,2,,,健康管家随机1w,传统搜索随机1w,0.531,1.76,36,27,医疗恢复与检查时间查询,75.1,做完肠胃镜多久可以正常饮食 / 三剖最晚不能超过多少周 / 剖腹产多久出院
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,,197,0.97,76,0.76,0.608,0.95,0.509,121,1.173,0.983,1.4,1.217,39.32,0.7838,0.7864,60.68,1.2096,1.2136,2,,,健康管家随机1w,传统搜索随机1w,0.413,1.54,32,29,药品用法与相互作用查询,76.1,甲泼尼龙过了8点还能服用吗 / 烟酰胺可以每天用吗 / 复方电解质醋酸钠葡萄糖注射液
ENTITY_COMPARISON__1,ENTITY_COMPARISON__1,,190,0.935,76,0.76,0.608,0.95,0.462,114,1.105,0.921,1.326,1.096,40.75,0.8126,0.815,59.25,1.1816,1.185,2,,,健康管家随机1w,传统搜索随机1w,0.345,1.45,32,31,药品用法与相互作用查询,62.6,富马酸替诺福韦和恩替卡韦哪个好 / 壮阳药哪个好 / 磷脂酰胆碱和甘油磷脂酰胆碱。哪个是乙酰胆碱的前体
DIAGNOSIS_PROGNOSIS_VERDICT__2,DIAGNOSIS_PROGNOSIS_VERDICT__2,,187,0.92,55,0.55,0.423,0.715,0.342,132,1.28,1.08,1.515,1.324,30.06,0.5975,0.6012,69.94,1.3901,1.3988,2,,,健康管家随机1w,传统搜索随机1w,0.73,2.33,42,26,查询疾病症状与诊疗信息,63.1,前列腺癌症能治好吗 / 耳朵肿瘤能活多久 / 肺癌的淋巴结转移
OWN_CASE_VERDICT__6,OWN_CASE_VERDICT__6,,182,0.896,74,0.74,0.59,0.928,0.492,108,1.047,0.868,1.262,0.833,41.41,0.826,0.8282,58.59,1.1686,1.1718,2,,,健康管家随机1w,传统搜索随机1w,0.307,1.41,34,32,血压问题查询,59.3,"心率45有危险吗 / 心跳60左右正常吗 / 血压计开始时直接到200多,再下来时又降到127"
DIAGNOSIS_PROGNOSIS_VERDICT__6,DIAGNOSIS_PROGNOSIS_VERDICT__6,,178,0.876,81,0.81,0.652,1.006,0.509,97,0.94,0.771,1.146,0.747,46.28,0.9245,0.9256,53.72,1.0732,1.0744,2,,,健康管家随机1w,传统搜索随机1w,0.13,1.16,31,35,呼吸道症状与用药建议查询,64.6,胃食管反流会咳嗽吗 / 慢性胃炎可以自愈吗 / 总打喷嚏流鼻涕是过敏性鼻炎吗
CONTEXT_DEPENDENT_FOLLOW_UP__3,CONTEXT_DEPENDENT_FOLLOW_UP__3,,166,0.817,83,0.83,0.67,1.028,0.586,83,0.805,0.65,0.996,0.598,50.78,1.0158,1.0156,49.22,0.9847,0.9844,2,,,传统搜索随机1w,健康管家随机1w,0.025,1.03,29,39,查询骨科伤病诊疗与康复信息,18.1,abpa / 西地泮 / 止吐
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,,158,0.778,60,0.6,0.466,0.771,0.415,98,0.95,0.78,1.156,1.054,38.71,0.7715,0.7742,61.29,1.2215,1.2258,2,,,健康管家随机1w,传统搜索随机1w,0.35,1.58,39,33,药品用法与相互作用查询,63.9,脾舒宁颗粒吃多久才有效 / 肝爽颗粒一般吃多久 / 甘精胰岛素什么时候打比较好？
RECOVERY_TIMELINE__2,RECOVERY_TIMELINE__2,,154,0.758,63,0.63,0.493,0.805,0.809,91,0.882,0.719,1.082,0.74,41.66,0.8311,0.8333,58.34,1.1637,1.1667,2,,,健康管家随机1w,传统搜索随机1w,0.252,1.4,38,38,医疗恢复与检查时间查询,39.0,手瘾五六年还能恢复吗 / 气切后能恢复吗 / 宫缩站着还是躺着开指比较快
DIAGNOSIS_PROGNOSIS_VERDICT__3,DIAGNOSIS_PROGNOSIS_VERDICT__3,,147,0.724,49,0.49,0.371,0.647,0.394,98,0.95,0.78,1.156,0.79,34.03,0.6772,0.6806,65.97,1.3129,1.3194,2,,,健康管家随机1w,传统搜索随机1w,0.46,1.94,43,33,查询骨科伤病诊疗与康复信息,36.7,腕管综合征能治愈吗 / 颈椎曲度变直还能恢复吗 / 肌宫后位肌瘤会影响腿疼吗女性
CONTEXT_DEPENDENT_FOLLOW_UP__2,CONTEXT_DEPENDENT_FOLLOW_UP__2,,127,0.625,30,0.3,0.21,0.428,0.141,97,0.94,0.771,1.146,0.755,24.19,0.4799,0.4838,75.81,1.5042,1.5162,2,,,健康管家随机1w,传统搜索随机1w,0.64,3.13,49,35,查询食物营养与健康影响,26.8,需要吃止吐药吗？ / 尿频，就是单纯的尿频也没有尿急症状，喝水？尿频， / 调整饮食多久能好转？
ENTITY_COMPARISON__3,ENTITY_COMPARISON__3,,127,0.625,72,0.72,0.572,0.906,0.535,55,0.533,0.41,0.693,0.491,57.46,1.1518,1.1491,42.54,0.8529,0.8509,2,,,传统搜索随机1w,健康管家随机1w,0.187,1.35,35,42,查询食物营养与健康影响,40.9,酒石酸与琥珀酸哪个好 / 鸡蛋和鹅蛋哪个更营养 / 长期喝白开水和矿泉水哪个好
ACUTE_EMERGENCY_TRIAGE__1,ACUTE_EMERGENCY_TRIAGE__1,,125,0.615,59,0.59,0.458,0.76,4.331,66,0.64,0.503,0.813,0.634,47.98,0.9589,0.9595,52.02,1.0398,1.0405,2,,,健康管家随机1w,传统搜索随机1w,0.05,1.08,40,40,查询皮肤黏膜异常症状与处理建议,36.8,硅胶娃娃夹吸太强了会得白血病吗 / 被隐翅虫咬了怎么办 / 蝙蝠抓伤破皮伤口会肿吗会溃烂吗
ENTITY_COMPARISON__2,ENTITY_COMPARISON__2,,124,0.61,69,0.69,0.546,0.872,0.385,55,0.533,0.41,0.693,0.491,56.41,1.1305,1.1282,43.59,0.8735,0.8718,2,,,传统搜索随机1w,健康管家随机1w,0.157,1.29,37,42,查询疾病症状与诊疗信息,21.0,宫颈癌变Ⅲ期和宫颈癌晚期有区别吗 / 阴虚内热和阴虚火旺的区别 / 女生受孕期和安全期怎么算
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,,103,0.507,57,0.57,0.44,0.738,0.368,46,0.446,0.334,0.594,0.42,56.11,1.1243,1.1221,43.89,0.8795,0.8779,2,,,传统搜索随机1w,健康管家随机1w,0.124,1.28,41,47,药品用法与相互作用查询,31.1,中药泡多久开始熬最好 / 泼尼松片4片，会胖多少斤？ / 酸钙锌吃多久要停一停
HEALTH_VALUE_CALCULATION__1,HEALTH_VALUE_CALCULATION__1,,99,0.487,49,0.49,0.371,0.647,0.261,50,0.485,0.368,0.638,0.384,50.27,1.0055,1.0055,49.73,0.9946,0.9945,2,,,传统搜索随机1w,健康管家随机1w,0.005,1.01,43,45,查询食物营养与健康影响,55.6,10克核桃仁脂肪蛋白质热量碳水 / 油豆腐热量高吗 / 减肥为什么不掉秤
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,,93,0.458,36,0.36,0.26,0.498,0.197,57,0.553,0.427,0.715,0.498,39.45,0.7864,0.789,60.55,1.207,1.211,2,,,健康管家随机1w,传统搜索随机1w,0.193,1.53,47,41,药品用法与相互作用查询,33.3,每天都吃通便灵可以吗 / 西咪替丁可以空腹吃吗 / 三七粉空腹还是饭后吃
REPRODUCTIVE_TIMELINE__1,REPRODUCTIVE_TIMELINE__1,,89,0.438,38,0.38,0.277,0.521,0.21,51,0.494,0.376,0.649,0.384,43.46,0.8674,0.8692,56.54,1.1285,1.1308,2,,,健康管家随机1w,传统搜索随机1w,0.114,1.3,46,44,解答月经避孕怀孕相关疑问,73.0,孕试纸最早多少天试出怀孕来 / 生完孩子多久能同房 / 月经干净五天会不会怀孕
INTERACTION_VERDICT__1,INTERACTION_VERDICT__1,,71,0.349,41,0.41,0.302,0.556,0.261,30,0.291,0.204,0.415,0.242,58.5,1.1732,1.1701,41.5,0.8321,0.8299,2,,,传统搜索随机1w,健康管家随机1w,0.119,1.41,45,48,特定场景饮品饮用适宜性查询,63.4,酒后10小时可以输液清开灵吗 / 吃达菲喝了一杯啤酒有事吗 / 奥司他韦后6小时喝酒了
PROCEDURE_EXPERIENCE__1,PROCEDURE_EXPERIENCE__1,,58,0.285,31,0.31,0.218,0.44,0.163,27,0.262,0.18,0.381,0.214,54.22,1.0859,1.0844,45.78,0.9168,0.9156,2,,,传统搜索随机1w,健康管家随机1w,0.048,1.18,48,49,医疗恢复与检查时间查询,56.9,医生取精时用几只手操作 / 贲门松弛手术风险和并发症 / 宫腔镜子宫内膜息肉手术
CONTEXT_DEPENDENT_FOLLOW_UP__1,CONTEXT_DEPENDENT_FOLLOW_UP__1,,28,0.138,14,0.14,0.083,0.235,0.145,14,0.136,0.081,0.228,0.135,50.78,1.0158,1.0156,49.22,0.9847,0.9844,2,,,传统搜索随机1w,健康管家随机1w,0.004,1.03,50,50,解答月经避孕怀孕相关疑问,71.4,"哺乳期公,公 / 吃了止血药月经会停吗 / 女儿痨"
HOME_DEVICE_SELFTEST__1,HOME_DEVICE_SELFTEST__1,,15,0.074,12,0.12,0.069,0.21,0.098,3,0.029,0.01,0.085,0.021,80.49,1.6253,1.6099,19.51,0.3939,0.3901,2,,,传统搜索随机1w,健康管家随机1w,0.091,4.13,51,51,血糖与糖尿病管理查询,33.3,血压计哪种测量准 / 三诺采血针正确安装方法 / 是否阳了怎么测
