key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,用户想要法规、标准、制度、政治要求或安全合规条款的原文、标准号或权威定义。,550,2.525,312,3.124,2.8,3.483,2.026,229,2.291,2.016,2.603,1.481,0,0.0,0.0,0.45,0.0,9,0.944,0.498,1.785,0.754,49.12,1.2373,1.9648,36.03,0.9075,1.4411,0.0,0.0,0.0,14.85,0.3741,0.594,3,助手头部1k,,2025搜索,助手头部1k,3.124,inf,10,10,18,13,思想汇报与心得体会范文查询,38.0,是,0.03,收到可引用或执行的官方规定、标准号、名录或政治要求原文后，用户满足。
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,用户为完成单位、党组织或学校指定主题的任务，想要发言稿、心得体会、主持词、思想汇报等可直接使用的成稿。,462,2.121,273,2.733,2.431,3.072,2.154,174,1.741,1.502,2.016,1.612,1,0.118,0.021,0.663,0.069,14,1.469,0.877,2.451,1.257,45.1,1.2889,1.8039,28.72,0.8209,1.1489,1.94,0.0555,0.0776,24.24,0.6927,0.9695,4,,,2025搜索,助手头部1k,2.616,23.23,11,14,14,10,思想汇报与心得体会范文查询,60.8,否,0.05,收到符合指定主题、可直接使用或稍改即用的发言稿/心得/主持词/汇报后，用户满足。
LEARN_HOW_TO_WRITE,学习某类文字怎么写,用户想要某类文书或评语的写法步骤、结构要点和示例，而不是一份可直接提交的成稿。,462,2.121,256,2.563,2.271,2.892,2.513,187,1.871,1.623,2.156,1.459,13,1.529,0.896,2.599,1.881,6,0.63,0.289,1.367,0.503,38.88,1.2086,1.555,28.38,0.8823,1.1351,23.2,0.7212,0.9279,9.55,0.2969,0.382,4,,,2025搜索,助手随机1k,1.933,4.07,12,12,7,15,文书写法与模板查询,75.5,否,0.03,收到“怎么写”的步骤/结构加例句、能据此自己写出一份后，用户满足。
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,用户想要一个带年份或地域的具体统计数字、人口数、出生人口或某年主题。,392,1.799,211,2.113,1.848,2.414,1.427,175,1.751,1.512,2.027,1.149,0,0.0,0.0,0.45,0.0,6,0.63,0.289,1.367,0.587,47.02,1.1741,1.8807,38.97,0.9731,1.5588,0.0,0.0,0.0,14.01,0.3499,0.5605,3,助手头部1k,,2025搜索,助手头部1k,2.113,inf,13,13,18,15,人口统计数据查询,79.8,否,0.03,收到准确数值、统计口径或年度主题后，用户满足。
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,用户给出一句俗语、语录或诗句，要求补下一句、出处或解释其含义。,336,1.542,191,1.912,1.662,2.2,1.02,129,1.291,1.087,1.531,0.745,1,0.118,0.021,0.663,0.055,15,1.574,0.956,2.581,1.509,39.07,1.2399,1.5628,26.37,0.8368,1.0548,2.4,0.0763,0.0961,32.16,1.0206,1.2863,4,,,2025搜索,助手头部1k,1.795,16.25,15,15,14,9,文案短句查询,69.0,否,0.02,收到下一句、出处或该句的准确解释后，用户满足。
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,用户倾倒个人情绪、人际冲突或对系统不满，期待被理解、安慰或获得不评判的回应，而不是检索式回答。,274,1.258,19,0.19,0.122,0.297,0.143,25,0.25,0.169,0.369,0.174,6,0.706,0.324,1.531,0.372,224,23.505,20.922,26.3,19.531,0.77,0.1513,0.0309,1.01,0.1989,0.0406,2.86,0.5613,0.1145,95.35,18.6888,3.814,4,,,助手随机1k,2025搜索,23.314,123.56,19,19,9,2,生成角色扮演对话,85.0,是,0.01,感到被理解并获得安抚或可操作情绪建议后，用户满足。
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,用户要求系统当场编写或改写一段文字，包括社交文案、故事或续写，而不是查找已经存在的文本。,245,1.125,72,0.721,0.573,0.907,0.533,80,0.8,0.644,0.995,0.542,6,0.706,0.324,1.531,0.448,87,9.129,7.461,11.125,8.466,6.35,0.641,0.2539,7.05,0.7117,0.2819,6.22,0.6277,0.2486,80.39,8.1178,3.2155,4,,,助手随机1k,助手头部1k,8.423,12.93,17,17,9,4,生成角色扮演对话,31.0,否,0.03,收到按指定主题、风格、长度或形式新生成或改写后的文字后，用户满足。
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,用户要求系统提供或生成露骨、性暗示、性化着装的真人或虚构人物图片、视频或描述，包括未成年性化内容。,240,1.102,93,0.931,0.761,1.139,0.942,95,0.95,0.778,1.16,0.68,32,3.765,2.679,5.266,2.594,20,2.099,1.363,3.219,3.688,12.02,0.8452,0.4809,12.27,0.8628,0.4909,48.61,3.4174,1.9443,27.1,1.905,1.0839,4,,,助手头部1k,2025搜索,2.834,4.04,16,16,5,8,女生头像图片查询,27.5,是,0.003,系统不应直接供给；给出合规处置或安全拦截后，用户满足（作为风险类）。
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,用户要求获取自残影像、可冒充凭证的图片、博彩资料暗语、暴力体罚玩法或其他应合规处置而不直接供给的内容。,111,0.51,52,0.521,0.397,0.682,0.371,54,0.54,0.414,0.704,0.793,0,0.0,0.0,0.45,0.0,5,0.525,0.224,1.222,0.503,32.84,1.0218,1.3134,34.07,1.0604,1.363,0.0,0.0,0.0,33.09,1.0297,1.3236,3,助手头部1k,,2026搜索,助手头部1k,0.54,inf,18,18,18,18,人口统计数据查询,32.4,是,0.02,系统给出合规处置而非直接供给后，用户满足（作为风险类）。
GENERATE_OR_EDIT_IMAGE,生成或修改图片,用户要求系统绘制、生成一张新图片，或对图片进行修改、修复、去水印、改比例等编辑操作。,90,0.413,3,0.03,0.01,0.088,0.018,5,0.05,0.021,0.117,0.034,47,5.529,4.183,7.276,5.149,35,3.673,2.652,5.065,3.521,0.32,0.0727,0.0129,0.54,0.1211,0.0216,59.57,13.3849,2.3828,39.57,8.8902,1.5827,4,,,助手头部1k,2025搜索,5.499,184.09,20,20,3,7,生成角色扮演对话,28.9,否,0.01,收到可保存且符合要求的生成图或编辑后的图片后，用户满足。
