key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
OBTAIN_REFERENCE_IMAGE__4,OBTAIN_REFERENCE_IMAGE__4,1044,531,0.801,1.32,15.44,506,0.8159,1.58,11.86,1,0.22,0.0,100.0,6,0.7226,0.0,33.33,2025搜索,0.0149,0.8072
OBTAIN_READY_TO_POST_COPY__2,OBTAIN_READY_TO_POST_COPY__2,256,135,0.8333,1.48,5.19,111,0.8299,0.9,5.41,10,0.8229,0.0,0.0,0,,,,2026搜索,0.0034,0.8314
OBTAIN_READY_TO_POST_COPY__1,OBTAIN_READY_TO_POST_COPY__1,153,62,0.814,0.0,9.68,45,0.8088,0.0,8.89,39,0.897,0.0,5.13,7,0.8183,0.0,0.0,2026搜索,0.0882,0.8338
LOOK_UP_DEFINITION__1,LOOK_UP_DEFINITION__1,962,518,0.8555,0.58,5.79,422,0.8665,0.24,4.98,17,0.7931,0.0,0.0,5,0.7453,0.0,20.0,2025搜索,0.011,0.8587
OBTAIN_OCCASION_GREETING_IMAGE__2,OBTAIN_OCCASION_GREETING_IMAGE__2,326,137,0.8801,0.0,2.19,188,0.8719,0.0,1.06,0,,,,1,0.5241,0.0,0.0,2026搜索,0.0082,0.8743
LEARN_HOW_TO_WRITE__2,LEARN_HOW_TO_WRITE__2,166,88,0.8877,1.14,1.14,75,0.8751,1.33,1.33,1,0.9911,0.0,0.0,2,0.5444,50.0,50.0,2026搜索,0.0126,0.8785
LEARN_HOW_TO_WRITE__3,LEARN_HOW_TO_WRITE__3,143,92,0.8969,1.09,1.09,47,0.8746,4.26,0.0,3,0.7846,0.0,0.0,1,0.5106,0.0,0.0,2026搜索,0.0223,0.8845
OBTAIN_DOCUMENT_TEMPLATE__2,OBTAIN_DOCUMENT_TEMPLATE__2,323,171,0.8834,0.58,7.02,149,0.8969,0.0,6.04,0,,,,3,0.5466,33.33,0.0,2025搜索,0.0135,0.8865
OBTAIN_READY_TO_POST_COPY__4,OBTAIN_READY_TO_POST_COPY__4,704,300,0.899,0.33,17.33,278,0.8758,0.36,19.42,89,0.9431,0.0,8.99,37,0.8547,0.0,18.92,助手随机1k,0.0884,0.8931
OBTAIN_READABLE_MANGA__1,OBTAIN_READABLE_MANGA__1,1280,502,0.8886,0.6,5.98,763,0.904,0.39,10.48,3,0.7886,0.0,0.0,12,0.4396,8.33,16.67,2025搜索,0.0154,0.8934
LEARN_HOW_TO_WRITE__1,LEARN_HOW_TO_WRITE__1,86,41,0.902,2.44,0.0,34,0.8886,2.94,0.0,8,0.983,0.0,0.0,3,0.7224,0.0,33.33,2026搜索,0.0134,0.8979
NAVIGATE_TO_SITE__4,NAVIGATE_TO_SITE__4,218,91,0.9043,0.0,0.0,127,0.9033,0.0,0.0,0,,,,0,,,,2026搜索,0.001,0.9037
OBTAIN_DOCUMENT_TEMPLATE__1,OBTAIN_DOCUMENT_TEMPLATE__1,156,84,0.9191,0.0,2.38,71,0.9122,0.0,1.41,0,,,,1,0.4368,0.0,0.0,2026搜索,0.0069,0.9129
OBTAIN_READY_TO_POST_COPY__6,OBTAIN_READY_TO_POST_COPY__6,426,187,0.9415,0.53,20.86,115,0.9426,0.0,18.26,83,0.861,0.0,13.25,41,0.8118,0.0,24.39,助手随机1k,0.1308,0.9136
OBTAIN_READY_TO_POST_COPY__3,OBTAIN_READY_TO_POST_COPY__3,223,101,0.921,0.0,10.89,119,0.9122,0.0,10.08,1,0.9126,0.0,0.0,2,0.8754,0.0,50.0,2026搜索,0.0088,0.9159
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__2,LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__2,95,50,0.9141,0.0,0.0,45,0.9215,0.0,0.0,0,,,,0,,,,2025搜索,0.0074,0.9176
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__3,LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__3,171,96,0.9268,0.0,0.0,75,0.9059,0.0,0.0,0,,,,0,,,,2026搜索,0.0209,0.9176
OBTAIN_PERSONAL_DECOR_IMAGE__2,OBTAIN_PERSONAL_DECOR_IMAGE__2,150,70,0.9194,0.0,1.43,78,0.932,0.0,5.13,2,0.9659,0.0,0.0,0,,,,2025搜索,0.0126,0.9265
OBTAIN_REFERENCE_IMAGE__2,OBTAIN_REFERENCE_IMAGE__2,1124,516,0.9325,0.19,4.84,597,0.9278,0.17,5.53,0,,,,11,0.6737,0.0,45.45,2026搜索,0.0047,0.9275
OBTAIN_OCCASION_GREETING_IMAGE__3,OBTAIN_OCCASION_GREETING_IMAGE__3,313,123,0.946,0.0,0.0,187,0.9253,0.53,0.0,2,0.6276,0.0,0.0,1,0.9171,0.0,0.0,2026搜索,0.0207,0.9315
OBTAIN_PERSONAL_DECOR_IMAGE__6,OBTAIN_PERSONAL_DECOR_IMAGE__6,476,232,0.9508,0.0,6.03,233,0.9512,0.43,8.58,10,0.9144,0.0,20.0,1,0.9241,0.0,0.0,2025搜索,0.0004,0.9502
OBTAIN_PERSONAL_DECOR_IMAGE__1,OBTAIN_PERSONAL_DECOR_IMAGE__1,95,47,0.9543,0.0,17.02,47,0.9491,0.0,17.02,0,,,,1,0.9985,0.0,0.0,2026搜索,0.0052,0.9522
OBTAIN_PERSONAL_DECOR_IMAGE__5,OBTAIN_PERSONAL_DECOR_IMAGE__5,243,116,0.9631,0.0,4.31,123,0.958,0.0,5.69,1,0.9798,0.0,0.0,3,0.9135,0.0,0.0,2026搜索,0.0051,0.96
OBTAIN_PERSONAL_DECOR_IMAGE__4,OBTAIN_PERSONAL_DECOR_IMAGE__4,204,98,0.9666,0.0,5.1,106,0.9547,0.0,6.6,0,,,,0,,,,2026搜索,0.0119,0.9604
OBTAIN_READABLE_MANGA__2,OBTAIN_READABLE_MANGA__2,1520,635,0.9833,0.0,3.78,884,0.9838,0.0,2.38,1,0.9908,0.0,0.0,0,,,,2025搜索,0.0005,0.9836
