外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询词语或概念的含义,2026搜索,助手头部1k,1197,32,0.3734,0.2935,True,再生成与调整回答,32.16,术语定义查询,34.38,False
查询词语或概念的含义,2026搜索,助手随机1k,1197,40,0.5246,0.2678,True,再生成与调整回答,32.16,生成角色扮演对话,45.0,False
查询词语或概念的含义,助手头部1k,助手随机1k,32,40,0.5687,0.3628,True,术语定义查询,34.38,生成角色扮演对话,45.0,False
学习某类文字怎么写,2025搜索,2026搜索,256,187,0.0643,0.0892,False,文书写法与模板查询,79.3,文书写法与模板查询,73.26,True
依赖前文的修改或追问,2025搜索,2026搜索,193,192,0.0898,0.1629,False,再生成与调整回答,62.18,再生成与调整回答,57.81,True
依赖前文的修改或追问,2025搜索,助手头部1k,193,377,0.7117,0.1446,True,再生成与调整回答,62.18,调整生成结果,66.84,False
依赖前文的修改或追问,2025搜索,助手随机1k,193,245,0.7417,0.157,True,再生成与调整回答,62.18,生成角色扮演对话,73.88,False
依赖前文的修改或追问,2026搜索,助手头部1k,192,377,0.6903,0.1476,True,再生成与调整回答,57.81,调整生成结果,66.84,False
依赖前文的修改或追问,2026搜索,助手随机1k,192,245,0.7265,0.1592,True,再生成与调整回答,57.81,生成角色扮演对话,73.88,False
依赖前文的修改或追问,助手头部1k,助手随机1k,377,245,0.6472,0.1274,True,调整生成结果,66.84,生成角色扮演对话,73.88,False
索取露骨或性化内容,2025搜索,2026搜索,93,95,0.1383,0.231,False,女生头像图片查询,33.33,女生头像图片查询,32.63,True
索取露骨或性化内容,2025搜索,助手头部1k,93,32,0.6394,0.359,True,女生头像图片查询,33.33,再生成与调整回答,50.0,False
索取露骨或性化内容,2026搜索,助手头部1k,95,32,0.6013,0.3484,True,女生头像图片查询,32.63,再生成与调整回答,50.0,False
获取可套用文书模板或范文,2025搜索,2026搜索,571,441,0.0418,0.0718,False,办公文档与演示文稿模板查询,78.63,办公文档与演示文稿模板查询,81.63,True
查询官方政策法规或合规原文,2025搜索,2026搜索,312,229,0.0549,0.1287,False,思想汇报与心得体会范文查询,38.78,思想汇报与心得体会范文查询,37.55,True
获取单位或组织指定写作成稿,2025搜索,2026搜索,273,174,0.0955,0.1324,False,思想汇报与心得体会范文查询,63.37,思想汇报与心得体会范文查询,59.77,True
现场生成或改写文字内容,2025搜索,2026搜索,72,80,0.1931,0.2806,False,家长寄语评语写法查询,26.39,文案短句查询,22.5,False
现场生成或改写文字内容,2025搜索,助手随机1k,72,87,0.7261,0.2573,True,家长寄语评语写法查询,26.39,生成角色扮演对话,70.11,False
现场生成或改写文字内容,2026搜索,助手随机1k,80,87,0.6366,0.2798,True,文案短句查询,22.5,生成角色扮演对话,70.11,False
查询具体数字或年度主题,2025搜索,2026搜索,211,175,0.0539,0.0971,False,人口统计数据查询,82.94,人口统计数据查询,78.29,True
补全或解释给定句子,2025搜索,2026搜索,191,129,0.0813,0.1221,False,文案短句查询,74.87,文案短句查询,68.22,True
索取受限、欺骗性或有害内容,2025搜索,2026搜索,52,54,0.1368,0.3116,False,人口统计数据查询,28.85,人口统计数据查询,38.89,True
生成或修改图片,助手头部1k,助手随机1k,47,35,0.4809,0.3447,True,调整生成结果,38.3,生成角色扮演对话,48.57,False
