key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
15,头像图片查询,用户希望获取符合指定风格、角色或用途的头像图片，或找到可用于制作此类头像的工具。,465,2.134,235,2.353,2.073,2.669,2.995,226,2.261,1.988,2.571,2.654,2,0.235,0.065,0.854,0.349,2,0.21,0.058,0.762,0.168,46.51,1.1023,1.8603,44.69,1.0594,1.7878,4.65,0.1102,0.186,4.15,0.0983,0.1659,4,,,2025搜索,助手随机1k,2.143,11.21,13,12,15,15,获取个人装饰用图（头像/壁纸）,97.6,是,
5,微信头像图片查询,用户想要查找或获取适合用作微信头像的图片（如男/女、风景、卡通等类型），看到可下载或参考的头像图片即满足。,449,2.061,199,1.992,1.736,2.285,3.439,228,2.281,2.006,2.593,3.49,14,1.647,0.984,2.746,0.881,8,0.839,0.426,1.648,1.006,29.47,0.9667,1.1789,33.74,1.1068,1.3498,24.36,0.7992,0.9746,12.42,0.4073,0.4967,4,,,2026搜索,助手随机1k,1.442,2.72,15,11,7,10,获取个人装饰用图（头像/壁纸）,70.4,是,
25,安全标志与安全生产信息查询,用户输入安全标志、安全标语、安全生产、安全月等关键词后，获取对应的标志图样、标语内容、法规条文或主题宣传资料。,446,2.047,250,2.503,2.214,2.828,2.241,195,1.951,1.698,2.241,1.754,0,0.0,0.0,0.45,0.0,1,0.105,0.019,0.592,0.084,54.9,1.2227,2.1961,42.79,0.953,1.7118,0.0,0.0,0.0,2.3,0.0513,0.0921,3,助手头部1k,,2025搜索,助手头部1k,2.503,inf,10,14,18,17,获取说明性/参考图片,43.7,是,
23,文书写法与模板查询,用户想知道某类文书、自我评价、关系表述或场景文案的写法与格式，以获得具体写法说明、范文或可套用模板。,433,1.988,243,2.433,2.149,2.754,2.084,165,1.651,1.419,1.92,1.239,14,1.647,0.984,2.746,1.62,11,1.154,0.646,2.055,0.922,35.34,1.2241,1.4134,23.98,0.8306,0.9591,23.92,0.8287,0.9569,16.76,0.5808,0.6706,4,,,2025搜索,助手随机1k,1.279,2.11,11,17,7,8,学习某类文字怎么写,80.6,是,
16,女生头像图片查询,用户想要获取可保存或用作社交账号头像的女生/女性头像图片（含真人、可爱、高清等风格），得到符合预期的头像图片即满足。,409,1.877,196,1.962,1.708,2.253,2.347,198,1.981,1.726,2.273,2.084,5,0.588,0.252,1.37,0.346,10,1.049,0.571,1.921,0.922,35.16,1.0453,1.4065,35.5,1.0552,1.4198,10.54,0.3133,0.4216,18.8,0.5589,0.7521,4,,,2026搜索,助手头部1k,1.393,3.37,16,13,13,9,获取个人装饰用图（头像/壁纸）,51.8,是,
12,人口统计数据查询,用户需要获取特定地区或全国在指定年份的总人口数、出生人口数、死亡人口数等官方统计数值或历年一览表。,402,1.845,221,2.213,1.942,2.52,1.521,178,1.781,1.54,2.059,1.45,2,0.235,0.065,0.854,0.267,1,0.105,0.019,0.592,0.084,51.06,1.1991,2.0422,41.09,0.9651,1.6437,5.43,0.1275,0.2172,2.42,0.0569,0.0969,4,,,2025搜索,助手随机1k,2.108,21.09,14,16,15,17,查询具体数字或年度主题,77.9,是,
19,漫画App官方下载入口查询,用户想要获取某个漫画/动漫类App或网站的官方正版下载链接或入口地址，得到可用的下载入口或官网地址即满足。,344,1.579,152,1.522,1.3,1.781,2.77,192,1.921,1.67,2.209,3.488,0,0.0,0.0,0.45,0.0,0,0.0,0.0,0.401,0.0,44.2,0.9638,1.7681,55.8,1.2166,2.2319,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,1.921,inf,17,15,18,19,获取漫画免费阅读或下载入口,90.4,是,
26,男生头像图片查询,用户查询男生头像相关图片，以获得可保存或设置为头像的男性图片。,225,1.033,103,1.031,0.851,1.249,1.567,120,1.201,1.005,1.434,1.691,0,0.0,0.0,0.45,0.0,2,0.21,0.058,0.762,0.168,42.23,0.9985,1.6894,49.17,1.1625,1.9668,0.0,0.0,0.0,8.59,0.2032,0.3438,3,助手头部1k,,2026搜索,助手头部1k,1.201,inf,18,18,18,15,获取个人装饰用图（头像/壁纸）,85.3,是,
22,获取爆笑笑话与脑筋急转弯合集,用户想要获得大量爆笑笑话、脑筋急转弯或真心话大冒险类题目合集，用于消遣或社交互动。,183,0.84,91,0.911,0.743,1.117,1.638,81,0.81,0.653,1.006,1.212,6,0.706,0.324,1.531,0.873,5,0.525,0.224,1.222,0.503,30.86,1.0846,1.2345,27.45,0.9648,1.0981,23.91,0.8403,0.9565,17.77,0.6246,0.7109,4,,,2025搜索,助手随机1k,0.386,1.74,19,19,11,12,获取现成可直接发布文案,49.2,是,
14,情侣头像查询,用户查找符合风格要求的情侣头像图片，或确认/找到某张情侣头像的另一半。,71,0.326,28,0.28,0.194,0.405,0.547,29,0.29,0.202,0.416,0.487,11,1.294,0.724,2.302,1.638,3,0.315,0.107,0.921,0.251,12.86,0.8602,0.5145,13.31,0.8903,0.5325,59.38,3.9709,2.3752,14.44,0.9659,0.5778,4,,,助手头部1k,2025搜索,1.014,4.62,21,21,9,13,获取个人装饰用图（头像/壁纸）,70.4,是,
