domain,source,frame,label,share
医疗,assistant_random,本次挖掘,查询药品的功效与作用,0.0321
医疗,assistant_random,本次挖掘,评估疾病的严重程度、预后或时间预期,0.0271
医疗,assistant_random,本次挖掘,查询疾病或医学术语的定义、病因与传染性,0.0251
医疗,assistant_random,本次挖掘,在两个或几个选项之间给出裁决,0.0251
医疗,assistant_random,本次挖掘,查询药品用法用量与服用时机,0.022
医疗,assistant_random,本次挖掘,查询疾病的症状与早期征兆,0.018
医疗,assistant_random,本次挖掘,获取食疗/养生方的做法与搭配,0.012
医疗,assistant_random,本次挖掘,查询中医方剂组成、经络穴位与中医理论,0.009
医疗,assistant_random,本次挖掘,查询指标的正常值或参考范围,0.007
医疗,assistant_random,本次挖掘,由自述症状直接索取药品或药膏,0.006
医疗,assistant_top,统一13类,解释与介绍,0.3601
医疗,assistant_top,统一13类,裸实体,0.2119
医疗,assistant_top,统一13类,无法判定,0.12
医疗,assistant_top,统一13类,办事与操作,0.0877
医疗,assistant_top,统一13类,个案判断与建议,0.0814
医疗,assistant_top,统一13类,事实与数值,0.047
医疗,assistant_top,统一13类,清单与推荐,0.024
医疗,assistant_top,统一13类,获取现成内容,0.023
医疗,assistant_top,统一13类,核实与动态,0.0157
医疗,assistant_top,统一13类,生成与编辑,0.0136
医疗,assistant_top,统一13类,导航直达,0.0104
医疗,assistant_top,统一13类,违规或灰色内容,0.0031
医疗,assistant_top,统一13类,会话与系统指令,0.0021
医疗,assistant_top,本次挖掘,仅给出名称的裸实体查询,0.2213
医疗,assistant_top,本次挖掘,处理非健康或无法归入上述意图的残余,0.1775
医疗,assistant_top,本次挖掘,查询中药材/食材/茶饮的功效与作用,0.1639
医疗,assistant_top,本次挖掘,寻找疾病的治疗或缓解方案,0.0825
医疗,assistant_top,本次挖掘,查询就医科室、医院/医生导航与挂号入口,0.0762
医疗,assistant_top,本次挖掘,查询疾病的症状与早期征兆,0.0564
医疗,assistant_top,本次挖掘,解释自身症状的原因,0.0501
医疗,assistant_top,本次挖掘,查询药品的功效与作用,0.0355
医疗,assistant_top,本次挖掘,对具体行为、搭配或说法给出是否可行的裁决,0.0313
医疗,assistant_top,本次挖掘,查询疾病或医学术语的定义、病因与传染性,0.0219
医疗,assistant_top,本次挖掘,查询诊疗项目的费用、时长与恢复参数,0.0188
医疗,assistant_top,本次挖掘,解读用户本人的检查数值或报告分级,0.0157
医疗,assistant_top,本次挖掘,查询指标的正常值或参考范围,0.0136
医疗,assistant_top,本次挖掘,由自述症状直接索取药品或药膏,0.0084
医疗,assistant_top,本次挖掘,评估疾病的严重程度、预后或时间预期,0.0084
医疗,assistant_top,本次挖掘,查询中医方剂组成、经络穴位与中医理论,0.0063
医疗,assistant_top,本次挖掘,获取食疗/养生方的做法与搭配,0.0042
医疗,assistant_top,本次挖掘,在两个或几个选项之间给出裁决,0.0031
医疗,assistant_top,本次挖掘,查询药品用法用量与服用时机,0.0031
医疗,assistant_top,本次挖掘,对正在发生的具体不适做分诊与处置判断,0.0021
