key,类目,定义,全语料条数,全语料占比%,健康搜索周榜_条数,健康搜索周榜_占比%,健康搜索周榜_95CI低%,健康搜索周榜_95CI高%,健康搜索周榜_流量占比%,健康AI管家周榜_条数,健康AI管家周榜_占比%,健康AI管家周榜_95CI低%,健康AI管家周榜_95CI高%,健康AI管家周榜_流量占比%,健康搜索周榜_均衡归属%,健康搜索周榜_指数,健康搜索周榜_均衡指数,健康AI管家周榜_均衡归属%,健康AI管家周榜_指数,健康AI管家周榜_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,健康搜索周榜_排名,健康AI管家周榜_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
NORMALITY_REFERENCE_CHECK,判断自身数值或生理现象是否正常,用户给出自身测量值、检验结果、生理现象或所处阶段，想确认是否在正常范围、是否怀孕或是否提示某种异常。,58,2.357,57,2.549,1.973,3.288,5.474,1,0.444,0.078,2.474,0.065,85.15,1.0816,1.7031,14.85,0.1886,0.2969,2,,,健康搜索周榜,健康AI管家周榜,2.105,5.74,10,10,查询健康指标正常值与调理方法,48.3,是,,收到带单位或条件的正常参考标准，以及正常、异常或是否怀孕的明确判定和依据，用户即满足。
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,用户就诊前想核实某家具名医疗机构是否正规、靠谱、公立还是私立。,56,2.275,56,2.504,1.934,3.238,1.849,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.504,inf,12,13,查询医院正规性与基本信息,100.0,是,,收到该机构的资质判定，包括正规或不正规、公立或私立，以及可核验依据，用户即满足。
HOSPITAL_SELECTION,比较选择就诊医院与排名,用户有某诊疗需求，想在多家医院或门诊间比较并选择更好、更专业或成功率更高的机构，或求排名、推荐。,55,2.235,55,2.46,1.895,3.188,7.181,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.46,inf,13,13,查询医院正规性与基本信息,72.7,是,,收到按条件给出的候选机构清单及中立比较维度，不含商业化竞价排序或私立机构背书，用户即满足。
PROGNOSIS_INQUIRY,询问疾病转归与恢复预期,用户想知道某病能否治愈、能否恢复、恢复或控制多久，或某种结局会不会出现。,52,2.113,49,2.191,1.662,2.885,1.95,3,1.333,0.454,3.846,0.241,62.17,1.0371,1.2434,37.83,0.631,0.7566,2,,,健康搜索周榜,健康AI管家周榜,0.858,1.64,14,8,查询疾病症状与用药信息,44.2,是,,收到关于能否治愈或恢复、病程预期的说明，并包含现有控制手段与不确定性，用户即满足。
COST_INQUIRY,查询医疗费用与购买渠道,用户想知道某项医疗产品、手术、服务或药品的价格、费用或哪里可以购买。,49,1.991,49,2.191,1.662,2.885,2.63,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.191,inf,14,13,药品信息查询,22.4,是,,收到价格区间、影响价格的因素与正规渠道或合规边界说明，用户即满足；给出非法处方药或打胎药购买渠道不是满足。
QUICK_REMEDY_SEEKING,寻求速效偏方与根治土法,用户明确索要最快、断根、土方法、偏方、特效等不满足于规范治疗的速效或根治承诺。,34,1.382,31,1.386,0.978,1.961,1.592,3,1.333,0.454,3.846,1.232,50.98,1.0035,1.0195,49.02,0.9651,0.9805,2,,,健康搜索周榜,健康AI管家周榜,0.053,1.04,16,8,查询疾病症状与用药信息,44.1,是,,收到合规处理，即解释规范方案、说明为何不能承诺根治或速效，并给出安全选择，用户被正确引导后满足；按字面给偏方或根治承诺不是满足。
DIET_PERMISSION_LOOKUP,查询疾病饮食宜忌与许可,用户已有某疾病或生理状态，想知道某食物能不能吃、该忌口或宜吃什么。,31,1.26,30,1.342,0.941,1.909,2.332,1,0.444,0.078,2.474,0.07,75.12,1.0651,1.5023,24.88,0.3528,0.4977,2,,,健康搜索周榜,健康AI管家周榜,0.897,3.02,17,10,查询特定状况下的饮食宜忌与食疗建议,71.0,是,,收到针对该疾病与食物组合的明确许可或禁忌裁决，或该病的分病种宜忌清单，用户即满足。
IMAGE_LOOKUP,查找医学对比图片,用户想看到症状、皮疹、器官或药材图片，用于目视对照或确认。,24,0.975,24,1.073,0.722,1.592,2.19,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,1.073,inf,18,13,查询疾病症状与用药信息,29.2,否,,收到清晰、有标注的对应图片，必要时附图片不能替代诊断的提示，用户即满足。
TRANSMISSION_INQUIRY,查询疾病传染与感染可能,用户想知道某种疾病是否会传染、通过什么途径传播，或某一接触或行为会不会感染。,22,0.894,21,0.939,0.615,1.432,0.714,1,0.444,0.078,2.474,0.071,67.88,1.0506,1.3576,32.12,0.4972,0.6424,2,,,健康搜索周榜,健康AI管家周榜,0.495,2.11,19,10,查询女性生殖健康与怀孕问题,50.0,是,,收到明确的是否结论、传播途径或感染条件，以及防护建议，用户即满足。
ACUTE_INCIDENT_ACTION,请求急性事件即时处置,用户正面临刚发生的咬伤、外伤、醉酒、异物等急性事件，想要此刻应做什么的第一步处置指令。,14,0.569,14,0.626,0.373,1.048,0.494,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,0.626,inf,20,13,查询疾病症状与用药信息,64.3,是,,收到针对该事件的分步即时处置指引，以及明确的立即就医或拨打120触发条件，用户即满足。
