key,类目,定义,全语料条数,全语料占比%,健康搜索周榜_条数,健康搜索周榜_占比%,健康搜索周榜_95CI低%,健康搜索周榜_95CI高%,健康搜索周榜_流量占比%,健康AI管家周榜_条数,健康AI管家周榜_占比%,健康AI管家周榜_95CI低%,健康AI管家周榜_95CI高%,健康AI管家周榜_流量占比%,健康搜索周榜_均衡归属%,健康搜索周榜_指数,健康搜索周榜_均衡指数,健康AI管家周榜_均衡归属%,健康AI管家周榜_指数,健康AI管家周榜_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,健康搜索周榜_排名,健康AI管家周榜_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
NORMALITY_REFERENCE_CHECK__1,NORMALITY_REFERENCE_CHECK__1,,58,2.357,57,2.549,1.973,3.288,5.474,1,0.444,0.078,2.474,0.065,85.15,1.0816,1.7031,14.85,0.1886,0.2969,2,,,健康搜索周榜,健康AI管家周榜,2.105,5.74,12,12,查询健康指标正常值与调理方法,48.3,成人bmi / 女性的bmi大好还是小好 / 成人bmi17.5
PROVIDER_LEGITIMACY_CHECK__1,PROVIDER_LEGITIMACY_CHECK__1,,56,2.275,56,2.504,1.934,3.238,1.849,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.504,inf,14,15,查询医院正规性与基本信息,100.0,北科生物是正规公司吗 / 上海强直医院是正规医院吗 / 济南哮喘病医院正规吗
HOSPITAL_SELECTION__1,HOSPITAL_SELECTION__1,,55,2.235,55,2.46,1.895,3.188,7.181,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.46,inf,15,15,查询医院正规性与基本信息,72.7,试管婴儿那个医院成功率高 / 不孕不育女性医院 / 治疗耳朵聋耳鸣的医院
PROGNOSIS_INQUIRY__1,PROGNOSIS_INQUIRY__1,,52,2.113,49,2.191,1.662,2.885,1.95,3,1.333,0.454,3.846,0.241,62.17,1.0371,1.2434,37.83,0.631,0.7566,2,,,健康搜索周榜,健康AI管家周榜,0.858,1.64,16,10,查询疾病症状与用药信息,44.2,47岁女人还能怀孕吗 / 成人三级视功能恢复要多久 / 成人三级视功能还能恢复吗
COST_INQUIRY__1,COST_INQUIRY__1,,49,1.991,49,2.191,1.662,2.885,2.63,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.191,inf,16,15,药品信息查询,22.4,呼吸机一般多少钱一台 / 老年人助听器价格表 / 人工耳蜗价格
QUICK_REMEDY_SEEKING__1,QUICK_REMEDY_SEEKING__1,,34,1.382,31,1.386,0.978,1.961,1.592,3,1.333,0.454,3.846,1.232,50.98,1.0035,1.0195,49.02,0.9651,0.9805,2,,,健康搜索周榜,健康AI管家周榜,0.053,1.04,18,10,查询疾病症状与用药信息,44.1,吃什么立马排便 / 痛风关节炎肿胀怎么快速消除 / 心绞痛的10秒自救
DIET_PERMISSION_LOOKUP__1,DIET_PERMISSION_LOOKUP__1,,31,1.26,30,1.342,0.941,1.909,2.332,1,0.444,0.078,2.474,0.07,75.12,1.0651,1.5023,24.88,0.3528,0.4977,2,,,健康搜索周榜,健康AI管家周榜,0.897,3.02,19,12,查询特定状况下的饮食宜忌与食疗建议,71.0,胆结石禁吃一览表 / 白癜风可以吃卫莱恩铜片吗 / 肺结节吃什么可以散结
IMAGE_LOOKUP__1,IMAGE_LOOKUP__1,,24,0.975,24,1.073,0.722,1.592,2.19,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,1.073,inf,21,15,查询疾病症状与用药信息,29.2,男性阴虱图片 / 大片黄色的黄芪图片大全 / 人体五脏六腑图
TRANSMISSION_INQUIRY__1,TRANSMISSION_INQUIRY__1,,22,0.894,21,0.939,0.615,1.432,0.714,1,0.444,0.078,2.474,0.071,67.88,1.0506,1.3576,32.12,0.4972,0.6424,2,,,健康搜索周榜,健康AI管家周榜,0.495,2.11,22,12,查询女性生殖健康与怀孕问题,50.0,男人喜欢吸吮女人乳头会得乳腺癌吗 / 男按摩师给女性按摩会感染hpv吗 / 乳房被男按摩师摸了会得白血病吗?
ACUTE_INCIDENT_ACTION__1,ACUTE_INCIDENT_ACTION__1,,14,0.569,14,0.626,0.373,1.048,0.494,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,0.626,inf,23,15,查询疾病症状与用药信息,64.3,十四岁的小茹被大狗咬了会怎么样 / 承受不住索取晕厥过去了怎么处理 / 女生眼里进虫直接用手扒拉出来
