意图,快照,source,样本n,该快照该意图总行数,子功能,子功能名,条数,占比%,95CI低%,95CI高%
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,RULE,通用规律/投资方法,12,8.0,4.6,13.5
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,UNSURE,功能不可判定,3,2.0,0.7,5.7
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,RISK,风险与安全评估,1,0.7,0.1,3.7
INVEST_ADVICE,助手头部1k,assistant_top,62,62,FORECAST,走势/价格/事件预测,33,53.2,41.0,65.1
INVEST_ADVICE,助手头部1k,assistant_top,62,62,SELECT,荐股/择优（按评价或前瞻标准点名标的）,12,19.4,11.4,30.9
INVEST_ADVICE,助手头部1k,assistant_top,62,62,DECIDE,买卖持有决策,10,16.1,9.0,27.2
INVEST_ADVICE,助手头部1k,assistant_top,62,62,SCREEN,关联/指标标的清单（无评价标准）,4,6.5,2.5,15.4
INVEST_ADVICE,助手头部1k,assistant_top,62,62,RISK,风险与安全评估,1,1.6,0.3,8.6
INVEST_ADVICE,助手头部1k,assistant_top,62,62,INFO,事实/制度/操作信息（无判断）,1,1.6,0.3,8.6
INVEST_ADVICE,助手头部1k,assistant_top,62,62,RULE,通用规律/投资方法,1,1.6,0.3,8.6
INVEST_ADVICE,助手随机1k,assistant_random,150,160,FORECAST,走势/价格/事件预测,43,28.7,22.0,36.4
INVEST_ADVICE,助手随机1k,assistant_random,150,160,DECIDE,买卖持有决策,28,18.7,13.2,25.7
INVEST_ADVICE,助手随机1k,assistant_random,150,160,SELECT,荐股/择优（按评价或前瞻标准点名标的）,27,18.0,12.7,24.9
INVEST_ADVICE,助手随机1k,assistant_random,150,160,INFO,事实/制度/操作信息（无判断）,17,11.3,7.2,17.4
INVEST_ADVICE,助手随机1k,assistant_random,150,160,SCREEN,关联/指标标的清单（无评价标准）,12,8.0,4.6,13.5
INVEST_ADVICE,助手随机1k,assistant_random,150,160,APPRAISE,估值/质量/前景评价,11,7.3,4.1,12.7
INVEST_ADVICE,助手随机1k,assistant_random,150,160,RULE,通用规律/投资方法,5,3.3,1.4,7.6
INVEST_ADVICE,助手随机1k,assistant_random,150,160,UNSURE,功能不可判定,4,2.7,1.0,6.7
INVEST_ADVICE,助手随机1k,assistant_random,150,160,RISK,风险与安全评估,3,2.0,0.7,5.7
INVEST_ADVICE,助手语音头部1k,assistant_voice_top,7,7,FORECAST,走势/价格/事件预测,3,42.9,15.8,75.0
INVEST_ADVICE,助手语音头部1k,assistant_voice_top,7,7,SCREEN,关联/指标标的清单（无评价标准）,3,42.9,15.8,75.0
INVEST_ADVICE,助手语音头部1k,assistant_voice_top,7,7,APPRAISE,估值/质量/前景评价,1,14.3,2.6,51.3
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,FORECAST,走势/价格/事件预测,14,26.9,16.8,40.3
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,SCREEN,关联/指标标的清单（无评价标准）,13,25.0,15.2,38.2
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,INFO,事实/制度/操作信息（无判断）,8,15.4,8.0,27.5
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,DECIDE,买卖持有决策,7,13.5,6.7,25.3
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,APPRAISE,估值/质量/前景评价,3,5.8,2.0,15.6
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,SELECT,荐股/择优（按评价或前瞻标准点名标的）,3,5.8,2.0,15.6
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,UNSURE,功能不可判定,2,3.8,1.1,13.0
INVEST_ADVICE,助手语音1k,assistant_voice,52,52,RULE,通用规律/投资方法,2,3.8,1.1,13.0
