意图,快照,source,样本n,该快照该意图总行数,子功能,子功能名,条数,占比%,95CI低%,95CI高%
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,MERIT_SAFETY,安全/质量评估,11,14.5,8.3,24.1
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,DECISION_ADVICE,决策建议（该不该做）,7,9.2,4.5,17.8
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,ELIGIBILITY_COVER,资格准入/承保范围,5,6.6,2.8,14.5
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,CATEGORY_CHECK,类别/身份辨析,5,6.6,2.8,14.5
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,REMEDY_UNDO,事后补救/撤销,3,3.9,1.4,11.0
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,UNSURE_FUNCTION,功能无法判定,2,2.6,0.7,9.1
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,IMPACT_EXPOSURE,后果影响核实,2,2.6,0.7,9.1
VERDICT_QUESTION,助手语音头部1k,assistant_voice_top,6,6,WORLD_STATE,事实状态/时事走势,4,66.7,30.0,90.3
VERDICT_QUESTION,助手语音头部1k,assistant_voice_top,6,6,DECISION_ADVICE,决策建议（该不该做）,1,16.7,3.0,56.4
VERDICT_QUESTION,助手语音头部1k,assistant_voice_top,6,6,SERVICE_RULE,业务规则/操作可行性,1,16.7,3.0,56.4
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,SERVICE_RULE,业务规则/操作可行性,35,41.2,31.3,51.8
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,CATEGORY_CHECK,类别/身份辨析,11,12.9,7.4,21.7
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,REMEDY_UNDO,事后补救/撤销,10,11.8,6.5,20.3
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,MERIT_SAFETY,安全/质量评估,8,9.4,4.8,17.5
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,WORLD_STATE,事实状态/时事走势,6,7.1,3.3,14.6
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,ELIGIBILITY_COVER,资格准入/承保范围,6,7.1,3.3,14.6
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,IMPACT_EXPOSURE,后果影响核实,4,4.7,1.8,11.5
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,DECISION_ADVICE,决策建议（该不该做）,4,4.7,1.8,11.5
VERDICT_QUESTION,助手语音1k,assistant_voice,85,85,UNSURE_FUNCTION,功能无法判定,1,1.2,0.2,6.4
