意图,对比,a,b,n_a,n_b,子功能,子功能名,a%,b%,差pp(b-a),95CI低pp,95CI高pp,显著
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,SCREEN,关联/指标标的清单（无评价标准）,20.0,8.0,-12.0,-19.9,-4.2,True
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,RULE,通用规律/投资方法,8.0,3.3,-4.7,-10.5,0.7,False
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,INFO,事实/制度/操作信息（无判断）,18.0,11.3,-6.7,-14.7,1.4,False
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,UNSURE,功能不可判定,2.0,2.7,0.7,-3.4,4.9,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,DECIDE,买卖持有决策,7.4,10.0,2.6,-8.3,10.0,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,FORECAST,走势/价格/事件预测,16.7,16.7,0.0,-13.1,10.2,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,APPRAISE,估值/质量/前景评价,5.6,13.3,7.8,-2.8,15.1,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,SELECT,荐股/择优（按评价或前瞻标准点名标的）,5.6,11.3,5.8,-4.6,12.9,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,RISK,风险与安全评估,1.9,0.7,-1.2,-9.1,2.2,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,SCREEN,关联/指标标的清单（无评价标准）,51.9,20.0,-31.9,-45.8,-17.0,True
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,RULE,通用规律/投资方法,3.7,8.0,4.3,-5.2,10.4,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,INFO,事实/制度/操作信息（无判断）,7.4,18.0,10.6,-0.9,18.8,False
INVEST_ADVICE,深度·搜索内,2026搜索,2026搜索随机1w,54,150,UNSURE,功能不可判定,0.0,2.0,2.0,-4.8,5.7,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,DECIDE,买卖持有决策,16.1,18.7,2.5,-9.8,12.5,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,FORECAST,走势/价格/事件预测,53.2,28.7,-24.6,-38.2,-10.1,True
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,APPRAISE,估值/质量/前景评价,0.0,7.3,7.3,0.7,12.7,True
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,SELECT,荐股/择优（按评价或前瞻标准点名标的）,19.4,18.0,-1.4,-14.0,9.2,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,RISK,风险与安全评估,1.6,2.0,0.4,-6.7,4.3,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,SCREEN,关联/指标标的清单（无评价标准）,6.5,8.0,1.5,-8.1,8.3,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,RULE,通用规律/投资方法,1.6,3.3,1.7,-5.5,6.2,False
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,INFO,事实/制度/操作信息（无判断）,1.6,11.3,9.7,1.6,15.9,True
INVEST_ADVICE,深度·助手内,助手头部1k,助手随机1k,62,150,UNSURE,功能不可判定,0.0,2.7,2.7,-3.4,6.7,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,DECIDE,买卖持有决策,12.3,7.4,-4.9,-16.7,7.0,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,FORECAST,走势/价格/事件预测,7.0,16.7,9.6,-2.7,22.4,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,APPRAISE,估值/质量/前景评价,3.5,5.6,2.0,-7.1,11.9,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,SELECT,荐股/择优（按评价或前瞻标准点名标的）,5.3,5.6,0.3,-9.5,10.5,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,RISK,风险与安全评估,0.0,1.9,1.9,-4.6,9.8,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,SCREEN,关联/指标标的清单（无评价标准）,49.1,51.9,2.7,-15.4,20.6,False
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,RULE,通用规律/投资方法,19.3,3.7,-15.6,-27.9,-3.6,True
INVEST_ADVICE,时间·头部层,2025搜索,2026搜索,57,54,INFO,事实/制度/操作信息（无判断）,3.5,7.4,3.9,-5.6,14.4,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,DECIDE,买卖持有决策,10.7,10.0,-0.7,-7.8,6.4,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,FORECAST,走势/价格/事件预测,15.3,16.7,1.3,-7.0,9.7,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,APPRAISE,估值/质量/前景评价,7.3,13.3,6.0,-1.0,13.1,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,SELECT,荐股/择优（按评价或前瞻标准点名标的）,13.3,11.3,-2.0,-9.6,5.6,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,RISK,风险与安全评估,0.7,0.7,0.0,-3.1,3.1,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,SCREEN,关联/指标标的清单（无评价标准）,16.7,20.0,3.3,-5.5,12.1,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,RULE,通用规律/投资方法,17.3,8.0,-9.3,-17.0,-1.8,True
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,INFO,事实/制度/操作信息（无判断）,16.7,18.0,1.3,-7.3,9.9,False
INVEST_ADVICE,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,UNSURE,功能不可判定,2.0,2.0,0.0,-3.9,3.9,False
