key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
SITE_PORTAL_NAV__3,SITE_PORTAL_NAV__3,,444,2.024,222,2.22,1.949,2.528,1.658,200,2.0,1.744,2.294,1.843,19,1.99,1.277,3.086,2.119,3,0.305,0.104,0.894,0.322,34.08,1.0969,1.3631,30.7,0.9881,1.2279,30.53,0.9828,1.2214,4.69,0.1509,0.1875,4,,,2025搜索,助手随机1k,1.915,7.27,11,12,16,27,电影资源查询（合并后目标）,58.1,《影视》续集 / 青柠影院电视剧免费播放视频 / 天美影院在线观看电视剧网站免费
LIVE_TV_SCHEDULE__1,LIVE_TV_SCHEDULE__1,,425,1.938,112,1.12,0.932,1.346,1.232,298,2.98,2.665,3.332,11.056,9,0.942,0.497,1.781,0.815,6,0.611,0.28,1.327,0.643,19.81,0.5781,0.7925,52.71,1.5381,2.1085,16.67,0.4864,0.6667,10.81,0.3153,0.4323,4,,,2026搜索,助手随机1k,2.369,4.88,15,10,23,25,CCTV5直播观看（合并后目标）,89.6,cctv5在线直播 / cctv5 / 中央五台cctv5在线直播
WORK_CAST_LOOKUP__2,WORK_CAST_LOOKUP__2,,331,1.509,152,1.52,1.298,1.779,1.011,122,1.22,1.023,1.455,0.923,39,4.084,3.002,5.534,4.326,18,1.833,1.163,2.879,1.527,17.56,1.0074,0.7024,14.09,0.8085,0.5637,47.17,2.7061,1.8869,21.17,1.2146,0.8469,4,,,助手头部1k,2026搜索,2.864,3.35,12,16,11,16,影视剧演员表查询,96.7,给我《醒来》的完整演员表 / 醒来演员表 / 给我提供《醒来》的完整演员表
CLIP_QUOTE_DERIVATIVE__1,CLIP_QUOTE_DERIVATIVE__1,,306,1.395,138,1.38,1.17,1.628,0.896,92,0.92,0.751,1.127,0.53,41,4.293,3.18,5.772,4.875,35,3.564,2.574,4.916,3.617,13.59,0.9894,0.5435,9.06,0.6595,0.3623,42.27,3.0774,1.6906,35.09,2.5548,1.4035,4,,,助手头部1k,2026搜索,3.373,4.67,13,20,9,8,视频内容查询与生成,60.8,脱缰凯新校长情景剧全集 / 「AI视频」一家三口温馨比心 / 「AI视频」活久见之猫咪亲亲
PLOT_SYNOPSIS_ENDING__1,PLOT_SYNOPSIS_ENDING__1,,270,1.231,108,1.08,0.896,1.302,0.893,76,0.76,0.608,0.95,0.485,60,6.283,4.912,8.004,4.99,26,2.648,1.813,3.851,2.733,10.03,0.8775,0.4012,7.06,0.6175,0.2823,58.33,5.1039,2.3333,24.58,2.1509,0.9833,4,,,助手头部1k,2026搜索,5.523,8.27,17,23,5,14,影视动漫剧情信息查询,80.4,《醒来》的结局是什么 / 他为什么依然单身剧情简介 / 《醒来》的剧情简介是什么
BROADCAST_FACTS__1,BROADCAST_FACTS__1,,265,1.208,112,1.12,0.932,1.346,0.848,95,0.95,0.778,1.16,0.65,15,1.571,0.954,2.575,1.187,43,4.379,3.267,5.846,4.421,13.97,0.9272,0.5587,11.85,0.7864,0.4739,19.58,1.3,0.7834,54.6,3.6243,2.184,4,,,助手随机1k,2026搜索,3.429,4.61,15,19,17,6,影视动漫剧情信息查询,47.5,电视剧重器一共多少集 / 第几集 / 图片是第几集
APP_INSTALL_SUPPORT__1,APP_INSTALL_SUPPORT__1,,237,1.081,134,1.34,1.133,1.585,1.259,86,0.86,0.697,1.061,0.758,9,0.942,0.497,1.781,0.714,8,0.815,0.413,1.599,0.643,33.87,1.2404,1.3547,21.73,0.796,0.8693,23.81,0.8722,0.9525,20.59,0.754,0.8234,4,,,2025搜索,助手随机1k,0.526,1.65,14,22,23,22,视频平台官方应用下载与官网入口查询,71.3,快手 / 下载抖音 / 快手
LORE_QA_DISCUSSION__1,LORE_QA_DISCUSSION__1,,222,1.012,22,0.22,0.145,0.333,0.151,17,0.17,0.106,0.272,0.097,14,1.466,0.875,2.446,1.011,169,17.21,14.978,19.697,14.55,1.15,0.2174,0.0462,0.89,0.168,0.0357,7.69,1.4484,0.3076,90.27,17.0036,3.6106,4,,,助手随机1k,2026搜索,17.04,101.22,29,30,18,2,影视动漫剧情信息查询,73.9,悬案原型案件是什么 / 好看吗？ / 张予曦演了哪些电视剧？
LORE_QA_DISCUSSION__2,LORE_QA_DISCUSSION__2,,220,1.003,11,0.11,0.061,0.197,0.043,13,0.13,0.076,0.222,0.073,10,1.047,0.57,1.917,1.553,186,18.941,16.613,21.511,15.514,0.54,0.1097,0.0218,0.64,0.1296,0.0257,5.18,1.044,0.2071,93.64,18.8841,3.7455,4,,,助手随机1k,2025搜索,18.831,172.16,32,32,22,1,影视动漫剧情信息查询,47.7,好看的动画片有什么？ / 星卡梦少女12花神:正月山茶花神，跟迎春花神是c / 穿越到那年那兔那些事番外篇原版并且我说喂联合国吗
ADULT_RESTRICTED_ACCESS__1,ADULT_RESTRICTED_ACCESS__1,,214,0.976,102,1.02,0.841,1.237,0.753,90,0.9,0.733,1.105,0.556,13,1.361,0.797,2.315,0.737,9,0.916,0.483,1.733,0.723,24.3,1.0457,0.9721,21.44,0.9226,0.8576,32.43,1.3952,1.297,21.83,0.9394,0.8733,4,,,助手头部1k,2026搜索,0.461,1.51,18,21,19,21,视频内容查询与生成,46.3,瓷听说法想看鬼新娘 / 弄一个增加美观的视频 / 买玉交学费的搞笑视频
ACCESS_SPECIFIC_EPISODE__1,ACCESS_SPECIFIC_EPISODE__1,,212,0.967,84,0.84,0.679,1.039,0.516,111,1.11,0.923,1.335,0.706,5,0.524,0.224,1.22,0.285,12,1.222,0.7,2.124,2.09,22.73,0.8693,0.9093,30.04,1.1485,1.2015,14.17,0.5417,0.5666,33.06,1.2643,1.3226,4,,,助手随机1k,助手头部1k,0.698,2.33,19,17,27,19,在线观看动漫全集（合并后目标）,43.4,有没有第1集的具体剧情视频 / 黑罗刹并非被杀死而是被活活烧死而在大理寺少卿游的 / 搜索喜羊羊与灰太狼奇侠大营救大结局金块长老融了顶
ACCESS_SPECIFIC_EPISODE__2,ACCESS_SPECIFIC_EPISODE__2,,199,0.907,59,0.59,0.458,0.76,0.461,132,1.32,1.114,1.563,1.526,2,0.209,0.057,0.76,0.097,6,0.611,0.28,1.327,0.643,21.61,0.6504,0.8644,48.34,1.4551,1.9338,7.67,0.2308,0.3068,22.38,0.6734,0.895,4,,,2026搜索,助手头部1k,1.111,6.3,21,14,30,25,免费电视剧全集在线观看查询,55.8,喜羊羊奇侠大营救的金筷子长老没想到那个和一条蛇长 / 主角电视剧40集观看完整版高清 / 家业电视剧1-40集完整版
CHANNEL_RESOURCE_ACCESS__2,CHANNEL_RESOURCE_ACCESS__2,,177,0.807,3,0.03,0.01,0.088,0.009,155,1.55,1.326,1.812,1.072,11,1.152,0.644,2.051,0.675,8,0.815,0.413,1.599,0.723,0.85,0.0372,0.0338,43.71,1.921,1.7483,32.48,1.4274,1.2991,22.97,1.0095,0.9188,4,,,2026搜索,2025搜索,1.52,51.66,34,13,20,22,在线观看动漫全集（合并后目标）,27.1,哪里可以找到《跨越时空的荒天伴》 / 简直就是好莱坞大片-影视综视频-搜狐视频 搜狐1 / 我记得，，百度，，之前有点，，，
PERSON_TO_WORKS__1,PERSON_TO_WORKS__1,,170,0.775,74,0.74,0.59,0.928,0.372,70,0.7,0.555,0.883,0.324,11,1.152,0.644,2.051,1.373,15,1.527,0.928,2.505,1.286,17.97,0.955,0.7187,16.99,0.9033,0.6798,27.96,1.4861,1.1184,37.08,1.9708,1.4832,4,,,助手随机1k,2026搜索,0.827,2.18,20,24,20,18,电视剧与短剧查询推荐,52.4,吴谨言的代表作品有哪些 / 徐正溪最新出演的作品有哪些 / 古天乐电影大全
LIVE_TV_SCHEDULE__2,LIVE_TV_SCHEDULE__2,,155,0.707,52,0.52,0.397,0.681,0.521,98,0.98,0.805,1.193,1.638,2,0.209,0.057,0.76,0.132,3,0.305,0.104,0.894,0.241,25.81,0.736,1.0324,48.64,1.3869,1.9455,10.39,0.2964,0.4157,15.16,0.4323,0.6064,4,,,2026搜索,助手头部1k,0.771,4.68,23,18,30,27,电视节目表查询,94.8,cctv5 节目表 / cctv5节目表 / cctv5节目表
CHANNEL_RESOURCE_ACCESS__3,CHANNEL_RESOURCE_ACCESS__3,,147,0.67,8,0.08,0.041,0.158,0.044,131,1.31,1.105,1.552,1.646,8,0.838,0.425,1.644,1.867,0,0.0,0.0,0.39,0.0,3.59,0.1194,0.1437,58.81,1.9549,2.3523,37.6,1.2499,1.504,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,1.31,inf,33,15,25,34,免费电视剧全集在线观看查询,59.9,YY影院在线观看免费观看电视剧百度 / 千香免费观看全集电视剧百度网 / 《炽夏》电视剧全集
CLIP_QUOTE_DERIVATIVE__3,CLIP_QUOTE_DERIVATIVE__3,,139,0.634,3,0.03,0.01,0.088,0.007,1,0.01,0.002,0.057,0.003,49,5.131,3.903,6.719,4.397,86,8.758,7.146,10.69,14.228,0.22,0.0473,0.0086,0.07,0.0158,0.0029,36.84,8.0965,1.4735,62.88,13.8194,2.515,4,,,助手随机1k,2026搜索,8.748,875.68,34,36,7,3,视频内容查询与生成,88.5,请帮我生成一个视频：美女，比例为1:1。 / 有视频吗 / 请帮我生成一个视频：跳舞，比例为原比例。
IDENTIFY_TITLE_FROM_FRAGMENT__1,IDENTIFY_TITLE_FROM_FRAGMENT__1,,106,0.483,19,0.19,0.122,0.297,0.104,22,0.22,0.145,0.333,0.099,25,2.618,1.779,3.836,1.823,40,4.073,3.005,5.499,4.582,2.68,0.3932,0.107,3.1,0.4553,0.1239,36.86,5.4169,1.4746,57.36,8.4287,2.2944,4,,,助手随机1k,2025搜索,3.883,21.43,30,28,14,7,影视动漫剧情信息查询,37.7,帝工企业犯罪组织是什么 / 这个剧名是什么啊 / 牛来是什么电影？
SITE_PORTAL_NAV__2,SITE_PORTAL_NAV__2,,105,0.479,48,0.48,0.362,0.636,0.459,52,0.52,0.397,0.681,0.658,4,0.419,0.163,1.072,0.208,1,0.102,0.018,0.575,0.08,31.57,1.0029,1.2627,34.2,1.0864,1.3678,27.54,0.875,1.1016,6.7,0.2127,0.2678,4,,,2026搜索,助手随机1k,0.418,5.11,24,25,28,30,在线观看动漫全集（合并后目标）,50.5,抖漫 / 樱花视频 / 猫咪可以看的动画片
PLATFORM_ACCOUNT_SUPPORT__1,PLATFORM_ACCOUNT_SUPPORT__1,,88,0.401,40,0.4,0.294,0.544,0.212,18,0.18,0.114,0.284,0.104,1,0.105,0.018,0.591,0.037,29,2.953,2.064,4.209,2.814,11.0,0.9972,0.4399,4.95,0.4487,0.1979,2.88,0.261,0.1151,81.18,7.3607,3.247,4,,,助手随机1k,助手头部1k,2.848,28.2,26,29,32,11,视频平台官方应用下载与官网入口查询,90.9,你别控制我抖音 / 我最近搜索了哪些视频 / 这个抖音的微信号属于官
CLIP_QUOTE_DERIVATIVE__2,CLIP_QUOTE_DERIVATIVE__2,,84,0.383,45,0.45,0.337,0.602,0.426,30,0.3,0.21,0.428,0.344,8,0.838,0.425,1.644,0.553,1,0.102,0.018,0.575,0.08,26.64,1.1753,1.0655,17.76,0.7834,0.7103,49.58,2.1874,1.9831,6.03,0.2659,0.2411,4,,,助手头部1k,助手随机1k,0.736,8.23,25,27,25,30,影视视频资源查询（合并后目标）,46.4,亲嘴视频 / 黄霄云第三个吻痕手势舞视频 / 亲嘴视频
APP_INSTALL_SUPPORT__2,APP_INSTALL_SUPPORT__2,,73,0.333,36,0.36,0.26,0.498,0.352,33,0.33,0.235,0.463,0.394,3,0.314,0.107,0.919,0.2,1,0.102,0.018,0.575,0.08,32.55,1.0819,1.3022,29.84,0.9916,1.1935,28.4,0.9439,1.136,9.21,0.306,0.3683,4,,,2025搜索,助手随机1k,0.258,3.54,27,26,29,30,免费电视剧全集在线观看查询,31.5,生成视频的网站免费 / 什么软件看综艺全部免费没有广告 / 看片
ACCESS_SPECIFIC_EPISODE__3,ACCESS_SPECIFIC_EPISODE__3,,61,0.278,59,0.59,0.458,0.76,0.777,2,0.02,0.005,0.073,0.012,0,0.0,0.0,0.401,0.0,0,0.0,0.0,0.39,0.0,96.72,2.1219,3.8689,3.28,0.0719,0.1311,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2025搜索,助手头部1k,0.59,inf,21,35,34,34,查询《逆爱》电视剧在线观看资源（合并后目标）,100.0,逆爱第八集 / 逆爱第7集 / 逆爱第8集免费观看
WORK_CAST_LOOKUP__1,WORK_CAST_LOOKUP__1,,36,0.164,27,0.27,0.186,0.393,0.361,5,0.05,0.021,0.117,0.03,1,0.105,0.018,0.591,0.057,3,0.305,0.104,0.894,0.241,36.98,1.6454,1.4792,6.85,0.3047,0.2739,14.34,0.638,0.5736,41.83,1.8613,1.6733,4,,,助手随机1k,2026搜索,0.255,6.11,28,34,32,27,影视剧免费在线观看查询,66.7,以法之名演员表名单和角色介绍 / 我说的是陈数和黄磊主演的电视剧夫妻那些事 / 菲律宾电影那炎热的夜晚女主演
UNCENSORED_VERSION__1,UNCENSORED_VERSION__1,,30,0.137,15,0.15,0.091,0.247,0.082,14,0.14,0.083,0.235,0.095,0,0.0,0.0,0.401,0.0,1,0.102,0.018,0.575,0.08,38.28,1.0969,1.5314,35.73,1.0237,1.4292,0.0,0.0,0.0,25.99,0.7445,1.0394,3,助手头部1k,,2025搜索,助手头部1k,0.15,inf,31,31,34,30,在线观看动漫全集（合并后目标）,26.7,范冰冰黎明原版和删减版区别 / 斯巴达克斯未测减除版 / 人间中毒韩国电影原版
CHANNEL_RESOURCE_ACCESS__1,CHANNEL_RESOURCE_ACCESS__1,,11,0.05,0,0.0,0.0,0.038,0.0,11,0.11,0.061,0.197,0.255,0,0.0,0.0,0.401,0.0,0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,100.0,2.1936,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025搜索 / 助手头部1k / 助手随机1k,2026搜索,2026搜索,2025搜索,0.11,inf,36,33,34,34,查询影视节目观看入口,45.5,法国空姐2019(多塞尔航空)抢先版百度 / 法国空姐2018免费高清原声满天星美版百度 / 法国空乘2019满天星法版完整版百度主要演员
