code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
NAVIGATE_TO_PERSON_PAGE,跳转人物站外主页,用户以平台名结尾（微博/百度百科等），目的是到达该人物的官方账号或百科词条页面本身，而不是让系统复述资料。,首条结果即为可直达的官方账号/百科词条页，用户即满足。,False,0.0037,迪丽热巴微博 / 梓渝 百度百科 / 任嘉伦 百度百科 / 刘萧旭 百度百科,刘强东的个人资料及简介 — 属于 BIO_PROFILE_LOOKUP：资料阅读 / 田栩宁百度送花影响力 — 属于 ENTERTAINER_POPULARITY_METRIC_LOOKUP：影响力数值 / 张函瑞百科个人资料简介图片 — 属于 PERSON_IMAGE_REQUEST：图片资源,1
FAN_ENGAGEMENT_ACTION,粉丝打榜投票入口,用户想完成给某位艺人送花/投票/打榜的平台操作，要的是入口路径而不是数值或档案页面。,收到可用的投票/送花入口指引（平台与路径）并完成操作，用户即满足；只给排名数字或百科简介不满足。,False,0.01,赵雅芝百度送花榜投票入口 / 梓渝百度影响力投票 / 陈奕恒百度 送花 / 田栩宁百度送花影响力,何健麒 百度影响力 — 属于 ENTERTAINER_POPULARITY_METRIC_LOOKUP：查数值 / 田栩宁的个人资料及简介 — 属于 BIO_PROFILE_LOOKUP：档案 / 梓渝 百度百科 — 属于 NAVIGATE_TO_PERSON_PAGE：站外主页,1
ENTERTAINER_POPULARITY_METRIC_LOOKUP,艺人平台热度数值查询,用户想查某艺人在指定平台（通常百度）的量化热度值、送花数或影响力分数，要的是数值阅读而不是操作入口。,收到该艺人在指定平台的热度/打榜数值及平台出处即满足。,False,0.01,何健麒 百度影响力 / 田栩宁的影响力真是 / 于朦胧 明星影响力 / 梓渝明星百度影响力,赵雅芝百度送花榜投票入口 — 属于 FAN_ENGAGEMENT_ACTION：要入口 / 田栩宁百度百科简历 — 属于 BIO_PROFILE_LOOKUP：档案 / 迪丽热巴微博 — 属于 NAVIGATE_TO_PERSON_PAGE：主页跳转,1
PERSON_IMAGE_REQUEST,人物肖像图片获取,用户主要为获取该人物的肖像图片、写真或高清图，或档案查询中图片是最终交付物。,收到该人物准确肖像图片集或在档案/新闻结果外附图片集即满足。,False,0.005,田栩宁个人资料简介图片 百科 / 张函瑞百科个人资料简介图片 / 何健麒的个人资料简介图片 / 刘萧旭百科个人资料及图片,哪吒图片高清大图 — 属于 WORK_CONTENT_RETRIEVAL：角色作品图 / 张柏芝2008年的照片高清百度云 — 属于 ADULT_OR_LEAKED_CONTENT_SEEKING：泄露影像 / 美女图片个性高级感 — 属于 SEXUALIZED_BROWSE_NON_PERSON：类目浏览,3
WORK_CONTENT_RETRIEVAL,作品本体获取,查询里出现人名/角色名，但用户实际要的是作品本体——原文、角色图片、歌曲、影视内容——而不是人物档案。,收到所求作品内容的可获取途径或内容本身即满足。,False,,我的女友景甜 原文 / 章鱼噼的原罪图片 / 哪吒图片高清大图 / 红鼻子鲁道夫,王祖蓝身高 — 属于 PERSON_ATTRIBUTE_LOOKUP：人物属性 / 田栩宁个人资料简介图片 百科 — 属于 PERSON_IMAGE_REQUEST：人物肖像 / 清明上河图的作者是谁 — 属于 REVERSE_PERSON_RESOLUTION：反查作者,1
MEME_OR_PHRASE_EXPLAINER,人物相关梗与说法解释,用户遇到与人物绑定的流行说法、梗、外形/风格评价或绰号，要的是含义、出处和语境解释，而非该人物档案。,收到该说法/梗的解释（含义、出处、使用语境）即满足。,False,0.003,傅首尔面相是什么意思 / 孙笑川为什么这么有名 / 郭延军的鼻子 / 曼波曼波曼波,傅首尔个人资料 — 属于 BIO_PROFILE_LOOKUP：档案 / 姜子牙真人简介 — 属于 BIO_PROFILE_LOOKUP：档案 / 檀健次身高实际多高 — 属于 CLAIM_VERIFICATION：数值核验,0
ADULT_OR_LEAKED_CONTENT_SEEKING,成人或泄露私密影像查询,用户以具体人名或事件词、委婉语寻找成人内容、被泄露的私密影像或艳照门资源，合规应对是限制分发和拒绝提供违法内容。,系统识别其成人内容/泄露影像所指后拒绝提供或引导至中性公开信息，并禁止相关结果进入推荐/热搜/榜单，即满足。,True,0.006,张柏芝2008年的照片高清百度云 / 白百何一指禅高清图片 原图 / 张柏芝照片电脑维修照片 / 张柏芝艳照门,明日花绮罗 — 属于 BARE_NAME_IDENTITY_LOOKUP：裸名成人艺人身份 / 左小青最惊艳的三张照片 — 属于 PERSON_IMAGE_REQUEST：合法公开肖像精选 / 哪吒图片高清大图 — 属于 WORK_CONTENT_RETRIEVAL：作品图,3
DEFAMATION_AND_SCANDAL,黑料绯闻炒作查询,用户要求获取未经核实的指控、炒作性绯闻/丑闻、娱乐圈黑料或正主话题，这类内容属不得进入热搜/榜单但可限表面路由处理。,系统不提供未经核实指控或炒作性事件，或仅给中性公开事实并排除出热搜/榜单/推荐位，即满足。,True,,网红黑料 / 扒哥黑料 / 于正爆料肖战不跟自己合作 / 黄一鸣,张柏芝2008年的照片高清百度云 — 属于 ADULT_OR_LEAKED_CONTENT_SEEKING：具体影像索取 / 陈小江 — 属于 PERSON_RECENT_EVENT_LOOKUP：权威新闻事件 / 傅首尔面相是什么意思 — 属于 MEME_OR_PHRASE_EXPLAINER：解释梗,2
SEXUALIZED_BROWSE_NON_PERSON,性化类目浏览或非具体人物浏览,查询以女性形象元素、性感/大胸/写真等类目词或「演员」等泛称进行浏览，不指向单一可标识人物，应从人物垂类中剥离并限制表面。,系统不将该查询当作单个人物档案满足，而按类目浏览处理并限制进入首屏/推荐位，即满足。,True,0.0099,美女 / 美女图片 / 性感美女图片集 / 大胸美女,王楚然 — 属于 BARE_NAME_IDENTITY_LOOKUP：具体人物裸名 / 白鹿 — 属于 BARE_NAME_IDENTITY_LOOKUP：具体艺人裸名 / 左小青最惊艳的三张照片 — 属于 PERSON_IMAGE_REQUEST：具体人物肖像,1
OUT_OF_DOMAIN_NON_PERSON,垂类外非人物查询,查询不指向任何可识别的人物，可能是非人实体、组织机构、平台、作品、制度名或语音噪音，无法填入人物意图类目。,系统正确识别其为非人物查询并重路由、降级或拒绝为人物结果，即满足。,False,,云岭先锋 / Gagaoolala / 马应龙 / blackpink,白鹿 — 属于 BARE_NAME_IDENTITY_LOOKUP：艺人裸名 / 孙悟空 — 属于 BARE_NAME_IDENTITY_LOOKUP：虚构人物裸名 / 韩寒重庆成立影业公司 — 属于 PERSON_RECENT_EVENT_LOOKUP：人物近期事件,1
