sid,code
n00184,A
n00185,A
n00186,A
n00187,A
n00188,U
n00189,U
n00190,U
n00191,A
n00192,D
n00193,D
n00194,D
n00195,D
n00196,D
n00197,U
n00198,U
n00199,U
n00480,U
n00481,U
n00482,U
n00483,U
n00484,U
n00485,U
n00486,U
n00487,U
n00488,U
n00489,U
n00490,U
n00491,U
n00492,U
n00493,U
n00494,U
n00495,U
n00496,U
n00497,U
n00498,U
n00499,U
n00500,U
n00501,U
n00502,U
n00503,U
n00504,U
n00505,U
n00506,U
n00507,U
n00508,U
n00509,U
n00510,U
n00511,U
n00512,U
n00513,U
n00514,U
n00515,U
n00516,U
n00517,U
n00518,U
n00519,U
n00000,A
n00001,F
n00002,F
n00003,F
n00004,F
n00005,F
n00006,A
n00007,U
n00008,U
n00009,U
n00010,U
n00011,U
n00012,U
n00013,U
n00014,U
n00015,U
n00016,U
n00017,U
n00018,U
n00019,U
n00020,U
n00021,U
n00022,D
n00023,U
n00024,D
n00025,U
n00026,U
n00027,F
n00028,D
n00029,D
n00030,A
n00031,A
n00032,A
n00033,A
n00034,U
n00035,U
n00036,U
n00037,U
n00038,F
n00039,U
n00200,U
n00201,U
n00202,A
n00203,A
n00204,A
n00205,U
n00206,A
n00207,A
n00208,A
n00209,A
n00210,A
n00211,A
n00212,A
n00213,A
n00214,A
n00215,A
n00216,U
n00217,U
n00218,U
n00219,A
n00220,A
n00221,A
n00222,A
n00223,F
n00224,U
n00225,U
n00226,U
n00227,U
n00228,U
n00229,U
n00230,U
n00231,U
n00232,U
n00233,U
n00234,U
n00235,U
n00236,U
n00237,U
n00238,U
n00239,U
n00040,U
n00041,P
n00042,P
n00043,U
n00044,U
n00045,U
n00046,U
n00047,U
n00048,U
n00049,U
n00050,U
n00051,U
n00052,U
n00053,U
n00054,U
n00055,U
n00056,U
n00057,U
n00058,U
n00059,U
n00060,U
n00061,U
n00062,A
n00063,U
n00064,U
n00065,A
n00066,A
n00067,A
n00068,A
n00069,A
n00070,A
n00071,A
n00072,A
n00073,U
n00074,F
n00075,A
n00076,U
n00077,U
n00078,U
n00079,A
n00720,U
n00721,U
n00722,A
n00723,A
n00724,U
n00725,F
n00726,U
n00727,A
n00728,A
n00729,A
n00730,U
n00731,U
n00732,U
n00733,A
n00734,U
n00735,U
n00736,A
n00737,A
n00738,A
n00739,A
n00740,U
n00741,A
n00742,A
n00743,A
n00744,A
n00745,A
n00746,A
n00747,A
n00748,D
n00749,U
n00750,F
n00751,A
n00752,A
n00753,A
n00754,A
n00755,U
n00756,D
n00757,D
n00758,A
n00759,U
n00800,C
n00801,U
n00802,A
n00803,A
n00804,A
n00805,A
n00806,A
n00807,A
n00808,A
n00809,A
n00810,A
n00811,A
n00812,A
n00813,A
n00814,A
n00815,A
n00816,A
n00817,A
n00818,U
n00819,A
n00820,A
n00821,U
n00822,U
n00823,U
n00824,U
n00825,U
n00826,A
n00827,A
n00828,A
n00829,A
n00830,U
n00831,U
n00832,U
n00833,U
n00834,U
n00835,U
n00836,A
n00837,A
n00838,A
n00839,A
n00840,U
n00841,F
n00842,A
n00843,U
n00844,A
n00845,U
n00846,U
n00847,U
n00848,A
n00849,U
n00850,A
n00851,A
n00852,A
n00853,A
n00854,A
n00855,U
n00856,U
n00857,U
n00858,A
n00859,U
n00860,U
n00861,U
n00862,U
n00863,U
n00864,U
n00865,U
n00866,U
n00867,D
n00868,A
n00869,U
n00870,U
n00871,U
n00872,U
n00873,U
n00874,U
n00875,P
n00876,U
n00877,U
n00878,A
n00879,U
n00120,U
n00121,U
n00122,U
n00123,U
n00124,U
n00125,U
n00126,A
n00127,A
n00128,A
n00129,U
n00130,U
n00131,U
n00132,U
n00133,U
n00134,U
n00135,U
n00136,U
n00137,U
n00138,U
n00139,U
n00140,C
n00141,C
n00142,C
n00143,C
n00144,C
n00145,C
n00146,C
n00147,C
n00148,C
n00149,C
n00150,C
n00151,U
n00152,U
n00153,F
n00154,F
n00155,U
n00156,C
n00157,A
n00158,A
n00159,A
n00080,A
n00081,U
n00082,A
n00083,F
n00084,D
n00085,D
n00086,D
n00087,D
n00088,D
n00089,U
n00090,P
n00091,D
n00092,D
n00093,D
n00094,U
n00095,U
n00096,D
n00097,D
n00098,U
n00099,U
n00100,F
n00101,A
n00102,A
n00103,A
n00104,A
n00105,A
n00106,U
n00107,A
n00108,U
n00109,A
n00110,P
n00111,U
n00112,U
n00113,U
n00114,U
n00115,P
n00116,A
n00117,A
n00118,U
n00119,U
n00680,U
n00681,U
n00682,U
n00683,U
n00684,U
n00685,U
n00686,U
n00687,U
n00688,U
n00689,U
n00690,U
n00691,U
n00692,U
n00693,U
n00694,U
n00695,U
n00696,U
n00697,U
n00698,U
n00699,U
n00700,U
n00701,U
n00702,U
n00703,U
n00704,U
n00705,U
n00706,U
n00707,A
n00708,A
n00709,A
n00710,U
n00711,U
n00712,U
n00713,A
n00714,A
n00715,A
n00716,U
n00717,A
n00718,A
n00719,A
c00011,U
c00012,U
c00013,U
c00014,U
c00015,U
c00016,U
c00017,U
c00018,U
c00019,U
c00020,U
c00021,A
c00022,U
c00023,U
c00024,U
c00025,U
c00026,U
c00027,A
c00028,U
c00029,U
c00030,U
c00031,U
c00032,U
c00033,A
c00034,U
c00035,U
c00036,U
c00037,U
c00038,U
c00039,U
c00040,A
c00041,U
c00042,U
c00043,U
c00044,A
c00045,U
c00046,U
c00047,U
c00048,U
c00049,U
c00050,U
n00920,A
n00921,A
n00922,A
n00923,A
n00924,A
n00925,U
n00926,D
n00927,D
n00928,U
n00929,U
n00930,U
n00931,A
n00932,U
n00933,U
n00934,U
n00935,U
n00936,D
n00937,D
n00938,D
n00939,D
n00940,D
n00941,A
n00942,A
n00943,U
n00944,D
n00945,U
n00946,U
n00947,A
n00948,A
n00949,A
n00950,U
n00951,A
n00952,U
n00953,A
n00954,U
n00955,U
n00956,A
n00957,U
n00958,U
n00959,U
n00880,U
n00881,U
n00882,U
n00883,U
n00884,F
n00885,U
n00886,A
n00887,A
n00888,U
n00889,U
n00890,U
n00891,U
n00892,U
n00893,U
n00894,U
n00895,A
n00896,U
n00897,D
n00898,U
n00899,U
n00900,A
n00901,U
n00902,U
n00903,U
n00904,U
n00905,U
n00906,U
n00907,U
n00908,U
n00909,U
n00910,U
n00911,U
n00912,A
n00913,A
n00914,A
n00915,U
n00916,A
n00917,A
n00918,U
n00919,A
c00000,U
c00001,U
c00002,U
c00003,U
c00004,U
c00005,U
c00006,A
c00007,A
c00008,A
c00009,U
c00010,U
n00960,A
n00961,U
n00962,D
n00963,U
n00964,F
n00965,U
n00966,A
n00967,A
n00968,U
n00969,A
n00970,A
n00971,A
n00972,A
n00973,D
n00974,D
n00975,U
n00976,D
n00977,U
n00978,U
n00979,U
n00980,U
n00981,A
n00982,U
n00983,U
n00984,U
n00985,U
n00986,A
n00987,A
n00988,U
n00760,U
n00761,D
n00762,A
n00763,A
n00764,A
n00765,D
n00766,D
n00767,D
n00768,U
n00769,A
n00770,U
n00771,U
n00772,U
n00773,D
n00774,D
n00775,D
n00776,D
n00777,D
n00778,U
n00779,U
n00780,A
n00781,A
n00782,U
n00783,U
n00784,A
n00785,A
n00786,A
n00787,D
n00788,U
n00789,U
n00790,U
n00791,U
n00792,U
n00793,U
n00794,U
n00795,U
n00796,U
n00797,U
n00798,U
n00799,U
c00051,A
c00052,U
c00053,U
c00054,U
c00055,U
c00056,U
c00057,U
c00058,U
c00059,U
c00060,U
c00061,U
c00062,U
c00063,U
c00064,U
c00065,U
c00066,U
c00067,U
c00068,U
c00069,U
c00070,U
c00071,A
c00072,U
c00073,A
c00074,U
c00075,A
c00076,U
c00077,U
c00078,U
c00079,A
c00080,U
c00081,U
c00082,U
c00083,U
c00084,U
c00085,F
c00086,U
c00087,U
c00088,U
c00089,U
c00090,U
c00291,U
c00292,U
c00293,U
c00294,U
c00295,U
c00296,A
c00297,U
c00298,U
c00299,U
c00091,U
c00092,U
c00093,D
c00094,U
c00095,U
c00096,U
c00097,A
c00098,U
c00099,U
c00100,U
c00101,U
c00102,U
c00103,A
c00104,U
c00105,U
c00106,U
c00107,U
c00108,U
c00109,U
c00110,U
c00111,U
c00112,U
c00113,A
c00114,U
c00115,U
c00116,U
c00117,U
c00118,U
c00119,U
c00120,U
c00121,U
c00122,U
c00123,U
c00124,U
c00125,U
c00126,U
c00127,A
c00128,A
c00129,U
c00130,U
c00251,U
c00252,A
c00253,U
c00254,U
c00255,U
c00256,U
c00257,A
c00258,U
c00259,A
c00260,U
c00261,A
c00262,U
c00263,U
c00264,U
c00265,U
c00266,U
c00267,U
c00268,U
c00269,U
c00270,U
c00271,A
c00272,A
c00273,U
c00274,A
c00275,U
c00276,A
c00277,A
c00278,U
c00279,U
c00280,U
c00281,U
c00282,U
c00283,U
c00284,U
c00285,A
c00286,U
c00287,U
c00288,U
c00289,U
c00290,U
c00131,A
c00132,U
c00133,U
c00134,U
c00135,A
c00136,U
c00137,U
c00138,U
c00139,A
c00140,U
c00141,U
c00142,A
c00143,U
c00144,U
c00145,A
c00146,U
c00147,U
c00148,U
c00149,U
c00150,A
c00151,A
c00152,A
c00153,U
c00154,U
c00155,U
c00156,A
c00157,A
c00158,U
c00159,A
c00160,U
c00161,A
c00162,U
c00163,U
c00164,U
c00165,U
c00166,A
c00167,A
c00168,A
c00169,A
c00170,A
c00171,A
c00172,U
c00173,U
c00174,U
c00175,U
c00176,U
c00177,U
c00178,U
c00179,U
c00180,D
c00181,U
c00182,A
c00183,U
c00184,U
c00185,U
c00186,U
c00187,U
c00188,U
c00189,U
c00190,U
c00191,U
c00192,U
c00193,U
c00194,U
c00195,U
c00196,U
c00197,U
c00198,U
c00199,U
c00200,U
c00201,U
c00202,U
c00203,U
c00204,U
c00205,U
c00206,U
c00207,U
c00208,U
c00209,U
c00210,U
c00211,U
c00212,U
c00213,U
c00214,U
c00215,U
c00216,U
c00217,U
c00218,A
c00219,U
c00220,U
c00221,A
c00222,U
c00223,U
c00224,U
c00225,A
c00226,U
c00227,A
c00228,U
c00229,U
c00230,U
c00231,U
c00232,A
c00233,U
c00234,U
c00235,U
c00236,U
c00237,U
c00238,A
c00239,U
c00240,A
c00241,U
c00242,A
c00243,A
c00244,U
c00245,A
c00246,U
c00247,U
c00248,U
c00249,U
c00250,U
