科室,码,快照,query,PV归一
儿科,EK,健康管家随机1w,女孩初潮时低于1米5怎么办,4.98
儿科,EK,健康管家随机1w,小儿咳喘口服液说明书,3.56
儿科,EK,健康管家随机1w,孩子睡眠不好是什么原因?,3.56
妇科,FCK_FK,传统搜索随机1w,粉色分泌物怎么回事,11.55
妇科,FCK_FK,传统搜索随机1w,阴壁上长小疙瘩图片,10.27
妇科,FCK_FK,传统搜索随机1w,女宝胶囊的功效,8.99
妇科,FCK_FK,健康管家随机1w,霉菌阴道炎阴道炎外阴炎,32.74
妇科,FCK_FK,健康管家随机1w,九价疫苗的作用与功效及副作用,11.39
妇科,FCK_FK,健康管家随机1w,女人绝经有哪些症状表现？,4.98
精神心理科,JS,传统搜索随机1w,如何每天保持好心情,262.32
精神心理科,JS,传统搜索随机1w,找心理咨询医生,8.56
精神心理科,JS,传统搜索随机1w,注意力不集中挂什么科,6.85
精神心理科,JS,健康管家随机1w,成绩好的学生就不会有开学焦虑？,10.68
精神心理科,JS,健康管家随机1w,盐酸舍曲林片的说明书有哪几点功效好吗,4.27
精神心理科,JS,健康管家随机1w,为什么有抑郁症要吃丙戊酸镁缓释片,4.27
肾内科,NK_SN,传统搜索随机1w,女性肾炎能治好吗,2.57
肾内科,NK_SN,传统搜索随机1w,"肌酐105.5,肾小球滤过率86.1",2.57
肾内科,NK_SN,传统搜索随机1w,百令片能降蛋白尿吗,2.14
肾内科,NK_SN,健康管家随机1w,左卡尼丁的功效,6.41
肾内科,NK_SN,健康管家随机1w,肾小球过滤率低怎么办？,2.85
肾内科,NK_SN,健康管家随机1w,高尿酸肾病能治好吗,2.14
普通外科,WK_PW,传统搜索随机1w,痔速宁片的功效,49.64
普通外科,WK_PW,传统搜索随机1w,内痔疮的症状表现有哪些,26.1
普通外科,WK_PW,传统搜索随机1w,胆囊炎最佳10食物,16.26
普通外科,WK_PW,健康管家随机1w,淋巴结肿大的原因,20.64
普通外科,WK_PW,健康管家随机1w,适合胆囊炎吃的食物有哪些,14.95
普通外科,WK_PW,健康管家随机1w,胆结石多少mm以上建议手术,12.81
心血管内科,NK_XX,传统搜索随机1w,喝绿茶能降血压吗,13.69
心血管内科,NK_XX,传统搜索随机1w,阿利沙坦,8.13
心血管内科,NK_XX,传统搜索随机1w,扩心病是怎么回事,6.42
心血管内科,NK_XX,健康管家随机1w,心肌缺血什么症状,36.3
心血管内科,NK_XX,健康管家随机1w,复方丹参滴丸,13.53
心血管内科,NK_XX,健康管家随机1w,心肌炎症状有什么,12.1
非医疗内容,FYL,传统搜索随机1w,中医养生0元领取,5.99
非医疗内容,FYL,传统搜索随机1w,得椎间盘突出的名星,3.42
非医疗内容,FYL,传统搜索随机1w,鸽豆最简单的方法治疗,3.42
非医疗内容,FYL,健康管家随机1w,白露和寒露有什么区别,2.85
非医疗内容,FYL,健康管家随机1w,坐位体前屈成绩标准,2.14
非医疗内容,FYL,健康管家随机1w,狗狗又吐又拉是怎么回事,1.42
风湿免疫科,NK_FS,传统搜索随机1w,类风湿手指肿胀如何消除,43.65
风湿免疫科,NK_FS,传统搜索随机1w,强直性脊柱炎并发症,16.26
风湿免疫科,NK_FS,传统搜索随机1w,手骨节肿大又疼该怎么治疗,3.42
风湿免疫科,NK_FS,健康管家随机1w,我想了解来氟米特,2.85
风湿免疫科,NK_FS,健康管家随机1w,狼疮患者同房后能影响尿潜血和尿蛋白检查吗,2.14
风湿免疫科,NK_FS,健康管家随机1w,双手握拳松开时候好紧怎么回事,1.42
消化内科,NK_XH,传统搜索随机1w,做完肠胃镜多久可以正常饮食,57.77
消化内科,NK_XH,传统搜索随机1w,胰腺炎是大病还是小病,53.06
消化内科,NK_XH,传统搜索随机1w,幽门螺杆菌囗腔抑菌膏,53.06
消化内科,NK_XH,健康管家随机1w,排便困难是便秘吗,189.35
消化内科,NK_XH,健康管家随机1w,食管炎反流吃什么药？,22.78
消化内科,NK_XH,健康管家随机1w,胆红素高的原因,14.24
呼吸内科,NK_HX,传统搜索随机1w,嗓子痒痒老想咳嗽怎么回事,15.83
呼吸内科,NK_HX,传统搜索随机1w,感冒症状有哪些表现,14.55
呼吸内科,NK_HX,传统搜索随机1w,气切后能恢复吗,10.27
呼吸内科,NK_HX,健康管家随机1w,晚上盗汗有什么原因,3.56
呼吸内科,NK_HX,健康管家随机1w,磨玻璃结节是恶性的概率多大,2.85
呼吸内科,NK_HX,健康管家随机1w,流鼻涕打喷嚏鼻塞,2.85
检验影像病理,JC,传统搜索随机1w,总二氧化碳,8.99
检验影像病理,JC,传统搜索随机1w,脑部ct,8.13
检验影像病理,JC,传统搜索随机1w,动态血压正常值范围,7.27
检验影像病理,JC,健康管家随机1w,心电图能检查出什么,7.83
检验影像病理,JC,健康管家随机1w,载脂蛋白b偏高,7.12
检验影像病理,JC,健康管家随机1w,什么是糖类抗原,6.41
生殖医学科,FCK_SZ,传统搜索随机1w,抗缪勒氏管激素低是什么原因,3.0
生殖医学科,FCK_SZ,传统搜索随机1w,女人40岁还会怀孕吗,1.71
生殖医学科,FCK_SZ,传统搜索随机1w,高龄内膜薄吃什么药促卵.,1.71
生殖医学科,FCK_SZ,健康管家随机1w,女人38岁还能生孩子吗？,4.27
生殖医学科,FCK_SZ,健康管家随机1w,试管双胞胎多少钱,2.14
生殖医学科,FCK_SZ,健康管家随机1w,做试管移植后用打泰爱吗,1.42
药品通用问题,YP_GENERIC,传统搜索随机1w,罗浮苁蓉胶囊,25.68
药品通用问题,YP_GENERIC,传统搜索随机1w,轻舒朵骨康宁功效,17.12
药品通用问题,YP_GENERIC,传统搜索随机1w,依苏帕格鲁肽,14.55
药品通用问题,YP_GENERIC,健康管家随机1w,头孢克肟的功效,36.3
药品通用问题,YP_GENERIC,健康管家随机1w,利伐沙班的五大禁忌和副作用,22.78
药品通用问题,YP_GENERIC,健康管家随机1w,双氯芬酸二乙胺乳胶剂作用与功效,16.37
泌尿外科,WK_MN,传统搜索随机1w,泌尿感染吃什么药,23.11
泌尿外科,WK_MN,传统搜索随机1w,尿道炎吃啥药效果好女性,5.14
泌尿外科,WK_MN,传统搜索随机1w,尿道感染会肾疼吗,3.42
泌尿外科,WK_MN,健康管家随机1w,尿路感染可以吃阿莫西林吗,6.41
泌尿外科,WK_MN,健康管家随机1w,男性右侧后腰里面疼,5.69
泌尿外科,WK_MN,健康管家随机1w,我想了解尿道狭窄,5.69
眼科,YK,传统搜索随机1w,眼结石怎么消除,22.25
眼科,YK,传统搜索随机1w,眼睛干涩痒什么原因,12.41
眼科,YK,传统搜索随机1w,左氧沙星滴眼液功效与作用,4.71
眼科,YK,健康管家随机1w,干眼症怎么能治愈,4.98
眼科,YK,健康管家随机1w,左眼下眼皮跳是什么兆头,3.56
眼科,YK,健康管家随机1w,左眼睛突然眼底出血,2.85
就医事务,JY,传统搜索随机1w,南京市第一医院,65.05
就医事务,JY,传统搜索随机1w,北京宣武预约挂号,17.97
就医事务,JY,传统搜索随机1w,直肠癌手术费用大约多少钱,10.27
就医事务,JY,健康管家随机1w,杭州市中医院看失眠专家,2.85
就医事务,JY,健康管家随机1w,三甲医院是什么意思,2.85
就医事务,JY,健康管家随机1w,"被人打的右脸面擦伤,右手大指手撑粉碎性骨折,门牙断了一颗可以够成伤情鉴定么",2.14
耳鼻咽喉科,EB,传统搜索随机1w,中耳炎用什么药效果快,13.27
耳鼻咽喉科,EB,传统搜索随机1w,前庭神经炎吃什么药,11.98
耳鼻咽喉科,EB,传统搜索随机1w,做个咽喉镜多少钱,4.71
耳鼻咽喉科,EB,健康管家随机1w,扁桃体结石怎么弄出来,3.56
耳鼻咽喉科,EB,健康管家随机1w,舌根疙瘩图片,2.85
耳鼻咽喉科,EB,健康管家随机1w,咽干口苦是什么原因吃什么药好,2.14
无法判断,WFPD,传统搜索随机1w,木姜子,235.36
无法判断,WFPD,传统搜索随机1w,"哺乳期公,公",6.42
无法判断,WFPD,传统搜索随机1w,连铁是什么器官,6.42
无法判断,WFPD,健康管家随机1w,性精子可以口吃吗,6.41
无法判断,WFPD,健康管家随机1w,女性吃什么才能水多,2.14
无法判断,WFPD,健康管家随机1w,苦豆子图片,1.42
男科,NANKE,传统搜索随机1w,海狗丸的功效,48.78
男科,NANKE,传统搜索随机1w,手瘾五六年还能恢复吗,20.97
男科,NANKE,传统搜索随机1w,吃什么中成药可以让阴痉充血更好,10.7
男科,NANKE,健康管家随机1w,壮阳药哪个好,4.27
男科,NANKE,健康管家随机1w,淫羊藿可以壮阳吗,2.85
男科,NANKE,健康管家随机1w,男人阴茎敏感点,2.14
急诊科,JZ,传统搜索随机1w,呛水,22.25
急诊科,JZ,传统搜索随机1w,豇豆不熟会中毒吗,9.41
急诊科,JZ,传统搜索随机1w,擦伤几天能结痂,2.57
急诊科,JZ,健康管家随机1w,蝙蝠抓伤破皮伤口会肿吗会溃烂吗,3.56
急诊科,JZ,健康管家随机1w,外伤消炎药都有什么,2.14
急诊科,JZ,健康管家随机1w,多菌灵有毒吗,2.14
感染科,GR,传统搜索随机1w,乙肝五项哪几个阳性属于正常,111.69
感染科,GR,传统搜索随机1w,病毒感染一般烧几天才会好,16.26
感染科,GR,传统搜索随机1w,狂犬病潜伏期最长几年,14.55
感染科,GR,健康管家随机1w,阿苯达唑片有副作用吗,22.07
感染科,GR,健康管家随机1w,富马酸替诺福韦和恩替卡韦哪个好,7.12
感染科,GR,健康管家随机1w,正常人乙肝dna是多少,2.85
全科/综合,QK,传统搜索随机1w,体温35.5浑身没劲头晕,15.83
全科/综合,QK,传统搜索随机1w,发烧不退什么病症,5.56
全科/综合,QK,传统搜索随机1w,血压计哪种测量准,2.57
全科/综合,QK,健康管家随机1w,身体总觉得累，乏力，没精神。,7.83
全科/综合,QK,健康管家随机1w,横膈膜的位置图片,2.85
全科/综合,QK,健康管家随机1w,"八十八岁老年痴呆卧床吞咽困难,已十六天没怎么吃东西,每天只喝二两水,四两多",2.85
血液内科,NK_XY,传统搜索随机1w,硅胶娃娃夹吸太强了会得白血病吗,403.12
血液内科,NK_XY,传统搜索随机1w,贫血手脚酸软无力怎么回事,4.71
血液内科,NK_XY,传统搜索随机1w,白血病血常规看哪三项,3.85
血液内科,NK_XY,健康管家随机1w,缺铁有哪些症状,9.25
血液内科,NK_XY,健康管家随机1w,骨髓纤维化最好的治疗方法,2.14
血液内科,NK_XY,健康管家随机1w,ab型血为什么叫贵族血,2.14
康复医学科,KF,传统搜索随机1w,凯格尔训练对于男性真的有用吗,3.0
康复医学科,KF,传统搜索随机1w,骨盆后倾训练动作,1.71
康复医学科,KF,传统搜索随机1w,医院的运动康复科,0.86
康复医学科,KF,健康管家随机1w,伤着腰做的理疗有哪些,2.14
康复医学科,KF,健康管家随机1w,双小腿截肢脑血栓后还有机会走路吗,1.42
康复医学科,KF,健康管家随机1w,凯格尔运动正确做法盆底肌收缩,1.42
产科,FCK_CK,传统搜索随机1w,宫缩站着还是躺着开指比较快,9.41
产科,FCK_CK,传统搜索随机1w,规律宫缩多久去医院,5.14
产科,FCK_CK,传统搜索随机1w,孕妇睡觉正确姿势,4.28
产科,FCK_CK,健康管家随机1w,怀孕几周做nt检查？,4.98
产科,FCK_CK,健康管家随机1w,20周宫颈口全程扩张 35mm怎么办,2.85
产科,FCK_CK,健康管家随机1w,产妇可以泡脚吗,2.85
心胸外科,WK_XX,传统搜索随机1w,心脏达桥是怎么回事,1.28
心胸外科,WK_XX,传统搜索随机1w,做完搭桥第五天拍背是饭前拍还是饭后拍,1.28
心胸外科,WK_XX,传统搜索随机1w,什么是体外膜氧合治疗,0.86
心胸外科,WK_XX,健康管家随机1w,做了主动脉手术后什么营养最好,1.42
心胸外科,WK_XX,健康管家随机1w,全身多处动脉夹层什么意思啊,1.42
心胸外科,WK_XX,健康管家随机1w,人工心肮术后是否脫机后才能从口腔吃,1.42
疼痛科,TT,传统搜索随机1w,封堵术后神经痛怎么办,0.86
疼痛科,TT,传统搜索随机1w,纳布啡优势和劣势,0.86
疼痛科,TT,传统搜索随机1w,刺痛与钝痛的区别,0.43
疼痛科,TT,健康管家随机1w,泡疹后遗症疼痛怎么治疗,4.98
疼痛科,TT,健康管家随机1w,五十多岁总是浑身痛,1.42
疼痛科,TT,健康管家随机1w,肋间神经痛,1.42
神经外科,WK_SJ,传统搜索随机1w,老人摔倒导致的脑出血的血肿怎么才能消除,1.71
神经外科,WK_SJ,传统搜索随机1w,头部血肿做手术多少钱,0.86
神经外科,WK_SJ,传统搜索随机1w,腰大池置管深度,0.86
神经外科,WK_SJ,健康管家随机1w,脑部动脉瘤怎么治疗？,2.85
神经外科,WK_SJ,健康管家随机1w,脑出血脑疝不手术能撑几天,1.42
神经外科,WK_SJ,健康管家随机1w,脊髓损伤排便打入开塞露多久有反应,1.42
性病科,PF_XB,传统搜索随机1w,阴虱虫子图片症状,8.13
性病科,PF_XB,传统搜索随机1w,性传播有哪些疾病,1.71
性病科,PF_XB,传统搜索随机1w,"生孩子前怀孕期间6,16阳性,生完孩子后16是阳性什么意思",0.86
性病科,PF_XB,健康管家随机1w,三年性生活会不会得病呀,1.42
性病科,PF_XB,健康管家随机1w,hpv16三年活检还是宫颈管粘膜炎,1.42
性病科,PF_XB,健康管家随机1w,HPV疫苗打了二价疫苗后面还能再打九价或者四价疫苗,0.71
烧伤整形科,WK_SZ,传统搜索随机1w,烧伤人员吃什么食物恢复的比较快,0.86
烧伤整形科,WK_SZ,传统搜索随机1w,烫伤用什么药好的快不留疤,0.86
烧伤整形科,WK_SZ,传统搜索随机1w,热水汤到手怎么办,0.43
烧伤整形科,WK_SZ,健康管家随机1w,"增生疤痕有痒,有闪电痛什么药缓解",2.14
烧伤整形科,WK_SZ,健康管家随机1w,烫伤可吃地红霉素吗,1.42
烧伤整形科,WK_SZ,健康管家随机1w,用白醋敷脸给烧伤了用什么药,0.71
医学美容科,MR,传统搜索随机1w,怎么样才能养出皮肤又白又光滑,2.14
医学美容科,MR,传统搜索随机1w,白的发光的皮肤,1.28
医学美容科,MR,传统搜索随机1w,乳头缩小会影响感觉嘛,0.86
医学美容科,MR,健康管家随机1w,女性做私密有什么好处,1.42
医学美容科,MR,健康管家随机1w,大拉皮有生命危险吗,0.71
医学美容科,MR,健康管家随机1w,漂完唇第六天涂维生素E可以吗,0.71
