key,一级归并,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名
WK_PW,外科,普通外科,04.01 普通外科,564,2.776,238,2.38,2.099,2.698,2.662,326,3.16,2.84,3.516,3.438,42.96,0.8573,0.8592,57.04,1.1383,1.1408,2,,,健康管家随机1w,传统搜索随机1w,0.78,1.33,16,12
JC,其它临床,检验影像病理,30/31/32 医学检验科、病理科、医学影像科,542,2.668,284,2.84,2.532,3.184,2.007,258,2.501,2.217,2.82,2.449,53.17,1.0645,1.0635,46.83,0.9374,0.9365,2,,,传统搜索随机1w,健康管家随机1w,0.339,1.14,14,17
FCK_CK,妇产科,产科,05.02 产科,533,2.624,222,2.22,1.949,2.528,1.669,311,3.015,2.702,3.363,2.527,42.41,0.8462,0.8482,57.59,1.1491,1.1518,2,,,健康管家随机1w,传统搜索随机1w,0.795,1.36,18,13
EB,五官,耳鼻咽喉科,11 耳鼻咽喉科,495,2.437,235,2.35,2.071,2.666,1.716,260,2.52,2.235,2.841,2.043,48.25,0.9645,0.965,51.75,1.0344,1.035,2,,,健康管家随机1w,传统搜索随机1w,0.17,1.07,17,16
ZL,其它临床,肿瘤科,19 肿瘤科,476,2.343,169,1.69,1.455,1.962,2.542,307,2.976,2.665,3.322,2.897,36.22,0.7213,0.7244,63.78,1.2702,1.2756,2,,,健康管家随机1w,传统搜索随机1w,1.286,1.76,20,14
FYL,非临床,非医疗内容,非科室：与医疗无关,353,1.738,200,2.0,1.743,2.293,1.322,153,1.483,1.267,1.735,1.203,57.42,1.151,1.1484,42.58,0.8536,0.8516,2,,,传统搜索随机1w,健康管家随机1w,0.517,1.35,19,24
JS,其它临床,精神心理科,15 精神科,345,1.698,169,1.69,1.455,1.962,4.232,176,1.706,1.474,1.975,1.701,49.76,0.9952,0.9953,50.24,1.0047,1.0047,2,,,健康管家随机1w,传统搜索随机1w,0.016,1.01,20,20
WK_MN,外科,泌尿外科,04.04 泌尿外科,339,1.669,161,1.61,1.381,1.876,1.292,178,1.725,1.492,1.995,1.694,48.27,0.9649,0.9654,51.73,1.0341,1.0346,2,,,健康管家随机1w,传统搜索随机1w,0.115,1.07,22,19
KQ,五官,口腔科,12 口腔科,310,1.526,134,1.34,1.133,1.585,0.92,176,1.706,1.474,1.975,1.395,43.99,0.8782,0.8798,56.01,1.1181,1.1202,2,,,健康管家随机1w,传统搜索随机1w,0.366,1.27,24,20
NANKE,其它临床,男科,名录外——中国医院普遍设置的 de-facto 门诊，见码本偏离说明 2,293,1.442,137,1.37,1.16,1.617,1.725,156,1.512,1.294,1.766,1.36,47.53,0.9499,0.9507,52.47,1.0485,1.0493,2,,,健康管家随机1w,传统搜索随机1w,0.142,1.1,23,23
QK,其它临床,全科/综合,02 全科医疗科,272,1.339,122,1.22,1.023,1.455,0.984,150,1.454,1.24,1.704,1.324,45.62,0.9112,0.9125,54.38,1.086,1.0875,2,,,健康管家随机1w,传统搜索随机1w,0.234,1.19,25,25
YK,五官,眼科,10 眼科,268,1.319,118,1.18,0.986,1.411,1.125,150,1.454,1.24,1.704,1.253,44.8,0.8945,0.896,55.2,1.1023,1.104,2,,,健康管家随机1w,传统搜索随机1w,0.274,1.23,26,25
GR,其它临床,感染科,16/17 传染科与结核病科,249,1.226,107,1.07,0.886,1.291,2.161,142,1.377,1.169,1.62,1.438,43.74,0.873,0.8747,56.26,1.1231,1.1253,2,,,健康管家随机1w,传统搜索随机1w,0.307,1.29,27,27
JZ,其它临床,急诊科,20 急诊医学科,220,1.083,102,1.02,0.841,1.237,0.903,118,1.144,0.956,1.368,1.025,47.14,0.9419,0.9428,52.86,1.0563,1.0572,2,,,健康管家随机1w,传统搜索随机1w,0.124,1.12,28,28
NK_SN,内科,肾内科,03.06 肾病学,190,0.935,86,0.86,0.697,1.061,0.561,104,1.008,0.833,1.22,0.94,46.04,0.9196,0.9207,53.96,1.078,1.0793,2,,,健康管家随机1w,传统搜索随机1w,0.148,1.17,29,29
NK_XY,内科,血液内科,03.05 血液内科,134,0.66,60,0.6,0.466,0.771,4.506,74,0.717,0.572,0.9,0.698,45.55,0.9097,0.9109,54.45,1.0876,1.0891,2,,,健康管家随机1w,传统搜索随机1w,0.117,1.2,30,30
NK_FS,内科,风湿免疫科,03.08/03.09 免疫学与变态反应,129,0.635,59,0.59,0.458,0.76,1.528,70,0.679,0.537,0.856,0.562,46.51,0.9292,0.9302,53.49,1.0686,1.0698,2,,,健康管家随机1w,传统搜索随机1w,0.089,1.15,31,31
PF_XB,皮肤,性病科,13.02 性传播疾病,89,0.438,41,0.41,0.302,0.556,0.364,48,0.465,0.351,0.616,0.384,46.84,0.9359,0.9368,53.16,1.0621,1.0632,2,,,健康管家随机1w,传统搜索随机1w,0.055,1.13,32,32
KF,其它临床,康复医学科,21/22 康复医学科与运动医学科,74,0.364,30,0.3,0.21,0.428,0.193,44,0.427,0.318,0.572,0.377,41.29,0.8236,0.8259,58.71,1.171,1.1741,2,,,健康管家随机1w,传统搜索随机1w,0.127,1.42,34,33
FCK_SZ,妇产科,生殖医学科,05.05 生殖健康与不孕症,65,0.32,32,0.32,0.227,0.451,0.214,33,0.32,0.228,0.449,0.292,50.01,1.0002,1.0002,49.99,0.9998,0.9998,2,,,传统搜索随机1w,健康管家随机1w,0.0,1.0,33,35
WK_SJ,外科,神经外科,04.02 神经外科,58,0.285,19,0.19,0.122,0.297,0.103,39,0.378,0.277,0.516,0.342,33.45,0.6655,0.669,66.55,1.3242,1.331,2,,,健康管家随机1w,传统搜索随机1w,0.188,1.99,35,34
WK_XX,外科,心胸外科,04.05/04.06 胸外科与心脏大血管外科,36,0.177,13,0.13,0.076,0.222,0.077,23,0.223,0.149,0.334,0.192,36.83,0.7336,0.7366,63.17,1.2582,1.2634,2,,,健康管家随机1w,传统搜索随机1w,0.093,1.72,37,36
MR,其它临床,医学美容科,14 医疗美容科,30,0.148,9,0.09,0.047,0.171,0.073,21,0.204,0.133,0.311,0.157,30.66,0.6095,0.6131,69.34,1.3786,1.3869,2,,,健康管家随机1w,传统搜索随机1w,0.114,2.26,38,37
WK_SZ,外科,烧伤整形科,04.07/04.08 烧伤与整形外科,29,0.143,14,0.14,0.083,0.235,0.068,15,0.145,0.088,0.24,0.128,49.05,0.9808,0.9811,50.95,1.0186,1.0189,2,,,健康管家随机1w,传统搜索随机1w,0.005,1.04,36,39
TT,其它临床,疼痛科,27 疼痛科（2007 年增设）,23,0.113,7,0.07,0.034,0.144,0.039,16,0.155,0.095,0.252,0.192,31.1,0.6183,0.6219,68.9,1.37,1.3781,2,,,健康管家随机1w,传统搜索随机1w,0.085,2.22,39,38
