轴,科室,码,前快照,后快照,前%,后%,差_pp,n_前,n_后
语音内分层,消化内科,NK_XH,助手语音头部1k,助手语音1k,3.0,5.0,2.0,1067,1000
语音 vs 文字（助手头部）,养生保健营养,YS,助手语音头部1k,助手头部1k,12.56,14.51,1.95,1067,958
助手内分层,消化内科,NK_XH,助手头部1k,助手随机1k,3.76,5.61,1.85,958,998
助手内分层,呼吸内科,NK_HX,助手头部1k,助手随机1k,1.15,2.81,1.66,958,998
流量分层（2026 搜索）,非医疗内容,FYL,2026搜索,2026搜索随机1w,1.04,2.61,1.57,9998,10000
语音内分层,耳鼻咽喉科,EB,助手语音头部1k,助手语音1k,1.03,2.6,1.57,1067,1000
语音内分层,心血管内科,NK_XX,助手语音头部1k,助手语音1k,3.94,5.5,1.56,1067,1000
流量分层（2026 搜索）,产科,FCK_CK,2026搜索,2026搜索随机1w,0.85,2.3,1.45,9998,10000
语音内分层,骨科,WK_GK,助手语音头部1k,助手语音1k,2.16,3.6,1.44,1067,1000
语音 vs 文字（助手头部）,神经内科,NK_SJ,助手语音头部1k,助手头部1k,3.19,1.77,-1.41,1067,958
流量分层（2026 搜索）,骨科,WK_GK,2026搜索,2026搜索随机1w,2.79,4.14,1.35,9998,10000
助手内分层,中医科,ZY,助手头部1k,助手随机1k,7.1,5.91,-1.19,958,998
流量分层（2026 搜索）,心血管内科,NK_XX,2026搜索,2026搜索随机1w,5.21,4.02,-1.19,9998,10000
语音 vs 文字（助手头部）,内分泌科,NK_NF,助手语音头部1k,助手头部1k,2.16,3.34,1.18,1067,958
语音内分层,精神心理科,JS,助手语音头部1k,助手语音1k,1.97,0.8,-1.17,1067,1000
语音内分层,肾内科,NK_SN,助手语音头部1k,助手语音1k,0.37,1.5,1.13,1067,1000
语音 vs 文字（助手头部）,骨科,WK_GK,助手语音头部1k,助手头部1k,2.16,1.04,-1.11,1067,958
助手内分层,男科,NANKE,助手头部1k,助手随机1k,2.09,1.0,-1.09,958,998
助手内分层,感染科,GR,助手头部1k,助手随机1k,0.63,1.7,1.08,958,998
助手内分层,肿瘤科,ZL,助手头部1k,助手随机1k,1.15,2.2,1.06,958,998
助手内分层,肾内科,NK_SN,助手头部1k,助手随机1k,0.1,1.1,1.0,958,998
助手内分层,眼科,YK,助手头部1k,助手随机1k,0.84,1.8,0.97,958,998
助手内分层,检验影像病理,JC,助手头部1k,助手随机1k,0.73,1.7,0.97,958,998
语音内分层,口腔科,KQ,助手语音头部1k,助手语音1k,0.94,1.9,0.96,1067,1000
时间（头部层，PV 排序）,中医科,ZY,2025搜索,2026搜索,11.77,12.72,0.95,9998,9998
语音内分层,普通外科,WK_PW,助手语音头部1k,助手语音1k,1.41,2.3,0.89,1067,1000
时间（随机层，口径可比）,就医事务,JY,2025搜索随机1w,2026搜索随机1w,7.97,8.83,0.86,10000,10000
流量分层（2026 搜索）,消化内科,NK_XH,2026搜索,2026搜索随机1w,5.94,5.09,-0.85,9998,10000
语音 vs 文字（助手头部）,生殖医学科,FCK_SZ,助手语音头部1k,助手头部1k,0.09,0.94,0.85,1067,958
语音内分层,眼科,YK,助手语音头部1k,助手语音1k,0.56,1.4,0.84,1067,1000
语音 vs 文字（助手头部）,急诊科,JZ,助手语音头部1k,助手头部1k,1.03,0.21,-0.82,1067,958
时间（随机层，口径可比）,产科,FCK_CK,2025搜索随机1w,2026搜索随机1w,3.12,2.3,-0.82,10000,10000
语音内分层,非医疗内容,FYL,助手语音头部1k,助手语音1k,1.69,2.5,0.81,1067,1000
语音内分层,呼吸内科,NK_HX,助手语音头部1k,助手语音1k,1.22,2.0,0.78,1067,1000
语音 vs 文字（助手头部）,消化内科,NK_XH,助手语音头部1k,助手头部1k,3.0,3.76,0.76,1067,958
助手内分层,性病科,PF_XB,助手头部1k,助手随机1k,0.94,0.2,-0.74,958,998
语音 vs 文字（助手头部）,医学美容科,MR,助手语音头部1k,助手头部1k,0.09,0.84,0.74,1067,958
时间（随机层，口径可比）,儿科,EK,2025搜索随机1w,2026搜索随机1w,4.86,4.13,-0.73,10000,10000
助手内分层,普通外科,WK_PW,助手头部1k,助手随机1k,2.09,2.81,0.72,958,998
流量分层（2026 搜索）,普通外科,WK_PW,2026搜索,2026搜索随机1w,1.99,2.69,0.7,9998,10000
语音 vs 文字（助手头部）,心血管内科,NK_XX,助手语音头部1k,助手头部1k,3.94,3.24,-0.7,1067,958
语音 vs 文字（助手头部）,产科,FCK_CK,助手语音头部1k,助手头部1k,0.56,1.25,0.69,1067,958
语音内分层,神经内科,NK_SJ,助手语音头部1k,助手语音1k,3.19,2.5,-0.69,1067,1000
时间（头部层，PV 排序）,呼吸内科,NK_HX,2025搜索,2026搜索,2.19,2.87,0.68,9998,9998
语音 vs 文字（助手头部）,普通外科,WK_PW,助手语音头部1k,助手头部1k,1.41,2.09,0.68,1067,958
语音 vs 文字（助手头部）,妇科,FCK_FK,助手语音头部1k,助手头部1k,2.34,3.03,0.68,1067,958
语音 vs 文字（助手头部）,口腔科,KQ,助手语音头部1k,助手头部1k,0.94,1.57,0.63,1067,958
助手内分层,神经内科,NK_SJ,助手头部1k,助手随机1k,1.77,2.4,0.63,958,998
时间（随机层，口径可比）,心血管内科,NK_XX,2025搜索随机1w,2026搜索随机1w,3.41,4.02,0.61,10000,10000
时间（头部层，PV 排序）,妇科,FCK_FK,2025搜索,2026搜索,5.08,4.48,-0.6,9998,9998
语音内分层,男科,NANKE,助手语音头部1k,助手语音1k,1.59,1.0,-0.59,1067,1000
流量分层（2026 搜索）,妇科,FCK_FK,2026搜索,2026搜索随机1w,4.48,5.07,0.59,9998,10000
助手内分层,心血管内科,NK_XX,助手头部1k,助手随机1k,3.24,3.81,0.57,958,998
时间（随机层，口径可比）,妇科,FCK_FK,2025搜索随机1w,2026搜索随机1w,5.64,5.07,-0.57,10000,10000
助手内分层,口腔科,KQ,助手头部1k,助手随机1k,1.57,1.0,-0.56,958,998
语音 vs 文字（助手头部）,全科/综合,QK,助手语音头部1k,助手头部1k,1.5,0.94,-0.56,1067,958
时间（随机层，口径可比）,内分泌科,NK_NF,2025搜索随机1w,2026搜索随机1w,2.79,3.34,0.55,10000,10000
语音 vs 文字（助手头部）,风湿免疫科,NK_FS,助手语音头部1k,助手头部1k,0.28,0.84,0.55,1067,958
助手内分层,生殖医学科,FCK_SZ,助手头部1k,助手随机1k,0.94,0.4,-0.54,958,998
助手内分层,医学美容科,MR,助手头部1k,助手随机1k,0.84,0.3,-0.53,958,998
时间（头部层，PV 排序）,皮肤科,PF,2025搜索,2026搜索,5.59,5.06,-0.53,9998,9998
语音 vs 文字（助手头部）,男科,NANKE,助手语音头部1k,助手头部1k,1.59,2.09,0.49,1067,958
时间（头部层，PV 排序）,养生保健营养,YS,2025搜索,2026搜索,14.11,14.6,0.49,9998,9998
时间（头部层，PV 排序）,无法判断,WFPD,2025搜索,2026搜索,3.92,3.44,-0.48,9998,9998
助手内分层,风湿免疫科,NK_FS,助手头部1k,助手随机1k,0.84,1.3,0.47,958,998
语音 vs 文字（助手头部）,性病科,PF_XB,助手语音头部1k,助手头部1k,0.47,0.94,0.47,1067,958
时间（头部层，PV 排序）,检验影像病理,JC,2025搜索,2026搜索,2.88,2.42,-0.46,9998,9998
流量分层（2026 搜索）,急诊科,JZ,2026搜索,2026搜索随机1w,0.6,1.06,0.46,9998,10000
助手内分层,精神心理科,JS,助手头部1k,助手随机1k,1.57,1.1,-0.46,958,998
时间（头部层，PV 排序）,心血管内科,NK_XX,2025搜索,2026搜索,4.76,5.21,0.45,9998,9998
流量分层（2026 搜索）,呼吸内科,NK_HX,2026搜索,2026搜索随机1w,2.87,2.42,-0.45,9998,10000
时间（随机层，口径可比）,非医疗内容,FYL,2025搜索随机1w,2026搜索随机1w,2.17,2.61,0.44,10000,10000
流量分层（2026 搜索）,精神心理科,JS,2026搜索,2026搜索随机1w,1.79,1.35,-0.44,9998,10000
语音 vs 文字（助手头部）,耳鼻咽喉科,EB,助手语音头部1k,助手头部1k,1.03,1.46,0.43,1067,958
流量分层（2026 搜索）,肿瘤科,ZL,2026搜索,2026搜索随机1w,1.43,1.86,0.43,9998,10000
助手内分层,血液内科,NK_XY,助手头部1k,助手随机1k,0.42,0.0,-0.42,958,998
语音 vs 文字（助手头部）,精神心理科,JS,助手语音头部1k,助手头部1k,1.97,1.57,-0.4,1067,958
流量分层（2026 搜索）,检验影像病理,JC,2026搜索,2026搜索随机1w,2.42,2.82,0.4,9998,10000
语音 vs 文字（助手头部）,非医疗内容,FYL,助手语音头部1k,助手头部1k,1.69,2.09,0.4,1067,958
流量分层（2026 搜索）,感染科,GR,2026搜索,2026搜索随机1w,1.35,0.97,-0.38,9998,10000
流量分层（2026 搜索）,口腔科,KQ,2026搜索,2026搜索随机1w,1.12,1.47,0.35,9998,10000
助手内分层,产科,FCK_CK,助手头部1k,助手随机1k,1.25,0.9,-0.35,958,998
流量分层（2026 搜索）,男科,NANKE,2026搜索,2026搜索随机1w,1.45,1.1,-0.35,9998,10000
语音内分层,肿瘤科,ZL,助手语音头部1k,助手语音1k,0.84,0.5,-0.34,1067,1000
语音内分层,检验影像病理,JC,助手语音头部1k,助手语音1k,0.66,1.0,0.34,1067,1000
时间（头部层，PV 排序）,消化内科,NK_XH,2025搜索,2026搜索,6.27,5.94,-0.33,9998,9998
时间（随机层，口径可比）,急诊科,JZ,2025搜索随机1w,2026搜索随机1w,1.39,1.06,-0.33,10000,10000
时间（随机层，口径可比）,感染科,GR,2025搜索随机1w,2026搜索随机1w,1.3,0.97,-0.33,10000,10000
时间（随机层，口径可比）,中医科,ZY,2025搜索随机1w,2026搜索随机1w,6.04,6.37,0.33,10000,10000
时间（随机层，口径可比）,养生保健营养,YS,2025搜索随机1w,2026搜索随机1w,11.54,11.87,0.33,10000,10000
时间（头部层，PV 排序）,男科,NANKE,2025搜索,2026搜索,1.13,1.45,0.32,9998,9998
语音内分层,风湿免疫科,NK_FS,助手语音头部1k,助手语音1k,0.28,0.6,0.32,1067,1000
助手内分层,烧伤整形科,WK_SZ,助手头部1k,助手随机1k,0.31,0.0,-0.31,958,998
助手内分层,心胸外科,WK_XX,助手头部1k,助手随机1k,0.1,0.4,0.3,958,998
语音 vs 文字（助手头部）,肿瘤科,ZL,助手语音头部1k,助手头部1k,0.84,1.15,0.3,1067,958
流量分层（2026 搜索）,无法判断,WFPD,2026搜索,2026搜索随机1w,3.44,3.15,-0.29,9998,10000
时间（随机层，口径可比）,药品通用问题,YP_GENERIC,2025搜索随机1w,2026搜索随机1w,5.52,5.81,0.29,10000,10000
时间（头部层，PV 排序）,感染科,GR,2025搜索,2026搜索,1.64,1.35,-0.29,9998,9998
时间（随机层，口径可比）,呼吸内科,NK_HX,2025搜索随机1w,2026搜索随机1w,2.14,2.42,0.28,10000,10000
流量分层（2026 搜索）,全科/综合,QK,2026搜索,2026搜索随机1w,1.02,1.3,0.28,9998,10000
流量分层（2026 搜索）,眼科,YK,2026搜索,2026搜索随机1w,1.03,1.31,0.28,9998,10000
语音 vs 文字（助手头部）,肾内科,NK_SN,助手语音头部1k,助手头部1k,0.37,0.1,-0.27,1067,958
语音 vs 文字（助手头部）,眼科,YK,助手语音头部1k,助手头部1k,0.56,0.84,0.27,1067,958
流量分层（2026 搜索）,神经内科,NK_SJ,2026搜索,2026搜索随机1w,2.75,2.48,-0.27,9998,10000
助手内分层,内分泌科,NK_NF,助手头部1k,助手随机1k,3.34,3.61,0.27,958,998
时间（头部层，PV 排序）,产科,FCK_CK,2025搜索,2026搜索,1.1,0.85,-0.25,9998,9998
时间（头部层，PV 排序）,血液内科,NK_XY,2025搜索,2026搜索,1.23,0.98,-0.25,9998,9998
流量分层（2026 搜索）,血液内科,NK_XY,2026搜索,2026搜索随机1w,0.98,0.73,-0.25,9998,10000
时间（随机层，口径可比）,检验影像病理,JC,2025搜索随机1w,2026搜索随机1w,3.06,2.82,-0.24,10000,10000
助手内分层,妇科,FCK_FK,助手头部1k,助手随机1k,3.03,2.81,-0.22,958,998
语音 vs 文字（助手头部）,烧伤整形科,WK_SZ,助手语音头部1k,助手头部1k,0.09,0.31,0.22,1067,958
时间（随机层，口径可比）,生殖医学科,FCK_SZ,2025搜索随机1w,2026搜索随机1w,0.51,0.29,-0.22,10000,10000
时间（头部层，PV 排序）,内分泌科,NK_NF,2025搜索,2026搜索,3.24,3.45,0.21,9998,9998
助手内分层,药品通用问题,YP_GENERIC,助手头部1k,助手随机1k,7.72,7.52,-0.21,958,998
时间（头部层，PV 排序）,急诊科,JZ,2025搜索,2026搜索,0.8,0.6,-0.2,9998,9998
时间（随机层，口径可比）,肾内科,NK_SN,2025搜索随机1w,2026搜索随机1w,0.79,0.99,0.2,10000,10000
时间（头部层，PV 排序）,非医疗内容,FYL,2025搜索,2026搜索,0.84,1.04,0.2,9998,9998
语音内分层,全科/综合,QK,助手语音头部1k,助手语音1k,1.5,1.3,-0.2,1067,1000
流量分层（2026 搜索）,耳鼻咽喉科,EB,2026搜索,2026搜索随机1w,1.66,1.85,0.19,9998,10000
流量分层（2026 搜索）,生殖医学科,FCK_SZ,2026搜索,2026搜索随机1w,0.1,0.29,0.19,9998,10000
助手内分层,急诊科,JZ,助手头部1k,助手随机1k,0.21,0.4,0.19,958,998
时间（随机层，口径可比）,骨科,WK_GK,2025搜索随机1w,2026搜索随机1w,3.96,4.14,0.18,10000,10000
时间（随机层，口径可比）,精神心理科,JS,2025搜索随机1w,2026搜索随机1w,1.52,1.35,-0.17,10000,10000
时间（头部层，PV 排序）,眼科,YK,2025搜索,2026搜索,1.2,1.03,-0.17,9998,9998
语音内分层,性病科,PF_XB,助手语音头部1k,助手语音1k,0.47,0.3,-0.17,1067,1000
时间（随机层，口径可比）,神经外科,WK_SJ,2025搜索随机1w,2026搜索随机1w,0.31,0.14,-0.17,10000,10000
语音内分层,产科,FCK_CK,助手语音头部1k,助手语音1k,0.56,0.4,-0.16,1067,1000
语音内分层,妇科,FCK_FK,助手语音头部1k,助手语音1k,2.34,2.5,0.16,1067,1000
时间（头部层，PV 排序）,神经内科,NK_SJ,2025搜索,2026搜索,2.59,2.75,0.16,9998,9998
流量分层（2026 搜索）,泌尿外科,WK_MN,2026搜索,2026搜索随机1w,1.33,1.49,0.16,9998,10000
助手内分层,泌尿外科,WK_MN,助手头部1k,助手随机1k,1.15,1.0,-0.15,958,998
流量分层（2026 搜索）,康复医学科,KF,2026搜索,2026搜索随机1w,0.21,0.35,0.14,9998,10000
语音 vs 文字（助手头部）,血液内科,NK_XY,助手语音头部1k,助手头部1k,0.28,0.42,0.14,1067,958
助手内分层,耳鼻咽喉科,EB,助手头部1k,助手随机1k,1.46,1.6,0.14,958,998
语音内分层,泌尿外科,WK_MN,助手语音头部1k,助手语音1k,1.03,0.9,-0.13,1067,1000
语音内分层,急诊科,JZ,助手语音头部1k,助手语音1k,1.03,0.9,-0.13,1067,1000
时间（随机层，口径可比）,男科,NANKE,2025搜索随机1w,2026搜索随机1w,1.23,1.1,-0.13,10000,10000
时间（随机层，口径可比）,普通外科,WK_PW,2025搜索随机1w,2026搜索随机1w,2.56,2.69,0.13,10000,10000
流量分层（2026 搜索）,性病科,PF_XB,2026搜索,2026搜索随机1w,0.54,0.42,-0.12,9998,10000
语音 vs 文字（助手头部）,泌尿外科,WK_MN,助手语音头部1k,助手头部1k,1.03,1.15,0.12,1067,958
时间（头部层，PV 排序）,风湿免疫科,NK_FS,2025搜索,2026搜索,0.69,0.81,0.12,9998,9998
时间（随机层，口径可比）,全科/综合,QK,2025搜索随机1w,2026搜索随机1w,1.42,1.3,-0.12,10000,10000
流量分层（2026 搜索）,内分泌科,NK_NF,2026搜索,2026搜索随机1w,3.45,3.34,-0.11,9998,10000
语音内分层,康复医学科,KF,助手语音头部1k,助手语音1k,0.19,0.3,0.11,1067,1000
时间（头部层，PV 排序）,精神心理科,JS,2025搜索,2026搜索,1.68,1.79,0.11,9998,9998
时间（随机层，口径可比）,肿瘤科,ZL,2025搜索随机1w,2026搜索随机1w,1.75,1.86,0.11,10000,10000
时间（随机层，口径可比）,风湿免疫科,NK_FS,2025搜索随机1w,2026搜索随机1w,0.61,0.72,0.11,10000,10000
语音 vs 文字（助手头部）,心胸外科,WK_XX,助手语音头部1k,助手头部1k,0.0,0.1,0.1,1067,958
语音 vs 文字（助手头部）,神经外科,WK_SJ,助手语音头部1k,助手头部1k,0.0,0.1,0.1,1067,958
语音内分层,疼痛科,TT,助手语音头部1k,助手语音1k,0.0,0.1,0.1,1067,1000
时间（头部层，PV 排序）,口腔科,KQ,2025搜索,2026搜索,1.02,1.12,0.1,9998,9998
语音内分层,心胸外科,WK_XX,助手语音头部1k,助手语音1k,0.0,0.1,0.1,1067,1000
助手内分层,神经外科,WK_SJ,助手头部1k,助手随机1k,0.1,0.2,0.1,958,998
时间（随机层，口径可比）,消化内科,NK_XH,2025搜索随机1w,2026搜索随机1w,5.19,5.09,-0.1,10000,10000
助手内分层,疼痛科,TT,助手头部1k,助手随机1k,0.0,0.1,0.1,958,998
助手内分层,康复医学科,KF,助手头部1k,助手随机1k,0.21,0.3,0.09,958,998
语音内分层,医学美容科,MR,助手语音头部1k,助手语音1k,0.09,0.0,-0.09,1067,1000
语音内分层,生殖医学科,FCK_SZ,助手语音头部1k,助手语音1k,0.09,0.0,-0.09,1067,1000
时间（随机层，口径可比）,性病科,PF_XB,2025搜索随机1w,2026搜索随机1w,0.51,0.42,-0.09,10000,10000
流量分层（2026 搜索）,神经外科,WK_SJ,2026搜索,2026搜索随机1w,0.05,0.14,0.09,9998,10000
流量分层（2026 搜索）,风湿免疫科,NK_FS,2026搜索,2026搜索随机1w,0.81,0.72,-0.09,9998,10000
语音内分层,烧伤整形科,WK_SZ,助手语音头部1k,助手语音1k,0.09,0.0,-0.09,1067,1000
流量分层（2026 搜索）,烧伤整形科,WK_SZ,2026搜索,2026搜索随机1w,0.08,0.17,0.09,9998,10000
时间（头部层，PV 排序）,性病科,PF_XB,2025搜索,2026搜索,0.62,0.54,-0.08,9998,9998
时间（随机层，口径可比）,医学美容科,MR,2025搜索随机1w,2026搜索随机1w,0.12,0.05,-0.07,10000,10000
语音 vs 文字（助手头部）,检验影像病理,JC,助手语音头部1k,助手头部1k,0.66,0.73,0.07,1067,958
时间（随机层，口径可比）,泌尿外科,WK_MN,2025搜索随机1w,2026搜索随机1w,1.56,1.49,-0.07,10000,10000
时间（头部层，PV 排序）,药品通用问题,YP_GENERIC,2025搜索,2026搜索,10.56,10.49,-0.07,9998,9998
语音 vs 文字（助手头部）,呼吸内科,NK_HX,助手语音头部1k,助手头部1k,1.22,1.15,-0.07,1067,958
时间（头部层，PV 排序）,儿科,EK,2025搜索,2026搜索,1.05,0.98,-0.07,9998,9998
流量分层（2026 搜索）,心胸外科,WK_XX,2026搜索,2026搜索随机1w,0.07,0.14,0.07,9998,10000
时间（随机层，口径可比）,神经内科,NK_SJ,2025搜索随机1w,2026搜索随机1w,2.55,2.48,-0.07,10000,10000
时间（随机层，口径可比）,血液内科,NK_XY,2025搜索随机1w,2026搜索随机1w,0.79,0.73,-0.06,10000,10000
时间（头部层，PV 排序）,耳鼻咽喉科,EB,2025搜索,2026搜索,1.72,1.66,-0.06,9998,9998
时间（随机层，口径可比）,烧伤整形科,WK_SZ,2025搜索随机1w,2026搜索随机1w,0.23,0.17,-0.06,10000,10000
语音 vs 文字（助手头部）,感染科,GR,助手语音头部1k,助手头部1k,0.56,0.63,0.06,1067,958
时间（头部层，PV 排序）,全科/综合,QK,2025搜索,2026搜索,0.96,1.02,0.06,9998,9998
时间（头部层，PV 排序）,肿瘤科,ZL,2025搜索,2026搜索,1.49,1.43,-0.06,9998,9998
语音内分层,感染科,GR,助手语音头部1k,助手语音1k,0.56,0.5,-0.06,1067,1000
时间（随机层，口径可比）,口腔科,KQ,2025搜索随机1w,2026搜索随机1w,1.53,1.47,-0.06,10000,10000
时间（头部层，PV 排序）,肾内科,NK_SN,2025搜索,2026搜索,1.04,0.99,-0.05,9998,9998
时间（头部层，PV 排序）,就医事务,JY,2025搜索,2026搜索,2.17,2.22,0.05,9998,9998
时间（头部层，PV 排序）,康复医学科,KF,2025搜索,2026搜索,0.17,0.21,0.04,9998,9998
时间（随机层，口径可比）,康复医学科,KF,2025搜索随机1w,2026搜索随机1w,0.31,0.35,0.04,10000,10000
时间（随机层，口径可比）,皮肤科,PF,2025搜索随机1w,2026搜索随机1w,5.06,5.02,-0.04,10000,10000
助手内分层,全科/综合,QK,助手头部1k,助手随机1k,0.94,0.9,-0.04,958,998
流量分层（2026 搜索）,皮肤科,PF,2026搜索,2026搜索随机1w,5.06,5.02,-0.04,9998,10000
时间（随机层，口径可比）,无法判断,WFPD,2025搜索随机1w,2026搜索随机1w,3.19,3.15,-0.04,10000,10000
语音 vs 文字（助手头部）,儿科,EK,助手语音头部1k,助手头部1k,0.28,0.31,0.03,1067,958
流量分层（2026 搜索）,疼痛科,TT,2026搜索,2026搜索随机1w,0.05,0.08,0.03,9998,10000
时间（随机层，口径可比）,疼痛科,TT,2025搜索随机1w,2026搜索随机1w,0.05,0.08,0.03,10000,10000
流量分层（2026 搜索）,医学美容科,MR,2026搜索,2026搜索随机1w,0.02,0.05,0.03,9998,10000
时间（头部层，PV 排序）,心胸外科,WK_XX,2025搜索,2026搜索,0.04,0.07,0.03,9998,9998
时间（随机层，口径可比）,眼科,YK,2025搜索随机1w,2026搜索随机1w,1.34,1.31,-0.03,10000,10000
时间（头部层，PV 排序）,普通外科,WK_PW,2025搜索,2026搜索,2.02,1.99,-0.03,9998,9998
语音内分层,血液内科,NK_XY,助手语音头部1k,助手语音1k,0.28,0.3,0.02,1067,1000
时间（随机层，口径可比）,心胸外科,WK_XX,2025搜索随机1w,2026搜索随机1w,0.12,0.14,0.02,10000,10000
时间（头部层，PV 排序）,神经外科,WK_SJ,2025搜索,2026搜索,0.07,0.05,-0.02,9998,9998
时间（头部层，PV 排序）,泌尿外科,WK_MN,2025搜索,2026搜索,1.35,1.33,-0.02,9998,9998
语音 vs 文字（助手头部）,康复医学科,KF,助手语音头部1k,助手头部1k,0.19,0.21,0.02,1067,958
时间（头部层，PV 排序）,骨科,WK_GK,2025搜索,2026搜索,2.77,2.79,0.02,9998,9998
时间（头部层，PV 排序）,疼痛科,TT,2025搜索,2026搜索,0.03,0.05,0.02,9998,9998
时间（头部层，PV 排序）,医学美容科,MR,2025搜索,2026搜索,0.01,0.02,0.01,9998,9998
时间（随机层，口径可比）,耳鼻咽喉科,EB,2025搜索随机1w,2026搜索随机1w,1.84,1.85,0.01,10000,10000
流量分层（2026 搜索）,肾内科,NK_SN,2026搜索,2026搜索随机1w,0.99,0.99,-0.0,9998,10000
时间（头部层，PV 排序）,烧伤整形科,WK_SZ,2025搜索,2026搜索,0.08,0.08,0.0,9998,9998
时间（头部层，PV 排序）,生殖医学科,FCK_SZ,2025搜索,2026搜索,0.1,0.1,0.0,9998,9998
