key,一级归并,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名
NK_NF,内科,内分泌科,03.07 内分泌,1418,3.221,324,3.241,2.911,3.606,3.705,279,2.79,2.485,3.131,3.705,345,3.451,3.11,3.827,3.839,334,3.34,3.005,3.71,3.551,32,3.34,2.376,4.677,3.015,36,3.607,2.617,4.953,3.16,23,2.156,1.441,3.214,1.705,45,4.5,3.38,5.968,4.5,12.26,1.006,0.9811,10.56,0.8661,0.8447,13.06,1.0712,1.0447,12.64,1.0368,1.0112,12.64,1.0369,1.0113,13.65,1.1198,1.0921,8.16,0.6692,0.6526,17.03,1.3969,1.3624,8,,,助手语音1k,助手语音头部1k,2.344,2.09,9,14,8,11,8,11,9,8
EK,儿科,儿科,07/08/09 儿科、小儿外科、儿童保健,1162,2.64,105,1.05,0.868,1.27,0.949,486,4.86,4.456,5.299,1.63,98,0.98,0.805,1.193,0.747,413,4.13,3.757,4.538,2.883,3,0.313,0.107,0.917,0.629,30,3.006,2.114,4.259,2.733,3,0.281,0.096,0.823,0.265,24,2.4,1.618,3.546,2.4,6.17,0.3978,0.4936,28.55,1.8411,2.2843,5.76,0.3713,0.4607,24.26,1.5645,1.9412,1.84,0.1186,0.1472,17.66,1.1387,1.4129,1.65,0.1065,0.1322,14.1,0.9092,1.128,8,,,2025搜索随机1w,助手语音头部1k,4.579,17.29,25,8,27,9,32,12,30,15
JC,其它临床,检验影像病理,30/31/32 医学检验科、病理科、医学影像科,1159,2.633,288,2.881,2.57,3.227,2.48,306,3.06,2.74,3.416,2.206,242,2.42,2.137,2.741,2.063,282,2.82,2.513,3.163,2.16,7,0.731,0.354,1.501,0.702,17,1.703,1.066,2.711,2.05,7,0.656,0.318,1.348,1.404,10,1.0,0.544,1.831,1.0,18.86,1.094,1.509,20.04,1.1622,1.603,15.85,0.9193,1.268,18.47,1.071,1.4773,4.78,0.2775,0.3828,11.15,0.647,0.8923,4.3,0.2492,0.3437,6.55,0.3798,0.5239,8,,,2025搜索随机1w,助手语音头部1k,2.404,4.66,10,13,13,13,29,19,23,22
NK_SJ,内科,神经内科,03.03 神经内科,1137,2.583,259,2.591,2.297,2.921,2.33,255,2.55,2.259,2.878,1.47,275,2.751,2.448,3.09,2.602,248,2.48,2.193,2.804,3.707,17,1.775,1.111,2.823,2.084,24,2.405,1.621,3.553,2.477,34,3.187,2.289,4.42,2.516,25,2.5,1.699,3.665,2.5,12.8,1.0029,1.0241,12.6,0.9872,1.0081,13.59,1.0649,1.0873,12.25,0.9601,0.9804,8.77,0.687,0.7015,11.88,0.931,0.9507,15.75,1.2337,1.2597,12.35,0.9679,0.9883,8,,,助手语音头部1k,助手头部1k,1.412,1.8,12,16,12,16,14,16,6,12
NK_HX,内科,呼吸内科,03.01 呼吸内科,1034,2.349,219,2.19,1.921,2.496,1.944,214,2.14,1.874,2.443,1.429,287,2.871,2.561,3.216,2.484,242,2.42,2.137,2.74,2.176,11,1.148,0.642,2.044,1.2,28,2.806,1.948,4.025,2.647,13,1.218,0.713,2.073,1.741,20,2.0,1.298,3.069,2.0,13.04,0.9325,1.0435,12.74,0.911,1.0195,17.09,1.222,1.3675,14.41,1.0302,1.1528,6.84,0.4888,0.547,16.71,1.1944,1.3365,7.26,0.5187,0.5804,11.91,0.8514,0.9528,8,,,2026搜索,助手头部1k,1.722,2.5,13,18,10,17,19,13,17,17
WK_PW,外科,普通外科,04.01 普通外科,1012,2.299,202,2.02,1.762,2.315,2.26,256,2.56,2.268,2.888,1.538,199,1.99,1.734,2.283,2.048,269,2.69,2.391,3.026,2.176,20,2.088,1.355,3.203,2.271,28,2.806,1.948,4.025,2.733,15,1.406,0.854,2.307,1.531,23,2.3,1.537,3.428,2.3,11.31,0.8788,0.905,14.33,1.1135,1.1467,11.14,0.8658,0.8916,15.06,1.1701,1.2049,11.69,0.9081,0.9351,15.71,1.2204,1.2567,7.87,0.6115,0.6297,12.88,1.0004,1.0302,8,,,助手随机1k,助手语音头部1k,1.4,2.0,15,15,15,14,11,13,16,16
EB,五官,耳鼻咽喉科,11 耳鼻咽喉科,774,1.758,172,1.72,1.483,1.994,1.627,184,1.84,1.594,2.122,3.115,166,1.66,1.428,1.93,1.546,185,1.85,1.604,2.133,1.959,14,1.461,0.872,2.438,0.954,16,1.603,0.989,2.588,1.452,11,1.031,0.577,1.837,0.922,26,2.6,1.78,3.782,2.6,12.5,0.9784,0.9998,13.37,1.0464,1.0693,12.06,0.9443,0.9649,13.44,1.0521,1.0751,10.62,0.8311,0.8493,11.65,0.9118,0.9317,7.49,0.5863,0.5991,18.89,1.4787,1.5109,8,,,助手语音1k,助手语音头部1k,1.569,2.52,16,19,17,20,17,21,18,11
FYL,非临床,非医疗内容,非科室：与医疗无关,774,1.758,84,0.84,0.679,1.039,0.645,217,2.17,1.902,2.474,0.746,104,1.04,0.859,1.259,1.176,261,2.61,2.315,2.941,1.97,20,2.088,1.355,3.203,1.774,45,4.509,3.387,5.98,3.843,18,1.687,1.07,2.651,1.606,25,2.5,1.699,3.665,2.5,4.82,0.4778,0.3853,12.44,1.2341,0.9952,5.96,0.5916,0.477,14.96,1.4844,1.197,11.97,1.1873,0.9574,25.85,2.5644,2.0679,9.67,0.9594,0.7737,14.33,1.4218,1.1465,8,,,助手随机1k,2025搜索,3.669,5.37,29,17,23,15,11,8,13,12
FCK_CK,妇产科,产科,05.02 产科,768,1.745,110,1.1,0.914,1.324,0.871,312,3.12,2.797,3.479,1.288,85,0.85,0.688,1.05,0.658,230,2.3,2.024,2.613,2.488,12,1.253,0.718,2.177,1.266,9,0.902,0.475,1.705,0.854,6,0.562,0.258,1.221,0.716,4,0.4,0.156,1.024,0.4,10.49,0.6306,0.8393,29.75,1.7883,2.3801,8.11,0.4873,0.6485,21.93,1.3183,1.7545,11.94,0.718,0.9555,8.6,0.5169,0.6879,5.36,0.3223,0.429,3.81,0.2293,0.3051,8,,,2025搜索随机1w,助手语音1k,2.72,7.8,24,12,29,18,18,28,24,30
ZL,其它临床,肿瘤科,19 肿瘤科,700,1.59,149,1.49,1.271,1.747,1.511,175,1.75,1.511,2.026,0.96,143,1.43,1.215,1.682,1.276,186,1.86,1.613,2.144,1.492,11,1.148,0.642,2.044,2.308,22,2.204,1.46,3.315,2.05,9,0.843,0.444,1.595,0.657,5,0.5,0.214,1.165,0.5,13.27,0.9372,1.062,15.59,1.1005,1.247,12.74,0.8994,1.0192,16.57,1.1696,1.3254,10.23,0.7221,0.8182,19.64,1.3862,1.5708,7.51,0.5304,0.6011,4.45,0.3144,0.3563,8,,,助手随机1k,助手语音1k,1.704,4.41,19,20,19,19,19,17,22,28
JS,其它临床,精神心理科,15 精神科,689,1.565,168,1.68,1.446,1.951,1.453,152,1.52,1.298,1.779,3.337,179,1.79,1.548,2.069,1.584,135,1.35,1.142,1.596,1.258,15,1.566,0.951,2.567,1.234,11,1.102,0.617,1.963,0.939,21,1.968,1.291,2.99,2.809,8,0.8,0.406,1.571,0.8,14.27,1.0735,1.1415,12.91,0.9711,1.0325,15.2,1.1438,1.2162,11.46,0.8625,0.9171,13.3,1.0003,1.0636,9.36,0.7042,0.7487,16.71,1.2574,1.337,6.79,0.5111,0.5434,8,,,助手语音头部1k,助手语音1k,1.168,2.46,17,23,16,23,15,23,11,26
WK_MN,外科,泌尿外科,04.04 泌尿外科,614,1.395,135,1.35,1.142,1.596,1.295,156,1.56,1.335,1.822,0.815,133,1.33,1.124,1.574,1.154,149,1.49,1.27,1.747,1.252,11,1.148,0.642,2.044,1.751,10,1.002,0.545,1.835,0.854,11,1.031,0.577,1.837,0.791,9,0.9,0.474,1.702,0.9,13.76,0.968,1.1009,15.9,1.1184,1.272,13.56,0.9537,1.0846,15.19,1.0682,1.2149,11.7,0.8232,0.9362,10.21,0.7184,0.817,10.51,0.7391,0.8406,9.17,0.6452,0.7338,8,,,2025搜索随机1w,助手语音1k,0.66,1.73,20,21,21,21,19,25,18,24
KQ,五官,口腔科,12 口腔科,568,1.29,102,1.02,0.841,1.237,1.23,153,1.53,1.307,1.79,0.756,112,1.12,0.932,1.346,1.184,147,1.47,1.252,1.725,0.98,15,1.566,0.951,2.567,1.84,10,1.002,0.545,1.835,1.196,10,0.937,0.51,1.717,0.637,19,1.9,1.22,2.948,1.9,9.67,0.7906,0.774,14.51,1.1857,1.1607,10.62,0.8682,0.8498,13.94,1.1392,1.1152,14.85,1.2134,1.1878,9.5,0.7765,0.7601,8.89,0.7263,0.711,18.02,1.4725,1.4414,8,,,助手语音1k,助手语音头部1k,0.963,2.03,27,22,22,22,15,25,21,18
GR,其它临床,感染科,16/17 传染科与结核病科,560,1.272,164,1.64,1.409,1.909,1.63,130,1.3,1.096,1.541,1.677,135,1.35,1.142,1.596,1.179,97,0.97,0.796,1.182,1.135,6,0.626,0.287,1.36,0.49,17,1.703,1.066,2.711,1.452,6,0.562,0.258,1.221,0.36,5,0.5,0.214,1.165,0.5,18.96,1.2894,1.5166,15.02,1.0219,1.2019,15.61,1.0614,1.2484,11.21,0.7625,0.8968,7.24,0.4923,0.5791,19.69,1.339,1.5749,6.5,0.442,0.5199,5.78,0.393,0.4623,8,,,助手随机1k,助手语音1k,1.203,3.41,18,27,20,29,30,19,24,28
NANKE,其它临床,男科,名录外——中国医院普遍设置的 de-facto 门诊，见码本偏离说明 2,548,1.245,113,1.13,0.941,1.357,1.188,123,1.23,1.032,1.466,1.955,145,1.45,1.234,1.704,1.697,110,1.1,0.914,1.324,0.896,20,2.088,1.355,3.203,2.481,10,1.002,0.545,1.835,0.854,17,1.593,0.997,2.537,2.457,10,1.0,0.544,1.831,1.0,10.67,0.9079,0.8535,11.61,0.988,0.9289,13.69,1.165,1.0952,10.38,0.8836,0.8307,19.71,1.677,1.5766,9.46,0.8049,0.7567,15.04,1.2798,1.2032,9.44,0.8033,0.7552,8,,,助手头部1k,助手语音1k,1.088,2.09,23,28,18,26,11,25,14,22
YK,五官,眼科,10 眼科,534,1.213,120,1.2,1.005,1.433,1.01,134,1.34,1.133,1.585,2.473,103,1.03,0.85,1.248,0.849,131,1.31,1.105,1.552,0.991,8,0.835,0.424,1.639,0.649,18,1.804,1.144,2.833,2.647,6,0.562,0.258,1.221,0.471,14,1.4,0.836,2.336,1.4,12.66,0.9894,1.0127,14.13,1.1046,1.1306,10.87,0.8492,0.8692,13.82,1.0799,1.1053,8.81,0.6884,0.7046,19.02,1.4868,1.5218,5.93,0.4635,0.4745,14.77,1.1541,1.1813,8,,,助手随机1k,助手语音头部1k,1.241,3.21,22,26,24,24,26,18,24,20
QK,其它临床,全科/综合,02 全科医疗科,517,1.174,96,0.96,0.787,1.171,0.809,142,1.42,1.206,1.671,0.695,102,1.02,0.841,1.237,0.839,130,1.3,1.096,1.541,1.03,9,0.939,0.495,1.776,0.688,9,0.902,0.475,1.705,0.854,16,1.5,0.925,2.422,1.29,13,1.3,0.761,2.211,1.3,10.28,0.8175,0.8223,15.2,1.209,1.2161,10.92,0.8686,0.8737,13.92,1.1069,1.1133,10.06,0.7999,0.8046,9.65,0.7678,0.7723,16.05,1.2767,1.2842,13.92,1.1069,1.1133,8,,,助手语音头部1k,助手随机1k,0.598,1.66,28,24,25,25,23,28,15,21
NK_SN,内科,肾内科,03.06 肾病学,412,0.936,104,1.04,0.859,1.259,0.889,79,0.79,0.634,0.983,6.271,99,0.99,0.814,1.204,0.854,99,0.99,0.814,1.204,0.763,1,0.104,0.018,0.589,0.082,11,1.102,0.617,1.963,0.939,4,0.375,0.146,0.96,0.194,15,1.5,0.911,2.46,1.5,15.09,1.1114,1.2075,11.46,0.8441,0.917,14.37,1.0579,1.1494,14.36,1.0577,1.1492,1.51,0.1115,0.1212,15.99,1.1776,1.2794,5.44,0.4005,0.4352,21.76,1.6026,1.7412,8,,,助手语音1k,助手头部1k,1.396,14.37,26,29,26,28,36,23,28,19
JZ,其它临床,急诊科,20 急诊医学科,411,0.934,80,0.8,0.643,0.995,0.83,139,1.39,1.178,1.639,0.93,60,0.6,0.467,0.772,0.485,106,1.06,0.877,1.28,1.742,2,0.209,0.057,0.758,0.153,4,0.401,0.156,1.026,0.342,11,1.031,0.577,1.837,0.744,9,0.9,0.474,1.702,0.9,12.52,0.857,1.0016,21.75,1.4887,1.74,9.39,0.6427,0.7512,16.59,1.1353,1.3269,3.27,0.2236,0.2613,6.27,0.4293,0.5017,16.13,1.1041,1.2905,14.08,0.9639,1.1266,8,,,2025搜索随机1w,助手头部1k,1.181,6.66,30,25,31,27,34,30,18,24
NK_XY,内科,血液内科,03.05 血液内科,383,0.87,123,1.23,1.032,1.466,1.358,79,0.79,0.634,0.983,0.272,98,0.98,0.805,1.193,1.03,73,0.73,0.581,0.917,0.529,4,0.418,0.162,1.069,0.23,0,0.0,0.0,0.383,0.0,3,0.281,0.096,0.823,0.795,3,0.3,0.102,0.878,0.3,26.01,1.4139,2.0811,16.7,0.908,1.3364,20.73,1.1266,1.6581,15.44,0.839,1.2349,8.83,0.4799,0.7063,0.0,0.0,0.0,5.95,0.3231,0.4756,6.34,0.3448,0.5075,7,助手随机1k,,2025搜索,助手随机1k,1.23,inf,21,29,27,30,31,38,30,31
NK_FS,内科,风湿免疫科,03.08/03.09 免疫学与变态反应,313,0.711,69,0.69,0.546,0.872,0.67,61,0.61,0.475,0.783,0.397,81,0.81,0.652,1.006,0.72,72,0.72,0.572,0.906,0.79,8,0.835,0.424,1.639,0.623,13,1.303,0.763,2.216,1.11,3,0.281,0.096,0.823,0.19,6,0.6,0.275,1.303,0.6,11.8,0.9706,0.9439,10.43,0.8579,0.8343,13.85,1.1394,1.1081,12.31,1.0126,0.9848,14.28,1.1744,1.1421,22.27,1.8319,1.7816,4.81,0.3954,0.3846,10.26,0.8438,0.8206,8,,,助手随机1k,助手语音头部1k,1.021,4.63,31,31,30,31,26,22,30,27
PF_XB,皮肤,性病科,13.02 性传播疾病,228,0.518,62,0.62,0.484,0.794,0.728,51,0.51,0.388,0.67,3.335,54,0.54,0.414,0.704,0.555,42,0.42,0.311,0.567,0.273,9,0.939,0.495,1.776,0.976,2,0.2,0.055,0.728,0.171,5,0.469,0.2,1.092,1.468,3,0.3,0.102,0.878,0.3,15.51,1.1972,1.2407,12.75,0.9846,1.0203,13.51,1.0428,1.0806,10.5,0.8109,0.8403,23.49,1.8138,1.8795,5.01,0.3869,0.4009,11.72,0.9047,0.9375,7.5,0.5792,0.6002,8,,,助手头部1k,助手随机1k,0.739,4.69,32,32,32,32,23,35,27,31
KF,其它临床,康复医学科,21/22 康复医学科与运动医学科,114,0.259,17,0.17,0.106,0.272,0.142,31,0.31,0.218,0.44,0.104,21,0.21,0.137,0.321,0.136,35,0.35,0.252,0.486,0.234,2,0.209,0.057,0.758,0.333,3,0.301,0.102,0.88,0.256,2,0.187,0.051,0.681,0.107,3,0.3,0.102,0.878,0.3,8.35,0.6566,0.6678,15.22,1.197,1.2175,10.31,0.811,0.825,17.18,1.3515,1.3746,10.25,0.8061,0.82,14.76,1.1607,1.1806,9.2,0.7238,0.7362,14.73,1.1584,1.1783,8,,,2026搜索随机1w,2025搜索,0.18,2.06,33,34,33,33,34,33,33,31
FCK_SZ,妇产科,生殖医学科,05.05 生殖健康与不孕症,114,0.259,10,0.1,0.054,0.184,0.066,51,0.51,0.388,0.67,0.17,10,0.1,0.054,0.184,0.054,29,0.29,0.202,0.416,0.184,9,0.939,0.495,1.776,1.686,4,0.401,0.156,1.026,0.342,1,0.094,0.017,0.529,0.044,0,0.0,0.0,0.383,0.0,4.11,0.3862,0.3287,20.95,1.9693,1.6762,4.11,0.3862,0.3287,11.91,1.1198,0.9532,38.6,3.6275,3.0878,16.47,1.5476,1.3173,3.85,0.3619,0.308,0.0,0.0,0.0,7,助手语音1k,,助手头部1k,助手语音1k,0.939,inf,34,32,34,34,23,30,34,36
WK_SZ,外科,烧伤整形科,04.07/04.08 烧伤与整形外科,60,0.136,8,0.08,0.041,0.158,0.07,23,0.23,0.153,0.345,0.421,8,0.08,0.041,0.158,0.055,17,0.17,0.106,0.272,0.117,3,0.313,0.107,0.917,0.235,0,0.0,0.0,0.383,0.0,1,0.094,0.017,0.529,0.127,0,0.0,0.0,0.383,0.0,8.28,0.587,0.662,23.79,1.6874,1.903,8.28,0.587,0.662,17.58,1.2472,1.4065,32.39,2.2974,2.591,0.0,0.0,0.0,9.69,0.6876,0.7754,0.0,0.0,0.0,6,助手随机1k / 助手语音1k,,助手头部1k,助手随机1k,0.313,inf,35,36,35,35,32,38,34,36
WK_SJ,外科,神经外科,04.02 神经外科,60,0.136,7,0.07,0.034,0.144,0.031,31,0.31,0.218,0.44,0.078,5,0.05,0.021,0.117,0.024,14,0.14,0.083,0.235,0.1,1,0.104,0.018,0.589,0.128,2,0.2,0.055,0.728,0.171,0,0.0,0.0,0.359,0.0,0,0.0,0.0,0.383,0.0,8.0,0.5137,0.6403,35.44,2.2743,2.8349,5.72,0.3669,0.4573,16.0,1.0271,1.2803,11.93,0.7658,0.9546,22.91,1.4702,1.8326,0.0,0.0,0.0,0.0,0.0,0.0,6,助手语音头部1k / 助手语音1k,,2025搜索随机1w,助手语音头部1k,0.31,inf,36,34,37,36,36,35,37,36
