domain,label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
书籍文档,查询官方政策法规或合规原文,2026search,assistant_top,229,0,9995,850,0.0229114557278639,0.0,-2.291145572786393,-2.603316355537721,-1.7635853892001951,receded,True,界面（同为头部流量）
书籍文档,查询具体数字或年度主题,2026search,assistant_top,175,0,9995,850,0.0175087543771885,0.0,-1.7508754377188591,-2.027157913504079,-1.2413328932377004,receded,True,界面（同为头部流量）
书籍文档,获取单位或组织指定写作成稿,2026search,assistant_top,174,1,9995,850,0.017408704352176,0.0011764705882352,-1.6232233763940795,-1.9153220681688168,-1.0276679992609552,stable,True,界面（同为头部流量）
书籍文档,补全或解释给定句子,2026search,assistant_top,129,1,9995,850,0.0129064532266133,0.0011764705882352,-1.1729982638378011,-1.4324990836251,-0.5906347553606498,stable,True,界面（同为头部流量）
书籍文档,索取受限、欺骗性或有害内容,2026search,assistant_top,54,0,9995,850,0.0054027013506753,0.0,-0.5402701350675337,-0.7042051488793941,-0.0730748757350518,receded,True,界面（同为头部流量）
书籍文档,学习某类文字怎么写,2026search,assistant_top,187,13,9995,850,0.0187093546773386,0.0152941176470588,-0.3415237030279844,-1.0360348612637411,0.7564003787057691,stable,False,界面（同为头部流量）
书籍文档,现场生成或改写文字内容,2026search,assistant_top,80,6,9995,850,0.0080040020010005,0.0070588235294117,-0.0945178471588734,-0.5232009970338733,0.7457681685381465,stable,False,界面（同为头部流量）
书籍文档,倾诉并寻求情绪支持,2026search,assistant_top,25,6,9995,850,0.0025012506253126,0.0070588235294117,0.4557572904099109,0.0557092724612514,1.2852183570548044,stable,True,界面（同为头部流量）
书籍文档,索取露骨或性化内容,2026search,assistant_top,95,32,9995,850,0.009504752376188,0.0376470588235294,2.8142306447341316,1.7085819378322131,4.325638934615432,stable,True,界面（同为头部流量）
书籍文档,生成或修改图片,2026search,assistant_top,5,47,9995,850,0.0005002501250625,0.0552941176470588,5.47938675219963,4.131774175399226,7.2257151609387185,stable,True,界面（同为头部流量）
书籍文档,获取现成可直接发布文案,2026search,assistant_top,981,267,9995,850,0.0981490745372686,0.3141176470588235,21.596857252155495,18.507410239211737,24.845011363965973,stable,True,界面（同为头部流量）
书籍文档,依赖前文的修改或追问,2026search,assistant_top,192,377,9995,850,0.0192096048024012,0.4435294117647059,42.43198069623047,39.11247791359734,45.799149691512454,stable,True,界面（同为头部流量）
书籍文档,依赖前文的修改或追问,assistant_top,assistant_random,377,245,850,953,0.4435294117647059,0.2570828961175236,-18.644651564718227,-22.93663086807828,-14.2670592004428,stable,True,深度（助手头部→长尾）
书籍文档,获取现成可直接发布文案,assistant_top,assistant_random,267,138,850,953,0.3141176470588235,0.1448058761804826,-16.931177087834087,-20.752582991286506,-13.079457632164344,stable,True,深度（助手头部→长尾）
书籍文档,生成或修改图片,assistant_top,assistant_random,47,35,850,953,0.0552941176470588,0.036726128016789,-1.856798963026974,-3.8790867043574666,0.0796252244184628,stable,False,深度（助手头部→长尾）
书籍文档,索取露骨或性化内容,assistant_top,assistant_random,32,20,850,953,0.0376470588235294,0.0209863588667366,-1.6660699956792788,-3.3383266332908104,-0.1058540702659432,stable,True,深度（助手头部→长尾）
书籍文档,获取个人装饰用图（头像/壁纸）,assistant_top,assistant_random,13,5,850,953,0.0152941176470588,0.0052465897166841,-1.0047527930374671,-2.1157328727354816,-0.0624432420249808,stable,True,深度（助手头部→长尾）
书籍文档,学习某类文字怎么写,assistant_top,assistant_random,13,6,850,953,0.0152941176470588,0.0062959076600209,-0.8998209987037837,-2.022391094131075,0.0721222756464768,stable,False,深度（助手头部→长尾）
书籍文档,获取可套用文书模板或范文,assistant_top,assistant_random,5,8,850,953,0.0058823529411764,0.0083945435466946,0.2512190605518178,-0.6327789108153273,1.1267770244535684,stable,False,深度（助手头部→长尾）
书籍文档,获取应景问候图片,assistant_top,assistant_random,2,5,850,953,0.0023529411764705,0.0052465897166841,0.2893648540213567,-0.3982339050280106,1.007570344091203,stable,False,深度（助手头部→长尾）
书籍文档,查询词语或概念的含义,assistant_top,assistant_random,32,40,850,953,0.0376470588235294,0.0419727177334732,0.4325658909943831,-1.4287561226980767,2.258084131375768,stable,False,深度（助手头部→长尾）
书籍文档,进入指定网站或电子报刊页面,assistant_top,assistant_random,1,6,850,953,0.0011764705882352,0.0062959076600209,0.5119437071785693,-0.1314152403262334,1.2554334587671592,stable,False,深度（助手头部→长尾）
书籍文档,索取受限、欺骗性或有害内容,assistant_top,assistant_random,0,5,850,953,0.0,0.0052465897166841,0.5246589716684155,-0.0162895522590559,1.2222731390596018,emergent,False,深度（助手头部→长尾）
书籍文档,查询具体数字或年度主题,assistant_top,assistant_random,0,6,850,953,0.0,0.0062959076600209,0.6295907660020986,0.0652219263226366,1.3667420158621597,emergent,True,深度（助手头部→长尾）
书籍文档,获取漫画免费阅读或下载入口,assistant_top,assistant_random,4,12,850,953,0.0047058823529411,0.0125918153200419,0.7885932967100797,-0.1204045618793715,1.760846815735048,stable,False,深度（助手头部→长尾）
书籍文档,查询官方政策法规或合规原文,assistant_top,assistant_random,0,9,850,953,0.0,0.0094438614900314,0.944386149003148,0.3103478859190317,1.7850330399113767,emergent,True,深度（助手头部→长尾）
书籍文档,获取故事或典故全文/梗概,assistant_top,assistant_random,1,12,850,953,0.0011764705882352,0.0125918153200419,1.1415344731806678,0.3756082692710125,2.0753660005417194,stable,True,深度（助手头部→长尾）
书籍文档,获取单位或组织指定写作成稿,assistant_top,assistant_random,1,14,850,953,0.0011764705882352,0.0146904512067156,1.351398061848034,0.5462591048572161,2.337821487349305,stable,True,深度（助手头部→长尾）
书籍文档,补全或解释给定句子,assistant_top,assistant_random,1,15,850,953,0.0011764705882352,0.0157397691500524,1.456329856181717,0.6319896054544141,2.4676546246330435,stable,True,深度（助手头部→长尾）
书籍文档,获取说明性/参考图片,assistant_top,assistant_random,42,61,850,953,0.0494117647058823,0.0640083945435466,1.459662983766434,-0.7107424335337658,3.607509118893484,stable,False,深度（助手头部→长尾）
书籍文档,现场生成或改写文字内容,assistant_top,assistant_random,6,87,850,953,0.0070588235294117,0.0912906610703043,8.423183754089253,6.561861568144073,10.455807413154506,stable,True,深度（助手头部→长尾）
书籍文档,倾诉并寻求情绪支持,assistant_top,assistant_random,6,224,850,953,0.0070588235294117,0.2350472193074501,22.79883957780384,20.087642967355468,25.62001850088491,stable,True,深度（助手头部→长尾）
书籍文档,获取说明性/参考图片,2026search,assistant_random,2447,61,9995,953,0.2448224112056028,0.0640083945435466,-18.08140166620561,-19.708423423984655,-16.156068157084864,stable,True,界面+深度（不可单独归因）
书籍文档,获取漫画免费阅读或下载入口,2026search,assistant_random,1647,12,9995,953,0.1647823911955978,0.0125918153200419,-15.219057587555582,-16.13374553224546,-14.047301077960928,stable,True,界面+深度（不可单独归因）
书籍文档,查询词语或概念的含义,2026search,assistant_random,1197,40,9995,953,0.1197598799399699,0.0419727177334732,-7.778716220649676,-9.056945598139135,-6.184673525664385,stable,True,界面+深度（不可单独归因）
书籍文档,获取个人装饰用图（头像/壁纸）,2026search,assistant_random,668,5,9995,953,0.0668334167083541,0.0052465897166841,-6.158682699167002,-6.747473852155669,-5.315756439566509,stable,True,界面+深度（不可单独归因）
书籍文档,获取应景问候图片,2026search,assistant_random,469,5,9995,953,0.0469234617308654,0.0052465897166841,-4.167687201418127,-4.694069189577359,-3.3647895591207915,stable,True,界面+深度（不可单独归因）
书籍文档,获取可套用文书模板或范文,2026search,assistant_random,441,8,9995,953,0.0441220610305152,0.0083945435466946,-3.572751748382061,-4.162440323346547,-2.677345042013938,stable,True,界面+深度（不可单独归因）
书籍文档,进入指定网站或电子报刊页面,2026search,assistant_random,378,6,9995,953,0.0378189094547273,0.0062959076600209,-3.152300179470638,-3.671747007656597,-2.33344068140906,stable,True,界面+深度（不可单独归因）
书籍文档,获取故事或典故全文/梗概,2026search,assistant_random,422,12,9995,953,0.0422211105552776,0.0125918153200419,-2.962929523523566,-3.640195582836329,-1.9605536234124668,stable,True,界面+深度（不可单独归因）
书籍文档,查询官方政策法规或合规原文,2026search,assistant_random,229,9,9995,953,0.0229114557278639,0.0094438614900314,-1.3467594237832452,-1.8917753410499825,-0.4621158933626709,stable,True,界面+深度（不可单独归因）
书籍文档,学习某类文字怎么写,2026search,assistant_random,187,6,9995,953,0.0187093546773386,0.0062959076600209,-1.2413447017317685,-1.685375563436743,-0.4636782848855328,stable,True,界面+深度（不可单独归因）
书籍文档,查询具体数字或年度主题,2026search,assistant_random,175,6,9995,953,0.0175087543771885,0.0062959076600209,-1.1212846717167608,-1.559954737988618,-0.3462925406454916,stable,True,界面+深度（不可单独归因）
书籍文档,获取单位或组织指定写作成稿,2026search,assistant_random,174,14,9995,953,0.017408704352176,0.0146904512067156,-0.2718253145460453,-0.9247985341624546,0.7383830903612211,stable,False,界面+深度（不可单独归因）
书籍文档,索取受限、欺骗性或有害内容,2026search,assistant_random,54,5,9995,953,0.0054027013506753,0.0052465897166841,-0.0156111633991182,-0.3577912734414879,0.6932782287513399,stable,False,界面+深度（不可单独归因）
书籍文档,补全或解释给定句子,2026search,assistant_random,129,15,9995,953,0.0129064532266133,0.0157397691500524,0.2833315923439158,-0.3797529906278779,1.3103314380227704,stable,False,界面+深度（不可单独归因）
书籍文档,索取露骨或性化内容,2026search,assistant_random,95,20,9995,953,0.009504752376188,0.0209863588667366,1.1481606490548526,0.3827547327342129,2.281992049336321,stable,True,界面+深度（不可单独归因）
书籍文档,生成或修改图片,2026search,assistant_random,5,35,9995,953,0.0005002501250625,0.036726128016789,3.622587789172656,2.6001887618048896,5.01506541921533,stable,True,界面+深度（不可单独归因）
书籍文档,获取现成可直接发布文案,2026search,assistant_random,981,138,9995,953,0.0981490745372686,0.1448058761804826,4.6656801643214045,2.489966481434577,7.109478847607129,stable,True,界面+深度（不可单独归因）
书籍文档,现场生成或改写文字内容,2026search,assistant_random,80,87,9995,953,0.0080040020010005,0.0912906610703043,8.32866590693038,6.649119005324011,10.331221224364793,stable,True,界面+深度（不可单独归因）
书籍文档,倾诉并寻求情绪支持,2026search,assistant_random,25,224,9995,953,0.0025012506253126,0.2350472193074501,23.25459686821375,20.669405627901256,26.050959585912153,stable,True,界面+深度（不可单独归因）
书籍文档,依赖前文的修改或追问,2026search,assistant_random,192,245,9995,953,0.0192096048024012,0.2570828961175236,23.78732913151224,21.098576334317748,26.66662565854656,stable,True,界面+深度（不可单独归因）
软件,完成设置或操作步骤,2025search,2026search,1334,876,9997,9999,0.1334400320096029,0.0876087608760876,-4.5831271133515274,-5.451028157544694,-3.716627258300546,stable,True,时间（搜索内部，2025→2026）
软件,平台规则与能力裁决,2025search,2026search,308,177,9997,9999,0.0308092427728318,0.0177017701770177,-1.310747259581415,-1.7413715009258153,-0.8862676471733104,stable,True,时间（搜索内部，2025→2026）
软件,获取社交文案与发布素材,2025search,2026search,603,503,9997,9999,0.0603180954286285,0.0503050305030503,-1.0013064925578283,-1.6363792982380845,-0.367753794440107,stable,True,时间（搜索内部，2025→2026）
软件,排查并修复故障,2025search,2026search,133,76,9997,9999,0.0133039911973592,0.0076007600760076,-0.5703231121351607,-0.8579910520007752,-0.2895094799847797,stable,True,时间（搜索内部，2025→2026）
软件,按功能求推荐软件,2025search,2026search,380,346,9997,9999,0.0380114034210263,0.0346034603460346,-0.3407943074991704,-0.8609040251312803,0.1783592760584451,stable,False,时间（搜索内部，2025→2026）
软件,获取成人内容或成人应用,2025search,2026search,123,89,9997,9999,0.0123036911073321,0.0089008900890089,-0.3402801018323298,-0.6285789979982405,-0.0559836503735292,stable,True,时间（搜索内部，2025→2026）
软件,恢复误删或丢失的数据与关系,2025search,2026search,185,156,9997,9999,0.0185055516654996,0.0156015601560156,-0.2903991509484048,-0.6521395486275202,0.0693119721550857,stable,False,时间（搜索内部，2025→2026）
软件,取消持续扣费或授权,2025search,2026search,77,55,9997,9999,0.0077023106932079,0.0055005500550055,-0.2201760638202461,-0.4498920670336646,0.0052897209896402,stable,False,时间（搜索内部，2025→2026）
软件,获取破解或解锁版软件,2025search,2026search,38,18,9997,9999,0.0038011403421026,0.0018001800180018,-0.200096032410083,-0.3559714799671978,-0.0534250425492993,stable,True,时间（搜索内部，2025→2026）
软件,判断社交关系状态与可见性,2025search,2026search,58,43,9997,9999,0.0058017405221566,0.0043004300430043,-0.1501310479152346,-0.3521378436540354,0.0480723946205924,stable,False,时间（搜索内部，2025→2026）
软件,直接编辑或生成图像,2025search,2026search,60,54,9997,9999,0.006001800540162,0.0054005400540054,-0.0601260486156648,-0.272896493603515,0.1512952190128735,stable,False,时间（搜索内部，2025→2026）
软件,获取蹭网或WiFi破解工具,2025search,2026search,39,35,9997,9999,0.0039011703511053,0.0035003500350035,-0.0400820316101831,-0.2133297774412286,0.1317785741230843,stable,False,时间（搜索内部，2025→2026）
软件,获取位置伪造工具,2025search,2026search,9,7,9997,9999,0.0009002700810243,0.0007000700070007,-0.0200200074023607,-0.1086942345231286,0.0657756886494639,stable,False,时间（搜索内部，2025→2026）
软件,从图片或文档提取内容,2025search,2026search,16,15,9997,9999,0.0016004801440432,0.0015001500150015,-0.0100330129041712,-0.1260035818178889,0.1051340357007369,stable,False,时间（搜索内部，2025→2026）
软件,获取灰色辅助或作弊工具,2025search,2026search,39,41,9997,9999,0.0039011703511053,0.0041004100410041,0.0199239689898769,-0.1588173653519481,0.1992915872666949,stable,False,时间（搜索内部，2025→2026）
软件,解释术语或比较概念,2025search,2026search,176,188,9997,9999,0.0176052815844753,0.0188018801880188,0.1196598603543458,-0.2523173801210711,0.4924021376976844,stable,False,时间（搜索内部，2025→2026）
软件,获取非官方软件库或第三方分发渠道,2025search,2026search,84,101,9997,9999,0.0084025207562268,0.0101010101010101,0.1698489344783234,-0.0970052545127151,0.4389930044894631,stable,False,时间（搜索内部，2025→2026）
软件,获取翻墙工具或访问被限制的境外服务,2025search,2026search,461,556,9997,9999,0.046113834150245,0.0556055605560556,0.949172640581053,0.3402148560912553,1.5597600332162551,stable,True,时间（搜索内部，2025→2026）
软件,直达指定页面或账号主页,2025search,2026search,512,628,9997,9999,0.0512153646093828,0.0628062806280628,1.1590916018679989,0.5166043497268574,1.8032397000617209,stable,True,时间（搜索内部，2025→2026）
软件,查询汉字输入编码,2025search,2026search,558,679,9997,9999,0.055816745023507,0.0679067906790679,1.2090045655560857,0.5414452388525717,1.8780720103432476,stable,True,时间（搜索内部，2025→2026）
软件,打开官方网页或网页版入口,2025search,2026search,321,444,9997,9999,0.0321096328898669,0.0444044404440444,1.2294807554177445,0.6985482992843711,1.763611600907675,stable,True,时间（搜索内部，2025→2026）
软件,下载并安装指定软件,2025search,2026search,1800,1995,9997,9999,0.1800540162048614,0.1995199519951995,1.9465935790338036,0.8596530958374673,3.033133764671302,stable,True,时间（搜索内部，2025→2026）
软件,仅产品名消歧,2025search,2026search,2683,2917,9997,9999,0.2683805141542463,0.2917291729172917,2.3348658763045425,1.0901911032580904,3.578573368801731,stable,True,时间（搜索内部，2025→2026）
软件,下载并安装指定软件,2026search,assistant_top,1995,16,9999,940,0.1995199519951995,0.0170212765957446,-18.249867539945484,-19.277703811312872,-16.950902380284013,stable,True,界面（同为头部流量）
软件,仅产品名消歧,2026search,assistant_top,2917,199,9999,940,0.2917291729172917,0.2117021276595744,-8.002704525771726,-10.6513700574865,-5.137152470974973,stable,True,界面（同为头部流量）
软件,查询汉字输入编码,2026search,assistant_top,679,1,9999,940,0.0679067906790679,0.001063829787234,-6.684296089183387,-7.201668708335718,-5.997977086013237,stable,True,界面（同为头部流量）
软件,获取翻墙工具或访问被限制的境外服务,2026search,assistant_top,556,3,9999,940,0.0556055605560556,0.0031914893617021,-5.2414071194353475,-5.753193439631399,-4.489685347115466,stable,True,界面（同为头部流量）
软件,直达指定页面或账号主页,2026search,assistant_top,628,12,9999,940,0.0628062806280628,0.0127659574468085,-5.00403231812543,-5.738500533557665,-3.9566666970681847,stable,True,界面（同为头部流量）
软件,完成设置或操作步骤,2026search,assistant_top,876,40,9999,940,0.0876087608760876,0.0425531914893617,-4.5055569386725915,-5.757794687776478,-2.923798329295347,stable,True,界面（同为头部流量）
软件,打开官方网页或网页版入口,2026search,assistant_top,444,30,9999,940,0.0444044404440444,0.0319148936170212,-1.2489546827023128,-2.2854839664145934,0.1341223783481644,stable,False,界面（同为头部流量）
软件,获取社交文案与发布素材,2026search,assistant_top,503,36,9999,940,0.0503050305030503,0.0382978723404255,-1.2007158162624771,-2.3422066403451742,0.2840249573345155,stable,False,界面（同为头部流量）
软件,排查并修复故障,2026search,assistant_top,76,0,9999,940,0.0076007600760076,0.0,-0.7600760076007601,-0.9502326568360135,-0.3254985429366869,receded,True,界面（同为头部流量）
软件,获取成人内容或成人应用,2026search,assistant_top,89,2,9999,940,0.0089008900890089,0.002127659574468,-0.6773230514540816,-0.9330726398486244,-0.0935078541278583,stable,True,界面（同为头部流量）
软件,获取非官方软件库或第三方分发渠道,2026search,assistant_top,101,4,9999,940,0.0101010101010101,0.0042553191489361,-0.5845690952073932,-0.9223246118464954,0.102374313024273,stable,False,界面（同为头部流量）
软件,取消持续扣费或授权,2026search,assistant_top,55,0,9999,940,0.0055005500550055,0.0,-0.5500550055005501,-0.7152255700727451,-0.1236418041891452,receded,True,界面（同为头部流量）
软件,恢复误删或丢失的数据与关系,2026search,assistant_top,156,10,9999,940,0.0156015601560156,0.0106382978723404,-0.4963262283675176,-1.0476224974376658,0.4151814054402156,stable,False,界面（同为头部流量）
软件,获取灰色辅助或作弊工具,2026search,assistant_top,41,1,9999,940,0.0041004100410041,0.001063829787234,-0.3036580253770058,-0.4736773282359959,0.2016738583683576,stable,False,界面（同为头部流量）
软件,获取破解或解锁版软件,2026search,assistant_top,18,0,9999,940,0.0018001800180018,0.0,-0.18001800180018,-0.2843972210157851,0.2323193819877435,receded,False,界面（同为头部流量）
软件,获取位置伪造工具,2026search,assistant_top,7,0,9999,940,0.0007000700070007,0.0,-0.07000700070007,-0.1444478824569696,0.3385926086518273,receded,False,界面（同为头部流量）
软件,平台规则与能力裁决,2026search,assistant_top,177,16,9999,940,0.0177017701770177,0.0170212765957446,-0.068049358127302,-0.7764375554811398,1.0041613915655214,stable,False,界面（同为头部流量）
软件,获取蹭网或WiFi破解工具,2026search,assistant_top,35,4,9999,940,0.0035003500350035,0.0042553191489361,0.075496911393267,-0.2180326435966617,0.7461983974711931,stable,False,界面（同为头部流量）
软件,判断社交关系状态与可见性,2026search,assistant_top,43,6,9999,940,0.0043004300430043,0.0063829787234042,0.2082548680399954,-0.1678232087351703,0.963644337475482,stable,False,界面（同为头部流量）
软件,解释术语或比较概念,2026search,assistant_top,188,21,9999,940,0.0188018801880188,0.0223404255319148,0.3538545343896093,-0.4656730705787181,1.5372868260994217,stable,False,界面（同为头部流量）
软件,按功能求推荐软件,2026search,assistant_top,346,43,9999,940,0.0346034603460346,0.0457446808510638,1.114122050502922,-0.1061980230669331,2.682149629110675,stable,False,界面（同为头部流量）
软件,从图片或文档提取内容,2026search,assistant_top,15,29,9999,940,0.0015001500150015,0.0308510638297872,2.9350913814785735,2.0014061296575028,4.246906481573907,stable,True,界面（同为头部流量）
软件,生成露骨性图像编辑,2026search,assistant_top,0,33,9999,940,0.0,0.0351063829787234,3.5106382978723407,2.5097954367159545,4.8891698701228234,emergent,True,界面（同为头部流量）
软件,直接编辑或生成图像,2026search,assistant_top,54,434,9999,940,0.0054005400540054,0.4617021276595744,45.6301587605569,42.46100180261226,48.828728888691565,stable,True,界面（同为头部流量）
软件,直接编辑或生成图像,assistant_top,assistant_random,434,235,940,984,0.4617021276595744,0.2388211382113821,-22.288098944819236,-26.382525433579957,-18.08726790682653,stable,True,深度（助手头部→长尾）
软件,仅产品名消歧,assistant_top,assistant_random,199,60,940,984,0.2117021276595744,0.0609756097560975,-15.072651790347692,-18.10647207130688,-12.07177465443744,stable,True,深度（助手头部→长尾）
软件,打开官方网页或网页版入口,assistant_top,assistant_random,30,2,940,984,0.0319148936170212,0.0020325203252032,-2.988237329181802,-4.324361162142477,-1.9007249854088184,stable,True,深度（助手头部→长尾）
软件,生成露骨性图像编辑,assistant_top,assistant_random,33,18,940,984,0.0351063829787234,0.0182926829268292,-1.6813700051894138,-3.213695577522373,-0.2358305796960185,stable,True,深度（助手头部→长尾）
软件,获取社交文案与发布素材,assistant_top,assistant_random,36,27,940,984,0.0382978723404255,0.0274390243902439,-1.085884795018163,-2.7472210740645373,0.5234229347174817,stable,False,深度（助手头部→长尾）
软件,从图片或文档提取内容,assistant_top,assistant_random,29,20,940,984,0.0308510638297872,0.0203252032520325,-1.052586057775471,-2.544467129594748,0.3763240609946335,stable,False,深度（助手头部→长尾）
软件,解释术语或比较概念,assistant_top,assistant_random,21,14,940,984,0.0223404255319148,0.0142276422764227,-0.8112783255492131,-2.1026401239272676,0.4114264198482003,stable,False,深度（助手头部→长尾）
软件,获取蹭网或WiFi破解工具,assistant_top,assistant_random,4,1,940,984,0.0042553191489361,0.0010162601626016,-0.3239058986334543,-0.992631569556948,0.2147300272610217,stable,False,深度（助手头部→长尾）
软件,获取灰色辅助或作弊工具,assistant_top,assistant_random,1,0,940,984,0.001063829787234,0.0,-0.1063829787234042,-0.6001208758174414,0.2922358850266683,receded,False,深度（助手头部→长尾）
软件,获取非官方软件库或第三方分发渠道,assistant_top,assistant_random,4,4,940,984,0.0042553191489361,0.0040650406504065,-0.0190278498529665,-0.7274415973504281,0.6662102654551589,stable,False,深度（助手头部→长尾）
软件,查询汉字输入编码,assistant_top,assistant_random,1,1,940,984,0.001063829787234,0.0010162601626016,-0.0047569624632416,-0.5055365238351274,0.4750752474528688,stable,False,深度（助手头部→长尾）
