key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
RESULT_INTERPRETATION__2,RESULT_INTERPRETATION__2,,1266,2.876,77,0.77,0.617,0.961,0.642,474,4.74,4.341,5.174,1.176,88,0.88,0.715,1.083,0.612,528,5.28,4.859,5.736,3.707,2,0.209,0.057,0.758,0.147,56,5.611,4.346,7.217,4.868,4,0.375,0.146,0.96,0.317,37,3.7,2.696,5.058,3.7,3.57,0.2678,0.2857,21.98,1.6481,1.7584,4.08,0.306,0.3265,24.48,1.8359,1.9587,0.97,0.0726,0.0774,26.02,1.951,2.0816,1.74,0.1303,0.1391,17.16,1.2865,1.3726,8,,,助手随机1k,助手头部1k,5.402,26.88,23,7,22,7,35,5,20,9,查询健康指标正常范围,24.4,961心跳微搏 / 吃了降压药血压还高怎么办 / 带曼月乐环一个月复查复查前需要注意什么事项
CARE_NAVIGATION_COST__1,CARE_NAVIGATION_COST__1,,1117,2.538,28,0.28,0.194,0.404,0.148,448,4.48,4.092,4.903,1.614,35,0.35,0.252,0.486,0.22,504,5.04,4.628,5.486,3.863,30,3.132,2.202,4.435,5.825,45,4.509,3.387,5.98,3.843,1,0.094,0.017,0.529,0.059,26,2.6,1.78,3.782,2.6,1.37,0.1104,0.1094,21.87,1.7655,1.7496,1.71,0.138,0.1367,24.6,1.9862,1.9683,15.29,1.2341,1.223,22.01,1.7769,1.761,0.46,0.0369,0.0366,12.69,1.0246,1.0154,8,,,2026搜索随机1w,助手语音头部1k,4.946,53.78,35,8,34,8,10,9,28,13,医院及科室信息查询,85.2,试管婴儿那个医院成功率高 / 体验区体检20分钟 / 西门子助听器门店地址查询
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,,1027,2.333,161,1.61,1.382,1.876,1.389,337,3.37,3.034,3.742,1.405,122,1.22,1.023,1.455,1.055,323,3.23,2.901,3.595,2.366,13,1.357,0.795,2.308,1.538,24,2.405,1.621,3.553,2.562,10,0.937,0.51,1.717,1.108,37,3.7,2.696,5.058,3.7,9.03,0.6902,0.7225,18.9,1.4444,1.5121,6.84,0.523,0.5475,18.12,1.3844,1.4493,7.61,0.5816,0.6089,13.49,1.0307,1.079,5.26,0.4017,0.4205,20.75,1.5859,1.6602,8,,,助手语音1k,助手语音头部1k,2.763,3.95,12,10,16,11,17,14,15,9,查询皮肤疙瘩红疹症状与处理,45.1,男性生殖有小疙瘩是怎么回事 / 这是什么皮肤病 / 腋下淋巴结肿大的图片
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__1,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__1,,982,2.231,123,1.23,1.032,1.466,1.107,330,3.3,2.967,3.668,1.548,118,1.18,0.987,1.411,1.016,320,3.2,2.873,3.563,3.479,10,1.044,0.568,1.911,0.602,36,3.607,2.617,4.953,3.33,13,1.218,0.713,2.073,0.799,32,3.2,2.276,4.482,3.2,6.84,0.5515,0.5474,18.35,1.4793,1.4683,6.56,0.5291,0.5251,17.8,1.4344,1.4238,5.81,0.4679,0.4644,20.06,1.617,1.605,6.78,0.5461,0.5421,17.8,1.4344,1.4238,8,,,助手随机1k,助手头部1k,2.563,3.46,18,11,17,12,22,11,9,12,查询身体不适症状及可能病因,43.1,大脚趾头麻木怎么回事 / 胯骨和大腿的连接处疼怎么回事 / 睡觉手麻醒了一活动就恢复了
CARE_NAVIGATION_COST__2,CARE_NAVIGATION_COST__2,,924,2.099,155,1.55,1.326,1.812,1.028,258,2.58,2.287,2.909,1.869,140,1.4,1.188,1.65,0.9,313,3.13,2.806,3.49,2.777,39,4.071,2.992,5.517,4.44,5,0.501,0.214,1.167,0.512,7,0.656,0.318,1.348,0.712,7,0.7,0.339,1.438,0.7,10.63,0.7386,0.8501,17.69,1.2291,1.4148,9.6,0.6671,0.7679,21.46,1.4911,1.7164,27.91,1.9394,2.2324,3.43,0.2387,0.2747,4.5,0.3125,0.3598,4.8,0.3335,0.3839,8,,,助手头部1k,助手随机1k,3.57,8.13,13,14,14,13,9,33,17,24,医院及科室信息查询,92.0,中医养生科普 / 徐州医科大学附属医院 / 医生
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,,920,2.09,324,3.241,2.911,3.606,3.32,159,1.59,1.363,1.854,3.323,305,3.051,2.731,3.406,3.087,103,1.03,0.85,1.248,1.113,12,1.253,0.718,2.177,0.853,4,0.401,0.156,1.026,0.427,1,0.094,0.017,0.529,0.055,12,1.2,0.688,2.086,1.2,27.33,1.5505,2.1862,13.41,0.7608,1.0727,25.73,1.4596,2.058,8.69,0.4928,0.6949,10.56,0.5993,0.845,3.38,0.1918,0.2704,0.79,0.0448,0.0632,10.12,0.5742,0.8096,8,,,2025搜索,助手语音头部1k,3.147,34.58,8,20,8,21,19,39,28,18,症状原因查询,69.0,失眠睡不着是什么原因造成的 / 尿多是什么原因男性 / 总感觉浑身乏力很累是什么原因
NON_HEALTH_OTHER__1,NON_HEALTH_OTHER__1,,891,2.024,67,0.67,0.528,0.85,0.545,302,3.02,2.702,3.374,1.057,60,0.6,0.467,0.772,0.462,290,2.9,2.589,3.247,2.143,42,4.384,3.26,5.873,3.559,75,7.515,6.037,9.319,6.832,12,1.125,0.645,1.955,1.056,43,4.3,3.208,5.742,4.3,2.73,0.3311,0.2187,12.32,1.492,0.9856,2.45,0.2965,0.1958,11.83,1.4327,0.9464,17.88,2.1659,1.4307,30.66,3.7127,2.4525,4.59,0.5556,0.367,17.54,2.1244,1.4033,8,,,助手随机1k,2026搜索,6.915,12.52,25,13,26,14,7,2,12,8,查询疾病严重性、传染性与治疗风险,12.2,这是什么药 / 拍胸片是否脱上衣 / 扭到脖子怎么办
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__2,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__2,,774,1.758,146,1.46,1.243,1.715,1.291,226,2.26,1.987,2.57,1.699,149,1.49,1.271,1.747,1.168,212,2.12,1.856,2.421,1.887,8,0.835,0.424,1.639,0.859,8,0.802,0.407,1.574,0.683,15,1.406,0.854,2.307,2.825,10,1.0,0.544,1.831,1.0,12.84,0.8305,1.0272,19.87,1.2853,1.5897,13.1,0.8476,1.0483,18.64,1.2057,1.4912,7.34,0.4749,0.5874,7.05,0.4559,0.5639,12.36,0.7995,0.9889,8.79,0.5687,0.7034,8,,,2025搜索随机1w,助手随机1k,1.458,2.82,14,15,13,16,23,27,8,19,症状原因查询,35.4,"月经干净了几天又出血是怎么回事 / 子宫异常出血是什么原因导致 / 我下面好瘙痒,痒的受不了怎么办"
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,,738,1.677,127,1.27,1.069,1.509,1.185,207,2.07,1.809,2.368,1.662,106,1.06,0.877,1.281,1.003,235,2.35,2.071,2.666,1.854,13,1.357,0.795,2.308,1.01,28,2.806,1.948,4.025,2.562,3,0.281,0.096,0.823,0.218,19,1.9,1.22,2.948,1.9,9.7,0.7577,0.7761,15.81,1.2347,1.2647,8.1,0.6324,0.6477,17.95,1.4017,1.4357,10.36,0.8094,0.8291,21.43,1.6734,1.7141,2.15,0.1677,0.1718,14.51,1.1333,1.1608,8,,,助手随机1k,助手语音头部1k,2.524,9.98,15,16,19,15,17,12,24,15,症状原因查询,32.0,肚脐上面疼是怎么回事 / 食道有灼烧感是怎么回事 / 吃点东西肚子就胀是怎么回事
DISEASE_CONCEPT_INFO__1,DISEASE_CONCEPT_INFO__1,,675,1.533,266,2.661,2.363,2.995,2.712,77,0.77,0.617,0.961,3.768,244,2.44,2.156,2.762,2.493,61,0.61,0.475,0.783,0.512,14,1.461,0.872,2.438,1.272,8,0.802,0.407,1.574,0.939,2,0.187,0.051,0.681,0.119,3,0.3,0.102,0.878,0.3,28.82,1.735,2.3056,8.34,0.5021,0.6673,26.44,1.5915,2.1149,6.61,0.3978,0.5286,15.83,0.953,1.2664,8.68,0.5228,0.6947,2.03,0.1222,0.1624,3.25,0.1956,0.26,8,,,2025搜索,助手语音头部1k,2.473,14.19,9,32,9,34,16,27,26,37,症状原因查询,66.8,胃酸是什么原因 / 血小板压低怎么回事 / 尿酸高的原因
NON_HEALTH_OTHER__2,NON_HEALTH_OTHER__2,,659,1.497,109,1.09,0.905,1.313,0.78,115,1.15,0.959,1.379,0.717,89,0.89,0.724,1.094,0.937,136,1.36,1.151,1.606,0.98,72,7.516,6.011,9.36,8.501,24,2.405,1.621,3.553,2.306,96,8.997,7.424,10.864,9.764,18,1.8,1.142,2.827,1.8,4.32,0.7282,0.346,4.56,0.7682,0.365,3.53,0.5946,0.2825,5.4,0.9084,0.4316,29.81,5.0202,2.3852,9.54,1.6063,0.7632,35.69,6.0098,2.8553,7.14,1.2023,0.5712,8,,,助手语音头部1k,2026搜索,8.107,10.11,20,23,21,19,3,14,4,16,医学词条查询,37.2,肠胃健康指南 / 自然之声助听器 / 无创呼吸机
DISEASE_CONCEPT_INFO__3,DISEASE_CONCEPT_INFO__3,,554,1.259,124,1.24,1.041,1.477,1.196,115,1.15,0.959,1.379,0.833,162,1.62,1.391,1.887,1.447,101,1.01,0.832,1.226,1.486,8,0.835,0.424,1.639,0.911,10,1.002,0.545,1.835,0.854,25,2.343,1.592,3.436,2.401,9,0.9,0.474,1.702,0.9,12.28,0.9855,0.9823,11.39,0.9138,0.9108,16.04,1.2875,1.2833,10.0,0.8025,0.7999,8.27,0.6635,0.6614,9.92,0.7962,0.7936,23.2,1.8617,1.8557,8.91,0.7151,0.7128,8,,,助手语音头部1k,助手头部1k,1.508,2.81,17,23,10,22,23,21,6,20,查询穴位与身体部位位置图,52.9,宫后是哪个部位 / 鼻子 / 臀部
RESULT_INTERPRETATION__1,RESULT_INTERPRETATION__1,,522,1.186,186,1.86,1.613,2.144,2.2,97,0.97,0.796,1.182,11.985,159,1.59,1.363,1.855,1.88,69,0.69,0.546,0.872,0.479,3,0.313,0.107,0.917,0.214,5,0.501,0.214,1.167,0.427,0,0.0,0.0,0.359,0.0,3,0.3,0.102,0.878,0.3,29.89,1.5688,2.3909,15.58,0.818,1.2466,25.55,1.3411,2.0438,11.08,0.5819,0.8868,5.03,0.2641,0.4025,8.05,0.4225,0.6439,0.0,0.0,0.0,4.82,0.253,0.3856,7,助手语音头部1k,,2025搜索,助手语音头部1k,1.86,inf,10,25,11,31,31,33,36,37,查询化验指标异常原因与临床意义,87.5,肌酐高了会出现什么问题 / 转氨酶偏高说明身体哪有问题了 / 肌酸激酶高的原因及危害
REPRODUCTIVE_HEALTH__2,REPRODUCTIVE_HEALTH__2,,497,1.129,105,1.05,0.868,1.27,0.875,168,1.68,1.446,1.951,0.965,67,0.67,0.528,0.85,0.469,135,1.35,1.142,1.596,0.93,8,0.835,0.424,1.639,0.824,10,1.002,0.545,1.835,0.854,2,0.187,0.051,0.681,0.487,2,0.2,0.055,0.726,0.2,15.06,0.9302,1.2046,24.09,1.488,1.9269,9.61,0.5935,0.7686,19.36,1.1957,1.5484,11.97,0.7396,0.9578,14.37,0.8875,1.1493,2.69,0.166,0.215,2.87,0.1771,0.2294,8,,,2025搜索随机1w,助手语音头部1k,1.493,8.96,21,19,25,20,23,21,26,42,早孕检测与月经变化查询,78.1,想怀孕怎么才能怀上 / 五十岁还能怀孕吗 / 两个人都穿着裤子还会怀孕吗
REPRODUCTIVE_HEALTH__1,REPRODUCTIVE_HEALTH__1,,486,1.104,55,0.55,0.423,0.715,0.477,201,2.01,1.753,2.304,0.789,47,0.47,0.354,0.625,0.343,147,1.47,1.252,1.725,1.113,17,1.775,1.111,2.823,2.083,8,0.802,0.407,1.574,0.769,9,0.843,0.444,1.595,1.139,2,0.2,0.055,0.726,0.2,6.77,0.4983,0.542,24.75,1.8205,1.9803,5.79,0.4258,0.4632,18.1,1.3314,1.4483,21.85,1.6073,1.7483,9.87,0.726,0.7898,10.39,0.764,0.831,2.46,0.1811,0.197,8,,,2025搜索随机1w,助手语音1k,1.81,10.05,26,17,29,18,14,27,16,42,早孕检测与月经变化查询,65.2,怀孕 / 怀孕 / 孕妇
DISEASE_CONCEPT_INFO__6,DISEASE_CONCEPT_INFO__6,,471,1.07,167,1.67,1.437,1.941,2.056,57,0.57,0.44,0.738,0.405,151,1.51,1.289,1.769,1.526,56,0.56,0.432,0.726,0.612,21,2.192,1.438,3.328,2.571,5,0.501,0.214,1.167,0.427,11,1.031,0.577,1.837,1.349,3,0.3,0.102,0.878,0.3,20.04,1.5611,1.6033,6.84,0.5327,0.5471,18.12,1.4115,1.4497,6.72,0.5234,0.5375,26.3,2.0487,2.1041,6.01,0.4682,0.4809,12.37,0.9635,0.9895,3.6,0.2804,0.288,8,,,助手头部1k,助手语音1k,1.892,7.31,11,37,12,37,12,33,14,37,查询病症与物品图片,61.1,男性阴虱图片 / 荨麻疹 / 带状疱疹
REFERENCE_VALUE_CALCULATOR__1,REFERENCE_VALUE_CALCULATOR__1,,399,0.906,122,1.22,1.023,1.455,1.748,61,0.61,0.475,0.783,3.526,129,1.29,1.087,1.531,1.755,59,0.59,0.458,0.76,0.673,11,1.148,0.642,2.044,1.039,4,0.401,0.156,1.026,0.512,6,0.562,0.258,1.221,0.593,7,0.7,0.339,1.438,0.7,18.71,1.3462,1.4968,9.35,0.673,0.7483,19.78,1.4235,1.5827,9.05,0.6509,0.7237,17.61,1.2668,1.4085,6.15,0.4422,0.4916,8.62,0.6204,0.6898,10.73,0.7723,0.8587,8,,,2026搜索,助手随机1k,0.889,3.22,19,34,15,36,21,39,18,24,查询健康指标正常范围,97.2,血压150/90算不算高血压 / 血糖正常值 / 血压正常值是多少范围
REFERENCE_VALUE_CALCULATOR__2,REFERENCE_VALUE_CALCULATOR__2,,390,0.886,72,0.72,0.572,0.906,0.778,118,1.18,0.986,1.411,0.448,74,0.74,0.59,0.928,0.58,87,0.87,0.706,1.072,1.247,12,1.253,0.718,2.177,3.115,19,1.904,1.222,2.954,1.708,1,0.094,0.017,0.529,0.071,7,0.7,0.339,1.438,0.7,9.65,0.8128,0.7722,15.82,1.3319,1.2653,9.92,0.8354,0.7937,11.66,0.982,0.9329,16.79,1.4138,1.3432,25.52,2.1488,2.0415,1.26,0.1058,0.1005,9.38,0.7901,0.7506,8,,,助手随机1k,助手语音头部1k,1.81,20.31,24,22,23,26,19,17,28,24,查询健康指标正常范围,70.0,成人bmi / 头发一个月能长多少厘米 / bmi计算器
CARE_NAVIGATION_COST__3,CARE_NAVIGATION_COST__3,,323,0.734,46,0.46,0.345,0.613,0.337,97,0.97,0.796,1.182,0.347,50,0.5,0.38,0.659,0.335,87,0.87,0.706,1.072,0.941,17,1.775,1.111,2.823,2.521,20,2.004,1.301,3.075,1.879,1,0.094,0.017,0.529,0.044,5,0.5,0.214,1.165,0.5,6.41,0.627,0.5132,13.52,1.3219,1.0819,6.97,0.6815,0.5578,12.13,1.1857,0.9704,24.74,2.4184,1.9793,27.94,2.7311,2.2352,1.31,0.1277,0.1045,6.97,0.6814,0.5577,8,,,助手随机1k,助手语音头部1k,1.91,21.38,28,25,27,26,14,16,28,30,查询医疗健康恢复时间与费用,55.7,试管婴儿费用大概多少 / 气血康口服液云南白药多少钱一盒 / 左炔诺孕酮肠溶片的价格是多少
