key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
41,医学健康知识查询,用户获得所询问疾病、人体系统、药物或健康概念的定义、分类、区别、原理等具体知识性解答后即满足。,1247,2.833,212,2.12,1.856,2.422,1.771,392,3.92,3.557,4.318,2.294,201,2.01,1.753,2.305,1.648,349,3.49,3.148,3.868,3.217,14,1.461,0.872,2.438,1.423,28,2.806,1.948,4.025,2.391,13,1.218,0.713,2.073,1.856,38,3.8,2.781,5.173,3.8,10.18,0.7485,0.8145,18.82,1.3838,1.5058,9.65,0.7097,0.7723,16.76,1.232,1.3406,7.02,0.5159,0.5614,13.47,0.9904,1.0777,5.85,0.4301,0.468,18.25,1.3414,1.4597,8,,,2025搜索随机1w,助手语音头部1k,2.702,3.22,15,9,16,8,23,13,12,9,查询疾病或医学术语的定义、病因与症状,63.9,4.0,,用户获得所询问疾病、人体系统、药物或健康概念的定义、分类、区别、原理等具体知识性解答后即满足。
47,查询健康指标正常范围,用户想了解某项健康或人体指标（如血糖、血压、脉搏、身高、体重等）的正常参考范围或判断标准，获得具体数值范围或正常/异常界线后即满足。,1219,2.769,242,2.42,2.137,2.741,2.844,302,3.02,2.702,3.374,4.347,250,2.501,2.212,2.825,2.697,314,3.14,2.816,3.5,2.633,30,3.132,2.202,4.435,4.954,38,3.808,2.786,5.183,3.672,14,1.312,0.783,2.19,1.175,29,2.9,2.027,4.134,2.9,10.89,0.8741,0.871,13.58,1.0905,1.0867,11.25,0.9029,0.8998,14.12,1.1339,1.1299,14.09,1.1308,1.1268,17.13,1.375,1.3701,5.9,0.4738,0.4721,13.04,1.0472,1.0435,8,,,助手随机1k,助手语音头部1k,2.496,2.9,14,13,11,13,8,9,11,13,查询正常参考值、计算工具或食物热量,59.6,4.0,,用户想了解某项健康或人体指标（如血糖、血压、脉搏、身高、体重等）的正常参考范围或判断标准，获得具体数值范围或正常/异常界线后即满足。
12,功效作用查询,用户提出某物或某做法的功效、作用或好处问题后，获得针对该对象的具体功效、作用或好处说明即满足。,1200,2.726,274,2.741,2.438,3.079,2.866,157,1.57,1.344,1.833,2.513,322,3.221,2.892,3.585,3.228,174,1.74,1.502,2.015,3.067,96,10.021,8.276,12.085,8.324,13,1.303,0.763,2.216,1.281,104,9.747,8.109,11.674,8.213,60,6.0,4.69,7.647,6.0,7.54,1.0053,0.6033,4.32,0.5759,0.3456,8.86,1.1814,0.709,4.79,0.6383,0.383,27.57,3.6759,2.2059,3.58,0.4778,0.2867,26.82,3.5754,2.1456,16.51,2.201,1.3208,8,,,助手头部1k,助手随机1k,8.718,7.69,10,22,8,21,2,25,3,5,查询物品或活动的功效与作用,98.7,4.0,True,用户提出某物或某做法的功效、作用或好处问题后，获得针对该对象的具体功效、作用或好处说明即满足。
44,查询医疗健康恢复时间与费用,用户获得针对手术、疾病或健康问题的恢复时间、费用金额、指标数值或注意事项等具体答案后感到满意。,1151,2.615,194,1.94,1.688,2.23,1.471,334,3.34,3.005,3.71,1.278,190,1.9,1.651,2.187,1.342,335,3.35,3.015,3.721,3.123,21,2.192,1.438,3.328,2.643,55,5.511,4.258,7.105,5.038,2,0.187,0.051,0.681,0.138,20,2.0,1.298,3.069,2.0,9.5,0.7421,0.7601,16.36,1.2774,1.3084,9.31,0.7268,0.7445,16.4,1.2812,1.3124,10.73,0.8383,0.8587,26.99,2.1076,2.1589,0.92,0.0717,0.0734,9.79,0.7649,0.7835,8,,,助手随机1k,助手语音头部1k,5.324,29.4,20,12,20,12,15,5,34,18,恢复、停药与时间窗咨询,36.8,3.0,True,用户获得针对手术、疾病或健康问题的恢复时间、费用金额、指标数值或注意事项等具体答案后感到满意。
22,身体不适快速缓解方法查询,用户输入某种身体不适、症状或健康困扰后，获得针对该情况的快速缓解、处理或调理方法，即得到满足。,1150,2.613,188,1.88,1.632,2.166,1.779,372,3.72,3.366,4.109,1.75,173,1.73,1.493,2.005,1.362,339,3.39,3.053,3.763,3.462,27,2.818,1.944,4.07,2.209,22,2.204,1.46,3.315,3.928,6,0.562,0.258,1.221,0.459,23,2.3,1.537,3.428,2.3,10.11,0.7198,0.8085,19.99,1.4239,1.5995,9.3,0.6623,0.744,18.22,1.2976,1.4576,15.15,1.0788,1.2118,11.85,0.8438,0.9478,3.02,0.2152,0.2418,12.36,0.8804,0.9889,8,,,2025搜索随机1w,助手语音头部1k,3.158,6.62,21,10,25,11,11,16,24,15,求治疗方案与用药推荐,63.0,4.0,True,用户输入某种身体不适、症状或健康困扰后，获得针对该情况的快速缓解、处理或调理方法，即得到满足。
42,早孕检测与月经变化查询,在用户询问同房后或月经推迟时能否测出怀孕、早孕征兆及相关月经变化时，得到关于怀孕可能性、验孕时间和相应表现的具体判断与解释，即可满足。,1073,2.438,135,1.35,1.142,1.596,1.161,429,4.29,3.91,4.705,1.643,95,0.95,0.778,1.16,0.678,349,3.49,3.148,3.868,3.156,27,2.818,1.944,4.07,3.408,21,2.104,1.38,3.195,1.964,11,1.031,0.577,1.837,1.626,6,0.6,0.275,1.303,0.6,8.12,0.5539,0.6494,25.79,1.7599,2.0632,5.71,0.3898,0.457,20.98,1.4317,1.6785,16.94,1.1562,1.3555,12.65,0.8632,1.012,6.2,0.4229,0.4958,3.61,0.2461,0.2886,8,,,2025搜索随机1w,助手语音1k,3.69,7.15,29,8,34,8,11,19,14,33,孕产与生殖健康疑问,65.7,3.0,True,在用户询问同房后或月经推迟时能否测出怀孕、早孕征兆及相关月经变化时，得到关于怀孕可能性、验孕时间和相应表现的具体判断与解释，即可满足。
48,查询物品功效与作用,用户提交某种药材、食物或物品名称后，获得该物品的功效、作用、功能或用途的明确说明即满足。,1034,2.349,416,4.161,3.787,4.57,4.887,67,0.67,0.528,0.85,1.523,499,4.991,4.581,5.435,6.377,43,0.43,0.319,0.579,0.395,3,0.313,0.107,0.917,0.166,0,0.0,0.0,0.383,0.0,5,0.469,0.2,1.092,0.245,1,0.1,0.018,0.564,0.1,37.37,1.7713,2.9898,6.02,0.2852,0.4814,44.83,2.1247,3.5863,3.86,0.1831,0.309,2.81,0.1333,0.225,0.0,0.0,0.0,4.21,0.1995,0.3367,0.9,0.0426,0.0719,7,助手随机1k,,2026搜索,助手随机1k,4.991,inf,5,34,3,37,37,41,27,39,查询物品或活动的功效与作用,100.0,4.0,True,用户提交某种药材、食物或物品名称后，获得该物品的功效、作用、功能或用途的明确说明即满足。
26,查询皮肤疙瘩红疹症状与处理,用户描述了身体某部位（包括私处）长出的疙瘩、红点、水泡、红疹等皮肤异常，希望获得可能的原因、严重程度以及如何处理或治疗的信息。,1022,2.322,112,1.12,0.932,1.346,0.955,364,3.64,3.29,4.025,0.977,75,0.75,0.599,0.939,0.554,348,3.48,3.138,3.857,2.627,20,2.088,1.355,3.203,1.929,42,4.208,3.128,5.64,4.184,20,1.874,1.217,2.877,3.296,41,4.1,3.036,5.515,4.1,5.27,0.4825,0.4215,17.12,1.5678,1.3697,3.53,0.3231,0.2823,16.37,1.4989,1.3094,9.82,0.8992,0.7855,19.79,1.8126,1.5835,8.82,0.8073,0.7053,19.28,1.7659,1.5427,8,,,助手随机1k,2026搜索,3.458,5.61,33,11,38,10,17,8,9,8,描述自身症状求归因或鉴别,60.3,4.0,True,用户描述了身体某部位（包括私处）长出的疙瘩、红点、水泡、红疹等皮肤异常，希望获得可能的原因、严重程度以及如何处理或治疗的信息。
25,查询疾病治疗方法,用户获得针对所查询疾病或症状的最快、最有效或最好的治疗方法、诊疗方案或处置方式后，即被满足。,1004,2.281,344,3.441,3.101,3.816,3.331,140,1.4,1.188,1.65,2.48,327,3.271,2.94,3.638,3.089,112,1.12,0.932,1.346,2.839,35,3.653,2.639,5.039,4.023,22,2.204,1.46,3.315,2.05,9,0.843,0.444,1.595,0.736,15,1.5,0.911,2.46,1.5,19.74,1.5085,1.579,8.03,0.6138,0.6425,18.76,1.434,1.5009,6.42,0.491,0.514,20.96,1.6018,1.6766,12.65,0.9665,1.0116,4.84,0.3698,0.3871,8.6,0.6577,0.6884,8,,,助手头部1k,助手语音头部1k,2.81,4.33,7,25,7,27,7,16,17,23,求治疗方案与用药推荐,92.3,4.0,True,用户获得针对所查询疾病或症状的最快、最有效或最好的治疗方法、诊疗方案或处置方式后，即被满足。
8,病症用药查询,用户提出某种疾病、症状或身体不适后，获得针对该病症的推荐药物及效果、见效快慢信息即满足。,984,2.235,254,2.541,2.25,2.868,2.189,188,1.88,1.632,2.165,2.179,267,2.671,2.372,3.005,2.246,197,1.97,1.716,2.261,2.382,28,2.923,2.03,4.192,4.029,15,1.503,0.913,2.465,1.452,11,1.031,0.577,1.837,0.673,24,2.4,1.618,3.546,2.4,15.02,1.1365,1.2013,11.11,0.841,0.889,15.79,1.1947,1.2628,11.64,0.8813,0.9316,17.28,1.3075,1.3821,8.88,0.6724,0.7107,6.09,0.4612,0.4875,14.19,1.0736,1.1349,8,,,助手头部1k,助手语音头部1k,1.892,2.84,12,19,10,18,10,23,14,14,求治疗方案与用药推荐,97.2,4.0,True,用户提出某种疾病、症状或身体不适后，获得针对该病症的推荐药物及效果、见效快慢信息即满足。
4,药品信息查询,用户输入药品名称或围绕药品的询问后，获得该药品的功效、作用、用法用量、说明书或代谢排泄等具体药品信息即满足。,904,2.054,308,3.081,2.76,3.438,2.925,138,1.38,1.169,1.628,1.974,191,1.91,1.66,2.198,1.918,149,1.49,1.27,1.747,1.469,21,2.192,1.438,3.328,1.411,16,1.603,0.989,2.588,2.562,62,5.811,4.559,7.379,4.486,19,1.9,1.22,2.948,1.9,15.91,1.5001,1.2725,7.13,0.672,0.57,9.86,0.9302,0.7891,7.69,0.7255,0.6155,11.32,1.0674,0.9055,8.28,0.7807,0.6622,30.0,2.8294,2.4002,9.81,0.9252,0.7848,8,,,助手语音头部1k,2025搜索随机1w,4.431,4.21,8,26,19,23,15,21,4,20,查询物品或活动的功效与作用,78.1,4.0,True,用户输入药品名称或围绕药品的询问后，获得该药品的功效、作用、用法用量、说明书或代谢排泄等具体药品信息即满足。
2,查询健康问题对应的食物建议,获得针对特定健康问题（如缺钾、高血压、高血糖、贫血等）适合食用或应避免的食物建议后，用户即满足。,903,2.051,209,2.09,1.828,2.39,2.009,198,1.98,1.725,2.272,1.097,199,1.99,1.734,2.283,1.927,195,1.95,1.697,2.24,9.329,29,3.027,2.116,4.314,4.427,34,3.407,2.448,4.723,3.33,9,0.843,0.444,1.595,0.649,30,3.0,2.109,4.25,3.0,11.43,1.019,0.9144,10.83,0.9652,0.8661,10.88,0.9703,0.8707,10.66,0.9506,0.853,16.55,1.4757,1.3242,18.63,1.6607,1.4903,4.61,0.4112,0.369,16.4,1.4624,1.3123,8,,,助手随机1k,助手语音头部1k,2.563,4.04,18,17,17,20,9,11,17,12,求治疗方案与用药推荐,43.2,4.0,,获得针对特定健康问题（如缺钾、高血压、高血糖、贫血等）适合食用或应避免的食物建议后，用户即满足。
35,查询化验指标异常原因与临床意义,用户输入某项化验指标（如血红蛋白、转氨酶、肌酐等）的偏高、偏低或具体数值后，希望获得该结果的临床意义、可能原因、是否严重及应对建议。,885,2.01,300,3.001,2.684,3.353,3.397,150,1.5,1.28,1.758,12.151,244,2.44,2.156,2.762,2.754,145,1.45,1.234,1.704,0.968,8,0.835,0.424,1.639,0.561,15,1.503,0.913,2.465,1.281,8,0.75,0.38,1.472,0.51,15,1.5,0.911,2.46,1.5,23.12,1.4925,1.8495,11.56,0.7461,0.9246,18.8,1.2139,1.5043,11.17,0.7212,0.8938,6.43,0.4154,0.5147,11.58,0.7476,0.9264,5.78,0.3729,0.4621,11.56,0.7461,0.9246,8,,,2025搜索,助手语音头部1k,2.251,4.0,9,23,13,25,30,23,20,23,解读自身检查读数或事件是否正常严重,58.3,4.0,True,用户输入某项化验指标（如血红蛋白、转氨酶、肌酐等）的偏高、偏低或具体数值后，希望获得该结果的临床意义、可能原因、是否严重及应对建议。
5,药品用法用量查询,用户输入某种药品名称并询问服用方法，获得该药品一次用量、每日次数、间隔时间或疗程等具体说明后，需求得到满足。,858,1.949,118,1.18,0.987,1.411,0.895,250,2.5,2.212,2.825,1.336,152,1.52,1.298,1.779,1.079,262,2.62,2.325,2.952,1.97,8,0.835,0.424,1.639,0.53,37,3.707,2.702,5.068,3.245,0,0.0,0.0,0.359,0.0,31,3.1,2.192,4.367,3.1,7.63,0.6055,0.6106,16.17,1.2826,1.2934,9.83,0.78,0.7865,16.94,1.3442,1.3555,5.4,0.4284,0.432,23.98,1.9021,1.9181,0.0,0.0,0.0,20.05,1.5904,1.6038,7,助手语音头部1k,,助手随机1k,助手语音头部1k,3.707,inf,31,15,28,14,30,10,40,11,询问用药剂量与服用时机,63.2,4.0,True,用户输入某种药品名称并询问服用方法，获得该药品一次用量、每日次数、间隔时间或疗程等具体说明后，需求得到满足。
15,功效与作用查询,用户获得所查询对象（食物、药材或疗法）的具体功效与作用及相关禁忌或食用方法说明后，即得到满足。,824,1.872,349,3.491,3.148,3.869,4.574,35,0.35,0.252,0.486,2.642,392,3.921,3.558,4.319,5.206,27,0.27,0.186,0.393,0.384,11,1.148,0.642,2.044,0.706,1,0.1,0.018,0.565,0.085,3,0.281,0.096,0.823,0.17,6,0.6,0.275,1.303,0.6,34.35,1.8648,2.7483,3.44,0.187,0.2756,38.59,2.0945,3.0869,2.66,0.1442,0.2126,11.3,0.6134,0.904,0.99,0.0535,0.0789,2.77,0.1502,0.2214,5.9,0.3205,0.4724,8,,,2026搜索,助手随机1k,3.821,39.13,6,40,6,40,28,40,31,33,查询物品或活动的功效与作用,99.8,5.0,True,用户获得所查询对象（食物、药材或疗法）的具体功效与作用及相关禁忌或食用方法说明后，即得到满足。
6,中药方剂配方剂量查询,用户输入某个中药方剂或药材组合后，获得该方剂或组合的具体组成、剂量、用法或方解即满足。,816,1.854,140,1.4,1.188,1.65,1.018,179,1.79,1.548,2.069,1.018,180,1.8,1.558,2.08,1.18,247,2.47,2.184,2.793,2.315,14,1.461,0.872,2.438,0.979,27,2.705,1.866,3.908,2.989,6,0.562,0.258,1.221,1.187,23,2.3,1.537,3.428,2.3,9.66,0.7554,0.7731,12.35,0.9656,0.9883,12.43,0.9712,0.994,17.05,1.3324,1.3637,10.09,0.7883,0.8068,18.67,1.4594,1.4937,3.88,0.3033,0.3105,15.87,1.2407,1.2699,8,,,助手随机1k,助手语音头部1k,2.143,4.81,27,20,22,15,23,14,24,15,查询物品或活动的功效与作用,61.3,3.0,True,用户输入某个中药方剂或药材组合后，获得该方剂或组合的具体组成、剂量、用法或方解即满足。
