key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
TXN_ISSUE,排查账户与交易异常,用户自己的某笔交易或账户出现反常状况（放款失败、不到账、被冻结、余额不一致、扣费异常），想要原因解释和处理路径。,1095,2.492,36,0.36,0.26,0.498,0.145,518,5.18,4.763,5.632,1.742,17,0.17,0.106,0.272,0.049,417,4.17,3.795,4.58,1.092,44,4.632,3.468,6.161,5.974,22,2.229,1.477,3.352,2.159,0,0.0,0.0,0.383,0.0,41,4.1,3.036,5.515,4.1,1.73,0.1445,0.1382,24.86,2.0783,1.9884,0.82,0.0682,0.0653,20.01,1.6731,1.6007,22.22,1.8583,1.7779,10.7,0.8943,0.8556,0.0,0.0,0.0,19.67,1.645,1.5738,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,5.18,inf,14,9,15,11,6,11,16,10,银行卡业务查询与办理指导,17.3,是,0.035,收到异常原因和下一步处理路径（自助操作、联系网点/客服或对接反诈中心）后，用户即满足。
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,用户想要未来导向的判断、预测或推荐：该不该买/卖、明天涨还是跌、推荐哪只股票或板块、按持仓在两个方案间作选择。,999,2.274,57,0.57,0.44,0.738,0.311,186,1.86,1.613,2.144,1.039,54,0.54,0.414,0.704,0.191,421,4.21,3.834,4.621,1.427,62,6.526,5.124,8.279,3.081,160,16.211,14.043,18.64,18.048,7,0.7,0.339,1.438,0.472,52,5.2,3.987,6.756,5.2,1.59,0.2507,0.1273,5.19,0.818,0.4154,1.51,0.2375,0.1206,11.75,1.8515,0.9403,18.22,2.8701,1.4577,45.26,7.1292,3.6208,1.95,0.3078,0.1563,14.52,2.2869,1.1615,8,,,助手随机1k,2026搜索,15.671,30.02,12,13,11,10,4,1,10,9,股票行情与选股建议查询,45.7,是,0.04,收到明确但合规降级的分析性回答与风险提示；不得直接替用户做决策或荐股。
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,用户想了解某公司/个股/市场的事件性信息：最新公告、利空消息、重组进度、年报分红、上市进展、新规施行等。,974,2.217,40,0.4,0.294,0.544,0.127,273,2.73,2.428,3.068,1.264,61,0.61,0.475,0.783,0.26,459,4.59,4.197,5.018,1.945,16,1.684,1.039,2.718,1.509,79,8.004,6.469,9.864,7.599,9,0.9,0.474,1.702,0.477,37,3.7,2.696,5.058,3.7,1.77,0.1805,0.1415,12.07,1.2314,0.9656,2.7,0.2752,0.2158,20.29,2.0704,1.6235,7.45,0.7597,0.5957,35.39,3.6104,2.831,3.98,0.406,0.3183,16.36,1.669,1.3087,8,,,助手随机1k,2025搜索,7.604,20.01,13,12,10,9,12,6,8,11,股票行情与选股建议查询,28.5,否,0.04,收到关于所问事件的事实性回答（有无消息、时间点、当前进展）后，用户即满足。
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,用户给一个机构/平台/产品名字或一条来电/短信/宣传信息，想知道它是否正规持牌、是真是假、是否冒充。,400,0.91,93,0.93,0.76,1.138,0.478,153,1.53,1.307,1.79,1.166,33,0.33,0.235,0.463,0.113,100,1.0,0.823,1.215,0.358,7,0.737,0.357,1.513,0.537,9,0.912,0.48,1.724,1.468,0,0.0,0.0,0.383,0.0,5,0.5,0.214,1.165,0.5,15.66,1.0217,1.253,25.76,1.6805,2.061,5.56,0.3625,0.4446,16.84,1.0984,1.347,12.41,0.8093,0.9926,15.35,1.0015,1.2283,0.0,0.0,0.0,8.42,0.5492,0.6735,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,1.53,inf,10,14,13,16,15,16,16,17,查询借款平台正规性,42.2,是,0.02,收到明确真伪/资质结论及依据；对无法核验的第三方，告知无法核验并给官方自查渠道。
COMPARISON_DECISION,比较两个金融对象并给出取舍,用户给出两个产品、指标或选项，要求直接比较区别、优劣或替其二选一。,288,0.656,25,0.25,0.169,0.369,0.13,100,1.0,0.823,1.215,0.371,6,0.06,0.028,0.131,0.018,111,1.11,0.923,1.335,0.304,12,1.263,0.724,2.195,1.265,21,2.128,1.396,3.231,1.9,1,0.1,0.018,0.564,0.083,12,1.2,0.688,2.086,1.2,3.52,0.3814,0.2813,14.06,1.5255,1.125,0.84,0.0915,0.0675,15.61,1.6933,1.2488,17.76,1.9269,1.4211,29.92,3.2457,2.3937,1.41,0.1525,0.1125,16.88,1.8306,1.35,8,,,助手随机1k,2026搜索,2.068,35.46,15,15,16,15,13,13,13,14,计算存贷款利息,11.8,否,0.01,收到两对象直接对比结论或取舍建议后，用户即满足。
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,用户拿名称求代码、拿代码或缩写求名称/标的，明确要的是代码与标的身份的映射，而不是行情。,276,0.628,22,0.22,0.145,0.333,0.114,78,0.78,0.625,0.972,0.485,40,0.4,0.294,0.544,0.132,118,1.18,0.986,1.411,0.608,4,0.421,0.164,1.078,0.249,5,0.507,0.217,1.18,0.432,1,0.1,0.018,0.564,0.039,8,0.8,0.406,1.571,0.8,4.99,0.3503,0.3994,17.7,1.2416,1.4157,9.08,0.6368,0.7261,26.77,1.8783,2.1417,9.55,0.6702,0.7642,11.49,0.8064,0.9195,2.27,0.1592,0.1815,18.15,1.2734,1.452,8,,,2026搜索随机1w,助手语音头部1k,1.08,11.8,16,16,12,14,16,17,13,16,股票行情与选股建议查询,31.9,否,0.005,收到准确的代码与名称对应关系后，用户即满足。
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,用户描述一段已经发生或正在发生的行情、成交或事件影响，要求解释过去的原因或影响机制，而不是索要未来涨跌判断或买卖行动。,205,0.467,7,0.07,0.034,0.144,0.022,56,0.56,0.432,0.726,0.273,5,0.05,0.021,0.117,0.017,99,0.99,0.814,1.204,2.594,1,0.105,0.019,0.594,0.05,27,2.736,1.887,3.951,2.504,1,0.1,0.018,0.564,0.05,9,0.9,0.474,1.702,0.9,1.27,0.15,0.1016,10.16,1.2001,0.8129,0.91,0.1072,0.0726,17.96,2.1217,1.4372,1.91,0.2256,0.1528,49.64,5.8626,3.9712,1.81,0.2143,0.1452,16.33,1.9288,1.3065,8,,,助手随机1k,2026搜索,2.686,54.71,19,18,17,17,19,10,13,15,股票行情与选股建议查询,57.1,否,0.0004,收到对已发生现象的原因归因与机制解释后，用户即满足。
DEBT_DISTRESS,处理逾期催收与还款困境,用户已经或逼近债务困境，涉及催收联系核实、协商还款、逾期后果、不想还/无力还，或平台倒闭后的债务处理。,134,0.305,15,0.15,0.091,0.247,0.07,71,0.71,0.563,0.895,0.273,2,0.02,0.005,0.073,0.003,41,0.41,0.302,0.556,0.097,3,0.316,0.107,0.924,0.308,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,8.3,0.4919,0.6642,39.29,2.3278,3.1431,1.11,0.0656,0.0885,22.69,1.3442,1.815,17.47,1.0354,1.398,5.61,0.3322,0.4485,0.0,0.0,0.0,5.53,0.3279,0.4427,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,0.71,inf,17,17,18,18,17,19,16,18,个人征信报告查询与影响咨询,23.1,是,0.002,收到关于逾期后果、合规协商/还款路径、催收方核实的官方自查渠道，而不是配合逃废债或反催收。
STATUS_DECODE,解读粘贴的提示与界面状态,用户把系统提示原文、账户状态、数字串或界面符号原样贴出，要求解释它是什么意思、正不正常、有何后续影响。,52,0.118,2,0.02,0.005,0.073,0.014,24,0.24,0.161,0.357,0.1,0,0.0,0.0,0.038,0.0,22,0.22,0.145,0.333,0.053,3,0.316,0.107,0.924,0.304,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,2.23,0.169,0.1784,26.75,2.0277,2.1402,0.0,0.0,0.0,24.52,1.8587,1.9619,35.2,2.6681,2.8161,11.29,0.856,0.9035,0.0,0.0,0.0,0.0,0.0,0.0,5,2026搜索 / 助手语音头部1k / 助手语音1k,,助手头部1k,2026搜索,0.316,inf,20,19,19,19,17,19,16,20,查询金融术语含义,28.8,否,0.01,收到对该提示/状态/符号的具体解释与后续影响说明后，用户即满足。
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,征信不良、被拒贷或想养征信的用户，寻找不看征信/不看逾期的借款渠道，或评估收费“征信修复”服务。,27,0.061,8,0.08,0.041,0.158,0.029,11,0.11,0.061,0.197,0.037,0,0.0,0.0,0.038,0.0,4,0.04,0.016,0.103,0.016,1,0.105,0.019,0.594,0.031,2,0.203,0.056,0.736,0.259,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,12.54,1.302,1.0035,17.24,1.7899,1.3795,0.0,0.0,0.0,6.27,0.6509,0.5016,16.5,1.7128,1.3201,31.77,3.2972,2.5412,0.0,0.0,0.0,15.68,1.6272,1.2541,6,2026搜索 / 助手语音头部1k,,助手随机1k,2026搜索,0.203,inf,18,20,19,20,19,18,16,18,个人征信报告查询与影响咨询,63.0,是,0.0005,收到“此类宣传基本为贷款诈骗或高利/AB贷陷阱”，“收费征信修复均为骗局、异议申请免费”的警示与正规渠道，而不是平台名单或修复比价。
