key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
69,科技类股票信息查询,查询科技类股票的价格、代码、每股收益、板块归属或相关名单等具体信息。,711,1.618,226,2.26,1.987,2.571,1.417,31,0.31,0.218,0.44,0.91,329,3.29,2.958,3.658,4.26,62,0.62,0.484,0.794,1.198,21,2.211,1.45,3.356,1.793,7,0.709,0.344,1.457,0.864,28,2.8,1.944,4.017,2.265,7,0.7,0.339,1.438,0.7,17.52,1.3968,1.4018,2.4,0.1916,0.1922,25.51,2.0332,2.0404,4.81,0.3831,0.3845,17.14,1.3659,1.3708,5.5,0.4382,0.4398,21.7,1.7302,1.7364,5.43,0.4325,0.4341,8,,,2026搜索,2025搜索随机1w,2.98,10.61,10,44,8,41,13,35,11,36,查询可报价品种实时行情与价格,91.8,是,
64,查询保险相关业务,用户希望获取保险产品、保单、投保/退保/续保、理赔规则或保险机构网点及扣费发票的具体信息或操作指引。,658,1.498,65,0.65,0.51,0.828,0.358,290,2.9,2.589,3.247,1.037,30,0.3,0.21,0.428,0.104,218,2.18,1.912,2.485,0.656,11,1.158,0.648,2.061,2.25,19,1.925,1.236,2.987,1.9,4,0.4,0.156,1.024,0.305,21,2.1,1.378,3.189,2.1,5.6,0.4341,0.4479,24.97,1.9363,1.9977,2.58,0.2003,0.2067,18.77,1.4556,1.5018,9.97,0.7731,0.7976,16.58,1.2853,1.3261,3.44,0.2671,0.2756,18.08,1.4021,1.4466,8,,,2025搜索随机1w,2026搜索,2.6,9.67,29,12,29,17,24,19,31,16,解析裸非可报价名称,21.6,是,
37,农业银行及农村信用社服务信息查询,用户查询农业银行、农村商业银行或农村信用合作社的机构、网点、行号、营业时间或业务产品等具体信息。,632,1.439,51,0.51,0.388,0.67,0.542,276,2.76,2.457,3.1,1.217,21,0.21,0.137,0.321,0.238,210,2.1,1.837,2.4,0.524,29,3.053,2.134,4.35,4.622,14,1.418,0.847,2.367,1.209,10,1.0,0.544,1.831,0.738,21,2.1,1.378,3.189,2.1,3.88,0.3546,0.3103,20.99,1.9186,1.6789,1.6,0.146,0.1278,15.97,1.4598,1.2775,23.21,2.1221,1.8569,10.79,0.986,0.8629,7.6,0.6952,0.6083,15.97,1.4598,1.2775,8,,,助手头部1k,2026搜索,2.843,14.53,32,13,36,19,9,22,21,16,查询机构联系方式、网点信息及号码归属,51.7,是,
9,查询股份股票及股吧信息,用户查询名称中含有“股份”的股票或其对应股吧，以获取行情、讨论或最新动态。,615,1.4,201,2.01,1.753,2.305,1.169,28,0.28,0.194,0.404,1.852,319,3.19,2.863,3.553,1.815,38,0.38,0.277,0.521,1.661,7,0.737,0.357,1.513,0.53,2,0.203,0.056,0.736,0.345,20,2.0,1.298,3.069,1.127,0,0.0,0.0,0.383,0.0,22.84,1.4362,1.8276,3.18,0.2,0.2545,36.25,2.2791,2.9002,4.32,0.2715,0.3454,8.37,0.5264,0.6698,2.3,0.1448,0.1842,22.73,1.4287,1.8181,0.0,0.0,0.0,7,助手语音1k,,2026搜索,助手语音1k,3.19,inf,11,46,9,46,30,42,13,45,查询可报价品种实时行情与价格,65.0,是,
66,基金净值查询,用户输入基金名称或代码后，获得该基金的最新净值、今日净值或指定日期的净值信息。,578,1.316,26,0.26,0.178,0.381,0.1,146,1.46,1.243,1.714,1.303,84,0.84,0.679,1.039,0.22,291,2.91,2.598,3.258,1.667,2,0.211,0.058,0.764,0.092,12,1.216,0.697,2.113,1.036,6,0.6,0.275,1.303,0.311,11,1.1,0.615,1.959,1.1,3.03,0.1977,0.242,16.98,1.1098,1.3587,9.77,0.6386,0.7818,33.85,2.2119,2.7081,2.45,0.16,0.1959,14.14,0.9241,1.1314,6.98,0.4561,0.5584,12.8,0.8361,1.0237,8,,,2026搜索随机1w,助手头部1k,2.699,13.82,42,24,20,11,41,25,28,27,查询可报价品种实时行情与价格,51.0,是,
70,股指行情查询,用户查询某只股票指数的最新点位、涨跌行情或历史走势数据。,566,1.288,152,1.52,1.298,1.779,6.337,56,0.56,0.432,0.726,2.391,194,1.94,1.688,2.23,6.999,78,0.78,0.625,0.972,0.637,37,3.895,2.839,5.322,4.301,8,0.811,0.411,1.591,0.691,35,3.5,2.527,4.829,9.944,6,0.6,0.275,1.303,0.6,11.17,1.1801,0.8939,4.12,0.4347,0.3293,14.26,1.506,1.1408,5.73,0.6055,0.4586,28.63,3.0232,2.29,5.96,0.6292,0.4766,25.72,2.7168,2.058,4.41,0.4657,0.3528,8,,,助手头部1k,2025搜索随机1w,3.335,6.95,17,39,14,37,7,32,8,37,查询可报价品种实时行情与价格,80.9,是,
58,查询办理信用卡业务,用户希望了解或办理信用卡激活、还款、分期、征信影响、异常状态处理等具体业务，并获得相应操作步骤或解释。,561,1.277,75,0.75,0.599,0.939,1.139,237,2.37,2.09,2.687,0.89,29,0.29,0.202,0.416,0.33,189,1.89,1.641,2.176,0.471,0,0.0,0.0,0.403,0.0,12,1.216,0.697,2.113,1.036,5,0.5,0.214,1.165,0.239,14,1.4,0.836,2.336,1.4,8.91,0.5875,0.7131,28.16,1.856,2.2529,3.45,0.2271,0.2757,22.46,1.4801,1.7966,0.0,0.0,0.0,14.45,0.9521,1.1557,5.94,0.3916,0.4753,16.64,1.0964,1.3308,7,助手头部1k,,2025搜索随机1w,助手头部1k,2.37,inf,27,17,30,21,45,25,29,22,获取银行/支付业务办理步骤与所需资料,20.1,是,
36,下载安装金融类App,用户想获取银行、证券、数字货币、贷款或支付类App的官方下载入口、安装方法或版本真实性判断。,544,1.238,181,1.81,1.567,2.091,0.963,139,1.39,1.178,1.639,1.025,77,0.77,0.617,0.961,0.267,105,1.05,0.868,1.269,0.528,21,2.211,1.45,3.356,3.973,14,1.418,0.847,2.367,1.295,2,0.2,0.055,0.726,0.128,5,0.5,0.214,1.165,0.5,19.36,1.4621,1.5491,14.87,1.1226,1.1894,8.24,0.6219,0.6589,11.23,0.848,0.8985,23.64,1.7852,1.8915,15.17,1.1455,1.2137,2.14,0.1615,0.1711,5.35,0.4038,0.4278,8,,,助手头部1k,助手语音头部1k,2.011,11.05,14,26,21,30,13,22,36,39,打开目标页面或获取官方应用入口,71.9,是,
43,实时行情查询,用户输入股票、期货、指数、大宗商品等标的名称或代码，获取该标的的最新价格、涨跌和走势等实时行情数据。,528,1.202,167,1.67,1.437,1.941,1.152,31,0.31,0.218,0.44,0.903,243,2.43,2.146,2.751,1.93,54,0.54,0.414,0.704,1.24,16,1.684,1.039,2.718,2.085,2,0.203,0.056,0.736,0.259,15,1.5,0.911,2.46,1.066,0,0.0,0.0,0.383,0.0,20.03,1.3899,1.6027,3.72,0.2579,0.2975,29.15,2.0222,2.3319,6.48,0.4493,0.5181,20.2,1.4014,1.616,2.43,0.1686,0.1944,17.99,1.2481,1.4393,0.0,0.0,0.0,7,助手语音1k,,2026搜索,助手语音1k,2.43,inf,15,44,12,42,16,42,16,45,查询可报价品种实时行情与价格,99.1,是,
73,查询价格走势图,用户查询黄金、白银、个股等投资品种的价格走势或K线图，希望系统返回对应标的的可视化行情图表。,512,1.165,123,1.23,1.032,1.466,0.799,50,0.5,0.379,0.659,0.864,169,1.69,1.455,1.962,1.229,92,0.92,0.751,1.127,5.894,23,2.421,1.619,3.607,1.135,29,2.938,2.053,4.188,2.936,18,1.8,1.142,2.827,1.227,8,0.8,0.406,1.571,0.8,10.0,1.0557,0.8002,4.07,0.429,0.3252,13.74,1.4503,1.0993,7.48,0.7894,0.5984,19.68,2.0775,1.5747,23.89,2.5212,1.9111,14.63,1.5446,1.1708,6.5,0.6865,0.5203,8,,,助手随机1k,2025搜索随机1w,2.438,5.88,22,40,15,33,12,7,15,33,查询可报价品种实时行情与价格,87.1,是,
54,查询价格与金额,用户想查询某个标的（钱币、藏品、股票、保单等）当前或历史的价格、金额或估值，得到具体数字或合理区间即满足。,503,1.145,28,0.28,0.194,0.404,0.108,187,1.87,1.622,2.155,0.79,18,0.18,0.114,0.284,0.043,205,2.05,1.79,2.347,0.584,13,1.368,0.801,2.327,0.786,28,2.837,1.97,4.07,2.936,4,0.4,0.156,1.024,0.278,20,2.0,1.298,3.069,2.0,2.55,0.2446,0.2039,17.02,1.6333,1.3618,1.64,0.1572,0.1311,18.66,1.7906,1.4929,12.46,1.1952,0.9965,25.82,2.4778,2.0659,3.64,0.3494,0.2913,18.21,1.7469,1.4565,8,,,助手随机1k,2026搜索,2.657,15.76,40,20,37,20,19,9,31,19,查询利率、费率、限额并试算利息/还款,43.3,是,
68,车险购买与理赔咨询,用户希望获得关于车险险种选择、购买必要性、保障范围、出险理赔、保险期限和投诉渠道的具体说明。,491,1.118,39,0.39,0.285,0.533,0.169,231,2.31,2.033,2.623,0.976,13,0.13,0.076,0.222,0.033,159,1.59,1.363,1.854,0.413,4,0.421,0.164,1.078,0.289,22,2.229,1.477,3.352,2.591,0,0.0,0.0,0.383,0.0,23,2.3,1.537,3.428,2.3,4.16,0.349,0.333,24.65,2.067,1.9722,1.39,0.1163,0.111,16.97,1.4227,1.3575,4.49,0.3768,0.3595,23.79,1.9945,1.9031,0.0,0.0,0.0,24.55,2.058,1.9637,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,2.31,inf,38,18,42,23,36,14,45,14,对“是不是/是A还是B”给出裁决结论,33.8,是,
