key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,176,56,0.7416,0.0,1.79,21,0.5857,4.76,4.76,57,0.7303,0.0,5.26,25,0.5261,0.0,4.0,2,0.6615,0.0,0.0,0,,,,11,0.6981,0.0,0.0,4,0.6129,0.0,0.0,2026搜索随机1w,0.2155,0.6822
HOWTO_OPERATE__3,HOWTO_OPERATE__3,211,16,0.6742,6.25,18.75,105,0.6959,0.95,15.24,7,0.6366,0.0,14.29,68,0.691,1.47,7.35,2,0.4875,0.0,0.0,6,0.6621,0.0,16.67,0,,,,7,0.6038,0.0,0.0,2026搜索随机1w,0.0049,0.6847
PAGE_NAV__1,PAGE_NAV__1,901,308,0.7563,0.65,4.55,197,0.5721,4.57,8.12,180,0.7589,0.56,5.0,161,0.6047,3.11,9.32,29,0.7547,6.9,13.79,11,0.6432,0.0,9.09,10,0.6349,0.0,10.0,5,0.7084,0.0,0.0,2025搜索随机1w,0.1868,0.6864
HOWTO_OPERATE__6,HOWTO_OPERATE__6,805,42,0.7983,0.0,7.14,371,0.699,1.89,9.43,18,0.8137,0.0,11.11,312,0.6769,2.88,8.65,5,0.5597,0.0,40.0,18,0.6157,0.0,5.56,4,0.6807,25.0,50.0,35,0.6821,2.86,17.14,2026搜索随机1w,0.1214,0.6946
TXN_ISSUE__2,TXN_ISSUE__2,89,9,0.7403,0.0,0.0,36,0.709,2.78,8.33,3,0.768,0.0,0.0,33,0.7054,0.0,18.18,6,0.5768,0.0,0.0,2,0.5103,0.0,50.0,0,,,,0,,,,2026搜索随机1w,0.0036,0.6994
NEWS_EVENT__3,NEWS_EVENT__3,103,1,0.957,0.0,0.0,46,0.7359,0.0,32.61,1,0.6714,0.0,100.0,48,0.6634,4.17,22.92,0,,,,6,0.6677,0.0,0.0,0,,,,1,0.7572,0.0,0.0,2026搜索随机1w,0.0725,0.6999
RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,289,104,0.7497,0.0,2.88,64,0.6187,1.56,4.69,45,0.8135,0.0,6.67,48,0.5877,4.17,6.25,12,0.8957,0.0,0.0,2,0.6642,0.0,0.0,10,0.8667,0.0,0.0,4,0.812,0.0,0.0,2026搜索随机1w,0.2258,0.7141
CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,1388,47,0.5945,0.0,4.26,716,0.7541,1.54,7.68,15,0.6003,0.0,0.0,551,0.7477,1.81,7.8,2,0.4186,0.0,100.0,17,0.6131,0.0,17.65,6,0.5595,0.0,0.0,34,0.6324,0.0,5.88,2025搜索,0.1596,0.7384
HOWTO_OPERATE__2,HOWTO_OPERATE__2,579,75,0.7731,0.0,1.33,233,0.7425,1.72,3.0,28,0.7258,0.0,3.57,204,0.7464,1.96,4.41,3,0.5043,0.0,0.0,10,0.5968,0.0,20.0,3,0.6264,0.0,0.0,23,0.7968,0.0,21.74,2026搜索,0.071,0.7448
HOWTO_OPERATE__4,HOWTO_OPERATE__4,390,36,0.817,0.0,8.33,197,0.7384,1.52,6.09,11,0.899,0.0,18.18,123,0.7672,0.81,15.45,3,0.7485,0.0,0.0,9,0.6681,11.11,11.11,0,,,,11,0.7642,0.0,18.18,2025搜索随机1w,0.0786,0.7584
NEWS_EVENT__4,NEWS_EVENT__4,79,10,0.9074,0.0,30.0,28,0.8374,0.0,17.86,1,0.8921,0.0,0.0,21,0.743,4.76,9.52,4,0.7015,0.0,25.0,14,0.6569,0.0,28.57,0,,,,1,0.5318,0.0,0.0,2026搜索随机1w,0.0944,0.7791
NEWS_EVENT__2,NEWS_EVENT__2,174,16,0.7847,0.0,18.75,42,0.8243,0.0,33.33,27,0.7974,0.0,29.63,75,0.7952,1.33,29.33,2,0.717,0.0,0.0,6,0.6118,0.0,50.0,0,,,,6,0.5342,0.0,0.0,2026搜索随机1w,0.0291,0.7854
CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,191,26,0.779,0.0,0.0,71,0.8049,0.0,4.23,10,0.8062,0.0,0.0,65,0.8167,0.0,10.77,0,,,,6,0.7749,0.0,16.67,1,0.7804,0.0,0.0,12,0.7773,0.0,0.0,2025搜索,0.0377,0.8027
CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,372,95,0.8863,0.0,8.42,106,0.7282,0.94,9.43,48,0.8771,0.0,10.42,102,0.7818,0.0,9.8,4,0.6461,25.0,25.0,5,0.6976,0.0,20.0,7,0.8977,0.0,0.0,5,0.9238,0.0,0.0,2025搜索随机1w,0.1581,0.807
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,3357,992,0.9096,0.3,9.17,313,0.7426,3.51,13.74,1234,0.9197,0.57,7.37,454,0.7555,2.2,11.89,151,0.8915,0.0,7.28,35,0.7098,2.86,8.57,136,0.9187,1.47,5.15,42,0.7465,0.0,16.67,助手随机1k,0.2099,0.8723
RATE_CALC__2,RATE_CALC__2,1150,155,0.8834,1.29,9.68,477,0.8871,0.0,10.27,53,0.8837,1.89,13.21,379,0.8744,0.0,16.36,7,0.7303,0.0,0.0,38,0.8321,0.0,13.16,8,0.7447,12.5,12.5,33,0.8703,0.0,12.12,助手随机1k,0.055,0.878
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,9341,2974,0.9212,0.24,2.62,601,0.7526,1.83,11.98,3891,0.9226,0.21,2.93,990,0.7677,2.12,14.04,293,0.9228,0.0,4.1,41,0.6665,0.0,12.2,454,0.9274,0.22,5.73,97,0.8085,1.03,11.34,助手随机1k,0.2609,0.8927
OTHER_INTENT__2,OTHER_INTENT__2,263,116,0.9112,0.0,0.0,22,0.8294,0.0,0.0,51,0.9251,0.0,0.0,22,0.86,0.0,0.0,33,0.9477,0.0,0.0,1,0.9596,0.0,0.0,7,0.8757,0.0,0.0,11,0.6019,0.0,0.0,2025搜索随机1w,0.1183,0.8936
CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,285,117,0.9207,0.0,4.27,29,0.7831,3.45,10.34,98,0.9209,0.0,5.1,32,0.9466,0.0,3.12,3,0.8721,0.0,0.0,2,0.823,0.0,0.0,0,,,,4,0.9834,0.0,0.0,2025搜索随机1w,0.1635,0.9093
FX_CONVERT__2,FX_CONVERT__2,1322,306,0.9668,0.0,2.94,374,0.8852,0.0,7.75,133,0.9711,0.0,3.01,379,0.8791,0.26,7.39,17,0.8733,0.0,0.0,13,0.8272,0.0,23.08,14,0.9696,0.0,7.14,86,0.9168,0.0,6.98,2026搜索随机1w,0.092,0.9132
QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,2705,1052,0.9488,0.38,7.03,135,0.7726,1.48,11.85,1157,0.9348,0.43,6.83,223,0.7731,0.45,12.56,12,0.6924,8.33,8.33,3,0.6248,0.0,33.33,110,0.9193,0.0,9.09,13,0.7949,0.0,23.08,2025搜索随机1w,0.1762,0.9161
PAGE_NAV__2,PAGE_NAV__2,2808,1073,0.9265,0.0,8.2,141,0.86,0.71,14.18,1411,0.9277,0.0,9.0,159,0.8425,1.26,11.32,1,0.2519,100.0,0.0,1,0.8565,0.0,0.0,11,0.9463,0.0,0.0,11,0.8379,9.09,0.0,2026搜索随机1w,0.0852,0.9185
CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,854,291,0.9517,0.0,4.47,181,0.9209,0.0,12.15,160,0.9419,0.0,4.38,157,0.9069,0.64,16.56,9,0.9433,0.0,11.11,4,0.6754,0.0,0.0,32,0.9631,0.0,9.38,20,0.922,0.0,0.0,2026搜索随机1w,0.0562,0.9335
FX_CONVERT__1,FX_CONVERT__1,1899,679,0.9582,0.29,9.87,210,0.8609,0.95,13.81,584,0.9665,0.0,11.3,248,0.8751,0.81,14.52,67,0.9638,0.0,16.42,9,0.7757,0.0,22.22,60,0.9417,0.0,15.0,42,0.9065,0.0,2.38,2025搜索随机1w,0.1056,0.9368
