key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,,1207,2.747,131,1.31,1.105,1.553,0.717,506,5.06,4.647,5.507,1.918,46,0.46,0.345,0.613,0.192,416,4.16,3.786,4.569,1.511,13,1.368,0.801,2.327,0.926,47,4.762,3.6,6.275,4.145,5,0.5,0.214,1.165,0.361,43,4.3,3.208,5.742,4.3,5.98,0.4769,0.4782,23.08,1.8418,1.8467,2.1,0.1675,0.1679,18.98,1.5142,1.5182,6.24,0.4981,0.4994,21.72,1.7333,1.7379,2.28,0.182,0.1825,19.62,1.5652,1.5693,8,,,2025搜索随机1w,2026搜索,4.6,11.0,13,5,18,7,15,6,20,4,查询金融术语含义,30.4,农业银行账户余额为零可能原因 / ab贷是什么意思 / 云闪付是什么？
RATE_CALC__2,RATE_CALC__2,,1150,2.618,155,1.55,1.326,1.812,0.846,477,4.77,4.369,5.205,2.31,53,0.53,0.405,0.693,0.15,379,3.79,3.433,4.182,1.124,7,0.737,0.357,1.513,0.343,38,3.85,2.818,5.24,4.145,8,0.8,0.406,1.571,0.439,33,3.3,2.359,4.598,3.3,8.02,0.5923,0.6417,24.68,1.8223,1.9744,2.74,0.2025,0.2194,19.61,1.4479,1.5688,3.81,0.2815,0.305,19.92,1.4709,1.5936,4.14,0.3056,0.3311,17.07,1.2607,1.3659,8,,,2025搜索随机1w,2026搜索,4.24,9.0,11,6,15,8,22,9,15,12,计算存贷款利息,46.4,"2026贷款利息表 / 100万存银行一年，哪个银行最划算 / 花呗1万块钱分期12期,手续费利息多少钱"
PAGE_NAV__1,PAGE_NAV__1,,901,2.051,308,3.081,2.76,3.438,3.691,197,1.97,1.716,2.261,1.796,180,1.8,1.557,2.08,2.137,161,1.61,1.381,1.876,0.944,29,3.053,2.134,4.35,3.636,11,1.114,0.623,1.985,1.036,10,1.0,0.544,1.831,1.494,5,0.5,0.214,1.165,0.5,21.81,1.5022,1.7444,13.94,0.9606,1.1155,12.74,0.8778,1.0194,11.4,0.7851,0.9117,21.61,1.4885,1.7286,7.89,0.5434,0.6311,7.08,0.4876,0.5663,3.54,0.2438,0.2831,8,,,2025搜索,助手语音1k,2.581,6.16,6,14,6,18,6,24,12,42,下载安装金融类App,43.4,东方财富网 / 指南针炒股软件手机版官方下载 / 东方财富网
CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,,854,1.944,291,2.911,2.599,3.259,3.716,181,1.81,1.567,2.09,0.827,160,1.6,1.372,1.865,1.233,157,1.57,1.344,1.833,0.828,9,0.947,0.499,1.791,0.316,4,0.405,0.158,1.037,0.345,32,3.2,2.276,4.482,2.321,20,2.0,1.298,3.069,2.0,20.15,1.4973,1.6121,12.53,0.9312,1.0025,11.08,0.8232,0.8863,10.87,0.8077,0.8696,6.56,0.4874,0.5247,2.81,0.2085,0.2245,22.16,1.6462,1.7724,13.85,1.0289,1.1078,8,,,助手语音头部1k,助手随机1k,2.795,7.9,8,17,7,20,21,43,6,16,银行客服电话查询,64.8,工商银行客户电话 / 工商银行客服电话 / 工商银行电话
HOWTO_OPERATE__6,HOWTO_OPERATE__6,,805,1.832,42,0.42,0.311,0.567,0.166,371,3.71,3.357,4.099,1.639,18,0.18,0.114,0.284,0.047,312,3.12,2.797,3.479,0.9,5,0.526,0.225,1.226,0.757,18,1.824,1.157,2.864,1.554,4,0.4,0.156,1.024,0.183,35,3.5,2.527,4.829,3.5,3.07,0.2293,0.2457,27.12,2.0248,2.1696,1.32,0.0982,0.1053,22.81,1.7028,1.8245,3.85,0.2872,0.3078,13.33,0.9953,1.0665,2.92,0.2183,0.2339,25.58,1.9102,2.0468,8,,,2025搜索随机1w,2026搜索,3.53,20.61,26,9,29,11,27,18,21,10,银行卡业务查询与办理指导,38.8,工商银行95588短信提醒怎么开通 / 满意运里面的etc怎么解绑银行卡 / 银行卡怎么能关闭密码
VERDICT_QUESTION__1,VERDICT_QUESTION__1,,750,1.707,31,0.31,0.219,0.44,0.282,305,3.05,2.731,3.405,1.042,12,0.12,0.069,0.21,0.071,323,3.23,2.901,3.595,1.075,3,0.316,0.107,0.924,0.097,35,3.546,2.561,4.892,3.541,4,0.4,0.156,1.024,0.344,37,3.7,2.696,5.058,3.7,2.11,0.1816,0.1691,20.79,1.7866,1.663,0.82,0.0703,0.0654,22.01,1.8921,1.7612,2.15,0.185,0.1722,24.17,2.0773,1.9335,2.73,0.2343,0.2181,25.22,2.1674,2.0175,8,,,助手语音1k,2026搜索,3.58,30.83,30,11,33,10,39,10,21,9,车险购买与理赔咨询,22.1,重组期间股票还能正常交易吗 / 算利好吗？ / 荞麦枕真的可以养生吗蚂蚁庄园
HOWTO_OPERATE__2,HOWTO_OPERATE__2,,579,1.318,75,0.75,0.599,0.939,0.414,233,2.33,2.052,2.644,1.061,28,0.28,0.194,0.404,0.119,204,2.04,1.781,2.336,0.695,3,0.316,0.107,0.924,0.154,10,1.013,0.551,1.855,2.245,3,0.3,0.102,0.878,0.161,23,2.3,1.537,3.428,2.3,8.04,0.5692,0.6433,24.98,1.768,1.998,3.0,0.2125,0.2401,21.87,1.5479,1.7494,3.38,0.2396,0.2708,10.86,0.7688,0.8688,3.22,0.2276,0.2573,24.65,1.7452,1.9723,8,,,2025搜索随机1w,2026搜索,2.05,8.32,21,12,24,15,39,26,24,15,支付宝相关操作查询,66.0,免密支付怎么关 / 怎样取消免密支付功能 / 支付宝被限制怎么解除限制
RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,,524,1.193,134,1.34,1.133,1.585,1.604,136,1.36,1.151,1.606,1.212,85,0.85,0.688,1.05,0.941,127,1.27,1.068,1.509,0.567,17,1.789,1.12,2.847,0.954,9,0.912,0.48,1.724,0.777,10,1.0,0.544,1.831,1.205,6,0.6,0.275,1.303,0.6,14.69,1.1237,1.1755,14.91,1.1403,1.1928,9.32,0.7127,0.7456,13.92,1.0648,1.1138,19.62,1.5004,1.5694,10.0,0.7645,0.7997,10.96,0.8384,0.877,6.58,0.5031,0.5262,8,,,助手头部1k,助手语音1k,1.189,2.98,12,24,12,24,10,27,12,40,查询财经门户与市场行情,45.4,新浪财经 / 天弘基金管理有限公司 / 新浪财经
RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,,498,1.134,192,1.92,1.669,2.208,1.76,72,0.72,0.572,0.906,0.915,116,1.16,0.968,1.39,1.089,81,0.81,0.652,1.006,2.06,14,1.474,0.88,2.458,2.802,2,0.203,0.056,0.736,0.173,17,1.7,1.064,2.706,1.566,4,0.4,0.156,1.024,0.4,22.9,1.6942,1.8318,8.58,0.6352,0.6868,13.83,1.0235,1.1066,9.66,0.7146,0.7726,17.57,1.3001,1.4057,2.42,0.1788,0.1933,20.27,1.4998,1.6216,4.77,0.3529,0.3816,8,,,2025搜索,助手随机1k,1.718,9.48,9,39,9,37,14,46,7,46,查询财经门户与市场行情,35.5,申万宏源 / paypal / 肇民科技
RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,,480,1.093,159,1.59,1.363,1.855,1.759,112,1.12,0.932,1.346,0.449,79,0.79,0.634,0.984,0.512,71,0.71,0.563,0.895,0.791,17,1.789,1.12,2.847,1.287,2,0.203,0.056,0.736,0.173,33,3.3,2.359,4.598,2.654,7,0.7,0.339,1.438,0.7,15.59,1.4556,1.247,10.98,1.0251,0.8782,7.74,0.7232,0.6195,6.96,0.6499,0.5567,17.54,1.6379,1.4032,1.99,0.1855,0.1589,32.34,3.0205,2.5876,6.86,0.6407,0.5489,8,,,助手语音头部1k,助手随机1k,3.097,16.29,10,27,13,40,10,46,5,38,银行信息查询,62.7,预选行 / 中原银行 / 中国银行
OTHER_INTENT__4,OTHER_INTENT__4,,463,1.054,32,0.32,0.227,0.451,0.199,163,1.63,1.4,1.897,0.734,26,0.26,0.178,0.381,0.1,166,1.66,1.428,1.93,0.979,5,0.526,0.225,1.226,0.316,50,5.066,3.864,6.617,4.491,4,0.4,0.156,1.024,0.183,17,1.7,1.064,2.706,1.7,2.77,0.3037,0.2215,14.1,1.5467,1.1278,2.25,0.2467,0.1799,14.36,1.5752,1.1486,4.55,0.4994,0.3642,43.81,4.807,3.5051,3.46,0.3796,0.2768,14.7,1.6131,1.1762,8,,,助手随机1k,2026搜索,4.806,19.48,29,20,27,17,27,5,21,17,查询财经门户与市场行情,22.7,共创草坪 / 光模块龙头股一览表 / 8月31号
INVEST_ADVICE__2,INVEST_ADVICE__2,,437,0.995,15,0.15,0.091,0.247,0.068,90,0.9,0.733,1.105,0.42,9,0.09,0.047,0.171,0.019,188,1.88,1.632,2.165,0.578,19,2.0,1.284,3.103,1.171,86,8.713,7.11,10.637,10.104,1,0.1,0.018,0.564,0.061,29,2.9,2.027,4.134,2.9,0.9,0.1508,0.0717,5.38,0.9048,0.4303,0.54,0.0905,0.043,11.24,1.8901,0.8988,11.95,2.0107,0.9562,52.07,8.7599,4.1657,0.6,0.1005,0.0478,17.33,2.9155,1.3865,8,,,助手随机1k,2026搜索,8.623,96.8,41,36,38,16,9,1,32,13,股票行情与选股建议查询,48.3,券商最好的10只股 / 天原股份未来有上涨空间吗 / 这些股票中哪只最有潜力
OTHER_INTENT__3,OTHER_INTENT__3,,421,0.958,14,0.14,0.083,0.235,0.053,188,1.88,1.632,2.165,0.595,7,0.07,0.034,0.144,0.02,149,1.49,1.27,1.747,0.345,6,0.632,0.29,1.371,0.286,28,2.837,1.97,4.07,2.504,2,0.2,0.055,0.726,0.283,27,2.7,1.862,3.9,2.7,1.41,0.1461,0.1126,18.9,1.9619,1.5118,0.7,0.0731,0.0563,14.98,1.5549,1.1982,6.35,0.6591,0.5079,28.52,2.9605,2.2813,2.01,0.2087,0.1608,27.14,2.8176,2.1712,8,,,助手随机1k,2026搜索,2.767,40.52,43,16,41,22,24,12,27,14,银行信息查询,14.5,在吗 / 请用啪嗒来支付 / 去哪里可以快速弄到五万块钱
NEWS_EVENT__1,NEWS_EVENT__1,,409,0.931,9,0.09,0.047,0.171,0.029,108,1.08,0.895,1.302,0.407,27,0.27,0.186,0.393,0.145,208,2.08,1.818,2.379,0.861,5,0.526,0.225,1.226,0.858,27,2.736,1.887,3.951,2.418,8,0.8,0.406,1.571,0.433,17,1.7,1.064,2.706,1.7,0.97,0.0967,0.0776,11.64,1.1601,0.9308,2.91,0.2901,0.2327,22.41,2.2343,1.7927,5.67,0.5654,0.4536,29.47,2.9385,2.3578,8.62,0.8593,0.6895,18.32,1.8261,1.4652,8,,,助手随机1k,2025搜索,2.646,30.39,48,29,25,14,27,13,15,17,股票行情与选股建议查询,35.7,近三年AI创业公司在国内融资情况如何 / 近三年AI创业公司在国内融资情况如何 / 曝字节员工炒股赚3000万离职
HOWTO_OPERATE__4,HOWTO_OPERATE__4,,390,0.888,36,0.36,0.26,0.498,0.19,197,1.97,1.716,2.261,0.871,11,0.11,0.061,0.197,0.073,123,1.23,1.032,1.466,0.352,3,0.316,0.107,0.924,0.165,9,0.912,0.48,1.724,0.777,0,0.0,0.0,0.383,0.0,11,1.1,0.615,1.959,1.1,6.0,0.4056,0.4803,32.85,2.2192,2.6277,1.83,0.1239,0.1467,20.51,1.3856,1.6406,5.27,0.3557,0.4212,15.2,1.0272,1.2163,0.0,0.0,0.0,18.34,1.2392,1.4672,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,1.97,inf,27,14,34,26,39,27,40,26,银行卡业务查询与办理指导,18.2,征信报告在哪查 / 银行开户行号怎么查 / 如何查看开没开金融白条
TXN_ISSUE__3,TXN_ISSUE__3,,380,0.865,12,0.12,0.069,0.21,0.039,179,1.79,1.548,2.069,0.586,2,0.02,0.005,0.073,0.003,137,1.37,1.16,1.617,0.36,30,3.158,2.221,4.472,4.153,4,0.405,0.158,1.037,0.345,0,0.0,0.0,0.383,0.0,16,1.6,0.987,2.583,1.6,1.42,0.1388,0.1135,21.15,2.0695,1.692,0.24,0.0231,0.0189,16.19,1.5839,1.295,37.31,3.651,2.9851,4.79,0.4686,0.3831,0.0,0.0,0.0,18.91,1.8499,1.5124,7,助手语音头部1k,,助手头部1k,助手语音头部1k,3.158,inf,44,18,52,23,5,43,40,20,银行卡业务查询与办理指导,35.3,工商银行9920只收不付 / 农业银行卡uc批扣240是怎么回事 / 工商银行卡扣费 30 元余额不足会怎样
CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,,372,0.847,95,0.95,0.778,1.16,0.99,106,1.06,0.877,1.28,0.6,48,0.48,0.362,0.636,0.327,102,1.02,0.841,1.237,0.697,4,0.421,0.164,1.078,0.99,5,0.507,0.217,1.18,0.604,7,0.7,0.339,1.438,0.366,5,0.5,0.214,1.165,0.5,16.85,1.1222,1.3483,18.8,1.2519,1.5041,8.51,0.5669,0.6812,18.09,1.2046,1.4474,7.47,0.4973,0.5975,8.99,0.5983,0.7188,12.42,0.8267,0.9933,8.87,0.5905,0.7095,8,,,2025搜索随机1w,助手头部1k,0.639,2.52,18,31,17,33,34,39,17,42,保险公司电话查询,47.8,中国平安雇主责任险 / 磐石保是什么电话 / 平安车险电话
HOWTO_OPERATE__1,HOWTO_OPERATE__1,,365,0.831,25,0.25,0.169,0.369,0.133,179,1.79,1.548,2.069,0.715,7,0.07,0.034,0.144,0.038,123,1.23,1.032,1.466,0.386,2,0.211,0.058,0.764,0.27,18,1.824,1.157,2.864,1.641,0,0.0,0.0,0.383,0.0,11,1.1,0.615,1.959,1.1,3.86,0.301,0.309,27.65,2.1546,2.2118,1.08,0.0843,0.0865,19.0,1.4805,1.5199,3.25,0.2534,0.2601,28.17,2.1951,2.2535,0.0,0.0,0.0,16.99,1.324,1.3592,7,助手语音头部1k,,助手随机1k,助手语音头部1k,1.824,inf,36,18,41,26,47,18,40,26,查询贷款信息,37.8,生源地助学贷款指定账户 / 交银信托转1000元怎么还 / 车本抵押贷款怎么办理
HOWTO_OPERATE__5,HOWTO_OPERATE__5,,358,0.815,31,0.31,0.219,0.44,0.097,146,1.46,1.243,1.714,0.571,13,0.13,0.076,0.222,0.029,124,1.24,1.041,1.476,0.37,5,0.526,0.225,1.226,0.177,22,2.229,1.477,3.352,2.159,0,0.0,0.0,0.383,0.0,17,1.7,1.064,2.706,1.7,4.08,0.3805,0.3266,19.22,1.7917,1.5378,1.71,0.1596,0.1369,16.33,1.5217,1.3061,6.93,0.6459,0.5544,29.35,2.7354,2.3477,0.0,0.0,0.0,22.38,2.0863,1.7906,7,助手语音头部1k,,助手随机1k,助手语音头部1k,2.229,inf,30,21,32,25,27,16,40,17,金融业务操作与问题处理方法查询,44.4,在同花顺盘中怎么能最快找到涨停板最多的板块，能不 / 比特币怎么持有 / 深康佳退市后股票如何交易
INVEST_ADVICE__1,INVEST_ADVICE__1,,325,0.74,10,0.1,0.054,0.184,0.049,66,0.66,0.519,0.839,0.31,9,0.09,0.047,0.171,0.019,153,1.53,1.307,1.79,0.528,17,1.789,1.12,2.847,0.658,57,5.775,4.484,7.409,6.131,1,0.1,0.018,0.564,0.094,12,1.2,0.688,2.086,1.2,0.89,0.1352,0.0712,5.87,0.8922,0.4696,0.8,0.1217,0.064,13.61,2.0683,1.0885,15.91,2.419,1.2731,51.36,7.8068,4.1087,0.89,0.1352,0.0711,10.67,1.6222,0.8537,8,,,助手随机1k,2026搜索,5.685,64.16,46,43,38,21,10,4,32,22,股票行情与选股建议查询,30.8,国债逆回购哪个品种收益最高 / 天博智能上市首日大概能赚多少钱 / 潍柴动力长线持有是否值得
