key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ADULT_RESTRICTED_CONTENT_ACCESS__2,ADULT_RESTRICTED_CONTENT_ACCESS__2,26,11,0.4514,27.27,45.45,1,0.3786,0.0,100.0,11,0.4672,9.09,54.55,2,0.615,0.0,50.0,1,0.583,0.0,0.0,0,,,,0,,,,0,,,,,,0.4729
TITLE_IDENTIFICATION__1,TITLE_IDENTIFICATION__1,64,4,0.4185,0.0,25.0,24,0.4456,8.33,16.67,4,0.4207,0.0,50.0,22,0.5602,13.64,22.73,0,,,,4,0.4046,0.0,50.0,0,,,,6,0.4524,0.0,33.33,2025搜索随机1w,0.1146,0.4798
OTHER__3,OTHER__3,563,114,0.4661,6.14,16.67,114,0.4683,3.51,21.05,120,0.4653,10.83,20.83,122,0.4471,12.3,18.85,45,0.6401,4.44,37.78,21,0.4683,14.29,23.81,16,0.5908,6.25,18.75,11,0.5077,0.0,36.36,2026搜索随机1w,0.193,0.4806
TITLE_IDENTIFICATION__2,TITLE_IDENTIFICATION__2,111,5,0.274,20.0,0.0,45,0.5141,4.44,22.22,11,0.4966,0.0,9.09,37,0.4773,5.41,13.51,4,0.6286,25.0,25.0,6,0.486,0.0,50.0,0,,,,3,0.2249,33.33,33.33,2026搜索随机1w,0.0368,0.4841
PLOT_INFO_QA__1,PLOT_INFO_QA__1,229,6,0.402,0.0,16.67,73,0.5071,5.48,23.29,7,0.4229,14.29,42.86,71,0.4745,11.27,25.35,4,0.3121,50.0,25.0,53,0.4969,3.77,26.42,0,,,,15,0.4802,6.67,13.33,2026搜索随机1w,0.0326,0.4841
PLOT_INFO_QA__2,PLOT_INFO_QA__2,207,7,0.3712,28.57,0.0,91,0.5012,2.2,10.99,4,0.5985,0.0,25.0,61,0.4737,13.11,13.11,5,0.4902,0.0,20.0,33,0.4823,0.0,18.18,0,,,,6,0.4529,16.67,16.67,2026搜索随机1w,0.0275,0.4859
SITE_NAVIGATION__2,SITE_NAVIGATION__2,597,182,0.5329,6.04,20.33,110,0.5189,6.36,14.55,154,0.5519,5.84,18.83,111,0.465,9.91,18.02,9,0.571,11.11,22.22,3,0.4228,33.33,0.0,18,0.5457,0.0,27.78,10,0.6566,0.0,0.0,2026搜索随机1w,0.0869,0.5251
PLOT_INFO_QA__3,PLOT_INFO_QA__3,161,5,0.4887,20.0,0.0,73,0.5754,8.22,9.59,3,0.6698,0.0,0.0,58,0.5489,5.17,15.52,1,0.449,0.0,0.0,16,0.4371,0.0,18.75,0,,,,5,0.4315,0.0,0.0,2026搜索随机1w,0.0265,0.5459
RECOMMENDATION__4,RECOMMENDATION__4,316,60,0.5959,5.0,8.33,75,0.5359,4.0,14.67,60,0.5651,8.33,10.0,89,0.5506,7.87,12.36,5,0.5196,0.0,0.0,9,0.567,0.0,0.0,9,0.4569,0.0,33.33,9,0.5237,0.0,11.11,2025搜索随机1w,0.06,0.555
SITE_NAVIGATION__3,SITE_NAVIGATION__3,190,56,0.6376,0.0,1.79,32,0.5206,9.38,12.5,63,0.5789,0.0,4.76,30,0.4732,16.67,6.67,6,0.5371,16.67,0.0,0,,,,0,,,,3,0.4581,0.0,33.33,2026搜索随机1w,0.1644,0.5665
RECOMMENDATION__2,RECOMMENDATION__2,99,19,0.6311,0.0,5.26,26,0.6321,0.0,7.69,18,0.5341,11.11,11.11,27,0.5287,3.7,14.81,3,0.4772,0.0,0.0,2,0.9785,0.0,0.0,0,,,,4,0.3587,25.0,25.0,2026搜索随机1w,0.1034,0.5772
BARE_TITLE_LOOKUP__5,BARE_TITLE_LOOKUP__5,1169,161,0.5777,3.11,7.45,265,0.5725,2.64,10.57,314,0.648,0.96,10.19,345,0.5575,2.61,8.7,22,0.6265,0.0,22.73,13,0.4699,15.38,15.38,16,0.6688,0.0,0.0,33,0.5616,3.03,15.15,2026搜索随机1w,0.0905,0.59
NON_DRAMA_VIDEO__1,NON_DRAMA_VIDEO__1,3097,238,0.5953,2.1,23.95,1117,0.5974,3.49,26.05,186,0.5455,5.38,25.27,1187,0.5965,3.54,26.54,71,0.622,1.41,35.21,117,0.5956,6.84,24.79,47,0.6006,0.0,23.4,134,0.5667,5.22,23.88,2026搜索,0.0765,0.593
ADULT_RESTRICTED_CONTENT_ACCESS__3,ADULT_RESTRICTED_CONTENT_ACCESS__3,50,17,0.5601,5.88,29.41,4,0.7298,0.0,25.0,19,0.5912,0.0,15.79,8,0.626,0.0,25.0,0,,,,0,,,,1,0.455,0.0,0.0,1,0.734,0.0,0.0,,,0.5974
TITLE_IDENTIFICATION__5,TITLE_IDENTIFICATION__5,183,2,0.5783,0.0,0.0,83,0.5827,4.82,25.3,5,0.8061,0.0,20.0,66,0.5947,3.03,16.67,9,0.8491,0.0,33.33,7,0.473,0.0,14.29,1,0.2358,0.0,0.0,10,0.7067,0.0,20.0,2025搜索随机1w,0.012,0.6069
CAST_LOOKUP__1,CAST_LOOKUP__1,242,25,0.6203,8.0,20.0,89,0.6062,3.37,14.61,26,0.4812,11.54,19.23,90,0.6419,10.0,16.67,1,0.2288,100.0,0.0,4,0.871,0.0,25.0,0,,,,7,0.6577,0.0,14.29,2026搜索,0.1607,0.6118
RECOMMENDATION__3,RECOMMENDATION__3,167,43,0.6335,2.33,11.63,14,0.5274,0.0,21.43,58,0.6246,3.45,15.52,25,0.588,4.0,40.0,13,0.6493,0.0,23.08,3,0.6917,0.0,0.0,10,0.6393,0.0,10.0,1,0.4954,0.0,0.0,2026搜索随机1w,0.0455,0.6165
PLATFORM_HELP__2,PLATFORM_HELP__2,566,72,0.6191,0.0,5.56,246,0.666,2.85,14.63,43,0.6102,0.0,9.3,175,0.5872,5.71,13.14,3,0.6756,0.0,0.0,13,0.5344,0.0,38.46,5,0.5992,0.0,0.0,9,0.7328,11.11,11.11,2026搜索随机1w,0.0788,0.6289
ADULT_RESTRICTED_CONTENT_ACCESS__4,ADULT_RESTRICTED_CONTENT_ACCESS__4,135,14,0.605,0.0,28.57,27,0.6301,0.0,44.44,26,0.6812,0.0,26.92,63,0.6497,0.0,52.38,2,0.5831,0.0,0.0,1,0.2322,0.0,0.0,1,0.8629,0.0,0.0,1,0.6853,0.0,0.0,2025搜索随机1w,0.0511,0.645
RECOMMENDATION__5,RECOMMENDATION__5,243,37,0.6452,0.0,29.73,59,0.5986,0.0,22.03,39,0.6616,5.13,30.77,69,0.6262,4.35,23.19,21,0.8108,4.76,19.05,11,0.6958,0.0,9.09,3,0.5788,0.0,0.0,4,0.559,0.0,25.0,2025搜索随机1w,0.2122,0.6455
TITLE_IDENTIFICATION__4,TITLE_IDENTIFICATION__4,178,2,0.6469,0.0,0.0,90,0.6736,2.22,26.67,2,0.4968,0.0,50.0,58,0.6088,1.72,17.24,9,0.8308,0.0,11.11,9,0.6127,22.22,0.0,0,,,,8,0.6827,0.0,12.5,2026搜索随机1w,0.0648,0.6555
CAST_LOOKUP__4,CAST_LOOKUP__4,458,8,0.7383,0.0,50.0,184,0.6744,3.8,26.09,17,0.5298,11.76,5.88,195,0.6464,2.56,29.23,15,0.6757,0.0,53.33,19,0.6426,0.0,26.32,3,0.4469,0.0,0.0,17,0.7247,5.88,29.41,2026搜索随机1w,0.028,0.6573
SITE_NAVIGATION__1,SITE_NAVIGATION__1,588,199,0.6993,1.51,9.55,84,0.5918,2.38,19.05,185,0.7071,1.08,8.11,94,0.546,3.19,17.02,11,0.6752,0.0,0.0,3,0.4844,33.33,0.0,7,0.7319,0.0,0.0,5,0.401,20.0,20.0,2026搜索随机1w,0.1611,0.6582
SCENE_LOCATE__2,SCENE_LOCATE__2,58,0,,,,33,0.6371,3.03,12.12,1,0.773,0.0,0.0,21,0.7002,0.0,9.52,0,,,,1,0.8179,0.0,100.0,0,,,,2,0.4988,0.0,0.0,2025搜索随机1w,0.0631,0.6606
RECOMMENDATION__1,RECOMMENDATION__1,100,20,0.6884,0.0,40.0,22,0.6874,9.09,36.36,16,0.6286,0.0,50.0,33,0.6574,0.0,24.24,3,0.9546,0.0,100.0,3,0.5766,0.0,33.33,1,0.5679,0.0,100.0,2,0.8027,0.0,50.0,2026搜索随机1w,0.031,0.6741
LIVE_TV_SPORTS__1,LIVE_TV_SPORTS__1,485,79,0.731,0.0,5.06,106,0.5495,2.83,11.32,154,0.7889,0.65,7.79,103,0.6183,2.91,15.53,1,0.5082,0.0,100.0,10,0.5986,0.0,0.0,21,0.7964,0.0,9.52,11,0.6672,0.0,0.0,2025搜索随机1w,0.2469,0.684
BARE_TITLE_LOOKUP__2,BARE_TITLE_LOOKUP__2,1896,328,0.6943,1.22,10.37,350,0.642,2.86,10.57,682,0.7524,0.88,5.28,403,0.6541,2.23,14.64,56,0.6601,1.79,7.14,19,0.5507,5.26,10.53,27,0.7394,0.0,11.11,31,0.5069,6.45,22.58,助手语音随机1k,0.2455,0.6921
NON_DRAMA_VIDEO__2,NON_DRAMA_VIDEO__2,404,20,0.798,5.0,30.0,169,0.68,5.92,31.36,10,0.7691,0.0,30.0,158,0.7124,1.27,39.87,9,0.7321,0.0,33.33,5,0.8146,0.0,0.0,3,0.6581,33.33,0.0,30,0.7261,3.33,30.0,2025搜索随机1w,0.118,0.7068
BARE_TITLE_LOOKUP__1,BARE_TITLE_LOOKUP__1,4003,1050,0.7859,0.76,21.14,817,0.6416,1.59,25.7,998,0.7928,0.9,16.83,812,0.637,3.2,23.03,55,0.7154,0.0,20.0,40,0.5952,7.5,35.0,123,0.7934,0.81,17.07,108,0.62,1.85,19.44,助手随机1k,0.1982,0.7209
CAST_LOOKUP__3,CAST_LOOKUP__3,349,56,0.8134,1.79,10.71,104,0.7015,4.81,16.35,55,0.8535,0.0,9.09,107,0.6648,3.74,16.82,7,0.5497,0.0,14.29,12,0.7465,0.0,16.67,0,,,,8,0.6896,0.0,25.0,2026搜索随机1w,0.1887,0.7304
WATCH_DIRECT__2,WATCH_DIRECT__2,3663,1065,0.7878,1.13,24.69,613,0.7066,1.47,21.53,1033,0.7507,0.77,23.62,760,0.6834,2.89,19.47,32,0.6271,3.12,25.0,25,0.5603,12.0,32.0,86,0.7497,2.33,22.09,49,0.6266,2.04,20.41,助手随机1k,0.2275,0.7361
BARE_TITLE_LOOKUP__3,BARE_TITLE_LOOKUP__3,3140,1005,0.7848,0.5,19.5,388,0.62,1.29,27.58,981,0.7842,0.41,22.83,431,0.6136,3.48,24.83,102,0.8331,0.0,28.43,30,0.5702,6.67,40.0,141,0.8336,0.0,24.11,62,0.6602,3.23,32.26,助手随机1k,0.2634,0.74
WATCH_DIRECT__1,WATCH_DIRECT__1,3702,883,0.8246,0.79,19.25,776,0.6892,1.55,20.1,960,0.7945,0.73,16.77,919,0.6771,2.29,22.2,33,0.6237,0.0,18.18,38,0.5689,0.0,26.32,23,0.7827,0.0,34.78,70,0.6092,1.43,21.43,助手随机1k,0.2557,0.743
WHERE_TO_WATCH__1,WHERE_TO_WATCH__1,273,48,0.8129,0.0,16.67,69,0.7375,1.45,26.09,38,0.8029,0.0,18.42,89,0.6873,2.25,23.6,8,0.6436,0.0,0.0,15,0.7697,0.0,26.67,1,0.8048,0.0,0.0,5,0.8225,0.0,40.0,2026搜索随机1w,0.1256,0.7443
BARE_TITLE_LOOKUP__4,BARE_TITLE_LOOKUP__4,3550,1307,0.8172,0.46,28.84,465,0.6492,2.37,41.72,1064,0.8167,0.28,29.7,425,0.6509,1.65,35.06,68,0.805,1.47,25.0,23,0.6424,4.35,26.09,152,0.8212,0.0,33.55,46,0.7052,0.0,32.61,助手随机1k,0.1788,0.7725
PLOT_INFO_QA__5,PLOT_INFO_QA__5,432,33,0.7147,0.0,6.06,180,0.7815,1.11,2.78,17,0.7613,0.0,0.0,137,0.7472,2.19,1.46,33,0.9571,0.0,0.0,22,0.7084,0.0,0.0,1,0.9789,0.0,0.0,9,0.8736,0.0,0.0,助手随机1k,0.2487,0.7768
WATCH_DIRECT__3,WATCH_DIRECT__3,5441,2020,0.8752,0.69,13.56,675,0.7559,1.19,20.74,1758,0.828,0.63,18.09,654,0.7265,1.83,21.41,105,0.7527,4.76,28.57,28,0.5504,7.14,25.0,159,0.7618,1.26,21.38,42,0.6665,2.38,30.95,助手随机1k,0.3248,0.8183
PLOT_INFO_QA__4,PLOT_INFO_QA__4,412,76,0.9096,0.0,9.21,139,0.8093,0.72,9.35,63,0.8949,1.59,7.94,85,0.7512,0.0,9.41,31,0.9299,0.0,22.58,9,0.7299,0.0,33.33,3,0.6048,0.0,0.0,6,0.7055,16.67,16.67,2026搜索随机1w,0.1787,0.8332
SCENE_LOCATE__1,SCENE_LOCATE__1,303,7,0.8424,0.0,0.0,153,0.8539,0.0,3.27,1,0.8223,0.0,0.0,122,0.8359,0.82,4.92,6,0.9068,0.0,0.0,9,0.8619,0.0,11.11,0,,,,5,0.9112,0.0,20.0,2026搜索随机1w,0.018,0.8485
PLATFORM_HELP__1,PLATFORM_HELP__1,822,63,0.9073,1.59,1.59,384,0.9004,0.26,6.51,51,0.8125,1.96,7.84,267,0.8807,0.37,12.36,6,0.7953,0.0,16.67,21,0.9139,0.0,9.52,7,0.8001,0.0,0.0,23,0.9067,0.0,4.35,2026搜索,0.1014,0.888
CAST_LOOKUP__2,CAST_LOOKUP__2,646,165,0.9362,0.0,0.61,188,0.9393,1.06,0.53,113,0.9535,0.0,1.77,117,0.907,0.85,4.27,34,0.9117,0.0,0.0,7,0.878,0.0,0.0,5,0.9666,0.0,0.0,17,0.9686,0.0,0.0,2026搜索随机1w,0.0465,0.934
LIVE_TV_SPORTS__2,LIVE_TV_SPORTS__2,443,88,0.9614,0.0,1.14,32,0.8378,3.12,12.5,242,0.9587,0.0,2.48,46,0.8744,0.0,4.35,7,0.9633,0.0,0.0,1,0.9952,0.0,0.0,25,0.9239,0.0,0.0,2,0.7564,0.0,50.0,2025搜索随机1w,0.1236,0.939
