key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
53,影视在线观看查询,用户输入影视或视频名称后，希望获得可在线观看该内容的播放入口或免费完整版资源。,1256,2.859,370,3.701,3.348,4.089,3.717,190,1.9,1.65,2.187,6.941,361,3.61,3.262,3.994,2.904,281,2.81,2.504,3.152,1.101,15,1.571,0.954,2.575,1.344,3,0.305,0.104,0.894,0.563,27,2.703,1.864,3.904,2.774,9,0.9,0.474,1.702,0.858,21.15,1.2945,1.6918,10.86,0.6646,0.8686,20.63,1.2629,1.6505,16.06,0.9829,1.2846,8.98,0.5494,0.718,1.75,0.1069,0.1397,15.44,0.9454,1.2355,5.14,0.3148,0.4114,8,,,2025搜索,助手随机1k,3.395,12.11,5,17,9,10,18,36,12,26,直接在线播放,86.5,是,
6,影视剧演员表查询,用户给出某部影视剧或某位演员/角色名后，希望查询对应的演员名单、各角色扮演者或该演员参演的作品。,1248,2.841,186,1.86,1.613,2.144,1.434,422,4.22,3.843,4.632,1.245,144,1.44,1.225,1.693,0.974,352,3.52,3.176,3.899,1.925,53,5.55,4.268,7.188,5.854,35,3.564,2.574,4.916,2.894,7,0.701,0.34,1.439,0.384,49,4.9,3.726,6.419,3.248,7.22,0.6549,0.5779,16.39,1.4856,1.3108,5.59,0.507,0.4473,13.67,1.2391,1.0934,21.55,1.9537,1.7238,13.84,1.2547,1.1071,2.72,0.2467,0.2177,19.03,1.7249,1.522,8,,,助手头部1k,助手语音头部1k,4.849,7.92,19,5,26,6,3,8,33,6,演员及人剧关系查询,88.1,是,
52,免费在线观看电视剧资源查找,用户输入电视剧名称或“免费在线观看”类需求后，获得能免费在线观看该电视剧的页面链接或资源列表，即满足。,1083,2.465,370,3.701,3.348,4.089,7.038,58,0.58,0.449,0.749,3.876,462,4.62,4.226,5.05,5.054,97,0.97,0.796,1.182,1.067,33,3.455,2.471,4.813,3.842,0,0.0,0.0,0.39,0.0,59,5.906,4.606,7.544,8.931,4,0.4,0.156,1.024,10.233,18.85,1.5012,1.508,2.95,0.2353,0.2363,23.53,1.8743,1.8828,4.94,0.3935,0.3953,17.6,1.4018,1.4081,0.0,0.0,0.0,30.08,2.3958,2.4066,2.04,0.1623,0.163,7,助手随机1k,,助手语音头部1k,助手随机1k,5.906,inf,5,45,4,35,9,50,2,42,直接在线播放,94.4,是,
45,查询完整版视频免费观看资源,用户输入片名或关键词后，获得相应影视或视频的完整版、免费、高清在线观看或可播放资源即满足。,972,2.212,310,3.101,2.778,3.459,2.462,174,1.74,1.502,2.015,0.985,265,2.65,2.353,2.984,2.006,169,1.69,1.455,1.962,1.387,13,1.361,0.797,2.315,1.104,4,0.407,0.159,1.043,0.402,22,2.202,1.459,3.312,1.44,15,1.5,0.911,2.46,1.777,21.16,1.4014,1.693,11.88,0.7865,0.9501,18.09,1.1979,1.4471,11.53,0.7639,0.9228,9.29,0.6153,0.7433,2.78,0.1841,0.2224,15.03,0.9954,1.2024,10.24,0.678,0.819,8,,,2025搜索,助手随机1k,2.693,7.61,9,20,13,20,21,34,15,22,直接在线播放,91.6,是,
47,影视全集免费观看查询,用户提供某部影视剧或动漫名称，希望获得该作品全集的免费在线观看或播放资源。,960,2.185,226,2.26,1.987,2.571,2.635,181,1.81,1.567,2.09,0.95,271,2.71,2.41,3.047,2.176,207,2.07,1.809,2.368,0.798,14,1.466,0.875,2.446,1.235,8,0.815,0.413,1.599,0.884,29,2.903,2.029,4.138,3.384,24,2.4,1.618,3.546,2.206,13.75,1.0345,1.1004,11.01,0.8283,0.8811,16.49,1.2403,1.3193,12.6,0.9473,1.0077,8.92,0.6709,0.7136,4.96,0.3728,0.3966,17.66,1.3285,1.4131,14.6,1.0983,1.1683,8,,,助手语音头部1k,助手随机1k,2.088,3.56,13,19,12,16,20,23,10,12,直接在线播放,95.2,是,
14,电视节目播出与直播查询,用户查找电视频道的直播观看入口或节目播出安排（包括节目名称、播出时间及当日赛事/节目信息）。,936,2.131,172,1.72,1.483,1.994,1.756,134,1.34,1.133,1.585,0.373,395,3.95,3.586,4.35,12.679,146,1.46,1.243,1.714,1.073,8,0.838,0.425,1.644,0.662,11,1.12,0.627,1.995,0.884,53,5.305,4.079,6.874,7.096,17,1.7,1.064,2.706,2.145,9.87,0.8075,0.7894,7.69,0.629,0.6149,22.66,1.8542,1.8127,8.37,0.6853,0.67,4.8,0.3932,0.3844,6.43,0.5258,0.514,30.43,2.4901,2.4345,9.75,0.7979,0.7801,8,,,助手语音头部1k,助手头部1k,4.468,6.33,22,24,8,23,26,20,4,18,直播频道与赛事节目表,80.2,是,
34,查询影视综艺免费观看资源,用户想查找所查询影视或综艺节目的免费完整版、最新一期在线观看地址、百度网盘资源或可播放平台。,870,1.98,134,1.34,1.133,1.585,1.057,260,2.6,2.306,2.931,8.436,153,1.53,1.307,1.79,1.088,269,2.69,2.391,3.026,0.813,8,0.838,0.425,1.644,0.586,18,1.833,1.163,2.879,1.527,9,0.901,0.475,1.703,0.776,19,1.9,1.22,2.948,1.532,9.83,0.6768,0.7865,19.07,1.3129,1.5258,11.22,0.7727,0.898,19.73,1.3584,1.5786,6.15,0.423,0.4916,13.45,0.9256,1.0757,6.61,0.4549,0.5287,13.94,0.9595,1.115,8,,,2026搜索随机1w,助手头部1k,1.852,3.21,26,11,23,12,26,13,29,17,直接在线播放,19.7,是,
30,查询女性相关视频,用户希望获得以女性或女孩为主角、题材或元素的视频、影视片段或画面，而不是仅得到文字说明。,850,1.935,173,1.73,1.493,2.005,0.931,195,1.95,1.697,2.24,0.371,181,1.81,1.567,2.091,1.105,233,2.33,2.052,2.644,0.918,10,1.047,0.57,1.917,0.782,19,1.935,1.242,3.002,2.251,18,1.802,1.143,2.83,1.164,21,2.1,1.378,3.189,1.716,11.77,0.8943,0.9414,13.26,1.0079,1.0609,12.31,0.9356,0.9848,15.85,1.2043,1.2677,7.12,0.5412,0.5697,13.16,1.0,1.0527,12.25,0.9313,0.9803,14.28,1.0854,1.1425,8,,,2026搜索随机1w,助手头部1k,1.283,2.23,21,16,17,15,24,11,17,15,裸片名导航,52.5,是,
62,虚构作品剧情设定与同人创作讨论查询,查询影视、小说、动漫、游戏等虚构作品的角色、剧情、设定、结局解释，或围绕用户自创同人设定进行续写、反应与讨论。,824,1.876,50,0.5,0.38,0.659,0.336,275,2.75,2.447,3.089,0.971,29,0.29,0.202,0.416,0.215,239,2.39,2.108,2.708,0.527,6,0.628,0.288,1.364,0.389,188,19.145,16.806,21.724,15.997,0,0.0,0.0,0.383,0.0,37,3.7,2.696,5.058,2.512,1.7,0.2666,0.1361,9.35,1.4662,0.7482,0.99,0.1546,0.0789,8.13,1.2743,0.6503,2.14,0.335,0.1709,65.11,10.2073,5.2089,0.0,0.0,0.0,12.58,1.9727,1.0067,7,助手语音头部1k,,助手随机1k,助手语音头部1k,19.145,inf,42,10,46,14,33,1,52,8,作品点状事实问答,30.2,是,
35,影视作品资源与剧情查询,用户提供影视或视频作品名或片段描述，以获取该作品的在线观看资源、剧情背景或角色关系信息。,804,1.83,220,2.2,1.931,2.507,1.672,133,1.33,1.123,1.574,0.699,212,2.12,1.856,2.422,1.477,135,1.35,1.142,1.596,1.416,31,3.246,2.296,4.571,2.986,16,1.629,1.005,2.63,1.367,36,3.604,2.614,4.948,2.704,21,2.1,1.378,3.189,2.267,12.52,1.2024,1.0014,7.57,0.7268,0.6052,12.06,1.1585,0.9648,7.68,0.7377,0.6143,18.46,1.7738,1.4772,9.27,0.8903,0.7415,20.5,1.9691,1.6399,11.95,1.1475,0.9557,8,,,助手语音头部1k,2025搜索随机1w,2.274,2.71,15,25,15,27,10,15,9,15,裸片名导航,76.9,是,
46,免费影视观看查询,用户输入某个影视、综艺或节目名称后，希望获得可免费在线观看该内容的播放来源或页面。,731,1.664,160,1.6,1.372,1.866,1.502,223,2.23,1.958,2.538,0.907,127,1.27,1.069,1.509,0.832,181,1.81,1.567,2.09,1.07,3,0.314,0.107,0.919,0.144,9,0.916,0.483,1.733,1.286,12,1.201,0.688,2.088,0.741,16,1.6,0.987,2.583,1.409,14.63,0.9618,1.17,20.38,1.3402,1.6304,11.61,0.7633,0.9286,16.54,1.0878,1.3233,2.87,0.1888,0.2297,8.38,0.5508,0.6701,10.98,0.7219,0.8782,14.62,0.9616,1.1698,8,,,2025搜索随机1w,助手头部1k,1.916,7.1,23,14,28,19,44,21,23,19,直接在线播放,88.2,是,
37,韩剧在线观看资源查询,用户给出韩剧泛指词或具体剧名后，获取可在线观看该韩剧的页面、完整版资源或观看入口。,726,1.653,93,0.93,0.76,1.138,0.621,85,0.85,0.688,1.05,0.796,304,3.04,2.721,3.395,2.767,166,1.66,1.428,1.93,30.258,29,3.037,2.123,4.327,3.706,6,0.611,0.28,1.327,0.482,37,3.704,2.699,5.063,4.313,6,0.6,0.275,1.303,0.797,6.45,0.5629,0.5156,5.89,0.5144,0.4712,21.07,1.8398,1.6853,11.5,1.0045,0.9202,21.04,1.8376,1.6833,4.23,0.3697,0.3387,25.66,2.2413,2.0531,4.16,0.3631,0.3326,8,,,助手语音头部1k,助手语音随机1k,3.104,6.17,35,36,10,21,11,27,8,37,直接在线播放,51.4,是,
9,抖音功能设置与使用问题查询,用户想要获取针对抖音某个功能或设置问题的具体操作步骤或明确原因解释。,715,1.627,23,0.23,0.153,0.345,0.105,382,3.82,3.462,4.214,0.626,7,0.07,0.034,0.144,0.043,250,2.5,2.212,2.825,0.433,2,0.209,0.057,0.76,0.09,25,2.546,1.73,3.731,2.412,1,0.1,0.018,0.565,0.058,25,2.5,1.699,3.665,1.654,1.92,0.1414,0.1537,31.9,2.3472,2.5519,0.58,0.043,0.0468,20.88,1.5361,1.6701,1.75,0.1287,0.1399,21.26,1.5643,1.7007,0.84,0.0615,0.0669,20.88,1.5361,1.6701,8,,,2025搜索随机1w,2026搜索,3.75,54.57,51,8,51,13,46,10,46,11,平台功能与规则求助,94.1,是,
55,第一季影视动漫观看资源查询,用户想要查找某部影视或动漫作品第一季的在线观看资源，获得可播放入口、全集/分集列表或网盘资源即可满足。,696,1.584,180,1.8,1.558,2.08,1.165,104,1.04,0.859,1.258,0.62,263,2.63,2.334,2.963,1.955,135,1.35,1.142,1.596,0.791,6,0.628,0.288,1.364,0.496,3,0.305,0.104,0.894,0.402,1,0.1,0.018,0.565,0.039,4,0.4,0.156,1.024,0.368,21.81,1.1364,1.7449,12.6,0.6565,1.0079,31.86,1.6603,2.5492,16.35,0.8521,1.3084,7.61,0.3966,0.6089,3.7,0.1928,0.2961,1.21,0.0632,0.097,4.85,0.2525,0.3877,8,,,2026搜索,助手语音头部1k,2.53,26.28,20,31,14,27,33,36,46,42,直接在线播放,58.3,是,
51,在线观看电影,用户希望获取可在线播放或观看其目标电影（含免费、高清、完整版、未删减、中文字幕等版本）的页面或可用资源。,673,1.532,200,2.0,1.744,2.294,1.631,92,0.92,0.751,1.127,0.301,210,2.1,1.837,2.4,1.528,146,1.46,1.243,1.714,0.729,8,0.838,0.425,1.644,0.837,5,0.509,0.218,1.186,0.563,4,0.4,0.156,1.025,0.386,8,0.8,0.406,1.571,0.551,22.16,1.3058,1.7726,10.19,0.6006,0.8153,23.26,1.371,1.8611,16.17,0.9531,1.2938,9.28,0.5468,0.7423,5.64,0.3324,0.4512,4.44,0.2614,0.3548,8.86,0.5222,0.7089,8,,,2026搜索,助手语音头部1k,1.7,5.25,17,35,16,23,26,32,37,29,直接在线播放,84.1,是,
60,获取或生成视频,用户希望系统根据其描述返回一段现有视频或生成一段符合要求的视频，看到视频内容即满足。,672,1.53,60,0.6,0.467,0.772,0.409,213,2.13,1.865,2.432,0.871,25,0.25,0.169,0.369,0.283,204,2.04,1.781,2.336,0.501,49,5.131,3.903,6.719,4.795,75,7.637,6.136,9.469,6.752,11,1.101,0.616,1.961,2.093,35,3.5,2.527,4.829,2.941,2.68,0.3923,0.2144,9.51,1.3925,0.7611,1.12,0.1635,0.0893,9.11,1.3337,0.7289,22.92,3.3544,1.8333,34.11,4.9931,2.7289,4.92,0.7199,0.3934,15.63,2.2882,1.2506,8,,,助手随机1k,2026搜索,7.387,30.55,39,15,48,17,5,3,25,10,非影视剧视频获取,85.1,是,
50,免费电影在线观看,用户希望获得指定电影或电影片单的免费在线观看、高清或完整版播放入口，以便直接观看全片。,656,1.493,250,2.501,2.212,2.825,1.639,112,1.12,0.932,1.346,0.417,155,1.55,1.326,1.812,1.264,117,1.17,0.977,1.4,0.75,3,0.314,0.107,0.919,0.211,0,0.0,0.0,0.39,0.0,11,1.101,0.616,1.961,0.776,8,0.8,0.406,1.571,2.328,29.23,1.6746,2.338,13.09,0.7501,1.0472,18.12,1.0382,1.4494,13.67,0.7836,1.094,3.67,0.2104,0.2937,0.0,0.0,0.0,12.87,0.7374,1.0296,9.35,0.5358,0.748,7,助手随机1k,,2025搜索,助手随机1k,2.501,inf,12,30,22,33,44,50,25,29,直接在线播放,88.3,是,
56,影视动漫续集在线观看查询,用户给定某影视或动漫作品名称并附带“第二季/第二部”等续集标识，期望获得该作品续集的在线观看、免费观看完整版或全集播放入口。,624,1.42,139,1.39,1.179,1.639,1.103,138,1.38,1.169,1.628,0.565,164,1.64,1.409,1.908,1.179,158,1.58,1.354,1.844,1.042,7,0.733,0.356,1.505,0.415,8,0.815,0.413,1.599,0.643,2,0.2,0.055,0.727,0.104,8,0.8,0.406,1.571,0.858,16.28,0.9788,1.3026,16.16,0.9716,1.293,19.21,1.1548,1.5368,18.5,1.1124,1.4804,8.58,0.5161,0.6868,9.54,0.5736,0.7633,2.34,0.141,0.1876,9.37,0.5632,0.7496,8,,,2026搜索,助手语音头部1k,1.44,8.19,25,23,21,22,29,23,42,29,直接在线播放,49.0,是,
48,影视在线观看渠道查询,用户给出影视名称或影院/影视平台名称后，获得可在线观看该影视的渠道或平台。,547,1.245,187,1.87,1.623,2.155,1.307,70,0.7,0.554,0.883,0.685,179,1.79,1.548,2.069,1.58,71,0.71,0.563,0.895,0.695,19,1.99,1.277,3.086,2.392,3,0.305,0.104,0.894,0.241,15,1.502,0.912,2.463,1.297,3,0.3,0.102,0.878,0.184,20.4,1.5022,1.6323,7.64,0.5622,0.6109,19.53,1.4378,1.5623,7.75,0.5702,0.6196,21.7,1.5979,1.7362,3.33,0.2454,0.2666,16.38,1.206,1.3103,3.27,0.2409,0.2618,8,,,助手头部1k,助手语音随机1k,1.69,6.63,18,40,18,42,16,36,18,46,站点与聚合站导航,73.5,是,
54,第三季影视免费在线观看查询,用户输入某部影视/综艺节目名称并指定“第三季”，希望获得该季可在线播放的免费完整版观看资源或播放链接。,524,1.193,117,1.17,0.977,1.401,0.766,100,1.0,0.823,1.215,1.653,120,1.2,1.005,1.433,0.664,139,1.39,1.178,1.639,0.49,4,0.419,0.163,1.072,0.348,8,0.815,0.413,1.599,0.723,21,2.102,1.379,3.192,1.537,15,1.5,0.911,2.46,0.98,12.2,0.9811,0.9756,10.42,0.8384,0.8337,12.51,1.0062,1.0005,14.49,1.1654,1.1588,4.36,0.3512,0.3492,8.49,0.683,0.6792,21.91,1.7624,1.7525,15.63,1.2576,1.2505,8,,,助手语音头部1k,助手头部1k,1.683,5.02,28,32,30,25,39,23,16,22,裸片名导航,43.1,是,
68,短剧查询与在线观看,用户在提供短剧名称、题材、演员或情节线索后，希望获得对应短剧的剧名、全集或在线观看入口。,511,1.163,46,0.46,0.345,0.613,0.464,183,1.83,1.585,2.112,0.366,29,0.29,0.202,0.416,0.19,190,1.9,1.65,2.187,6.096,34,3.56,2.559,4.934,4.747,18,1.833,1.163,2.879,1.768,2,0.2,0.055,0.727,0.148,9,0.9,0.474,1.702,0.613,4.19,0.3956,0.3354,16.68,1.5733,1.3341,2.64,0.2494,0.2114,17.31,1.6335,1.3852,32.44,3.0609,2.5955,16.7,1.5759,1.3363,1.82,0.1721,0.146,8.2,0.7738,0.6561,8,,,助手头部1k,助手语音头部1k,3.36,17.78,44,18,46,18,8,13,42,26,裸片名导航,51.7,是,
