key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
OTHER__4,OTHER__4,,782,1.78,104,1.04,0.859,1.259,0.675,202,2.02,1.762,2.315,0.451,88,0.88,0.715,1.083,0.778,206,2.06,1.799,2.357,0.922,34,3.56,2.559,4.934,3.129,96,9.776,8.072,11.793,14.791,23,2.302,1.539,3.431,1.405,29,2.9,2.027,4.134,2.083,4.24,0.5844,0.3391,8.23,1.1348,0.6585,3.59,0.4944,0.2869,8.39,1.1573,0.6716,14.51,2.0001,1.1607,39.84,5.4922,3.1871,9.38,1.2934,0.7506,11.82,1.6292,0.9454,8,,,助手随机1k,2026搜索,8.896,11.11,14,14,16,13,8,2,9,12,影视视频搜索播放,33.9,请帮我生成一个视频：美女，比例为1:1。 / 他是谁 / 男生女生大PK
WORK_FACT_QA__3,WORK_FACT_QA__3,,774,1.762,72,0.72,0.572,0.906,0.519,308,3.08,2.759,3.437,1.385,36,0.36,0.26,0.498,0.287,263,2.63,2.334,2.962,0.631,7,0.733,0.356,1.505,0.646,49,4.99,3.795,6.536,6.511,3,0.3,0.102,0.879,0.151,36,3.6,2.612,4.944,2.696,4.39,0.4088,0.351,18.77,1.7482,1.5012,2.19,0.2044,0.1755,16.02,1.4928,1.2819,4.47,0.416,0.3573,30.4,2.8323,2.4321,1.83,0.1705,0.1464,21.93,2.0434,1.7547,8,,,助手随机1k,助手语音头部1k,4.69,16.62,18,10,29,11,27,5,26,8,虚构作品剧情设定查询与同人创作讨论,22.4,电视剧重器一共多少集 / 帝工企业犯罪组织是什么 / 悬案原型案件是什么
CAST_LOOKUP__2,CAST_LOOKUP__2,,646,1.47,165,1.65,1.419,1.919,1.278,188,1.88,1.632,2.165,0.814,113,1.13,0.941,1.357,0.882,117,1.17,0.977,1.4,0.617,34,3.56,2.559,4.934,3.834,7,0.713,0.346,1.464,0.643,5,0.501,0.214,1.166,0.305,17,1.7,1.064,2.706,1.164,13.41,1.1224,1.073,15.28,1.2785,1.2224,9.18,0.7686,0.7348,9.51,0.7957,0.7607,28.94,2.4212,2.3148,5.79,0.4848,0.4635,4.07,0.3404,0.3254,13.82,1.1561,1.1053,8,,,助手头部1k,助手语音头部1k,3.06,7.11,11,15,15,21,8,34,23,16,影视剧演员表查询,98.1,给我《醒来》的完整演员表 / 醒来演员表 / 给我提供《醒来》的完整演员表
WORK_FACT_QA__2,WORK_FACT_QA__2,,598,1.361,15,0.15,0.091,0.247,0.096,246,2.46,2.174,2.782,0.353,15,0.15,0.091,0.247,0.094,223,2.23,1.958,2.538,0.481,8,0.838,0.425,1.644,0.364,62,6.314,4.956,8.012,5.064,1,0.1,0.018,0.565,0.049,28,2.8,1.944,4.017,1.9,1.0,0.1102,0.0798,16.35,1.8073,1.3084,1.0,0.1102,0.0798,14.83,1.6383,1.1861,5.57,0.6154,0.4455,41.97,4.6384,3.358,0.67,0.0735,0.0532,18.62,2.0571,1.4892,8,,,助手随机1k,助手语音头部1k,6.214,63.07,37,12,38,12,25,3,32,13,查询影视动漫游戏作品信息,13.5,在潘多拉的盒子形容什么 / 十二个最强的奥特曼 / 风扇小爱全名叫什么
SITE_NAVIGATION__2,SITE_NAVIGATION__2,,597,1.359,182,1.82,1.576,2.102,1.647,110,1.1,0.914,1.324,0.761,154,1.54,1.317,1.801,1.664,111,1.11,0.923,1.335,0.524,9,0.942,0.497,1.781,0.808,3,0.305,0.104,0.894,0.482,18,1.802,1.143,2.83,1.644,10,1.0,0.544,1.831,0.735,18.92,1.3396,1.5138,11.43,0.8095,0.9147,16.01,1.1334,1.2808,11.54,0.8168,0.9231,9.8,0.6935,0.7837,3.18,0.2248,0.254,18.73,1.3259,1.4983,10.39,0.7359,0.8316,8,,,2025搜索,助手随机1k,1.515,5.96,10,23,12,22,21,42,12,24,查找视频,16.4,在线观看网址 / 双子视频app下载电视剧免费版 / 免费视频在线观看的网站
SITE_NAVIGATION__1,SITE_NAVIGATION__1,,588,1.338,199,1.99,1.734,2.283,1.421,84,0.84,0.679,1.039,0.852,185,1.85,1.604,2.133,1.666,94,0.94,0.769,1.149,0.82,11,1.152,0.644,2.051,1.409,3,0.305,0.104,0.894,0.241,7,0.701,0.34,1.439,0.687,5,0.5,0.214,1.165,0.368,24.04,1.4871,1.9234,10.15,0.6276,0.8117,22.35,1.3824,1.7879,11.35,0.7023,0.9084,13.91,0.8606,1.1131,3.69,0.2283,0.2952,8.46,0.5235,0.6771,6.04,0.3736,0.4832,8,,,2025搜索,助手随机1k,1.685,6.52,9,29,11,26,20,42,21,37,影视在线观看渠道查询,65.6,YY影院在线观看免费观看电视剧百度 / 八度电影 / 迈克狐与灵神话片神庙神庙
PLATFORM_HELP__2,PLATFORM_HELP__2,,566,1.288,72,0.72,0.572,0.906,0.473,246,2.46,2.174,2.782,0.886,43,0.43,0.319,0.579,0.244,175,1.75,1.511,2.026,0.394,3,0.314,0.107,0.919,0.227,13,1.324,0.775,2.252,1.045,5,0.501,0.214,1.166,0.347,9,0.9,0.474,1.702,0.551,8.57,0.559,0.686,29.29,1.9095,2.3432,5.12,0.3338,0.4096,20.84,1.3584,1.6669,3.74,0.2438,0.2992,15.76,1.0276,1.261,5.96,0.3885,0.4767,10.72,0.6986,0.8573,8,,,2025搜索随机1w,助手头部1k,2.146,7.83,18,12,26,15,38,24,23,26,App下载安装渠道查询,28.6,omofun最新版本下载 / 四川小妹B站直播入口在哪 / 下载快手
OTHER__3,OTHER__3,,563,1.281,114,1.14,0.95,1.368,1.666,114,1.14,0.95,1.368,0.187,120,1.2,1.005,1.433,1.576,122,1.22,1.023,1.455,0.416,45,4.712,3.54,6.247,6.856,21,2.138,1.403,3.247,1.849,16,1.602,0.988,2.586,3.683,11,1.1,0.615,1.959,0.919,8.0,0.8898,0.64,8.0,0.8896,0.6399,8.42,0.9365,0.6736,8.56,0.952,0.6848,33.06,3.677,2.6449,15.0,1.6687,1.2003,11.24,1.2498,0.899,7.72,0.8584,0.6174,8,,,助手头部1k,助手语音随机1k,3.612,4.28,13,22,14,19,7,15,14,19,查找视频,17.2,视频 / 视频 / 抖音
LIVE_TV_SPORTS__1,LIVE_TV_SPORTS__1,,485,1.104,79,0.79,0.635,0.984,0.468,106,1.06,0.877,1.28,0.241,154,1.54,1.317,1.801,1.2,103,1.03,0.85,1.248,0.308,1,0.105,0.018,0.591,0.068,10,1.018,0.554,1.864,0.965,21,2.102,1.379,3.192,2.415,11,1.1,0.615,1.959,0.919,9.04,0.7158,0.7228,12.12,0.9602,0.9696,17.61,1.3951,1.4089,11.78,0.933,0.9422,1.2,0.0949,0.0958,11.64,0.9224,0.9315,24.04,1.9042,1.9229,12.58,0.9964,1.0062,8,,,助手语音头部1k,助手头部1k,1.997,20.08,16,24,12,24,44,29,11,19,央视直播频道查询,39.2,中央五台 / 中央五套 / 今晚有斯诺克直播吗
OTHER__1,OTHER__1,,467,1.063,72,0.72,0.572,0.906,0.569,143,1.43,1.215,1.682,1.553,64,0.64,0.502,0.816,0.571,129,1.29,1.087,1.531,0.389,14,1.466,0.875,2.446,1.29,14,1.426,0.851,2.379,1.125,10,1.001,0.545,1.833,1.415,21,2.1,1.378,3.189,1.532,7.15,0.6775,0.5719,14.2,1.3453,1.1357,6.35,0.6021,0.5083,12.81,1.2136,1.0245,14.55,1.3791,1.1643,14.15,1.3412,1.1323,9.94,0.9417,0.795,20.85,1.9756,1.6679,8,,,助手语音随机1k,2026搜索,1.46,3.28,18,20,17,18,18,22,17,15,查找儿童动画片视频,27.6,小男孩与妈妈小马拉大车 / 动画片 / 动漫
CAST_LOOKUP__4,CAST_LOOKUP__4,,458,1.042,8,0.08,0.041,0.158,0.025,184,1.84,1.594,2.122,0.215,17,0.17,0.106,0.272,0.068,195,1.95,1.697,2.24,0.37,15,1.571,0.954,2.575,2.604,19,1.935,1.242,3.002,1.608,3,0.3,0.102,0.879,0.215,17,1.7,1.064,2.706,1.103,0.84,0.0768,0.0671,19.28,1.765,1.542,1.78,0.1631,0.1425,20.43,1.8705,1.6342,16.45,1.5067,1.3163,20.27,1.856,1.6215,3.15,0.2881,0.2517,17.81,1.6307,1.4247,8,,,2026搜索随机1w,2025搜索,1.87,24.37,41,16,35,14,17,17,26,16,影视剧演员表查询,69.9,她是谁 / 吴谨言的代表作品有哪些 / 《醒来》还有哪些演员
LIVE_TV_SPORTS__2,LIVE_TV_SPORTS__2,,443,1.008,88,0.88,0.715,1.083,1.2,32,0.32,0.227,0.451,0.163,242,2.42,2.137,2.74,11.426,46,0.46,0.345,0.613,0.82,7,0.733,0.356,1.505,0.555,1,0.102,0.018,0.575,0.08,25,2.503,1.701,3.668,3.889,2,0.2,0.055,0.726,0.245,11.55,0.8729,0.9243,4.2,0.3173,0.3361,31.77,2.4002,2.5417,6.04,0.4562,0.4831,9.62,0.7269,0.7698,1.34,0.101,0.1069,32.85,2.4818,2.6281,2.63,0.1983,0.21,8,,,助手语音头部1k,助手随机1k,2.401,24.57,15,45,9,42,27,48,8,47,央视直播频道查询,82.2,cctv5在线直播 / CCTV 5 / cctv5
PLOT_INFO_QA__5,PLOT_INFO_QA__5,,432,0.983,33,0.33,0.235,0.463,0.134,180,1.8,1.557,2.08,0.658,17,0.17,0.106,0.272,0.064,137,1.37,1.16,1.617,0.322,33,3.455,2.471,4.813,2.997,22,2.24,1.484,3.369,1.849,1,0.1,0.018,0.565,0.063,9,0.9,0.474,1.702,0.613,3.18,0.3357,0.2547,17.36,1.8305,1.3892,1.64,0.1729,0.1312,13.22,1.3932,1.0573,33.33,3.5141,2.6668,21.61,2.2783,1.729,0.97,0.1018,0.0773,8.68,0.9153,0.6946,8,,,助手头部1k,助手语音头部1k,3.355,34.52,30,17,35,17,10,14,32,26,查询剧情结局,98.4,《醒来》的结局是什么 / 《醒来》大结局是什么 / 《私藏》的剧情结局是怎样的
PLOT_INFO_QA__4,PLOT_INFO_QA__4,,412,0.938,76,0.76,0.608,0.95,0.676,139,1.39,1.178,1.639,0.521,63,0.63,0.493,0.805,0.386,85,0.85,0.688,1.05,0.537,31,3.246,2.296,4.571,2.845,9,0.916,0.483,1.733,0.804,3,0.3,0.102,0.879,0.183,6,0.6,0.275,1.303,0.551,8.74,0.8106,0.6995,15.99,1.4822,1.2792,7.25,0.6719,0.5798,9.78,0.9064,0.7822,37.34,3.4614,2.9873,10.54,0.9773,0.8434,3.45,0.3202,0.2764,6.9,0.6398,0.5522,8,,,助手头部1k,助手语音头部1k,2.946,10.81,17,21,20,30,13,30,26,33,查询影视剧情介绍,85.4,脱缰凯新校长情景剧全集 / 《醒来》的剧情简介是什么 / 《啄木鸟:爱神靓装》剧情简介
NON_DRAMA_VIDEO__2,NON_DRAMA_VIDEO__2,,404,0.92,20,0.2,0.13,0.309,0.136,169,1.69,1.455,1.962,0.295,10,0.1,0.054,0.184,0.137,158,1.58,1.354,1.844,0.385,9,0.942,0.497,1.781,0.862,5,0.509,0.218,1.186,0.563,3,0.3,0.102,0.879,0.215,30,3.0,2.109,4.25,2.328,2.4,0.2175,0.1923,20.31,1.8378,1.6246,1.2,0.1088,0.0961,18.99,1.7182,1.5189,11.32,1.0248,0.906,6.12,0.5537,0.4895,3.61,0.3266,0.2887,36.05,3.2624,2.8839,8,,,助手语音随机1k,2026搜索,2.9,30.0,33,18,42,16,21,39,26,11,影视视频搜索播放,35.1,广场舞美丽的月亮湾 / 帮我生成这只狗跳舞的视频，时长1分钟 / 美女跳舞
CAST_LOOKUP__3,CAST_LOOKUP__3,,349,0.794,56,0.56,0.432,0.727,0.248,104,1.04,0.859,1.258,0.589,55,0.55,0.423,0.715,0.274,107,1.07,0.886,1.291,1.316,7,0.733,0.356,1.505,0.354,12,1.222,0.7,2.124,1.286,0,0.0,0.0,0.383,0.0,8,0.8,0.406,1.571,0.551,9.37,0.7051,0.7499,17.41,1.3092,1.3924,9.21,0.6924,0.7365,17.91,1.3469,1.4326,12.27,0.9227,0.9814,20.45,1.5383,1.6361,0.0,0.0,0.0,13.39,1.0071,1.0711,7,助手语音头部1k,,助手随机1k,助手语音头部1k,1.222,inf,23,25,24,23,27,27,39,29,查询电视剧,55.3,我邻居的老婆谁演的电视剧 / 许凯主演的电视剧大全(全部) / 张予曦演了哪些电视剧？
OTHER__2,OTHER__2,,331,0.753,56,0.56,0.432,0.727,0.736,83,0.83,0.67,1.028,0.298,64,0.64,0.502,0.816,0.911,66,0.66,0.519,0.839,0.154,24,2.513,1.695,3.712,3.46,14,1.426,0.851,2.379,1.125,13,1.301,0.762,2.214,2.155,11,1.1,0.615,1.959,1.593,6.2,0.7434,0.4962,9.19,1.1016,0.7353,7.09,0.8495,0.567,7.31,0.876,0.5847,27.83,3.3356,2.2264,15.79,1.8923,1.263,14.41,1.7272,1.1528,12.18,1.46,0.9745,8,,,助手头部1k,2025搜索,1.953,4.49,23,30,17,35,14,22,16,19,电影信息查询,52.0,什么电影 / 看生活片 / 《放大》电影HD
RECOMMENDATION__4,RECOMMENDATION__4,,316,0.719,60,0.6,0.467,0.772,0.365,75,0.75,0.599,0.939,0.35,60,0.6,0.466,0.772,0.406,89,0.89,0.724,1.094,1.102,5,0.524,0.224,1.22,0.375,9,0.916,0.483,1.733,0.723,9,0.901,0.475,1.703,0.982,9,0.9,0.474,1.702,0.551,9.87,0.8343,0.7895,12.33,1.0427,0.9867,9.87,0.8343,0.7894,14.64,1.2374,1.1708,8.61,0.7279,0.6888,15.07,1.2742,1.2057,14.81,1.2525,1.1852,14.8,1.2513,1.184,8,,,助手随机1k,助手头部1k,0.393,1.75,22,33,22,28,34,30,19,26,电影信息查询,70.6,三人行外国小众电影 / 最早的电影出现在18世纪还是19世纪 / 适合夫妻两人看的电影
SCENE_LOCATE__1,SCENE_LOCATE__1,,303,0.69,7,0.07,0.034,0.144,0.044,153,1.53,1.307,1.79,0.217,1,0.01,0.002,0.057,0.002,122,1.22,1.023,1.455,0.234,6,0.628,0.288,1.364,0.565,9,0.916,0.483,1.733,0.804,0,0.0,0.0,0.383,0.0,5,0.5,0.214,1.165,0.306,1.44,0.1015,0.1149,31.39,2.2184,2.5109,0.21,0.0145,0.0164,25.03,1.7689,2.0021,12.89,0.911,1.0311,18.8,1.3289,1.5041,0.0,0.0,0.0,10.26,0.725,0.8205,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,1.53,inf,43,19,50,19,30,30,39,37,查询影视剧集数与情节所在集数,93.1,第几集 / 图片是第几集 / 这是第几集
WHERE_TO_WATCH__1,WHERE_TO_WATCH__1,,273,0.621,48,0.48,0.362,0.636,0.429,69,0.69,0.546,0.872,0.163,38,0.38,0.277,0.521,0.297,89,0.89,0.724,1.094,0.526,8,0.838,0.425,1.644,0.384,15,1.527,0.928,2.505,1.206,1,0.1,0.018,0.565,0.255,5,0.5,0.214,1.165,0.306,8.88,0.7726,0.7105,12.76,1.1104,1.0212,7.03,0.6116,0.5625,16.46,1.4322,1.3172,15.5,1.3481,1.2398,28.26,2.4581,2.2607,1.85,0.1611,0.1481,9.25,0.8046,0.74,8,,,助手随机1k,助手语音头部1k,1.427,15.26,26,39,28,28,25,21,32,37,查询影视剧名称与详情,23.8,西班牙剧《爱欲焚身》在哪看 / 《绝版港片》邱淑贞任达华在哪里看 / 大侦探12季具体定档日
