domain,label,share_search10k,share_search_top1000,share_assistant_top,diff_vs_top1000_pp,lo_pp,hi_pp,sig
医疗,对正在发生的具体不适做分诊与处置判断,0.004,0.0,0.0021,0.21,-0.2,0.76,False
医疗,寻找疾病的治疗或缓解方案,0.0777,0.068,0.0825,1.45,-0.9,3.82,False
医疗,查询中医方剂组成、经络穴位与中医理论,0.0226,0.008,0.0063,-0.17,-1.02,0.66,False
医疗,查询中药材/食材/茶饮的功效与作用,0.1768,0.294,0.1639,-13.01,-16.66,-9.32,True
医疗,查询就医科室、医院/医生导航与挂号入口,0.0166,0.0,0.0762,7.62,6.06,9.47,True
医疗,查询指标的正常值或参考范围,0.0135,0.018,0.0136,-0.44,-1.61,0.71,False
医疗,查询疾病或医学术语的定义、病因与传染性,0.0564,0.045,0.0219,-2.31,-3.96,-0.71,True
医疗,查询疾病的症状与早期征兆,0.0683,0.11,0.0564,-5.36,-7.82,-2.93,True
医疗,查询药品用法用量与服用时机,0.0152,0.007,0.0031,-0.39,-1.15,0.32,False
医疗,查询药品的功效与作用,0.1659,0.232,0.0355,-19.65,-22.54,-16.79,True
医疗,查询诊疗项目的费用、时长与恢复参数,0.0168,0.003,0.0188,1.58,0.68,2.67,True
医疗,由自述症状直接索取药品或药膏,0.0065,0.004,0.0084,0.44,-0.31,1.28,False
医疗,获取食疗/养生方的做法与搭配,0.0073,0.002,0.0042,0.22,-0.37,0.88,False
医疗,解读用户本人的检查数值或报告分级,0.0372,0.047,0.0157,-3.13,-4.75,-1.61,True
医疗,解释自身症状的原因,0.0911,0.084,0.0501,-3.39,-5.63,-1.17,True
医疗,评估疾病的严重程度、预后或时间预期,0.0127,0.001,0.0084,0.74,0.11,1.54,True
教育,了解专业培养内容与就业前景,0.0296,0.01,0.0023,-0.77,-1.62,-0.0,True
教育,判定高校办学层次与标签,0.0186,0.003,0.0012,-0.18,-0.77,0.39,False
教育,启动翻译工具或查询英汉词句,0.184,0.01,0.0559,4.59,3.0,6.39,True
教育,完成中小学学科作业与写作任务,0.013,0.005,0.1222,11.72,9.59,14.1,True
教育,导航至官方招考政务门户与登录入口,0.0425,0.072,0.0012,-7.08,-8.86,-5.54,True
教育,按结构约束列举字词,0.0049,0.002,0.0047,0.27,-0.33,1.01,False
教育,按裸校名检索院校信息,0.2148,0.717,0.0035,-71.35,-74.07,-68.4,True
教育,无意图或上下文依赖的残余查询,0.1177,0.041,0.6193,57.83,54.25,61.19,True
教育,查询官方教务与考试办事流程,0.0018,0.002,0.0,-0.2,-0.73,0.27,False
教育,查询录取分数线与录取数据,0.0234,0.01,0.0047,-0.53,-1.41,0.32,False
教育,查询汉字或词语读音,0.1342,0.023,0.014,-0.9,-2.18,0.38,False
教育,查询汉字笔顺写法,0.0249,0.001,0.0,-0.1,-0.56,0.35,False
教育,查询考试成绩与出分动态,0.0103,0.009,0.0,-0.9,-1.7,-0.28,True
教育,查询职业资格与成人学历提升,0.0116,0.002,0.0058,0.38,-0.24,1.17,False
教育,查询词语或成语释义,0.0207,0.011,0.0105,-0.05,-1.04,1.0,False
教育,检索古诗文与课文原文,0.047,0.025,0.0594,3.44,1.62,5.39,True
教育,求生肖谜语博彩谜底,0.0271,0.027,0.0303,0.33,-1.21,1.93,False
教育,生成生字组词,0.0164,0.0,0.0326,3.26,2.19,4.67,True
教育,进入高校官网及校内业务平台,0.0219,0.008,0.0012,-0.68,-1.46,-0.02,True
教育,进行升学与择校志愿决策咨询,0.0354,0.022,0.0314,0.94,-0.53,2.52,False
影视,下载或安装影视App与排障,0.0119,0.013,0.0126,-0.04,-1.1,1.03,False
影视,凭情节片段反查片名,0.0022,0.0,0.0262,2.62,1.7,3.84,True
影视,剧情设定讨论与同人假设问答,0.003,0.002,0.0251,2.31,1.34,3.52,True
影视,处理平台账号或客服问题,0.0018,0.002,0.001,-0.1,-0.63,0.41,False
影视,导航到指定影视站点或平台,0.05,0.071,0.0524,-1.86,-4.02,0.28,False
影视,按演职人员反查作品列表,0.007,0.001,0.0115,1.05,0.36,1.95,True
影视,收看电视频道直播或查询节目表,0.0396,0.092,0.0115,-8.05,-10.06,-6.18,True
影视,查询作品演员表与角色信息,0.0127,0.016,0.0419,2.59,1.11,4.18,True
影视,查询剧情梗概或结局剧透,0.0076,0.005,0.0628,5.78,4.26,7.53,True
影视,核实播出信息与集数,0.0095,0.007,0.0157,0.87,-0.09,1.94,False
影视,直达指定集数的播放页,0.0245,0.028,0.0073,-2.07,-3.34,-0.91,True
影视,获取作品的在线播放入口,0.3362,0.309,0.1717,-13.73,-17.43,-9.97,True
影视,获取作品的网盘或资源下载渠道,0.0297,0.035,0.0199,-1.51,-3.02,-0.04,True
影视,获取成人或限制级内容,0.009,0.006,0.0136,0.76,-0.14,1.77,False
影视,获取未删减或未遮挡版本,0.0014,0.001,0.0,-0.1,-0.56,0.31,False
影视,获取片段、台词或混剪等衍生内容,0.0123,0.009,0.1026,9.36,7.42,11.49,True
影视,裸片名或仅带实体类型词的作品查询,0.4415,0.403,0.4241,2.11,-2.25,6.46,False
人物,人事任免事件查询,0.0039,0.002,0.0067,0.47,-0.17,1.28,False
人物,人物单项属性查询,0.0194,0.013,0.0315,1.85,0.52,3.32,True
人物,人物档案调阅,0.2986,0.301,0.054,-24.7,-27.89,-21.46,True
人物,人物相关梗与说法解释,0.0013,0.0,0.0135,1.35,0.66,2.34,True
人物,人物相关说法核实,0.0008,0.001,0.0124,1.14,0.42,2.11,True
人物,人物肖像图片获取,0.0215,0.023,0.0079,-1.51,-2.71,-0.39,True
人物,人物近期事件状态查询,0.0066,0.005,0.0889,8.39,6.56,10.46,True
人物,作品本体获取,0.0014,0.002,0.0011,-0.09,-0.62,0.45,False
人物,作品角色反查人物,0.0034,0.0,0.0169,1.69,0.92,2.77,True
人物,公共职务现任者查询,0.019,0.016,0.0135,-0.25,-1.39,0.92,False
人物,垂类外非人物查询,0.0359,0.016,0.0945,7.85,5.84,10.04,True
人物,性化类目浏览或非具体人物浏览,0.0094,0.006,0.0191,1.31,0.31,2.49,True
人物,私人家世与感情关系查询,0.0097,0.003,0.0529,4.99,3.58,6.67,True
人物,粉丝打榜投票入口,0.0135,0.017,0.0011,-1.59,-2.6,-0.76,True
人物,群体名单枚举,0.0254,0.032,0.0247,-0.73,-2.26,0.82,False
人物,艺人平台热度数值查询,0.0247,0.036,0.0011,-3.49,-4.83,-2.37,True
人物,裸名人物身份识别,0.4961,0.515,0.5467,3.17,-1.34,7.65,False
人物,跳转人物站外主页,0.0089,0.012,0.0011,-1.09,-1.98,-0.36,True
人物,黑料绯闻炒作查询,0.0002,0.0,0.0124,1.24,0.57,2.2,True
