domain,a,b,why,marker,share_a,share_b,diff_pp,lo_pp,hi_pp,sig
金融,2026search,assistant_top,界面（同为头部流量）,多问句(一行≥2问),0.0,0.0011,0.11,0.01,0.59,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,疑问句,0.2084,0.6535,44.51,40.46,48.32,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,祈使/委托,0.0011,0.001,-0.0,-0.5,0.47,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,第一人称,0.0074,0.0608,5.34,3.8,7.05,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,称呼对方,0.0011,0.0172,1.62,0.81,2.64,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,家庭成员,0.0,0.0041,0.41,-0.07,1.04,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,身份/人生阶段,0.0053,0.0314,2.61,1.46,3.93,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,情绪词,0.0,0.0,0.0,-0.4,0.39,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,是非核实,0.0558,0.1884,13.27,10.42,16.13,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,方法/怎么办,0.0274,0.0993,7.19,5.08,9.39,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,选择清单,0.0263,0.1307,10.44,8.13,12.84,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,定义,0.02,0.0203,0.03,-1.29,1.32,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,时效词,0.1421,0.0871,-5.5,-8.35,-2.67,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,输出约束,0.0,0.0,0.0,-0.4,0.39,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,导航词,0.0305,0.0182,-1.23,-2.69,0.16,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,资源词,0.0,0.002,0.2,-0.23,0.74,False
金融,assistant_top,assistant_random,深度（助手头部→长尾）,回指上文,0.0,0.0051,0.51,0.01,1.18,True
金融,assistant_top,assistant_random,深度（助手头部→长尾）,多问句(一行≥2问),0.0011,0.0152,1.41,0.64,2.39,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,疑问句,0.0747,0.6535,57.88,54.81,60.83,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,祈使/委托,0.0,0.001,0.1,0.01,0.57,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,第一人称,0.0006,0.0608,6.02,4.69,7.69,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,称呼对方,0.0004,0.0172,1.68,1.04,2.7,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,家庭成员,0.0003,0.0041,0.38,0.12,1.01,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,身份/人生阶段,0.0064,0.0314,2.5,1.56,3.79,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,情绪词,0.0,0.0,0.0,-0.04,0.39,False
金融,2026search,assistant_random,界面+深度（不可单独归因）,是非核实,0.0065,0.1884,18.19,15.87,20.76,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,方法/怎么办,0.0027,0.0993,9.66,7.94,11.68,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,选择清单,0.0064,0.1307,12.43,10.46,14.68,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,定义,0.014,0.0203,0.63,-0.13,1.73,False
金融,2026search,assistant_random,界面+深度（不可单独归因）,时效词,0.0993,0.0871,-1.22,-2.93,0.79,False
金融,2026search,assistant_random,界面+深度（不可单独归因）,输出约束,0.0,0.0,0.0,-0.04,0.39,False
金融,2026search,assistant_random,界面+深度（不可单独归因）,导航词,0.0147,0.0182,0.35,-0.36,1.42,False
金融,2026search,assistant_random,界面+深度（不可单独归因）,资源词,0.0001,0.002,0.19,0.04,0.73,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,回指上文,0.0,0.0051,0.51,0.21,1.18,True
金融,2026search,assistant_random,界面+深度（不可单独归因）,多问句(一行≥2问),0.0,0.0152,1.52,0.92,2.49,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,疑问句,0.2084,0.527,31.86,27.75,35.8,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,祈使/委托,0.0011,0.001,-0.01,-0.5,0.47,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,第一人称,0.0074,0.031,2.36,1.17,3.69,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,称呼对方,0.0011,0.008,0.69,0.07,1.47,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,家庭成员,0.0,0.002,0.2,-0.23,0.73,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,身份/人生阶段,0.0053,0.044,3.87,2.56,5.36,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,情绪词,0.0,0.002,0.2,-0.23,0.73,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,是非核实,0.0558,0.14,8.42,5.82,11.05,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,方法/怎么办,0.0274,0.044,1.66,-0.0,3.35,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,选择清单,0.0263,0.047,2.07,0.39,3.78,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,定义,0.02,0.026,0.6,-0.77,1.98,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,时效词,0.1421,0.06,-8.21,-10.91,-5.56,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,输出约束,0.0,0.002,0.2,-0.23,0.73,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,导航词,0.0305,0.019,-1.15,-2.62,0.24,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,资源词,0.0,0.002,0.2,-0.23,0.73,False
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,回指上文,0.0,0.006,0.6,0.08,1.3,True
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,多问句(一行≥2问),0.0011,0.0,-0.11,-0.59,0.29,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,疑问句,0.6535,0.527,-12.65,-16.9,-8.34,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,祈使/委托,0.001,0.001,-0.0,-0.48,0.47,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,第一人称,0.0608,0.031,-2.98,-4.88,-1.14,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,称呼对方,0.0172,0.008,-0.92,-2.01,0.08,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,家庭成员,0.0041,0.002,-0.21,-0.85,0.38,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,身份/人生阶段,0.0314,0.044,1.26,-0.43,2.98,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,情绪词,0.0,0.002,0.2,-0.21,0.73,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,是非核实,0.1884,0.14,-4.84,-8.1,-1.59,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,方法/怎么办,0.0993,0.044,-5.53,-7.84,-3.28,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,选择清单,0.1307,0.047,-8.37,-10.89,-5.91,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,定义,0.0203,0.026,0.57,-0.78,1.95,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,时效词,0.0871,0.06,-2.71,-5.04,-0.41,True
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,输出约束,0.0,0.002,0.2,-0.21,0.73,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,导航词,0.0182,0.019,0.08,-1.17,1.32,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,资源词,0.002,0.002,-0.0,-0.56,0.54,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,回指上文,0.0051,0.006,0.09,-0.65,0.85,False
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,多问句(一行≥2问),0.0152,0.0,-1.52,-2.49,-0.81,True
医疗,2025search,2026search,时间（搜索内部，2025→2026）,疑问句,0.3997,0.4052,0.55,-0.81,1.91,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,祈使/委托,0.0003,0.0003,0.0,-0.06,0.06,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,第一人称,0.0002,0.0005,0.03,-0.03,0.1,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,称呼对方,0.0002,0.0003,0.01,-0.05,0.07,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,家庭成员,0.0032,0.0035,0.03,-0.13,0.2,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,身份/人生阶段,0.0073,0.0055,-0.18,-0.41,0.04,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,情绪词,0.002,0.0027,0.07,-0.07,0.21,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,是非核实,0.0369,0.0453,0.84,0.29,1.39,True
医疗,2025search,2026search,时间（搜索内部，2025→2026）,方法/怎么办,0.0511,0.05,-0.11,-0.72,0.5,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,选择清单,0.0462,0.05,0.38,-0.21,0.97,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,定义,0.105,0.1062,0.12,-0.73,0.97,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,时效词,0.0008,0.001,0.02,-0.07,0.11,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,输出约束,0.0,0.0,0.0,-0.04,0.04,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,导航词,0.0003,0.0006,0.03,-0.04,0.1,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,资源词,0.0175,0.0195,0.2,-0.17,0.58,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,回指上文,0.0016,0.0013,-0.03,-0.14,0.08,False
医疗,2025search,2026search,时间（搜索内部，2025→2026）,多问句(一行≥2问),0.0006,0.0005,-0.01,-0.09,0.06,False
医疗,2026search,assistant_top,界面（同为头部流量）,疑问句,0.4052,0.3382,-6.7,-9.78,-3.5,True
医疗,2026search,assistant_top,界面（同为头部流量）,祈使/委托,0.0003,0.0042,0.39,0.13,1.04,True
医疗,2026search,assistant_top,界面（同为头部流量）,第一人称,0.0005,0.0042,0.37,0.1,1.02,True
医疗,2026search,assistant_top,界面（同为头部流量）,称呼对方,0.0003,0.0021,0.18,0.02,0.73,True
医疗,2026search,assistant_top,界面（同为头部流量）,家庭成员,0.0035,0.0052,0.17,-0.16,0.87,False
医疗,2026search,assistant_top,界面（同为头部流量）,身份/人生阶段,0.0055,0.0177,1.22,0.54,2.28,True
医疗,2026search,assistant_top,界面（同为头部流量）,情绪词,0.0027,0.0021,-0.06,-0.26,0.49,False
医疗,2026search,assistant_top,界面（同为头部流量）,是非核实,0.0453,0.0585,1.31,-0.07,3.03,False
医疗,2026search,assistant_top,界面（同为头部流量）,方法/怎么办,0.05,0.0438,-0.62,-1.83,0.93,False
医疗,2026search,assistant_top,界面（同为头部流量）,选择清单,0.05,0.0397,-1.03,-2.19,0.45,False
医疗,2026search,assistant_top,界面（同为头部流量）,定义,0.1062,0.0459,-6.03,-7.34,-4.4,True
医疗,2026search,assistant_top,界面（同为头部流量）,时效词,0.001,0.001,0.0,-0.12,0.49,False
医疗,2026search,assistant_top,界面（同为头部流量）,输出约束,0.0,0.0,0.0,-0.04,0.4,False
医疗,2026search,assistant_top,界面（同为头部流量）,导航词,0.0006,0.0021,0.15,-0.02,0.7,False
医疗,2026search,assistant_top,界面（同为头部流量）,资源词,0.0195,0.0167,-0.28,-0.98,0.78,False
医疗,2026search,assistant_top,界面（同为头部流量）,回指上文,0.0013,0.0021,0.08,-0.1,0.63,False
医疗,2026search,assistant_top,界面（同为头部流量）,多问句(一行≥2问),0.0005,0.001,0.05,-0.05,0.54,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,疑问句,0.3382,0.6473,30.91,26.62,35.03,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,祈使/委托,0.0042,0.009,0.48,-0.29,1.33,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,第一人称,0.0042,0.0741,7.0,5.39,8.81,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,称呼对方,0.0021,0.018,1.59,0.74,2.64,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,家庭成员,0.0052,0.023,1.78,0.75,2.95,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,身份/人生阶段,0.0177,0.011,-0.67,-1.83,0.41,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,情绪词,0.0021,0.009,0.69,-0.0,1.51,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,是非核实,0.0585,0.2565,19.81,16.71,22.9,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,方法/怎么办,0.0438,0.0511,0.73,-1.19,2.64,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,选择清单,0.0397,0.0962,5.65,3.45,7.91,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,定义,0.0459,0.0371,-0.89,-2.71,0.9,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,时效词,0.001,0.0251,2.4,1.46,3.57,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,输出约束,0.0,0.004,0.4,-0.07,1.03,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,导航词,0.0021,0.0,-0.21,-0.76,0.2,False
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,资源词,0.0167,0.005,-1.17,-2.23,-0.25,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,回指上文,0.0021,0.01,0.79,0.08,1.64,True
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,多问句(一行≥2问),0.001,0.017,1.6,0.8,2.61,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,疑问句,0.4052,0.6473,24.21,21.04,27.27,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,祈使/委托,0.0003,0.009,0.87,0.44,1.68,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,第一人称,0.0005,0.0741,7.36,5.9,9.16,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,称呼对方,0.0003,0.018,1.77,1.11,2.8,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,家庭成员,0.0035,0.023,1.95,1.18,3.09,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,身份/人生阶段,0.0055,0.011,0.55,0.04,1.42,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,情绪词,0.0027,0.009,0.63,0.19,1.44,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,是非核实,0.0453,0.2565,21.12,18.47,23.95,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,方法/怎么办,0.05,0.0511,0.11,-1.17,1.71,False
医疗,2026search,assistant_random,界面+深度（不可单独归因）,选择清单,0.05,0.0962,4.62,2.88,6.65,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,定义,0.1062,0.0371,-6.91,-8.1,-5.43,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,时效词,0.001,0.0251,2.4,1.6,3.57,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,输出约束,0.0,0.004,0.4,0.15,1.03,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,导航词,0.0006,0.0,-0.06,-0.13,0.32,False
医疗,2026search,assistant_random,界面+深度（不可单独归因）,资源词,0.0195,0.005,-1.45,-1.86,-0.74,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,回指上文,0.0013,0.01,0.87,0.41,1.71,True
医疗,2026search,assistant_random,界面+深度（不可单独归因）,多问句(一行≥2问),0.0005,0.017,1.65,1.01,2.66,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,疑问句,0.3382,0.561,22.28,17.93,26.5,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,祈使/委托,0.0042,0.0,-0.42,-1.07,0.04,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,第一人称,0.0042,0.027,2.28,1.22,3.51,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,称呼对方,0.0021,0.004,0.19,-0.41,0.83,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,家庭成员,0.0052,0.017,1.18,0.24,2.23,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,身份/人生阶段,0.0177,0.004,-1.37,-2.45,-0.46,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,情绪词,0.0021,0.006,0.39,-0.25,1.11,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,是非核实,0.0585,0.25,19.15,16.08,22.23,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,方法/怎么办,0.0438,0.037,-0.68,-2.48,1.08,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,选择清单,0.0397,0.021,-1.87,-3.47,-0.34,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,定义,0.0459,0.05,0.41,-1.52,2.32,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,时效词,0.001,0.01,0.9,0.23,1.73,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,输出约束,0.0,0.0,0.0,-0.4,0.38,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,导航词,0.0021,0.001,-0.11,-0.66,0.38,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,资源词,0.0167,0.005,-1.17,-2.23,-0.25,True
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,回指上文,0.0021,0.004,0.19,-0.41,0.83,False
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,多问句(一行≥2问),0.001,0.0,-0.1,-0.59,0.29,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,疑问句,0.6473,0.561,-8.63,-12.87,-4.34,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,祈使/委托,0.009,0.0,-0.9,-1.7,-0.33,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,第一人称,0.0741,0.027,-4.71,-6.69,-2.82,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,称呼对方,0.018,0.004,-1.4,-2.46,-0.5,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,家庭成员,0.023,0.017,-0.6,-1.9,0.66,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,身份/人生阶段,0.011,0.004,-0.7,-1.6,0.09,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,情绪词,0.009,0.006,-0.3,-1.17,0.52,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,是非核实,0.2565,0.25,-0.65,-4.46,3.16,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,方法/怎么办,0.0511,0.037,-1.41,-3.25,0.4,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,选择清单,0.0962,0.021,-7.52,-9.63,-5.52,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,定义,0.0371,0.05,1.29,-0.51,3.12,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,时效词,0.0251,0.01,-1.51,-2.76,-0.35,True
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,输出约束,0.004,0.0,-0.4,-1.03,0.05,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,导航词,0.0,0.001,0.1,-0.29,0.56,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,资源词,0.005,0.005,-0.0,-0.73,0.72,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,回指上文,0.01,0.004,-0.6,-1.47,0.17,False
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,多问句(一行≥2问),0.017,0.0,-1.7,-2.71,-0.96,True
教育,2025search,2026search,时间（搜索内部，2025→2026）,疑问句,0.1498,0.1662,1.65,0.63,2.66,True
教育,2025search,2026search,时间（搜索内部，2025→2026）,祈使/委托,0.0014,0.002,0.06,-0.06,0.18,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,第一人称,0.0019,0.0018,-0.01,-0.14,0.12,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,称呼对方,0.0006,0.001,0.04,-0.04,0.13,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,家庭成员,0.0007,0.0008,0.01,-0.07,0.1,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,身份/人生阶段,0.0469,0.0423,-0.46,-1.03,0.12,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,情绪词,0.0002,0.0003,0.01,-0.05,0.07,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,是非核实,0.0024,0.0018,-0.06,-0.19,0.07,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,方法/怎么办,0.0021,0.0032,0.11,-0.03,0.26,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,选择清单,0.005,0.0058,0.08,-0.13,0.29,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,定义,0.0347,0.038,0.32,-0.2,0.84,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,时效词,0.0007,0.0007,0.0,-0.08,0.08,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,输出约束,0.0013,0.0013,0.0,-0.11,0.11,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,导航词,0.0249,0.0371,1.21,0.73,1.7,True
教育,2025search,2026search,时间（搜索内部，2025→2026）,资源词,0.0046,0.0081,0.35,0.13,0.58,True
教育,2025search,2026search,时间（搜索内部，2025→2026）,回指上文,0.0001,0.0001,0.0,-0.05,0.05,False
教育,2025search,2026search,时间（搜索内部，2025→2026）,多问句(一行≥2问),0.0,0.0,0.0,-0.04,0.04,False
教育,2026search,assistant_top,界面（同为头部流量）,疑问句,0.1662,0.1222,-4.4,-6.55,-1.93,True
教育,2026search,assistant_top,界面（同为头部流量）,祈使/委托,0.002,0.0536,5.15,3.83,6.87,True
教育,2026search,assistant_top,界面（同为头部流量）,第一人称,0.0018,0.0431,4.13,2.96,5.7,True
教育,2026search,assistant_top,界面（同为头部流量）,称呼对方,0.001,0.0023,0.13,-0.06,0.75,False
教育,2026search,assistant_top,界面（同为头部流量）,家庭成员,0.0008,0.007,0.62,0.23,1.44,True
教育,2026search,assistant_top,界面（同为头部流量）,身份/人生阶段,0.0423,0.0303,-1.2,-2.24,0.22,False
教育,2026search,assistant_top,界面（同为头部流量）,情绪词,0.0003,0.0,-0.03,-0.09,0.42,False
教育,2026search,assistant_top,界面（同为头部流量）,是非核实,0.0018,0.0198,1.8,1.05,2.97,True
教育,2026search,assistant_top,界面（同为头部流量）,方法/怎么办,0.0032,0.0116,0.84,0.3,1.81,True
教育,2026search,assistant_top,界面（同为头部流量）,选择清单,0.0058,0.0105,0.47,-0.06,1.41,False
教育,2026search,assistant_top,界面（同为头部流量）,定义,0.038,0.0233,-1.47,-2.37,-0.18,True
教育,2026search,assistant_top,界面（同为头部流量）,时效词,0.0007,0.0,-0.07,-0.14,0.38,False
教育,2026search,assistant_top,界面（同为头部流量）,输出约束,0.0013,0.0338,3.25,2.23,4.68,True
教育,2026search,assistant_top,界面（同为头部流量）,导航词,0.0371,0.0,-3.71,-4.1,-3.14,True
教育,2026search,assistant_top,界面（同为头部流量）,资源词,0.0081,0.0081,0.0,-0.46,0.88,False
教育,2026search,assistant_top,界面（同为头部流量）,回指上文,0.0001,0.0279,2.78,1.87,4.11,True
教育,2026search,assistant_top,界面（同为头部流量）,多问句(一行≥2问),0.0,0.0,0.0,-0.04,0.45,False
教育,assistant_top,assistant_random,深度（助手头部→长尾）,疑问句,0.1222,0.4258,30.35,26.48,34.09,True
