domain,label,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,share%_assistant_voice,index_2025search,index_2026search,index_assistant_random,index_assistant_top,index_assistant_voice
金融,进入个股股吧讨论区,10.73,14.13,0.1,0.21,1.0,0.9849,1.2969,0.0093,0.0193,0.0918
医疗,仅给出名称的裸实体查询,18.56,11.32,4.01,22.13,8.4,1.2818,0.7818,0.2768,1.528,0.58
医疗,在两个或几个选项之间给出裁决,1.51,1.51,2.51,0.31,3.3,0.9549,0.9549,1.5839,0.198,2.0865
医疗,处理非健康或无法归入上述意图的残余,4.38,4.55,19.54,17.75,14.7,0.7157,0.7434,3.1919,2.8989,2.4014
医疗,对具体行为、搭配或说法给出是否可行的裁决,2.95,3.74,18.84,3.13,26.0,0.5904,0.7485,3.7695,0.6266,5.2027
医疗,对正在发生的具体不适做分诊与处置判断,0.41,0.4,4.71,0.21,1.6,0.6447,0.6289,7.4035,0.3282,2.5153
医疗,寻找疾病的治疗或缓解方案,7.94,7.77,7.82,8.25,6.1,1.0189,0.9971,1.0027,1.058,0.7826
医疗,查询中医方剂组成、经络穴位与中医理论,1.33,2.26,0.9,0.63,0.7,0.8014,1.3617,0.5433,0.3773,0.4217
医疗,查询中药材/食材/茶饮的功效与作用,15.87,17.68,4.21,16.39,8.1,1.0023,1.1166,0.2657,1.0348,0.5114
医疗,查询就医科室、医院/医生导航与挂号入口,1.62,1.66,4.21,7.62,3.1,0.7846,0.804,2.0378,3.6898,1.5011
医疗,查询指标的正常值或参考范围,1.28,1.35,0.7,1.36,0.4,1.0238,1.0798,0.5609,1.0852,0.3199
医疗,查询疾病或医学术语的定义、病因与传染性,5.52,5.64,2.51,2.19,2.1,1.0712,1.0945,0.486,0.4253,0.4074
医疗,查询疾病的症状与早期征兆,6.66,6.83,1.8,5.64,1.8,1.0625,1.0896,0.2877,0.8991,0.2871
医疗,查询药品用法用量与服用时机,1.02,1.52,2.2,0.31,1.4,0.7992,1.1909,1.7268,0.2453,1.0967
医疗,查询药品的功效与作用,12.39,16.59,3.21,3.55,3.9,0.9472,1.2682,0.2451,0.2713,0.2981
医疗,查询诊疗项目的费用、时长与恢复参数,1.87,1.68,3.81,1.88,1.2,1.0149,0.9118,2.066,1.0195,0.6511
医疗,由自述症状直接索取药品或药膏,0.65,0.65,0.6,0.84,0.8,0.9817,0.9817,0.9078,1.261,1.208
医疗,获取食疗/养生方的做法与搭配,0.68,0.73,1.2,0.42,0.6,0.9577,1.0281,1.6931,0.5879,0.8449
医疗,解读用户本人的检查数值或报告分级,4.28,3.72,5.81,1.57,3.6,1.0809,0.9395,1.4674,0.3954,0.909
医疗,解释自身症状的原因,9.93,9.11,8.72,5.01,11.2,1.0598,0.9723,0.9302,0.5346,1.1951
医疗,评估疾病的严重程度、预后或时间预期,1.13,1.27,2.71,0.84,1.0,0.9102,1.023,2.1788,0.6725,0.8053
教育,了解专业培养内容与就业前景,3.5,2.96,2.27,0.23,,1.1417,0.9631,0.739,0.0759,
教育,判定高校办学层次与标签,2.48,1.86,0.21,0.12,,1.2385,0.9296,0.1029,0.0581,
教育,启动翻译工具或查询英汉词句,21.01,18.4,5.88,5.59,,1.1335,0.9928,0.317,0.3014,
教育,完成中小学学科作业与写作任务,1.74,1.3,24.43,12.22,,0.5878,0.4395,8.2448,4.1248,
教育,导航至官方招考政务门户与登录入口,3.02,4.25,0.1,0.12,,0.9053,1.272,0.0309,0.0349,
教育,按结构约束列举字词,0.77,0.49,1.44,0.47,,1.1669,0.7432,2.1849,0.7049,
教育,按裸校名检索院校信息,23.8,21.48,1.03,0.35,,1.1441,1.0328,0.0496,0.0168,
教育,无意图或上下文依赖的残余查询,10.35,11.77,40.0,61.93,,0.7212,0.8202,2.7867,4.3147,
教育,查询官方教务与考试办事流程,0.13,0.18,0.41,0.0,,0.8106,1.1232,2.5684,0.0,
教育,查询录取分数线与录取数据,4.16,2.34,0.72,0.47,,1.3734,0.7732,0.238,0.1536,
教育,查询汉字或词语读音,10.07,13.42,1.24,1.4,,0.9267,1.2345,0.1138,0.1285,
教育,查询汉字笔顺写法,1.3,2.49,0.31,0.0,,0.7427,1.4236,0.1765,0.0,
教育,查询考试成绩与出分动态,1.04,1.03,0.0,0.0,,1.0964,1.0867,0.0,0.0,
教育,查询职业资格与成人学历提升,0.75,1.16,3.51,0.58,,0.7116,1.1015,3.3221,0.5517,
教育,查询词语或成语释义,1.6,2.07,2.37,1.05,,0.8751,1.1331,1.2954,0.5724,
教育,检索古诗文与课文原文,4.68,4.7,5.67,5.94,,0.9781,0.983,1.1862,1.2421,
教育,求生肖谜语博彩谜底,1.76,2.71,2.06,3.03,,0.7807,1.1986,0.9135,1.3411,
教育,生成生字组词,1.53,1.64,0.62,3.26,,0.9513,1.0205,0.3842,2.0244,
教育,进入高校官网及校内业务平台,1.86,2.19,0.41,0.12,,0.99,1.1666,0.2193,0.0619,
教育,进行升学与择校志愿决策咨询,4.42,3.54,7.32,3.14,,1.0802,0.8633,1.7868,0.7673,
影视,下载或安装影视App与排障,1.7,1.19,0.92,1.26,,1.2031,0.8421,0.6485,0.8891,
影视,凭情节片段反查片名,0.19,0.22,4.07,2.62,,0.3932,0.4553,8.4287,5.4169,
影视,剧情设定讨论与同人假设问答,0.33,0.3,36.15,2.51,,0.1638,0.1489,17.9396,1.2471,
影视,处理平台账号或客服问题,0.4,0.18,2.95,0.1,,0.9972,0.4487,7.3607,0.261,
影视,导航到指定影视站点或平台,5.24,5.0,1.22,5.24,,1.0585,1.01,0.2468,1.0574,
影视,按演职人员反查作品列表,0.74,0.7,1.53,1.15,,0.955,0.9033,1.9708,1.4861,
影视,收看电视频道直播或查询节目表,1.64,3.96,0.92,1.15,,0.6203,1.4977,0.3466,0.4356,
影视,查询作品演员表与角色信息,1.79,1.27,2.14,4.19,,1.07,0.7591,1.2781,2.5033,
影视,查询剧情梗概或结局剧透,1.08,0.76,2.65,6.28,,0.8775,0.6175,2.1509,5.1039,
影视,核实播出信息与集数,1.12,0.95,4.38,1.57,,0.9272,0.7864,3.6243,1.3,
影视,直达指定集数的播放页,2.02,2.45,1.83,0.73,,0.9389,1.1386,0.8518,0.3406,
影视,获取作品的在线播放入口,38.2,33.62,6.31,17.17,,1.1311,0.9957,0.187,0.5085,
影视,获取作品的网盘或资源下载渠道,0.11,2.97,0.81,1.99,,0.072,1.9448,0.5334,1.3026,
影视,获取成人或限制级内容,1.02,0.9,0.92,1.36,,1.0457,0.9226,0.9394,1.3952,
影视,获取未删减或未遮挡版本,0.15,0.14,0.1,0.0,,1.0969,1.0237,0.7445,0.0,
影视,获取片段、台词或混剪等衍生内容,1.86,1.23,12.42,10.26,,0.7714,0.51,5.1512,4.2549,
影视,裸片名或仅带实体类型词的作品查询,42.41,44.15,20.67,42.41,,1.0042,1.0455,0.4895,1.0042,
人物,人事任免事件查询,1.14,0.39,6.42,0.67,,1.1318,0.3872,6.3638,0.6689,
人物,人物单项属性查询,1.55,1.94,8.32,3.15,,0.7424,0.9293,3.9763,1.506,
人物,人物档案调阅,10.78,29.86,5.37,5.4,,0.5655,1.5668,0.2816,0.2833,
人物,人物相关梗与说法解释,0.16,0.13,0.74,1.35,,0.728,0.5916,3.3471,6.1316,
人物,人物相关说法核实,0.35,0.08,11.68,1.24,,0.4633,0.1059,15.4402,1.6351,
人物,人物肖像图片获取,0.77,2.15,1.68,0.79,,0.5339,1.4909,1.1658,0.545,
人物,人物近期事件状态查询,1.21,0.66,8.95,8.89,,0.7529,0.4107,5.5581,5.5202,
人物,作品本体获取,0.25,0.14,0.21,0.11,,1.3001,0.7281,1.0929,0.584,
人物,作品角色反查人物,0.58,0.34,3.16,1.69,,0.9247,0.5421,5.0259,2.6854,
人物,公共职务现任者查询,3.06,1.9,3.58,1.35,,1.2313,0.7671,1.4424,0.544,
人物,垂类外非人物查询,5.54,3.59,18.95,9.45,,1.0279,0.6655,3.516,1.7534,
人物,性化类目浏览或非具体人物浏览,1.05,0.94,0.63,1.91,,1.033,0.9249,0.6203,1.8782,
人物,私人家世与感情关系查询,1.68,0.97,7.26,5.29,,0.9631,0.5561,4.1566,3.0256,
人物,粉丝打榜投票入口,0.11,1.35,0.0,0.11,,0.1634,2.006,0.0,0.1668,
人物,群体名单枚举,2.09,2.54,11.26,2.47,,0.7711,0.9372,4.1483,0.9115,
人物,艺人平台热度数值查询,0.0,2.47,0.11,0.11,,0.0,2.1668,0.0922,0.0985,
人物,裸名人物身份识别,69.25,49.61,11.26,54.67,,1.212,0.8683,0.1971,0.9568,
人物,跳转人物站外主页,0.31,0.89,0.0,0.11,,0.5596,1.6067,0.0,0.2027,
人物,黑料绯闻炒作查询,0.11,0.02,0.42,1.24,,0.858,0.156,3.2788,9.6354,
