block,domain,key,value,detail
A 轴可排序性·跨域,输入·对长尾,金融 vs 医疗,可排序,"0.3270[0.2950,0.3713] vs 0.1962[0.1629,0.2411]"
B 统一13类Δ·界面,金融,导航直达,-11.74,"17.21%→5.47% [-13.22,-9.95] sig=True"
B 统一13类Δ·界面,金融,裸实体,-11.63,"39.84%→28.21% [-14.57,-8.54] sig=True"
B 统一13类Δ·界面,金融,事实与数值,-2.92,"36.07%→33.16% [-5.99,+0.28] sig=False"
B 统一13类Δ·界面,金融,解释与介绍,2.34,"1.24%→3.58% [+1.30,+3.73] sig=True"
B 统一13类Δ·界面,金融,核实与动态,3.77,"1.49%→5.26% [+2.50,+5.40] sig=True"
B 统一13类Δ·界面,金融,办事与操作,2.57,"1.11%→3.68% [+1.53,+3.98] sig=True"
B 统一13类Δ·界面,金融,个案判断与建议,7.78,"0.33%→8.11% [+6.20,+9.69] sig=True"
B 统一13类Δ·界面,金融,清单与推荐,2.67,"1.22%→3.89% [+1.59,+4.12] sig=True"
B 统一13类Δ·界面,金融,获取现成内容,3.22,"0.67%→3.89% [+2.15,+4.66] sig=True"
B 统一13类Δ·界面,金融,生成与编辑,0.11,"0.00%→0.11% [+0.01,+0.59] sig=True"
B 统一13类Δ·界面,金融,会话与系统指令,0.0,"0.00%→0.00% [-0.04,+0.40] sig=False"
B 统一13类Δ·界面,金融,违规或灰色内容,-0.03,"0.03%→0.00% [-0.09,+0.37] sig=False"
B 统一13类Δ·界面,金融,无法判定,3.85,"0.78%→4.63% [+2.67,+5.39] sig=True"
B 统一13类Δ·深度,金融,导航直达,-4.66,"5.47%→0.81% [-6.35,-3.17] sig=True"
B 统一13类Δ·深度,金融,裸实体,-25.88,"28.21%→2.33% [-28.92,-22.88] sig=True"
B 统一13类Δ·深度,金融,事实与数值,-9.75,"33.16%→23.40% [-13.72,-5.75] sig=True"
B 统一13类Δ·深度,金融,解释与介绍,5.54,"3.58%→9.12% [+3.40,+7.74] sig=True"
B 统一13类Δ·深度,金融,核实与动态,5.58,"5.26%→10.84% [+3.17,+8.02] sig=True"
B 统一13类Δ·深度,金融,办事与操作,7.26,"3.68%→10.94% [+4.98,+9.60] sig=True"
B 统一13类Δ·深度,金融,个案判断与建议,16.31,"8.11%→24.42% [+13.10,+19.50] sig=True"
B 统一13类Δ·深度,金融,清单与推荐,4.21,"3.89%→8.11% [+2.11,+6.36] sig=True"
B 统一13类Δ·深度,金融,获取现成内容,-2.68,"3.89%→1.22% [-4.20,-1.29] sig=True"
B 统一13类Δ·深度,金融,生成与编辑,-0.0,"0.11%→0.10% [-0.50,+0.47] sig=False"
B 统一13类Δ·深度,金融,会话与系统指令,0.91,"0.00%→0.91% [+0.32,+1.72] sig=True"
B 统一13类Δ·深度,金融,违规或灰色内容,0.3,"0.00%→0.30% [-0.15,+0.89] sig=False"
B 统一13类Δ·深度,金融,无法判定,2.87,"4.63%→7.50% [+0.74,+5.02] sig=True"
B 统一13类Δ·界面+深度,金融,导航直达,-16.4,"17.21%→0.81% [-17.25,-15.33] sig=True"
B 统一13类Δ·界面+深度,金融,裸实体,-37.51,"39.84%→2.33% [-38.75,-36.02] sig=True"
B 统一13类Δ·界面+深度,金融,事实与数值,-12.67,"36.07%→23.40% [-15.38,-9.77] sig=True"
B 统一13类Δ·界面+深度,金融,解释与介绍,7.88,"1.24%→9.12% [+6.22,+9.85] sig=True"
B 统一13类Δ·界面+深度,金融,核实与动态,9.35,"1.49%→10.84% [+7.54,+11.46] sig=True"
B 统一13类Δ·界面+深度,金融,办事与操作,9.83,"1.11%→10.94% [+8.02,+11.94] sig=True"
B 统一13类Δ·界面+深度,金融,个案判断与建议,24.09,"0.33%→24.42% [+21.51,+26.86] sig=True"
B 统一13类Δ·界面+深度,金融,清单与推荐,6.89,"1.22%→8.11% [+5.32,+8.77] sig=True"
B 统一13类Δ·界面+深度,金融,获取现成内容,0.55,"0.67%→1.22% [-0.00,+1.45] sig=False"
B 统一13类Δ·界面+深度,金融,生成与编辑,0.1,"0.00%→0.10% [+0.01,+0.57] sig=True"
B 统一13类Δ·界面+深度,金融,会话与系统指令,0.91,"0.00%→0.91% [+0.48,+1.72] sig=True"
B 统一13类Δ·界面+深度,金融,违规或灰色内容,0.27,"0.03%→0.30% [+0.07,+0.86] sig=True"
B 统一13类Δ·界面+深度,金融,无法判定,6.72,"0.78%→7.50% [+5.22,+8.54] sig=True"
B 统一13类Δ·界面,医疗,导航直达,0.74,"0.30%→1.04% [+0.25,+1.62] sig=True"
B 统一13类Δ·界面,医疗,裸实体,8.89,"12.30%→21.19% [+6.33,+11.66] sig=True"
B 统一13类Δ·界面,医疗,事实与数值,-0.01,"4.71%→4.70% [-1.26,+1.57] sig=False"
B 统一13类Δ·界面,医疗,解释与介绍,-24.72,"60.73%→36.01% [-27.85,-21.48] sig=True"
B 统一13类Δ·界面,医疗,核实与动态,-1.01,"2.58%→1.57% [-1.71,+0.03] sig=False"
B 统一13类Δ·界面,医疗,办事与操作,2.84,"5.93%→8.77% [+1.14,+4.85] sig=True"
B 统一13类Δ·界面,医疗,个案判断与建议,0.05,"8.09%→8.14% [-1.61,+2.02] sig=False"
B 统一13类Δ·界面,医疗,清单与推荐,0.15,"2.25%→2.40% [-0.70,+1.36] sig=False"
B 统一13类Δ·界面,医疗,获取现成内容,-0.5,"2.80%→2.30% [-1.35,+0.69] sig=False"
B 统一13类Δ·界面,医疗,生成与编辑,1.36,"0.00%→1.36% [+0.79,+2.31] sig=True"
B 统一13类Δ·界面,医疗,会话与系统指令,0.21,"0.00%→0.21% [+0.05,+0.76] sig=True"
B 统一13类Δ·界面,医疗,违规或灰色内容,0.25,"0.06%→0.31% [+0.03,+0.86] sig=True"
B 统一13类Δ·界面,医疗,无法判定,11.76,"0.24%→12.00% [+9.85,+13.98] sig=True"
B 统一13类Δ·深度,医疗,导航直达,-0.94,"1.04%→0.10% [-1.81,-0.28] sig=True"
B 统一13类Δ·深度,医疗,裸实体,-19.29,"21.19%→1.90% [-22.07,-16.60] sig=True"
B 统一13类Δ·深度,医疗,事实与数值,4.02,"4.70%→8.72% [+1.81,+6.26] sig=True"
B 统一13类Δ·深度,医疗,解释与介绍,-13.47,"36.01%→22.55% [-17.43,-9.45] sig=True"
B 统一13类Δ·深度,医疗,核实与动态,7.85,"1.57%→9.42% [+5.91,+9.92] sig=True"
B 统一13类Δ·深度,医疗,办事与操作,-3.66,"8.77%→5.11% [-5.96,-1.41] sig=True"
B 统一13类Δ·深度,医疗,个案判断与建议,25.53,"8.14%→33.67% [+22.09,+28.90] sig=True"
B 统一13类Δ·深度,医疗,清单与推荐,2.11,"2.40%→4.51% [+0.48,+3.78] sig=True"
B 统一13类Δ·深度,医疗,获取现成内容,-1.39,"2.30%→0.90% [-2.63,-0.28] sig=True"
B 统一13类Δ·深度,医疗,生成与编辑,-0.35,"1.36%→1.00% [-1.41,+0.65] sig=False"
B 统一13类Δ·深度,医疗,会话与系统指令,0.59,"0.21%→0.80% [-0.08,+1.38] sig=False"
B 统一13类Δ·深度,医疗,违规或灰色内容,-0.21,"0.31%→0.10% [-0.82,+0.30] sig=False"
B 统一13类Δ·深度,医疗,无法判定,-0.78,"12.00%→11.22% [-3.64,+2.06] sig=False"
B 统一13类Δ·界面+深度,医疗,导航直达,-0.2,"0.30%→0.10% [-0.35,+0.27] sig=False"
B 统一13类Δ·界面+深度,医疗,裸实体,-10.4,"12.30%→1.90% [-11.35,-9.17] sig=True"
B 统一13类Δ·界面+深度,医疗,事实与数值,4.01,"4.71%→8.72% [+2.35,+5.96] sig=True"
B 统一13类Δ·界面+深度,医疗,解释与介绍,-38.19,"60.73%→22.55% [-40.85,-35.33] sig=True"
B 统一13类Δ·界面+深度,医疗,核实与动态,6.84,"2.58%→9.42% [+5.15,+8.83] sig=True"
B 统一13类Δ·界面+深度,医疗,办事与操作,-0.82,"5.93%→5.11% [-2.12,+0.79] sig=False"
B 统一13类Δ·界面+深度,医疗,个案判断与建议,25.58,"8.09%→33.67% [+22.66,+28.61] sig=True"
B 统一13类Δ·界面+深度,医疗,清单与推荐,2.26,"2.25%→4.51% [+1.09,+3.75] sig=True"
B 统一13类Δ·界面+深度,医疗,获取现成内容,-1.9,"2.80%→0.90% [-2.45,-1.04] sig=True"
B 统一13类Δ·界面+深度,医疗,生成与编辑,1.0,"0.00%→1.00% [+0.54,+1.83] sig=True"
B 统一13类Δ·界面+深度,医疗,会话与系统指令,0.8,"0.00%→0.80% [+0.40,+1.57] sig=True"
B 统一13类Δ·界面+深度,医疗,违规或灰色内容,0.04,"0.06%→0.10% [-0.07,+0.51] sig=False"
B 统一13类Δ·界面+深度,医疗,无法判定,10.98,"0.24%→11.22% [+9.17,+13.09] sig=True"
B 统一13类Δ·界面,教育,导航直达,-4.1,"8.06%→3.96% [-5.34,-2.49] sig=True"
B 统一13类Δ·界面,教育,裸实体,-31.38,"47.10%→15.72% [-33.87,-28.62] sig=True"
B 统一13类Δ·界面,教育,事实与数值,-20.66,"23.57%→2.91% [-21.92,-19.08] sig=True"
B 统一13类Δ·界面,教育,解释与介绍,-4.68,"6.31%→1.63% [-5.50,-3.50] sig=True"
B 统一13类Δ·界面,教育,核实与动态,0.11,"0.12%→0.23% [-0.08,+0.73] sig=False"
B 统一13类Δ·界面,教育,办事与操作,0.42,"0.74%→1.16% [-0.14,+1.40] sig=False"
B 统一13类Δ·界面,教育,个案判断与建议,0.24,"0.11%→0.35% [-0.01,+0.91] sig=False"
B 统一13类Δ·界面,教育,清单与推荐,3.86,"4.06%→7.92% [+2.18,+5.89] sig=True"
B 统一13类Δ·界面,教育,获取现成内容,1.16,"4.66%→5.82% [-0.28,+2.98] sig=False"
B 统一13类Δ·界面,教育,生成与编辑,4.94,"0.88%→5.82% [+3.55,+6.72] sig=True"
B 统一13类Δ·界面,教育,会话与系统指令,12.81,"0.11%→12.92% [+10.73,+15.22] sig=True"
B 统一13类Δ·界面,教育,违规或灰色内容,-0.11,"0.11%→0.00% [-0.20,+0.34] sig=False"
B 统一13类Δ·界面,教育,无法判定,37.39,"4.17%→41.56% [+34.12,+40.74] sig=True"
B 统一13类Δ·深度,教育,导航直达,-3.85,"3.96%→0.10% [-5.38,-2.64] sig=True"
B 统一13类Δ·深度,教育,裸实体,-13.04,"15.72%→2.68% [-15.76,-10.45] sig=True"
B 统一13类Δ·深度,教育,事实与数值,11.11,"2.91%→14.02% [+8.66,+13.62] sig=True"
B 统一13类Δ·深度,教育,解释与介绍,10.95,"1.63%→12.58% [+8.72,+13.28] sig=True"
B 统一13类Δ·深度,教育,核实与动态,2.14,"0.23%→2.37% [+1.14,+3.31] sig=True"
B 统一13类Δ·深度,教育,办事与操作,3.78,"1.16%→4.95% [+2.25,+5.42] sig=True"
B 统一13类Δ·深度,教育,个案判断与建议,5.94,"0.35%→6.29% [+4.42,+7.66] sig=True"
B 统一13类Δ·深度,教育,清单与推荐,-0.08,"7.92%→7.84% [-2.60,+2.39] sig=False"
B 统一13类Δ·深度,教育,获取现成内容,2.74,"5.82%→8.56% [+0.35,+5.11] sig=True"
B 统一13类Δ·深度,教育,生成与编辑,14.69,"5.82%→20.52% [+11.69,+17.69] sig=True"
B 统一13类Δ·深度,教育,会话与系统指令,-6.53,"12.92%→6.39% [-9.30,-3.83] sig=True"
B 统一13类Δ·深度,教育,违规或灰色内容,0.1,"0.00%→0.10% [-0.35,+0.58] sig=False"
B 统一13类Δ·深度,教育,无法判定,-27.95,"41.56%→13.61% [-31.84,-23.97] sig=True"
B 统一13类Δ·界面+深度,教育,导航直达,-7.95,"8.06%→0.10% [-8.51,-7.25] sig=True"
B 统一13类Δ·界面+深度,教育,裸实体,-44.42,"47.10%→2.68% [-45.71,-42.86] sig=True"
B 统一13类Δ·界面+深度,教育,事实与数值,-9.55,"23.57%→14.02% [-11.76,-7.09] sig=True"
B 统一13类Δ·界面+深度,教育,解释与介绍,6.27,"6.31%→12.58% [+4.26,+8.55] sig=True"
B 统一13类Δ·界面+深度,教育,核实与动态,2.25,"0.12%→2.37% [+1.46,+3.41] sig=True"
B 统一13类Δ·界面+深度,教育,办事与操作,4.21,"0.74%→4.95% [+3.00,+5.77] sig=True"
B 统一13类Δ·界面+深度,教育,个案判断与建议,6.18,"0.11%→6.29% [+4.81,+7.89] sig=True"
B 统一13类Δ·界面+深度,教育,清单与推荐,3.78,"4.06%→7.84% [+2.20,+5.68] sig=True"
B 统一13类Δ·界面+深度,教育,获取现成内容,3.9,"4.66%→8.56% [+2.24,+5.87] sig=True"
B 统一13类Δ·界面+深度,教育,生成与编辑,19.63,"0.88%→20.52% [+17.20,+22.29] sig=True"
B 统一13类Δ·界面+深度,教育,会话与系统指令,6.28,"0.11%→6.39% [+4.90,+8.00] sig=True"
B 统一13类Δ·界面+深度,教育,违规或灰色内容,-0.01,"0.11%→0.10% [-0.13,+0.47] sig=False"
B 统一13类Δ·界面+深度,教育,无法判定,9.44,"4.17%→13.61% [+7.38,+11.77] sig=True"
B 统一13类Δ·界面,影视,导航直达,-4.34,"8.21%→3.87% [-5.52,-2.82] sig=True"
B 统一13类Δ·界面,影视,裸实体,-10.0,"39.11%→29.11% [-12.96,-6.89] sig=True"
B 统一13类Δ·界面,影视,事实与数值,-0.78,"1.93%→1.15% [-1.36,+0.16] sig=False"
B 统一13类Δ·界面,影视,解释与介绍,6.19,"1.35%→7.54% [+4.66,+8.05] sig=True"
B 统一13类Δ·界面,影视,核实与动态,1.65,"0.13%→1.78% [+0.98,+2.70] sig=True"
B 统一13类Δ·界面,影视,办事与操作,0.01,"0.09%→0.10% [-0.10,+0.50] sig=False"
B 统一13类Δ·界面,影视,个案判断与建议,0.0,"0.00%→0.00% [-0.04,+0.40] sig=False"
B 统一13类Δ·界面,影视,清单与推荐,5.98,"4.60%→10.58% [+4.13,+8.12] sig=True"
B 统一13类Δ·界面,影视,获取现成内容,-13.24,"39.62%→26.39% [-16.10,-10.20] sig=True"
B 统一13类Δ·界面,影视,生成与编辑,3.75,"0.02%→3.77% [+2.71,+5.15] sig=True"
B 统一13类Δ·界面,影视,会话与系统指令,1.33,"0.03%→1.36% [+0.76,+2.29] sig=True"
B 统一13类Δ·界面,影视,违规或灰色内容,-2.57,"3.62%→1.05% [-3.19,-1.64] sig=True"
B 统一13类Δ·界面,影视,无法判定,12.02,"1.28%→13.30% [+10.00,+14.33] sig=True"
B 统一13类Δ·深度,影视,导航直达,-3.06,"3.87%→0.81% [-4.54,-1.75] sig=True"
B 统一13类Δ·深度,影视,裸实体,-21.17,"29.11%→7.94% [-24.50,-17.81] sig=True"
B 统一13类Δ·深度,影视,事实与数值,6.49,"1.15%→7.64% [+4.74,+8.39] sig=True"
B 统一13类Δ·深度,影视,解释与介绍,7.12,"7.54%→14.66% [+4.34,+9.92] sig=True"
B 统一13类Δ·深度,影视,核实与动态,2.6,"1.78%→4.38% [+1.07,+4.21] sig=True"
B 统一13类Δ·深度,影视,办事与操作,2.03,"0.10%→2.14% [+1.15,+3.15] sig=True"
B 统一13类Δ·深度,影视,个案判断与建议,3.16,"0.00%→3.16% [+2.15,+4.45] sig=True"
B 统一13类Δ·深度,影视,清单与推荐,1.75,"10.58%→12.32% [-1.10,+4.59] sig=False"
B 统一13类Δ·深度,影视,获取现成内容,-8.57,"26.39%→17.82% [-12.24,-4.88] sig=True"
B 统一13类Δ·深度,影视,生成与编辑,3.16,"3.77%→6.92% [+1.15,+5.20] sig=True"
B 统一13类Δ·深度,影视,会话与系统指令,1.69,"1.36%→3.05% [+0.38,+3.09] sig=True"
B 统一13类Δ·深度,影视,违规或灰色内容,-0.03,"1.05%→1.02% [-1.01,+0.94] sig=False"
B 统一13类Δ·深度,影视,无法判定,4.83,"13.30%→18.13% [+1.59,+8.06] sig=True"
B 统一13类Δ·界面+深度,影视,导航直达,-7.4,"8.21%→0.81% [-8.08,-6.45] sig=True"
B 统一13类Δ·界面+深度,影视,裸实体,-31.17,"39.11%→7.94% [-32.98,-29.08] sig=True"
B 统一13类Δ·界面+深度,影视,事实与数值,5.71,"1.93%→7.64% [+4.18,+7.56] sig=True"
B 统一13类Δ·界面+深度,影视,解释与介绍,13.31,"1.35%→14.66% [+11.22,+15.67] sig=True"
B 统一13类Δ·界面+深度,影视,核实与动态,4.25,"0.13%→4.38% [+3.13,+5.72] sig=True"
B 统一13类Δ·界面+深度,影视,办事与操作,2.05,"0.09%→2.14% [+1.31,+3.16] sig=True"
B 统一13类Δ·界面+深度,影视,个案判断与建议,3.16,"0.00%→3.16% [+2.23,+4.45] sig=True"
B 统一13类Δ·界面+深度,影视,清单与推荐,7.72,"4.60%→12.32% [+5.76,+9.96] sig=True"
B 统一13类Δ·界面+深度,影视,获取现成内容,-21.8,"39.62%→17.82% [-24.27,-19.11] sig=True"
B 统一13类Δ·界面+深度,影视,生成与编辑,6.9,"0.02%→6.92% [+5.48,+8.67] sig=True"
B 统一13类Δ·界面+深度,影视,会话与系统指令,3.02,"0.03%→3.05% [+2.12,+4.30] sig=True"
B 统一13类Δ·界面+深度,影视,违规或灰色内容,-2.6,"3.62%→1.02% [-3.20,-1.69] sig=True"
B 统一13类Δ·界面+深度,影视,无法判定,16.85,"1.28%→18.13% [+14.55,+19.39] sig=True"
B 统一13类Δ·界面,人物,导航直达,-1.65,"1.76%→0.11% [-1.94,-1.08] sig=True"
B 统一13类Δ·界面,人物,裸实体,5.11,"52.83%→57.93% [+1.69,+8.46] sig=True"
B 统一13类Δ·界面,人物,事实与数值,-0.39,"5.23%→4.84% [-1.70,+1.28] sig=False"
B 统一13类Δ·界面,人物,解释与介绍,-24.29,"34.07%→9.79% [-26.30,-21.96] sig=True"
B 统一13类Δ·界面,人物,核实与动态,10.15,"0.87%→11.02% [+8.25,+12.39] sig=True"
B 统一13类Δ·界面,人物,办事与操作,-0.06,"0.06%→0.00% [-0.13,+0.37] sig=False"
B 统一13类Δ·界面,人物,个案判断与建议,0.11,"0.00%→0.11% [+0.01,+0.63] sig=True"
B 统一13类Δ·界面,人物,清单与推荐,-0.0,"2.25%→2.25% [-0.85,+1.23] sig=False"
B 统一13类Δ·界面,人物,获取现成内容,0.83,"1.30%→2.14% [+0.03,+2.03] sig=True"
