key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
9,查询特定健康或用药情形下能否吃某物或做某事,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。,1036,3.282,357,3.57,3.224,3.952,2.067,410,3.974,3.614,4.369,3.858,269,2.391,2.124,2.69,1.652,35.93,1.0878,1.078,40.0,1.211,1.2001,24.06,0.7285,0.7219,3,,,健康管家随机1w,健康管家Top1w,1.584,1.66,11,10,15,判断个人情形下能否做某事或吃某物,57.1,4.0,True,用户带着具体疾病、用药、术后或身体状况提问，希望确认某食物、药物或日常行为是否安全可行；得到基于该情形的明确可否判断及必要注意事项后即可满足。
32,症状原因查询#32,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。,979,3.101,380,3.8,3.443,4.193,2.854,405,3.926,3.568,4.318,3.445,194,1.724,1.5,1.982,1.199,40.21,1.2253,1.2063,41.54,1.2659,1.2463,18.24,0.556,0.5473,3,,,健康管家随机1w,健康管家Top1w,2.202,2.28,10,11,22,查询症状或体征的原因,96.2,4.0,True,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。
12,病症用药饮食查询,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。,973,3.082,276,2.76,2.457,3.1,3.0,301,2.918,2.61,3.261,3.089,396,3.519,3.194,3.876,2.285,30.01,0.8955,0.9003,31.72,0.9466,0.9517,38.27,1.1418,1.148,3,,,健康管家Top1w,传统搜索随机1w,0.759,1.28,16,17,8,寻求症状或疾病的治疗方案与用药推荐,90.5,4.0,True,用户给出具体病症或症状后，获得针对该病症或症状的可考虑药物或饮食建议，即为满足。
17,查询心脑血管疾病诊疗信息,获得关于心脑血管疾病的症状、检查、治疗、用药或预后方面的具体医学解答后，用户即满足。,960,3.041,275,2.75,2.447,3.089,4.75,317,3.073,2.757,3.424,3.296,368,3.271,2.958,3.615,2.857,30.24,0.9043,0.9072,33.79,1.0105,1.0138,35.97,1.0755,1.079,3,,,健康管家Top1w,传统搜索随机1w,0.521,1.19,17,15,10,查询医学名词、检查、疫苗或疾病定义,47.9,4.0,True,获得关于心脑血管疾病的症状、检查、治疗、用药或预后方面的具体医学解答后，用户即满足。
28,查询身体不适症状原因,用户描述自己或他人的身体不适症状（疼痛、酸胀、头晕、睡眠异常等），获得该症状可能的医学原因以及是否需要就医的一般性建议，即感到满足。,918,2.908,293,2.93,2.617,3.279,1.981,446,4.323,3.948,4.733,3.744,179,1.591,1.376,1.839,1.271,33.13,1.0076,0.9939,48.88,1.4867,1.4665,17.99,0.5471,0.5396,3,,,健康管家随机1w,健康管家Top1w,2.733,2.72,13,8,23,查询症状或体征的原因,66.3,4.0,True,用户描述自己或他人的身体不适症状（疼痛、酸胀、头晕、睡眠异常等），获得该症状可能的医学原因以及是否需要就医的一般性建议，即感到满足。
33,症状原因查询#33,用户描述一个身体症状或生理现象后，获得该症状或现象的可能原因及解释，即认为满足。,894,2.832,283,2.83,2.523,3.174,2.075,278,2.695,2.4,3.025,2.577,333,2.959,2.662,3.289,3.535,33.36,0.9993,1.0007,31.76,0.9516,0.9529,34.88,1.045,1.0465,3,,,健康管家Top1w,健康管家随机1w,0.265,1.1,15,19,13,查询症状或体征的原因,85.1,4.0,True,用户描述一个身体症状或生理现象后，获得该症状或现象的可能原因及解释，即认为满足。
31,查询健康症状处理办法,用户描述了自身或家人的身体不适、症状或健康问题，获得针对该具体问题的处理、缓解、用药或就医建议后即满意。,759,2.404,204,2.04,1.781,2.336,1.476,308,2.986,2.674,3.332,2.862,247,2.195,1.94,2.483,12.967,28.25,0.8485,0.8475,41.35,1.2418,1.2404,30.4,0.913,0.912,3,,,健康管家随机1w,传统搜索随机1w,0.946,1.46,24,16,17,寻求症状或疾病的治疗方案与用药推荐,82.9,4.0,True,用户描述了自身或家人的身体不适、症状或健康问题，获得针对该具体问题的处理、缓解、用药或就医建议后即满意。
23,查询物品功效与作用,用户提交某个具体物品（药材、食物、药品或保健品）后，获得该物品的功效、作用、用法、禁忌或不良反应等直接说明即可满足。,747,2.366,100,1.0,0.823,1.215,1.596,110,1.066,0.886,1.284,1.68,537,4.772,4.394,5.182,3.782,14.62,0.4226,0.4387,15.59,0.4506,0.4678,69.79,2.0168,2.0936,3,,,健康管家Top1w,传统搜索随机1w,3.772,4.77,31,27,4,查询药品、药材、保健品或食物的基本信息与功效,99.2,4.0,,用户提交某个具体物品（药材、食物、药品或保健品）后，获得该物品的功效、作用、用法、禁忌或不良反应等直接说明即可满足。
29,解答月经避孕怀孕相关疑问,用户得到关于月经、同房、避孕与怀孕可能性及结果的可靠判断或解释后，即得到满足。,718,2.274,229,2.29,2.015,2.602,1.562,267,2.588,2.299,2.913,2.271,222,1.973,1.732,2.247,1.581,33.42,1.0068,1.0027,37.78,1.1379,1.1333,28.8,0.8675,0.8639,3,,,健康管家随机1w,健康管家Top1w,0.615,1.31,20,20,19,查询医学名词、检查、疫苗或疾病定义,19.2,4.0,True,用户得到关于月经、同房、避孕与怀孕可能性及结果的可靠判断或解释后，即得到满足。
13,特定场景饮品饮用适宜性查询,用户给出健康状况、用药或饮食场景，询问能否喝某种饮品；获得针对该具体场景的饮用宜忌及潜在风险说明后，用户即感到满足。,711,2.252,260,2.6,2.306,2.931,1.797,253,2.453,2.171,2.769,2.171,198,1.76,1.533,2.02,1.076,38.17,1.1544,1.145,36.0,1.0889,1.08,25.83,0.7813,0.7749,3,,,传统搜索随机1w,健康管家Top1w,0.84,1.48,19,21,21,判断个人情形下能否做某事或吃某物,25.3,4.0,True,用户给出健康状况、用药或饮食场景，询问能否喝某种饮品；获得针对该具体场景的饮用宜忌及潜在风险说明后，用户即感到满足。
18,血糖与糖尿病管理查询,获得血糖正常/异常标准、饮食与药物等对血糖的影响以及糖尿病管理措施的具体信息后，用户即被满足。,694,2.198,209,2.09,1.827,2.389,1.733,196,1.9,1.654,2.182,1.716,289,2.568,2.292,2.877,2.223,31.87,0.9507,0.956,28.97,0.8642,0.8691,39.16,1.1683,1.1749,3,,,健康管家Top1w,健康管家随机1w,0.668,1.35,23,24,14,查询医学名词、检查、疫苗或疾病定义,32.9,4.0,True,获得血糖正常/异常标准、饮食与药物等对血糖的影响以及糖尿病管理措施的具体信息后，用户即被满足。
27,肢体不适症状查询,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。,689,2.183,288,2.88,2.57,3.226,3.12,322,3.121,2.803,3.475,2.605,79,0.702,0.564,0.874,0.563,42.96,1.3195,1.2889,46.56,1.4301,1.3969,10.47,0.3217,0.3142,3,,,健康管家随机1w,健康管家Top1w,2.419,4.45,14,13,27,查询症状或体征的原因,46.0,4.0,True,用户描述自己或他人的肢体、关节、肌肉出现的疼痛、麻木、肿胀、无力或活动受限等症状，希望获得可能的原因、严重程度判断及应对处理建议。
15,解读个人健康指标与用药疑问,用户提供自身或家人的症状、化验指标、用药或身体数据后，获得针对这些信息是否正常、风险多大、用药如何调整的评估和建议。,675,2.138,226,2.26,1.987,2.57,1.528,300,2.908,2.601,3.25,2.335,149,1.324,1.129,1.553,1.065,34.81,1.0569,1.0443,44.79,1.36,1.3438,20.4,0.6193,0.6119,3,,,健康管家随机1w,健康管家Top1w,1.584,2.2,21,18,25,判读个人测量值、检查结果或自身发现,51.1,3.0,True,用户提供自身或家人的症状、化验指标、用药或身体数据后，获得针对这些信息是否正常、风险多大、用药如何调整的评估和建议。
8,查询食物药物能否食用,用户想知道某种食物、药物或可食用物品在其所述健康状况、搭配或时间条件下能否食用，得到明确的能或不能判断及理由后即满足。,659,2.088,215,2.15,1.884,2.453,1.288,235,2.278,2.007,2.584,2.136,209,1.857,1.624,2.124,1.444,34.21,1.0299,1.0262,36.24,1.0912,1.0873,29.55,0.8898,0.8865,3,,,健康管家随机1w,健康管家Top1w,0.421,1.23,22,23,20,判断个人情形下能否做某事或吃某物,62.4,4.0,True,用户想知道某种食物、药物或可食用物品在其所述健康状况、搭配或时间条件下能否食用，得到明确的能或不能判断及理由后即满足。
1,医院及医生信息查询,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。,655,2.075,541,5.41,4.984,5.871,5.439,70,0.679,0.537,0.856,0.598,44,0.391,0.291,0.525,0.422,83.49,2.6074,2.5048,10.47,0.327,0.3142,6.03,0.1885,0.181,3,,,传统搜索随机1w,健康管家Top1w,5.019,13.83,4,30,30,就医导航、机构核实与医疗行政事务,96.5,3.0,,用户得到所查询医院、科室、医生或医疗相关机构的简介、科室/专家名单、医生评价、服务能力或就诊安排等具体信息后即满足。
19,判断身体症状或检查结果是否正常,用户描述一个身体症状、服药或术后反应、生理现象或检查指标，获得该情况是否属于正常范围以及是否需要关注或就医的判断后即满足。,552,1.749,182,1.82,1.576,2.101,1.284,253,2.453,2.171,2.769,2.036,117,1.04,0.868,1.245,1.552,34.26,1.0408,1.0278,46.17,1.4025,1.385,19.57,0.5947,0.5872,3,,,健康管家随机1w,健康管家Top1w,1.413,2.36,26,21,26,判读个人测量值、检查结果或自身发现,63.8,4.0,True,用户描述一个身体症状、服药或术后反应、生理现象或检查指标，获得该情况是否属于正常范围以及是否需要关注或就医的判断后即满足。
14,血压问题查询,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。,465,1.473,135,1.35,1.142,1.596,0.937,173,1.677,1.447,1.943,1.388,157,1.395,1.195,1.629,1.217,30.53,0.9165,0.9158,37.92,1.1385,1.1376,31.55,0.9472,0.9465,3,,,健康管家随机1w,传统搜索随机1w,0.327,1.24,29,26,24,判读个人测量值、检查结果或自身发现,32.9,4.0,True,用户就血压数值是否正常、血压异常原因、降压药使用与调整、测量注意事项等获得具体解答后即满足。
11,健康利弊查询,用户想了解某种食物、饮品、保健品或药物对人体健康可能带来的好处和坏处；获得针对该物品的利弊说明即可满足。,456,1.445,98,0.98,0.805,1.193,1.173,97,0.94,0.771,1.146,1.167,261,2.32,2.057,2.614,1.835,23.11,0.6784,0.6934,22.18,0.6509,0.6653,54.71,1.6058,1.6413,3,,,健康管家Top1w,健康管家随机1w,1.379,2.47,32,29,16,查询药品、药材、保健品或食物的基本信息与功效,68.4,4.0,,用户想了解某种食物、饮品、保健品或药物对人体健康可能带来的好处和坏处；获得针对该物品的利弊说明即可满足。
7,解答婴幼儿喂养与奶类营养问题,用户获得针对宝宝喂养、奶粉/母乳、奶类及乳制品营养、儿童健康相关具体问题的直接解释或可操作建议后，即满足。,343,1.087,103,1.03,0.85,1.248,0.625,194,1.881,1.636,2.161,1.573,46,0.409,0.307,0.545,0.207,31.03,0.948,0.9309,56.65,1.7308,1.6996,12.32,0.3763,0.3695,3,,,健康管家随机1w,健康管家Top1w,1.472,4.6,30,25,29,判断个人情形下能否做某事或吃某物,23.0,3.0,True,用户获得针对宝宝喂养、奶粉/母乳、奶类及乳制品营养、儿童健康相关具体问题的直接解释或可操作建议后，即满足。
6,食物药物同食同服查询,用户想知道特定食物、药物或药材能否一起食用/服用，或应如何搭配；得到明确的相容性判断或搭配建议后即满足。,300,0.95,146,1.46,1.243,1.714,0.792,101,0.979,0.806,1.188,0.797,53,0.471,0.36,0.616,0.365,50.17,1.5363,1.5051,33.64,1.0302,1.0093,16.19,0.4956,0.4856,3,,,传统搜索随机1w,健康管家Top1w,0.989,3.1,28,28,28,判断药物、食物、酒类之间的相互作用,85.7,4.0,True,用户想知道特定食物、药物或药材能否一起食用/服用，或应如何搭配；得到明确的相容性判断或搭配建议后即满足。
4,医生信息查询,用户想查找到某位医生或某医院、科室医生名单的简介、擅长领域、出诊时间或预约挂号信息，获得该医生的准确信息后即满足。,255,0.808,184,1.84,1.594,2.122,1.382,52,0.504,0.385,0.66,0.392,19,0.169,0.108,0.264,0.627,73.22,2.2778,2.1966,20.06,0.624,0.6018,6.72,0.209,0.2016,3,,,传统搜索随机1w,健康管家Top1w,1.671,10.9,25,31,31,就医导航、机构核实与医疗行政事务,69.0,2.0,True,用户想查找到某位医生或某医院、科室医生名单的简介、擅长领域、出诊时间或预约挂号信息，获得该医生的准确信息后即满足。
3,查询中医机构、医生与术语,用户查询特定中医医院、中医师或中医术语/验方，获得对应机构或医生信息以及概念解释后即满足。,193,0.611,149,1.49,1.27,1.747,1.023,31,0.301,0.212,0.426,0.285,13,0.116,0.068,0.198,0.079,78.17,2.4371,2.3452,15.77,0.4915,0.473,6.06,0.189,0.1818,3,,,传统搜索随机1w,健康管家Top1w,1.374,12.9,27,32,32,就医导航、机构核实与医疗行政事务,56.5,4.0,,用户查询特定中医医院、中医师或中医术语/验方，获得对应机构或医生信息以及概念解释后即满足。
0,查询医疗机构联系电话,用户提及某医院、社区卫生服务中心、卫生院、诊所或药店，希望获得其对应科室或服务台的准确电话号码或联系方式。,83,0.263,75,0.75,0.599,0.939,0.496,6,0.058,0.027,0.127,0.057,2,0.018,0.005,0.065,0.015,90.81,2.8525,2.7242,7.04,0.2212,0.2113,2.15,0.0676,0.0646,3,,,传统搜索随机1w,健康管家Top1w,0.732,42.2,33,33,33,就医导航、机构核实与医疗行政事务,92.8,4.0,,用户提及某医院、社区卫生服务中心、卫生院、诊所或药店，希望获得其对应科室或服务台的准确电话号码或联系方式。
