key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,用户询问两种及以上药物、药与食物、药与酒、或保健品之间能否同时使用、需要间隔多久、是否解药性或冲突，期待风险判定。,676,2.141,290,2.9,2.589,3.247,1.678,268,2.598,2.308,2.923,2.207,118,1.049,0.876,1.254,0.738,44.3,1.3542,1.3289,39.68,1.2132,1.1905,16.02,0.4897,0.4806,3,,,传统搜索随机1w,健康管家Top1w,1.851,2.77,10,10,13,食物药物同食同服查询,38.0,是,0.04,收到明确的能/不能/需间隔多久判定和相互作用解释后，用户即满足。
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,用户将两个及以上药物、食物、概念或机构并列，询问它们的区别、是否一样、哪个更好，或仅以并列裸串暗示比较意图。,627,1.986,217,2.17,1.902,2.474,1.382,224,2.171,1.907,2.471,2.079,186,1.653,1.433,1.906,1.223,36.2,1.0925,1.086,36.22,1.0932,1.0867,27.58,0.8323,0.8273,3,,,健康管家随机1w,健康管家Top1w,0.518,1.31,12,12,11,药品用法与相互作用查询,32.4,否,0.02,收到同异、取舍结论或关键差异对比后，用户即满足。
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,用户就某个已完成的手术、损伤或治疗，询问多久能恢复正常活动、进食、上班或某些症状何时消失。,475,1.505,133,1.33,1.123,1.574,1.849,218,2.113,1.853,2.409,1.744,124,1.102,0.925,1.312,1.094,29.26,0.8839,0.8778,46.49,1.4044,1.3948,24.25,0.7324,0.7274,3,,,健康管家随机1w,健康管家Top1w,1.011,1.92,14,13,12,医疗恢复与检查时间查询,64.8,否,0.01,收到该情形的典型恢复区间、个体差异因素和超期不愈警示后，用户即满足。
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,用户希望看到身体结构、穴位、手术或注射过程等图示、位置标注或视频，预期以图像或视频作答。,412,1.305,178,1.78,1.539,2.058,2.212,119,1.154,0.965,1.379,1.054,115,1.022,0.852,1.225,0.722,45.0,1.3639,1.35,29.16,0.8839,0.8749,25.84,0.7831,0.7751,3,,,传统搜索随机1w,健康管家Top1w,0.758,1.74,13,15,14,查询骨科伤病诊疗与康复信息,46.1,否,0.01,收到标注清楚的图片、位置描述或视频后，用户即满足。
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,用户发出依赖上文的追问（如“有用吗”“怎么服用”）或要求识别所拍摄的药品、草药、检查单等实物，系统必须先知道或识别所指对象才能作答。,372,1.178,127,1.27,1.068,1.509,0.873,194,1.881,1.636,2.161,1.488,51,0.453,0.345,0.595,0.316,35.24,1.0777,1.0572,52.18,1.5959,1.5655,12.58,0.3846,0.3773,3,,,健康管家随机1w,健康管家Top1w,1.427,4.15,15,14,16,查询食物营养与健康影响,10.8,否,0.005,收到对所指对象的识别或反问确认，或对追问给出基于上下文的答复后，用户即满足。
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,用户描述刚刚发生的意外（误吞异物、误服过量、动物咬伤、外伤、疑似心梗等）或急性严重症状，要求立即判断危险程度并给出当下处置和就医紧迫性。,216,0.684,59,0.59,0.458,0.76,4.331,66,0.64,0.503,0.813,0.634,91,0.809,0.659,0.992,0.504,28.94,0.8623,0.8683,31.38,0.935,0.9415,39.67,1.182,1.1902,3,,,健康管家Top1w,传统搜索随机1w,0.219,1.37,16,16,15,查询皮肤黏膜异常症状与处理建议,41.7,是,0.02,收到以就医紧迫性为先的分级处置建议后，用户即满足。
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,用户要求系统根据同房、月经或孕周时间推算排卵期、怀孕概率、预产期或何时能测出怀孕。,121,0.383,38,0.38,0.277,0.521,0.21,51,0.494,0.376,0.649,0.384,32,0.284,0.202,0.401,0.194,32.79,0.9914,0.9838,42.66,1.2898,1.2799,24.54,0.742,0.7363,3,,,健康管家随机1w,健康管家Top1w,0.21,1.74,18,17,17,解答月经避孕怀孕相关疑问,76.9,否,0.01,收到基于其时间点的时间窗推算或区间结果后，用户即满足。
HEALTH_VALUE_CALCULATION,计算健康相关数值,用户要求代入自己的数据计算BMI、标准体重、食物热量、营养数值或单位换算，期望得到计算结果而非知识解释。,114,0.361,49,0.49,0.371,0.647,0.261,50,0.485,0.368,0.638,0.384,15,0.133,0.081,0.22,0.117,44.22,1.3569,1.3267,43.74,1.3421,1.3123,12.03,0.3692,0.3609,3,,,传统搜索随机1w,健康管家Top1w,0.357,3.68,17,18,18,查询食物营养与健康影响,50.9,否,0.005,收到代入其数据后的计算结果与单位后，用户即满足。
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,用户询问某检查、手术或药物使用过程的痛感、伤口、感受或为什么会有某种体验，期待如实描述和心理准备而非医学处置。,71,0.225,31,0.31,0.218,0.44,0.163,27,0.262,0.18,0.381,0.214,13,0.116,0.068,0.198,0.071,45.11,1.3783,1.3532,38.08,1.1637,1.1425,16.81,0.5137,0.5043,3,,,传统搜索随机1w,健康管家Top1w,0.194,2.68,19,19,19,医疗恢复与检查时间查询,63.4,否,0.005,收到对该过程感受和实况的如实描述后，用户即满足。
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,用户在家用血糖仪、验孕棒、血压计等器械上自测，询问操作方法、故障排除、品牌比较或结果条带是否符合某种结论。,19,0.06,12,0.12,0.069,0.21,0.098,3,0.029,0.01,0.085,0.021,4,0.036,0.014,0.091,0.019,64.99,1.9938,1.9498,15.75,0.4832,0.4725,19.25,0.5906,0.5776,3,,,传统搜索随机1w,健康管家随机1w,0.091,4.13,20,20,20,血糖与糖尿病管理查询,36.8,是,0.005,收到操作或故障排查说明，或对该器械结果的家庭判读与下一步提示后，用户即满足。
