key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
55,人物信息查询,17676,2204,0.7157,2.59,77.31,5033,0.5313,6.18,93.54,3943,0.7708,1.65,79.71,5001,0.5303,5.72,95.14,288,0.4586,12.5,95.49,571,0.4142,11.21,92.64,154,0.6909,0.65,96.75,482,0.4886,8.51,98.34,助手随机1k,0.3566,0.6027
52,机构职务负责人及人员信息查询,313,23,0.7857,0.0,13.04,115,0.5911,1.74,15.65,19,0.8393,0.0,10.53,136,0.58,5.15,11.03,1,0.233,0.0,0.0,6,0.5137,0.0,33.33,4,0.7102,0.0,50.0,9,0.4301,0.0,0.0,2026搜索随机1w,0.2057,0.6099
25,人物厉害程度比较查询,301,62,0.8324,3.23,17.74,70,0.4811,7.14,11.43,47,0.8166,2.13,14.89,92,0.4939,6.52,10.87,2,0.7263,0.0,0.0,13,0.4593,0.0,7.69,3,0.8633,0.0,33.33,12,0.5891,8.33,8.33,2025搜索随机1w,0.3513,0.6185
50,原因由来查询,328,66,0.7619,1.52,10.61,103,0.5357,1.94,1.94,42,0.7679,0.0,2.38,79,0.558,5.06,1.27,3,0.6449,0.0,0.0,14,0.6502,0.0,0.0,6,0.7011,0.0,16.67,15,0.5924,0.0,0.0,2025搜索随机1w,0.2322,0.6279
53,教师名单与简介查询,177,22,0.8545,0.0,63.64,65,0.6132,3.08,55.38,10,0.9138,0.0,60.0,58,0.567,3.45,51.72,0,,,,16,0.4297,6.25,18.75,2,0.9234,0.0,50.0,4,0.5006,0.0,25.0,2026搜索随机1w,0.2875,0.6294
45,中共中央领导机构及成员查询,225,63,0.6851,3.17,30.16,31,0.5548,3.23,22.58,64,0.7145,3.12,21.88,50,0.5375,2.0,12.0,5,0.8671,0.0,0.0,1,0.6776,0.0,0.0,5,0.647,0.0,0.0,6,0.6568,0.0,16.67,2026搜索随机1w,0.177,0.6451
62,负责人任职查询,250,11,0.6802,0.0,27.27,106,0.6655,1.89,5.66,8,0.6791,0.0,25.0,99,0.6606,2.02,12.12,1,0.5139,0.0,0.0,12,0.6275,0.0,16.67,3,0.5478,0.0,33.33,10,0.7072,0.0,0.0,2026搜索随机1w,0.0049,0.6625
41,人物及角色图片查询,457,129,0.7247,0.78,14.73,111,0.6152,1.8,1.8,83,0.7343,0.0,15.66,110,0.6127,0.91,3.64,5,0.8127,0.0,60.0,8,0.6967,0.0,0.0,8,0.7272,12.5,12.5,3,0.5776,0.0,33.33,2026搜索随机1w,0.1216,0.6725
46,书记信息查询,397,66,0.7755,0.0,12.12,99,0.6677,2.02,17.17,56,0.7637,1.79,17.86,139,0.6298,2.16,7.19,1,0.8904,0.0,0.0,12,0.593,0.0,8.33,13,0.5151,7.69,15.38,11,0.5911,0.0,0.0,2026搜索随机1w,0.1457,0.6771
49,特定人物照片查询,375,53,0.7892,1.89,15.09,136,0.6439,5.15,7.35,38,0.7318,0.0,21.05,113,0.6742,0.88,3.54,8,0.6857,50.0,0.0,8,0.7323,0.0,0.0,4,0.6838,0.0,0.0,15,0.6301,0.0,13.33,2025搜索随机1w,0.1453,0.6851
35,人物外貌照片查询,163,35,0.8053,0.0,17.14,30,0.5546,3.33,10.0,34,0.7707,0.0,14.71,43,0.6681,2.33,4.65,4,0.5391,25.0,0.0,6,0.5895,0.0,0.0,2,0.6299,0.0,0.0,9,0.6281,11.11,11.11,2025搜索随机1w,0.2507,0.6893
67,省级党委领导人任职信息查询,119,46,0.7904,0.0,6.52,17,0.5532,0.0,5.88,24,0.8387,4.17,0.0,27,0.5624,3.7,11.11,1,0.864,0.0,0.0,2,0.4371,0.0,0.0,0,,,,2,0.6687,0.0,0.0,2026搜索随机1w,0.2763,0.7072
56,人物关系查询,345,68,0.8403,0.0,22.06,108,0.6974,2.78,4.63,43,0.8273,0.0,25.58,103,0.6818,2.91,7.77,5,0.6701,20.0,0.0,7,0.4444,0.0,0.0,6,0.7077,0.0,50.0,5,0.7873,0.0,20.0,2026搜索随机1w,0.1585,0.7331
66,地方党委领导任职信息查询,155,43,0.857,0.0,4.65,32,0.6528,3.12,9.38,24,0.8575,0.0,4.17,48,0.6392,2.08,16.67,1,0.8263,0.0,0.0,2,0.5346,0.0,50.0,0,,,,5,0.6975,0.0,0.0,2026搜索随机1w,0.2183,0.738
60,领导班子名单查询,297,24,0.7926,4.17,8.33,108,0.7508,0.93,1.85,16,0.834,0.0,0.0,135,0.7636,0.0,2.22,1,0.369,0.0,0.0,7,0.7077,0.0,0.0,0,,,,6,0.7778,0.0,0.0,2025搜索随机1w,0.0418,0.7627
68,书记职务信息查询,271,66,0.7804,3.03,3.03,76,0.7366,2.63,5.26,12,0.8444,0.0,0.0,101,0.768,0.99,2.97,0,,,,5,0.8343,0.0,0.0,0,,,,11,0.6987,0.0,9.09,2025搜索随机1w,0.0438,0.764
71,外文人名与专名背景查询,713,171,0.8872,1.17,1.75,215,0.6933,1.4,3.72,72,0.8674,1.39,4.17,212,0.7232,1.42,3.77,4,0.8484,0.0,0.0,7,0.7491,0.0,14.29,20,0.8922,0.0,0.0,12,0.7879,0.0,8.33,2025搜索随机1w,0.1989,0.7749
70,人物个人资料查询#70,146,1,0.9316,0.0,0.0,0,,,,139,0.7871,1.44,0.0,4,0.4522,25.0,25.0,2,0.9824,0.0,0.0,0,,,,0,,,,0,,,,2026搜索,,0.7816
59,领导班子成员名单查询,158,16,0.8536,6.25,0.0,59,0.8097,0.0,5.08,10,0.8776,0.0,0.0,66,0.7334,0.0,3.03,0,,,,4,0.7396,0.0,25.0,0,,,,3,0.6531,0.0,0.0,2026搜索随机1w,0.0763,0.7818
65,人员名单查询,126,18,0.8599,0.0,5.56,46,0.8058,0.0,4.35,10,0.8711,0.0,10.0,48,0.7504,4.17,8.33,1,0.4306,0.0,0.0,2,0.5859,0.0,50.0,0,,,,1,0.5455,0.0,0.0,2026搜索随机1w,0.0554,0.7891
48,个人简历与成就查询,104,15,0.9019,0.0,13.33,32,0.8196,0.0,15.62,12,0.9246,0.0,0.0,37,0.8368,2.7,0.0,1,0.9718,0.0,0.0,2,0.3668,0.0,50.0,4,0.6901,0.0,0.0,1,0.2744,100.0,0.0,2025搜索随机1w,0.0172,0.8322
42,人名查询,14251,5827,0.8427,0.65,99.21,1556,0.8071,1.22,99.16,4086,0.8531,0.44,99.34,1385,0.795,0.87,98.99,447,0.8794,0.22,99.11,58,0.7906,1.72,98.28,682,0.8043,0.59,98.83,210,0.7896,1.43,98.57,助手语音随机1k,0.0898,0.8355
63,名单查询,383,24,0.8335,0.0,33.33,143,0.8587,1.4,9.09,42,0.8907,0.0,9.52,152,0.8202,1.32,19.08,2,0.9946,0.0,0.0,9,0.8141,0.0,11.11,3,0.9828,0.0,0.0,8,0.7672,0.0,0.0,2026搜索随机1w,0.0705,0.8441
61,人物简历查询,676,81,0.8673,0.0,22.22,205,0.8511,0.0,12.2,118,0.9086,0.0,16.95,240,0.8504,0.42,12.5,4,0.8567,0.0,25.0,5,0.6543,0.0,0.0,11,0.9293,0.0,18.18,12,0.7763,0.0,0.0,2026搜索随机1w,0.0582,0.8614
73,人物个人资料查询#73,919,256,0.9206,0.0,6.64,113,0.8893,0.0,1.77,431,0.8274,1.86,30.16,95,0.8634,0.0,2.11,8,0.9495,0.0,25.0,10,0.6049,0.0,30.0,2,0.7595,0.0,50.0,4,0.9429,0.0,0.0,2026搜索,0.0932,0.8637
69,个人简历查询,797,129,0.9449,0.0,0.0,205,0.9118,0.0,1.95,212,0.9059,0.0,9.91,238,0.926,0.0,0.0,2,0.9057,0.0,0.0,3,0.6097,0.0,0.0,1,0.9204,0.0,0.0,7,0.8334,0.0,0.0,2026搜索,0.039,0.918
64,领导名单查询,120,4,0.9436,0.0,25.0,52,0.9423,0.0,1.92,8,0.9616,0.0,12.5,53,0.903,0.0,1.89,0,,,,2,0.5645,0.0,50.0,1,0.9722,0.0,0.0,0,,,,2026搜索随机1w,0.0393,0.9202
