key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
46,书记信息查询,用户查询某地、单位或人物相关的“书记”信息，以获得该书记的姓名、职务、任免、简历或相关履职报道。,397,0.906,66,0.661,0.52,0.84,0.517,99,0.99,0.814,1.204,0.508,56,0.561,0.432,0.728,0.587,139,1.39,1.178,1.639,0.721,1,0.112,0.02,0.634,0.145,12,1.263,0.724,2.195,0.998,13,1.301,0.762,2.214,1.152,11,1.1,0.615,1.959,0.908,8.96,0.7294,0.7167,13.42,1.0924,1.0734,7.6,0.619,0.6082,18.84,1.5336,1.5069,1.52,0.1241,0.1219,17.12,1.3937,1.3694,17.63,1.4358,1.4108,14.91,1.2137,1.1925,8,,,2026搜索随机1w,助手头部1k,1.278,12.36,11,19,12,9,25,10,6,10,职务任免与现职级别核查,60.5,是,
63,名单查询,用户需要获取某个特定组织、单位、事件或类别下的完整成员或对象名单，系统给出对应的可核对名单即满足。,383,0.874,24,0.24,0.162,0.357,0.157,143,1.43,1.215,1.682,0.591,42,0.421,0.311,0.568,0.248,152,1.52,1.298,1.779,2.278,2,0.225,0.062,0.817,0.141,9,0.947,0.499,1.791,0.915,3,0.3,0.102,0.879,0.226,8,0.8,0.406,1.571,0.661,4.09,0.2749,0.3269,24.31,1.6356,1.9445,7.15,0.4812,0.5721,25.83,1.7384,2.0666,3.82,0.2573,0.3059,16.1,1.0835,1.2881,5.1,0.3434,0.4083,13.6,0.9149,1.0877,8,,,2026搜索随机1w,助手头部1k,1.295,6.76,25,8,16,8,20,13,19,17,人物名单与条件式人物列表查询,83.6,是,
49,特定人物照片查询,用户给出某个人物名称或称谓并询问照片时，希望获得该人物的照片或图片结果。,375,0.856,53,0.531,0.406,0.694,0.259,136,1.36,1.151,1.607,1.461,38,0.381,0.277,0.522,0.202,113,1.13,0.941,1.357,0.534,8,0.9,0.457,1.766,1.666,8,0.842,0.427,1.653,0.666,4,0.4,0.156,1.025,0.399,15,1.5,0.911,2.46,4.046,7.54,0.6201,0.6029,19.31,1.5887,1.5447,5.4,0.4447,0.4323,16.04,1.3199,1.2833,12.78,1.0511,1.022,11.95,0.9836,0.9564,5.68,0.4677,0.4547,21.29,1.7521,1.7035,8,,,助手语音随机1k,2026搜索,1.119,3.94,17,9,19,12,6,14,14,5,人物照片图集查询,60.3,是,
56,人物关系查询,用户想查询两个或多个被提及对象之间存在什么关系，并获得明确、可核验的关系说明。,345,0.788,68,0.681,0.538,0.863,0.466,108,1.08,0.895,1.302,0.765,43,0.431,0.32,0.58,0.269,103,1.03,0.85,1.248,0.525,5,0.562,0.24,1.31,0.416,7,0.737,0.357,1.513,0.582,6,0.601,0.276,1.304,0.567,5,0.5,0.214,1.165,0.495,12.12,0.8648,0.9693,19.21,1.3713,1.537,7.66,0.5469,0.613,18.32,1.3077,1.4657,10.0,0.7141,0.8003,13.11,0.9355,1.0485,10.68,0.7625,0.8547,8.89,0.6348,0.7115,8,,,2025搜索随机1w,2026搜索,0.649,2.51,9,14,15,15,10,16,10,26,亲属关系与家庭背景查询,58.0,是,
50,原因由来查询,用户针对某个人物、事件或称呼提出“为什么”问题，希望获得其直接原因、由来或背景说明。,328,0.749,66,0.661,0.52,0.84,0.369,103,1.03,0.85,1.248,0.569,42,0.421,0.311,0.568,0.205,79,0.79,0.634,0.983,0.282,3,0.337,0.115,0.987,0.177,14,1.474,0.88,2.458,1.165,6,0.601,0.276,1.304,0.427,15,1.5,0.911,2.46,1.404,9.7,0.8829,0.7762,15.12,1.3756,1.2094,6.18,0.5619,0.494,11.59,1.055,0.9275,4.95,0.4507,0.3962,21.63,1.968,1.7303,8.81,0.8021,0.7052,22.01,2.0031,1.7612,8,,,助手语音随机1k,助手头部1k,1.163,4.45,11,18,16,21,17,8,10,5,人物相关原因与解释查询,40.2,是,
52,机构职务负责人及人员信息查询,在用户给出机构、职务或公职人员姓名后，查询该职务的现任负责人是谁，或该人员的职务、简介、照片等核实信息。,313,0.715,23,0.23,0.154,0.345,0.125,115,1.15,0.959,1.379,0.409,19,0.19,0.122,0.297,0.155,136,1.36,1.151,1.606,0.494,1,0.112,0.02,0.634,0.046,6,0.632,0.29,1.371,0.499,4,0.4,0.156,1.025,0.432,9,0.9,0.474,1.702,0.908,4.63,0.3224,0.3705,23.12,1.6095,1.8493,3.83,0.2664,0.3061,27.33,1.9032,2.1868,2.26,0.1574,0.1809,12.69,0.8838,1.0155,8.05,0.5603,0.6438,18.09,1.2595,1.4471,8,,,2026搜索随机1w,助手头部1k,1.248,12.09,27,11,27,10,25,21,14,15,职务任免与现职级别核查,46.6,是,
25,人物厉害程度比较查询,用户想知道在某个给定的人物或角色范围内谁最厉害、谁更厉害或排名前三，得到明确的比较结果或排序即可满足。,301,0.687,62,0.621,0.485,0.795,0.418,70,0.7,0.555,0.883,0.729,47,0.471,0.354,0.626,0.402,92,0.92,0.751,1.127,0.414,2,0.225,0.062,0.817,0.139,13,1.368,0.801,2.327,1.082,3,0.3,0.102,0.879,0.245,12,1.2,0.688,2.086,1.156,10.7,0.9038,0.8558,12.06,1.0188,0.9647,8.11,0.6852,0.6488,15.85,1.3388,1.2677,3.88,0.3274,0.31,23.57,1.9913,1.8856,5.17,0.437,0.4138,20.67,1.7463,1.6536,8,,,助手随机1k,助手头部1k,1.143,6.08,16,22,14,20,20,9,19,7,裸名人物默认身份查询,40.5,是,
51,人物姓名查询,用户给出某个人物、角色或人物关系描述后，查询其对应的姓名、原名、真名或绰号。,299,0.683,49,0.491,0.371,0.648,0.294,106,1.06,0.877,1.28,1.077,35,0.351,0.252,0.487,0.182,77,0.77,0.617,0.961,0.78,10,1.125,0.612,2.058,0.984,6,0.632,0.29,1.371,0.499,5,0.501,0.214,1.166,0.466,11,1.1,0.615,1.959,0.991,8.14,0.719,0.6514,17.58,1.553,1.4068,5.82,0.5137,0.4653,12.77,1.128,1.0218,18.66,1.6479,1.4927,10.48,0.9252,0.8381,8.3,0.7332,0.6642,18.25,1.6114,1.4597,8,,,助手头部1k,2026搜索,0.774,3.21,19,16,21,22,5,21,12,10,非人物类目浏览或不可解析查询,24.7,是,
60,领导班子名单查询,用户给出某个地区、部门或单位的名称后，查询该领导班子现任成员名单或组成信息。,297,0.678,24,0.24,0.162,0.357,0.116,108,1.08,0.895,1.302,0.418,16,0.16,0.099,0.26,0.184,135,1.35,1.142,1.596,0.614,1,0.112,0.02,0.634,0.05,7,0.737,0.357,1.513,0.582,0,0.0,0.0,0.383,0.0,6,0.6,0.275,1.303,0.578,5.62,0.3546,0.4493,25.24,1.593,2.0188,3.74,0.2364,0.2996,31.54,1.991,2.5233,2.63,0.1659,0.2102,17.22,1.0867,1.3772,0.0,0.0,0.0,14.02,0.8849,1.1215,7,助手语音头部1k,,2026搜索随机1w,助手语音头部1k,1.35,inf,25,14,28,11,25,16,31,24,人物名单与条件式人物列表查询,92.6,是,
68,书记职务信息查询,用户查询某地区或单位的书记岗位的现任或历任人员、个人简介、行政级别等职务信息。,271,0.619,66,0.661,0.52,0.84,0.643,76,0.76,0.608,0.95,0.367,12,0.12,0.069,0.21,0.064,101,1.01,0.832,1.226,0.411,0,0.0,0.0,0.43,0.0,5,0.526,0.225,1.226,0.416,0,0.0,0.0,0.383,0.0,11,1.1,0.615,1.959,1.073,15.82,1.0686,1.266,18.19,1.2285,1.4555,2.88,0.1943,0.2302,24.18,1.6325,1.9341,0.0,0.0,0.0,12.6,0.8507,1.0078,0.0,0.0,0.0,26.33,1.7779,2.1064,6,助手头部1k / 助手语音头部1k,,助手语音随机1k,助手头部1k,1.1,inf,11,21,29,17,33,24,31,10,职务任免与现职级别核查,82.3,是,
44,主席相关信息查询,用户查询某一“主席”称谓、人物或相关事件，以获取该对象的身份、职务、任期、文件、动态或史实信息。,257,0.587,50,0.501,0.38,0.66,0.392,52,0.52,0.397,0.681,0.143,57,0.571,0.441,0.739,0.53,75,0.75,0.599,0.939,0.549,2,0.225,0.062,0.817,0.157,7,0.737,0.357,1.513,0.582,4,0.4,0.156,1.025,0.375,10,1.0,0.544,1.831,0.908,10.65,0.8536,0.8518,11.06,0.8864,0.8844,12.14,0.9732,0.9711,15.94,1.2783,1.2755,4.78,0.3834,0.3826,15.66,1.2558,1.2531,8.51,0.6824,0.6809,21.26,1.7044,1.7006,8,,,助手语音随机1k,助手头部1k,0.775,4.44,18,26,11,23,20,16,14,13,职务任免与现职级别核查,40.1,是,
62,负责人任职查询,用户提供某个单位、地区或职位的负责人称谓，查询该职位现任负责人的姓名或明确身份。,250,0.571,11,0.11,0.062,0.197,0.034,106,1.06,0.877,1.28,0.418,8,0.08,0.041,0.158,0.043,99,0.99,0.814,1.204,0.381,1,0.112,0.02,0.634,0.063,12,1.263,0.724,2.195,0.998,3,0.3,0.102,0.879,0.259,10,1.0,0.544,1.831,0.908,2.24,0.1931,0.1793,21.56,1.8574,1.725,1.63,0.1404,0.1304,20.14,1.7346,1.6109,2.29,0.1971,0.183,25.69,2.2132,2.0554,6.11,0.5262,0.4887,20.34,1.7521,1.6272,8,,,助手随机1k,2026搜索,1.183,15.76,34,16,35,18,25,10,19,13,职务任免与现职级别核查,78.0,是,
58,领导信息查询,用户提供地区、机构、职务或人名后，查询对应领导人、领导班子成员及其职务、排名或调整信息。,249,0.568,22,0.22,0.146,0.333,0.107,80,0.8,0.643,0.995,0.334,26,0.26,0.178,0.381,0.225,102,1.02,0.841,1.237,0.365,0,0.0,0.0,0.43,0.0,7,0.737,0.357,1.513,0.666,4,0.4,0.156,1.025,0.336,8,0.8,0.406,1.571,0.661,5.2,0.3877,0.416,18.88,1.4074,1.5102,6.15,0.4582,0.4917,24.07,1.7943,1.9254,0.0,0.0,0.0,17.39,1.2962,1.3909,9.45,0.7044,0.7558,18.88,1.4073,1.5101,7,助手头部1k,,2026搜索随机1w,助手头部1k,1.02,inf,28,20,24,16,33,16,14,17,职务任免与现职级别核查,34.9,是,
45,中共中央领导机构及成员查询,用户查询中国共产党中央委员会、中央政治局及其常委、委员、部门部长等中央领导机构和成员的名单与职务信息，得到权威准确的对应结果即可满足。,225,0.514,63,0.631,0.494,0.807,0.718,31,0.31,0.219,0.44,0.342,64,0.641,0.502,0.818,0.921,50,0.5,0.379,0.659,0.175,5,0.562,0.24,1.31,0.909,1,0.105,0.019,0.594,0.083,5,0.501,0.214,1.166,0.37,6,0.6,0.275,1.303,0.578,16.39,1.2285,1.3112,8.05,0.6036,0.6441,16.65,1.2482,1.3321,12.99,0.9734,1.0388,14.61,1.0949,1.1685,2.73,0.2049,0.2187,13.0,0.9744,1.0399,15.58,1.1681,1.2466,8,,,2026搜索,助手随机1k,0.536,6.09,14,33,10,28,10,36,12,24,裸名人物默认身份查询,34.7,是,
43,人物时间节点查询,用户查询某位真实人物或虚构角色的特定时间信息（如什么时候认识、结婚、走红、解封、小时候、去世年龄），以获取该人物对应时间点的事实答案。,205,0.468,48,0.481,0.363,0.637,0.469,48,0.48,0.362,0.636,0.685,36,0.361,0.261,0.499,0.431,46,0.46,0.345,0.613,0.249,8,0.9,0.457,1.766,0.761,4,0.421,0.164,1.078,0.499,8,0.801,0.406,1.572,0.629,7,0.7,0.339,1.438,2.477,10.45,1.0274,0.8356,10.43,1.0257,0.8343,7.83,0.7706,0.6268,9.99,0.9829,0.7994,19.55,1.9228,1.5639,9.15,0.8997,0.7317,17.4,1.7111,1.3917,15.21,1.4957,1.2165,8,,,助手头部1k,2026搜索,0.539,2.5,20,28,20,31,6,26,8,21,裸名人物默认身份查询,53.2,是,
34,搜索美女图片,用户输入与“美女”相关的查询后，希望看到指定类型（如动漫、欧美、大胸、比基尼）的美女图片或写真。,195,0.445,44,0.441,0.329,0.591,0.64,38,0.38,0.277,0.521,0.468,41,0.411,0.303,0.557,0.554,38,0.38,0.277,0.521,0.381,7,0.787,0.382,1.616,1.149,3,0.316,0.107,0.924,0.25,17,1.702,1.065,2.708,3.909,7,0.7,0.339,1.438,0.578,8.61,0.99,0.6892,7.43,0.8537,0.5942,8.03,0.9226,0.6422,7.43,0.8536,0.5942,15.39,1.7687,1.2312,6.17,0.7093,0.4938,33.26,3.8225,2.6608,13.68,1.5724,1.0945,8,,,助手语音头部1k,助手随机1k,1.386,5.39,22,30,18,33,9,28,4,21,非人物类目浏览或不可解析查询,70.3,是,
53,教师名单与简介查询,用户输入学校名称或教师姓名后，获取对应学校的教师名单或该教师的个人简介、教学成果等基本信息即满足。,177,0.404,22,0.22,0.146,0.333,0.099,65,0.65,0.51,0.828,1.027,10,0.1,0.054,0.184,0.074,58,0.58,0.449,0.749,0.23,0,0.0,0.0,0.43,0.0,16,1.684,1.039,2.718,1.581,2,0.2,0.055,0.727,0.125,4,0.4,0.156,1.024,0.33,5.75,0.5454,0.4597,16.95,1.6087,1.3561,2.61,0.2479,0.209,15.12,1.4353,1.2099,0.0,0.0,0.0,43.92,4.1679,3.5133,5.22,0.4954,0.4176,10.43,0.9899,0.8344,7,助手头部1k,,助手随机1k,助手头部1k,1.684,inf,28,23,31,26,33,7,24,28,裸名人物默认身份查询,50.3,是,
54,老师信息查询,用户查询某位老师或与老师身份相关人物的姓名、任教学校、学科、背景、评价或联系方式，以获取该对象的具体介绍或答案。,176,0.402,11,0.11,0.062,0.197,0.047,59,0.59,0.458,0.76,0.222,10,0.1,0.054,0.184,0.046,61,0.61,0.475,0.783,0.203,3,0.337,0.115,0.987,0.219,22,2.316,1.534,3.481,1.83,2,0.2,0.055,0.727,0.735,8,0.8,0.406,1.571,0.661,2.18,0.2742,0.1741,11.65,1.4685,0.9322,1.98,0.2493,0.1583,12.05,1.5181,0.9637,6.66,0.8398,0.5331,45.73,5.7634,3.6585,3.95,0.4982,0.3163,15.8,1.991,1.2639,8,,,助手随机1k,2026搜索,2.216,23.12,34,24,31,25,17,5,24,17,裸名人物默认身份查询,51.1,是,
35,人物外貌照片查询,用户输入某个人名或人物相关描述后，希望看到该人物的照片，尤其是惊艳或清晰的外貌照片。,163,0.372,35,0.351,0.252,0.487,0.22,30,0.3,0.21,0.428,0.3,34,0.341,0.244,0.476,0.22,43,0.43,0.319,0.579,0.206,4,0.45,0.175,1.151,0.207,6,0.632,0.29,1.371,0.499,2,0.2,0.055,0.727,0.168,9,0.9,0.474,1.702,0.743,9.73,0.9421,0.7785,8.33,0.8063,0.6662,9.45,0.9153,0.7563,11.93,1.1555,0.9548,12.49,1.2091,0.9991,17.53,1.6972,1.4024,5.56,0.538,0.4445,24.98,2.4185,1.9984,8,,,助手语音随机1k,助手语音头部1k,0.7,4.5,24,34,22,32,13,21,24,15,裸名人物默认身份查询,47.2,是,
59,领导班子成员名单查询,用户给出某个机构或地区名称后，获取该机构或地区领导班子成员的名单、简介或组成信息。,158,0.361,16,0.16,0.099,0.26,0.091,59,0.59,0.458,0.76,0.215,10,0.1,0.054,0.184,0.06,66,0.66,0.519,0.839,0.482,0,0.0,0.0,0.43,0.0,4,0.421,0.164,1.078,0.333,0,0.0,0.0,0.383,0.0,3,0.3,0.102,0.878,0.248,7.18,0.4443,0.5746,26.44,1.6358,2.1153,4.49,0.2777,0.3591,29.58,1.8297,2.3661,0.0,0.0,0.0,18.87,1.1673,1.5094,0.0,0.0,0.0,13.44,0.8317,1.0755,6,助手头部1k / 助手语音头部1k,,2026搜索随机1w,助手头部1k,0.66,inf,31,24,31,24,33,26,31,30,人物名单与条件式人物列表查询,76.6,是,
66,地方党委领导任职信息查询,用户想查询某地党委书记、市委常委等地方党委领导职务的现任人员或简历，或核实某人是否担任相关职务。,155,0.354,43,0.431,0.32,0.58,0.367,32,0.32,0.227,0.451,0.134,24,0.24,0.162,0.358,0.157,48,0.48,0.362,0.636,0.206,1,0.112,0.02,0.634,0.081,2,0.211,0.058,0.764,0.166,0,0.0,0.0,0.383,0.0,5,0.5,0.214,1.165,0.413,18.77,1.2172,1.502,13.95,0.9044,1.116,10.48,0.6794,0.8384,20.92,1.3564,1.6738,4.9,0.3179,0.3922,9.18,0.5949,0.7341,0.0,0.0,0.0,21.79,1.413,1.7435,7,助手语音头部1k,,助手语音随机1k,助手语音头部1k,0.5,inf,23,31,25,29,25,30,31,26,职务任免与现职级别核查,67.1,是,
