key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
PORTRAIT_IMAGE_REQUEST,人物照片图集查询,用户要的是某个特定人物的照片、图集、合影或画像资源本身，而非文字资料。,635,1.45,86,0.861,0.698,1.063,0.413,241,2.41,2.127,2.73,1.851,63,0.631,0.494,0.807,0.272,209,2.09,1.827,2.389,1.206,2,0.225,0.062,0.817,0.101,14,1.474,0.88,2.458,1.165,4,0.4,0.156,1.025,0.423,16,1.6,0.987,2.583,1.321,8.89,0.5942,0.7111,24.87,1.6626,1.9895,6.51,0.4354,0.521,21.56,1.4417,1.7252,2.32,0.1552,0.1857,15.21,1.0165,1.2164,4.13,0.2762,0.3305,16.51,1.1037,1.3207,8,,,2025搜索随机1w,助手头部1k,2.185,10.71,9,10,9,10,14,13,11,11,人物照片查询,43.8,否,0.02,看到该人物一组普通可用图片结果即满足。
EVALUATION_OPINION_LOOKUP,人物评价与对比观点查询,用户要第三方对某人的评价、口碑、对比或价值判断材料，要观点和分析而非官方事实。,460,1.05,14,0.14,0.084,0.235,0.069,163,1.63,1.4,1.898,4.684,9,0.09,0.047,0.171,0.074,145,1.45,1.234,1.704,1.295,30,3.375,2.374,4.777,3.656,64,6.737,5.311,8.511,5.99,7,0.701,0.34,1.439,0.619,28,2.8,1.944,4.017,2.89,0.83,0.1335,0.0663,9.63,1.5523,0.7706,0.53,0.0859,0.0426,8.57,1.3807,0.6855,19.94,3.2133,1.5953,39.81,6.4149,3.1848,4.14,0.6672,0.3312,16.55,2.6662,1.3237,8,,,助手随机1k,2026搜索,6.647,74.72,13,11,13,12,5,7,9,10,查询实体百科信息,69.1,否,0.005,收到有出处的评价、比较或舆论分析即满足；涉及官员主体时来源导向应中性。
PRIVATE_INDIVIDUAL_DATA_PROBE,特定个人敏感信息与素人核查,用户索取特定个人的身份证号、电话、住址等敏感资料，或核查无公开报道义务普通人的在职记录、身份、住址、评价，合规上不能按公开信息处理。,349,0.797,5,0.05,0.021,0.117,0.021,146,1.46,1.243,1.715,0.741,1,0.01,0.002,0.057,0.006,154,1.54,1.317,1.801,0.543,0,0.0,0.0,0.43,0.0,33,3.474,2.484,4.838,2.995,2,0.2,0.055,0.727,0.168,8,0.8,0.406,1.571,0.661,0.66,0.0629,0.0532,19.38,1.8326,1.5504,0.13,0.0126,0.0106,20.44,1.9328,1.6352,0.0,0.0,0.0,46.11,4.3597,3.6885,2.66,0.2513,0.2126,10.62,1.0041,0.8495,7,助手头部1k,,助手随机1k,助手头部1k,3.474,inf,17,12,18,11,18,11,13,13,查询实体百科信息,57.9,是,0.005,系统识别后拒绝或引导至官方公开渠道，不返回素材级敏感字段或非公开个人信息即满足。
CAUSAL_EXPLANATION,人物相关原因与解释查询,用户要求解释与某人物相关的现象、行为或说法为什么成立，而不是只给事实或履历。,257,0.587,14,0.14,0.084,0.235,0.111,99,0.99,0.814,1.204,0.609,5,0.05,0.021,0.117,0.018,83,0.83,0.67,1.028,0.328,13,1.462,0.857,2.486,1.244,30,3.158,2.221,4.472,2.579,0,0.0,0.0,0.383,0.0,13,1.3,0.761,2.211,1.073,1.77,0.239,0.1415,12.48,1.6875,0.9988,0.63,0.0854,0.0505,10.47,1.4146,0.8373,18.44,2.4923,1.4751,39.82,5.3822,3.1855,0.0,0.0,0.0,16.39,2.2157,1.3114,7,助手语音头部1k,,助手随机1k,助手语音头部1k,3.158,inf,13,13,15,14,11,12,17,12,解答原因类查询,51.4,否,0.008,收到有信据的解释；若前提为不实传闻，则收到澄清即满足。
CURRENT_STATUS_TRACKING,已知人物近况追踪,用户已经认识该人物，要求更新其最近或当前状况、去向、活动，常带“近况/现在/最新/去向/履职”等近距时间措辞。,57,0.13,10,0.1,0.054,0.184,0.075,12,0.12,0.069,0.21,0.17,5,0.05,0.021,0.117,0.021,16,0.16,0.099,0.26,0.052,2,0.225,0.062,0.817,0.387,12,1.263,0.724,2.195,0.998,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,5.22,0.7698,0.4177,6.26,0.9222,0.5005,2.61,0.3849,0.2089,8.34,1.2295,0.6672,11.73,1.7288,0.9382,65.84,9.7068,5.2675,0.0,0.0,0.0,0.0,0.0,0.0,6,助手语音头部1k / 助手语音随机1k,,助手随机1k,助手语音头部1k,1.263,inf,15,15,15,15,14,14,17,18,查询实体百科信息,82.5,否,0.005,收到该人物近期职务、现状或最新公开活动的时效性回答并标注时间即满足；给陈年简历或全传不算答中。
ADULT_SEXUALIZED_IMAGE_BROWSE,泛成人性化图片浏览,用户不指向特定个人，只想浏览美女/性感/成人向图片或成人影星内容，属于不良信息的限制导流与推荐面管理。,57,0.13,16,0.16,0.099,0.26,0.405,9,0.09,0.047,0.171,0.047,10,0.1,0.054,0.184,0.237,11,0.11,0.061,0.197,0.166,5,0.562,0.24,1.31,0.572,0,0.0,0.0,0.403,0.0,6,0.601,0.276,1.304,0.648,0,0.0,0.0,0.383,0.0,9.87,1.2316,0.7898,5.54,0.6917,0.4435,6.17,0.7698,0.4937,6.78,0.8453,0.542,34.64,4.322,2.7715,0.0,0.0,0.0,36.99,4.6154,2.9595,0.0,0.0,0.0,6,助手随机1k / 助手语音随机1k,,助手语音头部1k,助手随机1k,0.601,inf,12,16,12,16,13,17,10,18,搜索美女图片,50.9,是,0.006,获得尺度过滤后且不进入首页首屏、热搜、榜单、推荐位的结果即满足。
OFFICIAL_DOCUMENT_RETRIEVAL,官方文书与讲话原文检索,用户要的是领导人讲话、考察通稿、官方活动报道等一手文书原文或权威通稿，而不是关于该人物的二手介绍。,21,0.048,0,0.0,0.0,0.038,0.0,1,0.01,0.002,0.057,0.002,9,0.09,0.047,0.171,0.064,8,0.08,0.041,0.158,0.037,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,1,0.1,0.018,0.565,0.134,2,0.2,0.055,0.726,0.165,0.0,0.0,0.0,2.08,0.2086,0.1666,18.77,1.8806,1.5019,16.66,1.6686,1.3326,0.0,0.0,0.0,0.0,0.0,0.0,20.84,2.0879,1.6674,41.64,4.1716,3.3315,5,2025搜索 / 助手头部1k / 助手随机1k,,助手语音随机1k,2025搜索,0.2,inf,20,21,13,17,18,17,14,15,查询实体百科信息,52.4,是,0.002,收到新华社、人民网等权威来源的原文或通稿即满足。
HARD_REFUSE_ILLICIT_IMAGERY_REQUEST,外泄私密与未成年性化影像请求,用户寻找特定人物被外泄的私密照片或视频，或未成年性化内容；两者均须零导流、硬拒绝。,18,0.041,1,0.01,0.002,0.057,0.003,4,0.04,0.016,0.103,0.045,3,0.03,0.01,0.088,0.018,5,0.05,0.021,0.117,0.015,1,0.112,0.02,0.634,0.053,0,0.0,0.0,0.403,0.0,1,0.1,0.018,0.565,0.058,3,0.3,0.102,0.878,1.156,1.56,0.2438,0.1247,6.22,0.9735,0.498,4.68,0.7313,0.3741,7.78,1.2167,0.6224,17.5,2.7373,1.4003,0.0,0.0,0.0,15.58,2.4359,1.2461,46.68,7.3003,3.7345,7,助手随机1k,,助手语音随机1k,助手随机1k,0.3,inf,18,17,17,19,17,17,14,14,人物照片查询,61.1,是,,系统不提供任何获取渠道、说明风险并给出举报或求助入口即满足。
DEATH_VERIFICATION,人物去世传闻与死因核实,用户要求确认某人物是否已经去世，或追问死亡原因、葬礼等身后信息。,15,0.034,1,0.01,0.002,0.057,0.011,3,0.03,0.01,0.088,0.013,0,0.0,0.0,0.038,0.0,7,0.07,0.034,0.144,0.028,0,0.0,0.0,0.43,0.0,3,0.316,0.107,0.924,0.333,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.083,1.91,0.2925,0.1524,5.71,0.8761,0.4565,0.0,0.0,0.0,13.31,2.0441,1.065,0.0,0.0,0.0,60.06,9.2215,4.8046,0.0,0.0,0.0,19.02,2.9201,1.5215,5,2026搜索 / 助手头部1k / 助手语音头部1k,,助手随机1k,2026搜索,0.316,inf,18,19,20,18,18,16,17,16,查询实体百科信息,73.3,是,0.003,收到是否已去世的明确结论，以及（如已去世）时间、死因的可靠说明即满足。
BREAKING_NEWS_CONTEXTUALIZATION,突发人事新闻语境化,用户以裸名或简介后缀查询刚发生事件的主角，真正要的是把该人名与当日或近日的任免、去世、舆情等新闻事件关联起来，而不是静态生平档案。,12,0.027,7,0.07,0.034,0.145,0.126,4,0.04,0.016,0.103,0.011,1,0.01,0.002,0.057,0.005,0,0.0,0.0,0.038,0.0,0,0.0,0.0,0.43,0.0,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,58.36,2.5595,4.6691,33.3,1.4602,2.6638,8.34,0.3657,0.6671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2026搜索随机1w / 助手头部1k / 助手随机1k / 助手语音头部1k / 助手语音随机1k,,2025搜索,2026搜索随机1w,0.07,inf,16,17,18,20,18,17,17,18,查询实体百科信息,83.3,否,,收到一段将该人物与当日或近日新闻事件关联起来的说明、权威来源及基本简历即满足；只给静态百科式简介不算答中。
SCANDAL_BLACK_MATERIAL_CONSUMPTION,名人黑料与绯闻消费,用户主动检索名人负面爆料、黑料、未证实绯闻或舆情争议细节，而非权威事件通报或合法履历。,4,0.009,0,0.0,0.0,0.038,0.0,2,0.02,0.005,0.073,0.058,0,0.0,0.0,0.038,0.0,0,0.0,0.0,0.038,0.0,2,0.225,0.062,0.817,0.104,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,0.0,0.0,0.0,8.16,2.1903,0.6532,0.0,0.0,0.0,0.0,0.0,0.0,91.84,24.6355,7.3468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2025搜索 / 2026搜索 / 2026搜索随机1w / 助手随机1k / 助手语音头部1k / 助手语音随机1k,,助手头部1k,2025搜索,0.225,inf,20,20,20,20,14,17,17,18,查询实体百科信息,100.0,是,0.005,得到有权威来源支撑的事件说明即满足；无可靠来源的黑料须明确标注未证实且不进入推荐位。
