key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
REVERSE_ENTITY_RESOLUTION__1,REVERSE_ENTITY_RESOLUTION__1,551,43,0.3841,13.95,44.19,203,0.3855,11.82,44.83,34,0.4134,8.82,35.29,183,0.3633,15.3,44.81,18,0.3397,11.11,38.89,22,0.3251,22.73,63.64,9,0.4615,22.22,44.44,39,0.3638,17.95,38.46,助手随机1k,0.0883,0.3756
HARD_REFUSE_ILLICIT_IMAGERY_REQUEST__1,HARD_REFUSE_ILLICIT_IMAGERY_REQUEST__1,18,1,0.6035,0.0,0.0,4,0.3159,25.0,25.0,3,0.4255,0.0,33.33,5,0.3939,20.0,60.0,1,0.1437,0.0,100.0,0,,,,1,0.4687,0.0,0.0,3,0.433,0.0,0.0,,,0.3902
FICTIONAL_PLOT_SETTING_LOOKUP__1,FICTIONAL_PLOT_SETTING_LOOKUP__1,655,65,0.3753,16.92,70.77,270,0.3962,9.26,63.33,30,0.3788,20.0,70.0,220,0.4043,9.55,64.09,9,0.3353,22.22,100.0,26,0.3907,15.38,69.23,4,0.3733,0.0,50.0,31,0.3809,19.35,61.29,2025搜索,0.029,0.3941
REVERSE_ENTITY_RESOLUTION__2,REVERSE_ENTITY_RESOLUTION__2,238,37,0.5625,5.41,83.78,87,0.3767,14.94,91.95,19,0.5745,0.0,84.21,59,0.4087,10.17,88.14,7,0.4988,0.0,100.0,12,0.3065,16.67,75.0,7,0.5762,0.0,100.0,10,0.5096,10.0,80.0,2025搜索随机1w,0.1858,0.4408
ADULT_SEXUALIZED_IMAGE_BROWSE__1,ADULT_SEXUALIZED_IMAGE_BROWSE__1,57,16,0.4926,12.5,6.25,9,0.4079,11.11,22.22,10,0.4792,10.0,0.0,11,0.4251,9.09,0.0,5,0.4499,20.0,0.0,0,,,,6,0.4117,16.67,0.0,0,,,,,,0.4516
SINGLE_ATTRIBUTE_FACTOID__4,SINGLE_ATTRIBUTE_FACTOID__4,366,32,0.598,9.38,75.0,132,0.4402,15.91,79.55,18,0.6094,11.11,61.11,127,0.4966,6.3,74.02,9,0.2764,11.11,77.78,25,0.4476,8.0,72.0,2,0.9321,0.0,100.0,21,0.4224,14.29,71.43,助手语音随机1k,0.1756,0.48
POST_TENURE_AND_MOVE_RESOLUTION__3,POST_TENURE_AND_MOVE_RESOLUTION__3,298,21,0.5088,4.76,90.48,121,0.4853,4.96,75.21,5,0.5565,0.0,60.0,130,0.4836,4.62,78.46,1,0.1254,100.0,100.0,14,0.4553,0.0,92.86,0,,,,6,0.3535,0.0,83.33,2026搜索随机1w,0.0252,0.4821
OUT_OF_SCOPE_OR_UNPARSEABLE__1,OUT_OF_SCOPE_OR_UNPARSEABLE__1,4761,907,0.5533,4.85,83.68,1298,0.4381,5.93,74.96,635,0.5423,4.88,82.05,1271,0.4402,6.45,75.92,145,0.5137,11.03,71.03,144,0.4199,9.03,69.44,193,0.6369,0.52,80.31,168,0.4583,4.76,81.55,助手随机1k,0.217,0.4851
PERSON_LIST_LOOKUP__2,PERSON_LIST_LOOKUP__2,981,78,0.5538,3.85,52.56,299,0.4772,8.7,69.9,146,0.6591,2.05,63.7,329,0.4808,7.9,71.73,13,0.3289,7.69,76.92,65,0.4638,4.62,70.77,14,0.66,0.0,78.57,37,0.3476,8.11,75.68,助手语音随机1k,0.3115,0.5064
RELATION_AND_FAMILY_LOOKUP__1,RELATION_AND_FAMILY_LOOKUP__1,154,14,0.6884,7.14,78.57,42,0.5057,2.38,76.19,33,0.6556,0.0,36.36,49,0.4643,12.24,79.59,8,0.5318,0.0,100.0,5,0.5031,0.0,80.0,0,,,,3,0.4438,0.0,66.67,2026搜索随机1w,0.1913,0.5413
POST_TENURE_AND_MOVE_RESOLUTION__2,POST_TENURE_AND_MOVE_RESOLUTION__2,650,36,0.6156,8.33,77.78,245,0.6244,2.45,62.86,21,0.5474,0.0,85.71,220,0.5099,4.09,51.82,7,0.4905,14.29,85.71,90,0.4504,6.67,65.56,2,0.3055,0.0,100.0,29,0.4965,6.9,41.38,助手随机1k,0.174,0.5505
CAUSAL_EXPLANATION__1,CAUSAL_EXPLANATION__1,257,14,0.5343,0.0,64.29,99,0.5205,1.01,41.41,5,0.5789,0.0,0.0,83,0.5672,3.61,30.12,13,0.5839,0.0,30.77,30,0.5825,0.0,56.67,0,,,,13,0.575,0.0,23.08,2025搜索随机1w,0.062,0.5507
BARE_NAME_DEFAULT_LOOKUP__5,BARE_NAME_DEFAULT_LOOKUP__5,4007,266,0.5839,2.26,92.86,1550,0.5485,3.74,78.19,242,0.5543,4.55,83.47,1812,0.559,2.7,78.37,13,0.2866,15.38,100.0,38,0.4093,7.89,76.32,10,0.4769,0.0,90.0,76,0.5145,5.26,84.21,助手随机1k,0.1746,0.553
EVALUATION_OPINION_LOOKUP__2,EVALUATION_OPINION_LOOKUP__2,65,0,,,,39,0.6296,5.13,84.62,0,,,,13,0.5016,7.69,69.23,0,,,,7,0.4908,0.0,0.0,2,0.1745,50.0,50.0,4,0.6662,0.0,100.0,2025搜索随机1w,,0.5773
RELATION_AND_FAMILY_LOOKUP__4,RELATION_AND_FAMILY_LOOKUP__4,383,46,0.6387,2.17,78.26,142,0.5609,4.23,74.65,21,0.5718,4.76,100.0,125,0.5816,2.4,81.6,3,0.3362,0.0,66.67,20,0.5555,0.0,65.0,3,0.8793,0.0,100.0,23,0.6281,0.0,65.22,助手随机1k,0.0832,0.5821
PLATFORM_DIRECTED_TASK__2,PLATFORM_DIRECTED_TASK__2,710,52,0.4865,1.92,98.08,65,0.3695,6.15,84.62,502,0.6644,1.99,88.65,80,0.4166,13.75,86.25,3,0.2097,33.33,100.0,6,0.4404,16.67,100.0,1,0.1833,100.0,0.0,1,0.2542,0.0,100.0,2025搜索随机1w,0.2949,0.5914
SINGLE_ATTRIBUTE_FACTOID__5,SINGLE_ATTRIBUTE_FACTOID__5,90,2,0.9011,0.0,100.0,26,0.5575,7.69,100.0,13,0.7964,0.0,92.31,33,0.6144,0.0,96.97,3,0.6478,0.0,100.0,9,0.2623,22.22,77.78,0,,,,4,0.5245,0.0,100.0,2025搜索随机1w,0.0569,0.5925
POST_TENURE_AND_MOVE_RESOLUTION__6,POST_TENURE_AND_MOVE_RESOLUTION__6,1058,26,0.6559,3.85,57.69,429,0.5954,3.73,69.0,7,0.4549,14.29,71.43,538,0.6152,1.86,66.54,2,0.3435,50.0,100.0,18,0.622,5.56,33.33,2,0.5933,0.0,100.0,36,0.5979,2.78,61.11,2025搜索随机1w,0.0605,0.6061
SINGLE_ATTRIBUTE_FACTOID__2,SINGLE_ATTRIBUTE_FACTOID__2,261,18,0.7077,5.56,94.44,84,0.6132,10.71,88.1,13,0.6776,0.0,100.0,101,0.635,7.92,89.11,6,0.644,16.67,100.0,20,0.5276,5.0,85.0,2,0.9606,0.0,100.0,17,0.4463,17.65,94.12,助手随机1k,0.1074,0.6173
POST_TENURE_AND_MOVE_RESOLUTION__1,POST_TENURE_AND_MOVE_RESOLUTION__1,336,108,0.6836,2.78,48.15,60,0.6381,1.67,63.33,78,0.6388,2.56,55.13,64,0.5811,3.12,56.25,3,0.8269,0.0,100.0,1,0.4766,0.0,0.0,11,0.6942,0.0,54.55,11,0.5471,0.0,45.45,2026搜索随机1w,0.1025,0.6421
PLATFORM_DIRECTED_TASK__1,PLATFORM_DIRECTED_TASK__1,384,9,0.6803,0.0,100.0,4,0.2674,0.0,100.0,359,0.6643,0.28,93.59,8,0.3479,0.0,87.5,4,0.3091,50.0,100.0,0,,,,0,,,,0,,,,2026搜索,,0.6503
RELATION_AND_FAMILY_LOOKUP__2,RELATION_AND_FAMILY_LOOKUP__2,253,20,0.7263,0.0,20.0,98,0.6485,5.1,23.47,11,0.829,0.0,0.0,98,0.6258,3.06,19.39,10,0.7101,0.0,60.0,11,0.5465,0.0,54.55,0,,,,5,0.7754,0.0,20.0,2026搜索随机1w,0.1005,0.6542
PORTRAIT_IMAGE_REQUEST__4,PORTRAIT_IMAGE_REQUEST__4,199,47,0.6893,0.0,12.77,59,0.6668,0.0,0.0,30,0.6198,0.0,36.67,56,0.665,0.0,3.57,1,0.862,0.0,100.0,4,0.7101,0.0,0.0,0,,,,2,0.649,0.0,0.0,2026搜索,0.0695,0.6662
POST_TENURE_AND_MOVE_RESOLUTION__5,POST_TENURE_AND_MOVE_RESOLUTION__5,239,5,0.6623,0.0,20.0,101,0.6924,2.97,55.45,7,0.7561,0.0,14.29,104,0.7188,4.81,51.92,0,,,,14,0.6,0.0,57.14,0,,,,8,0.7405,0.0,62.5,2025搜索随机1w,0.0264,0.7013
PORTRAIT_IMAGE_REQUEST__3,PORTRAIT_IMAGE_REQUEST__3,194,23,0.7322,0.0,17.39,66,0.6619,3.03,12.12,22,0.7301,0.0,27.27,66,0.7117,1.52,1.52,0,,,,6,0.8002,0.0,0.0,4,0.7127,0.0,0.0,7,0.7424,0.0,14.29,2025搜索随机1w,0.0703,0.7031
BARE_NAME_DEFAULT_LOOKUP__2,BARE_NAME_DEFAULT_LOOKUP__2,3376,1439,0.7175,1.25,89.37,377,0.686,2.39,90.72,932,0.719,1.07,90.67,330,0.6818,0.91,90.91,55,0.7299,0.0,90.91,9,0.6124,11.11,100.0,182,0.689,1.1,92.31,52,0.7081,0.0,90.38,2026搜索随机1w,0.0481,0.7091
PORTRAIT_IMAGE_REQUEST__2,PORTRAIT_IMAGE_REQUEST__2,183,16,0.8016,0.0,0.0,76,0.6874,2.63,7.89,11,0.7988,0.0,9.09,68,0.727,1.47,5.88,1,0.8191,0.0,0.0,4,0.8505,0.0,0.0,0,,,,7,0.7404,0.0,14.29,2025搜索随机1w,0.0396,0.7251
RELATION_AND_FAMILY_LOOKUP__3,RELATION_AND_FAMILY_LOOKUP__3,410,57,0.8115,0.0,78.95,170,0.7511,0.59,71.76,22,0.7154,0.0,81.82,112,0.6922,3.57,83.04,15,0.6978,0.0,100.0,13,0.7158,0.0,69.23,0,,,,21,0.6852,0.0,90.48,助手语音随机1k,0.1263,0.735
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,1216,179,0.8034,0.0,40.78,310,0.7556,2.58,37.42,394,0.7957,0.51,65.74,272,0.7354,3.68,38.97,16,0.6435,6.25,62.5,28,0.4764,14.29,57.14,8,0.6678,0.0,37.5,9,0.6167,11.11,33.33,助手随机1k,0.327,0.7616
POST_TENURE_AND_MOVE_RESOLUTION__4,POST_TENURE_AND_MOVE_RESOLUTION__4,502,177,0.8036,0.56,15.82,92,0.7557,1.09,13.04,79,0.8452,0.0,15.19,132,0.7734,0.76,9.09,5,0.837,0.0,40.0,3,0.6063,0.0,0.0,4,0.8442,0.0,25.0,10,0.7813,0.0,30.0,2025搜索随机1w,0.0895,0.7925
PERSON_LIST_LOOKUP__1,PERSON_LIST_LOOKUP__1,1079,77,0.7953,2.6,16.88,424,0.8185,1.18,18.16,74,0.8283,1.35,12.16,443,0.7883,2.03,15.58,4,0.8592,0.0,0.0,32,0.6671,6.25,31.25,2,0.5374,0.0,0.0,23,0.7511,0.0,21.74,助手随机1k,0.1612,0.7988
BARE_NAME_DEFAULT_LOOKUP__4,BARE_NAME_DEFAULT_LOOKUP__4,3773,1458,0.8363,0.34,89.64,417,0.7372,0.96,93.53,1089,0.845,0.55,89.26,410,0.7189,1.46,90.49,147,0.8651,0.0,93.2,22,0.6814,0.0,77.27,167,0.8398,0.0,95.81,63,0.7705,1.59,93.65,助手随机1k,0.1837,0.8144
BIO_PROFILE_LOOKUP__5,BIO_PROFILE_LOOKUP__5,452,76,0.8868,0.0,35.53,29,0.8054,0.0,34.48,325,0.8328,0.62,71.08,17,0.8493,0.0,23.53,4,0.7374,0.0,50.0,1,0.6051,0.0,0.0,0,,,,0,,,,2025搜索随机1w,0.0814,0.8394
BIO_PROFILE_LOOKUP__3,BIO_PROFILE_LOOKUP__3,370,3,0.9643,0.0,0.0,3,0.9489,0.0,0.0,361,0.8561,0.55,58.73,3,0.6757,0.0,33.33,0,,,,0,,,,0,,,,0,,,,2026搜索,,0.8562
SINGLE_ATTRIBUTE_FACTOID__3,SINGLE_ATTRIBUTE_FACTOID__3,88,18,0.9304,0.0,100.0,5,0.4345,20.0,40.0,43,0.9327,0.0,76.74,10,0.5875,10.0,40.0,0,,,,0,,,,10,0.9563,0.0,100.0,2,0.8071,0.0,100.0,2026搜索,,0.8645
BARE_NAME_DEFAULT_LOOKUP__3,BARE_NAME_DEFAULT_LOOKUP__3,1033,408,0.9213,0.49,93.38,123,0.7671,0.81,87.8,290,0.9184,0.0,93.45,127,0.7161,1.57,87.4,24,0.9523,0.0,100.0,5,0.6711,0.0,100.0,37,0.9343,0.0,91.89,19,0.8333,0.0,84.21,2026搜索随机1w,0.2362,0.8752
PORTRAIT_IMAGE_REQUEST__1,PORTRAIT_IMAGE_REQUEST__1,59,0,,,,40,0.8741,0.0,80.0,0,,,,19,0.8773,0.0,63.16,0,,,,0,,,,0,,,,0,,,,2025搜索随机1w,,0.8752
SINGLE_ATTRIBUTE_FACTOID__6,SINGLE_ATTRIBUTE_FACTOID__6,198,24,0.9077,0.0,91.67,40,0.8436,2.5,92.5,61,0.9107,1.64,77.05,56,0.8736,1.79,94.64,0,,,,4,0.8718,0.0,100.0,3,0.9573,0.0,100.0,10,0.9026,0.0,100.0,2025搜索随机1w,0.0671,0.8858
SINGLE_ATTRIBUTE_FACTOID__1,SINGLE_ATTRIBUTE_FACTOID__1,220,20,0.9215,0.0,95.0,71,0.9044,0.0,98.59,29,0.8831,0.0,93.1,72,0.9071,0.0,93.06,1,0.117,100.0,100.0,12,0.7869,0.0,83.33,2,0.7634,0.0,100.0,13,0.8833,0.0,100.0,2026搜索,0.0384,0.8915
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,2060,288,0.934,0.0,18.4,513,0.8661,0.0,18.13,579,0.9353,0.0,39.03,613,0.8741,0.0,17.46,6,0.8663,0.0,16.67,18,0.6166,0.0,22.22,12,0.9365,0.0,41.67,31,0.7774,0.0,22.58,助手语音随机1k,0.1579,0.8943
OUT_OF_SCOPE_OR_UNPARSEABLE__2,OUT_OF_SCOPE_OR_UNPARSEABLE__2,383,142,0.9391,0.0,14.79,76,0.8422,1.32,9.21,59,0.9344,0.0,27.12,78,0.8787,0.0,3.85,2,0.9343,0.0,0.0,3,0.8412,0.0,0.0,17,0.9546,0.0,11.76,6,0.8808,0.0,0.0,2025搜索随机1w,0.0969,0.9058
BIO_PROFILE_LOOKUP__4,BIO_PROFILE_LOOKUP__4,2116,543,0.9548,0.0,19.52,265,0.9224,0.0,31.7,1061,0.9128,0.57,42.22,205,0.9038,0.0,45.85,23,0.8385,0.0,65.22,10,0.6434,0.0,30.0,1,0.9833,0.0,0.0,8,0.9543,0.0,50.0,助手头部1k,0.1163,0.922
BARE_NAME_DEFAULT_LOOKUP__1,BARE_NAME_DEFAULT_LOOKUP__1,7240,3063,0.9311,0.07,91.94,727,0.9034,0.28,91.61,2262,0.9284,0.22,91.25,591,0.9011,0.34,92.22,231,0.934,0.0,92.64,22,0.9215,0.0,90.91,269,0.9176,0.74,91.45,75,0.8573,1.33,82.67,助手语音随机1k,0.0767,0.9238
