key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ADULT_SEXUALIZED_IMAGE_BROWSE,泛成人性化图片浏览,57,16,0.4926,12.5,6.25,9,0.4079,11.11,22.22,10,0.4792,10.0,0.0,11,0.4251,9.09,0.0,5,0.4499,20.0,0.0,0,,,,6,0.4117,16.67,0.0,0,,,,,,0.4516
OUT_OF_SCOPE_OR_UNPARSEABLE,非人物类目浏览或不可解析查询,5144,1049,0.6055,4.19,74.36,1374,0.4605,5.68,71.32,694,0.5756,4.47,77.38,1349,0.4656,6.08,71.76,147,0.5195,10.88,70.07,147,0.4285,8.84,68.03,210,0.6627,0.48,74.76,174,0.4728,4.6,78.74,助手随机1k,0.2342,0.5164
CAUSAL_EXPLANATION,人物相关原因与解释查询,257,14,0.5343,0.0,64.29,99,0.5205,1.01,41.41,5,0.5789,0.0,0.0,83,0.5672,3.61,30.12,13,0.5839,0.0,30.77,30,0.5825,0.0,56.67,0,,,,13,0.575,0.0,23.08,2025搜索随机1w,0.062,0.5507
RELATION_AND_FAMILY_LOOKUP,亲属关系与家庭背景查询,1637,166,0.672,2.41,74.7,602,0.5705,5.32,69.77,95,0.6507,2.11,60.0,542,0.5306,6.09,71.03,61,0.4665,4.92,91.8,97,0.4467,9.28,77.32,3,0.8793,0.0,100.0,71,0.5695,5.63,74.65,助手随机1k,0.2253,0.5615
PLATFORM_DIRECTED_TASK,指定平台页面导航或平台互动,1094,61,0.5151,1.64,98.36,69,0.3636,5.8,85.51,861,0.6644,1.28,90.71,88,0.4103,12.5,86.36,7,0.2665,42.86,100.0,6,0.4404,16.67,100.0,1,0.1833,100.0,0.0,1,0.2542,0.0,100.0,2025搜索随机1w,0.3008,0.612
POST_TENURE_AND_MOVE_RESOLUTION,职务任免与现职级别核查,3083,373,0.7219,2.41,38.34,1048,0.6153,3.15,61.74,197,0.7074,1.52,41.62,1188,0.6061,2.78,56.9,18,0.6062,16.67,77.78,140,0.4915,5.0,61.43,19,0.6742,0.0,57.89,100,0.578,3.0,52.0,助手随机1k,0.2304,0.624
PERSON_LIST_LOOKUP,人物名单与条件式人物列表查询,2060,155,0.6738,3.23,34.84,723,0.6773,4.29,39.56,220,0.716,1.82,46.36,772,0.6573,4.53,39.51,17,0.4537,5.88,58.82,97,0.5308,5.15,57.73,16,0.6447,0.0,68.75,60,0.5023,5.0,55.0,助手语音随机1k,0.2137,0.6596
SINGLE_ATTRIBUTE_FACTOID,人物单项属性事实查询,1223,114,0.795,3.51,89.47,358,0.6264,9.5,87.71,177,0.8554,1.69,80.79,399,0.6706,4.51,85.21,19,0.4427,15.79,89.47,70,0.5291,7.14,80.0,19,0.9341,0.0,100.0,67,0.6072,8.96,89.55,助手随机1k,0.3263,0.685
PORTRAIT_IMAGE_REQUEST,人物照片图集查询,635,86,0.7217,0.0,11.63,241,0.7063,1.66,19.09,63,0.6896,0.0,28.57,209,0.7192,0.96,9.09,2,0.8405,0.0,50.0,14,0.7888,0.0,0.0,4,0.7127,0.0,0.0,16,0.7299,0.0,12.5,2026搜索,0.0321,0.7139
BARE_NAME_DEFAULT_LOOKUP,裸名人物默认身份查询,19429,6634,0.8494,0.5,91.0,3194,0.6786,2.32,85.1,4815,0.8496,0.66,90.43,3270,0.6594,1.9,84.01,470,0.8716,0.43,93.19,96,0.6217,4.17,83.33,665,0.8298,0.6,92.78,285,0.7179,2.11,87.02,助手随机1k,0.2499,0.7862
BIO_PROFILE_LOOKUP,人物简介履历资料查询,6214,1089,0.9197,0.0,23.78,1120,0.8475,0.71,27.05,2720,0.8835,0.44,50.59,1110,0.8447,0.9,28.11,49,0.77,2.04,57.14,57,0.5523,7.02,40.35,21,0.8364,0.0,38.1,48,0.7767,2.08,29.17,助手随机1k,0.3674,0.8715
