key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
24,中英文翻译查询,用户想知道某个中文或英文词语、短语对应的另一种语言说法，获得准确的中英或英中翻译后即满足。,469,2.151,206,2.062,1.801,2.36,2.106,176,1.763,1.523,2.041,1.649,43,5.006,3.737,6.675,13.172,44,4.536,3.396,6.035,3.92,15.43,0.9585,0.6171,13.19,0.8196,0.5277,37.45,2.3267,1.4979,33.93,2.1084,1.3573,4,,,助手头部1k,2026搜索,3.242,2.84,9,11,6,5,启动翻译工具或查询英汉词句,63.3,4.0,,用户想知道某个中文或英文词语、短语对应的另一种语言说法，获得准确的中英或英中翻译后即满足。
53,查询极短词条,用户输入单个汉字、数字或极短词后，获得与之直接匹配的解释或检索结果，即可能得到满足。,429,1.968,128,1.281,1.079,1.521,0.859,182,1.823,1.579,2.105,1.291,117,13.62,11.488,16.077,18.339,2,0.206,0.057,0.749,0.167,7.57,0.6511,0.3027,10.77,0.9266,0.4308,80.44,6.921,3.2178,1.22,0.1048,0.0487,4,,,助手头部1k,助手随机1k,13.414,66.06,18,10,3,26,无意图或上下文依赖的残余查询,100.0,2.0,,用户输入单个汉字、数字或极短词后，获得与之直接匹配的解释或检索结果，即可能得到满足。
20,查询好词好句与名言故事素材,用户提出一个主题或场景（如童年、稻草人、幼儿园毕业）时，能获得该主题相关的简短好词好句、名言警句、寓言故事或寄语文案素材，即满意。,391,1.794,138,1.382,1.171,1.63,1.068,137,1.373,1.162,1.62,0.965,56,6.519,5.054,8.371,3.594,60,6.186,4.836,7.881,6.839,8.94,0.7702,0.3575,8.88,0.7653,0.3552,42.17,3.6346,1.6868,40.01,3.4486,1.6005,4,,,助手头部1k,2026搜索,5.147,4.75,15,18,4,3,无意图或上下文依赖的残余查询,59.3,2.0,True,用户提出一个主题或场景（如童年、稻草人、幼儿园毕业）时，能获得该主题相关的简短好词好句、名言警句、寓言故事或寄语文案素材，即满意。
44,汉字笔顺查询,用户查询某个汉字的正确笔画书写顺序，得到该字逐笔笔顺的说明或演示后即满足。,382,1.752,133,1.331,1.125,1.576,0.771,246,2.465,2.178,2.788,1.402,0,0.0,0.0,0.445,0.0,3,0.309,0.105,0.905,0.25,32.43,0.7598,1.2973,60.03,1.4065,2.4014,0.0,0.0,0.0,7.53,0.1765,0.3013,3,助手头部1k,,2026搜索,助手头部1k,2.465,inf,16,8,32,25,查询汉字笔顺写法,98.4,4.0,,用户查询某个汉字的正确笔画书写顺序，得到该字逐笔笔顺的说明或演示后即满足。
9,查询中考成绩,用户提供考试类型或地区后，获得该考试（以中考为主）成绩的官方查询入口、查询步骤、发布时间或总分/分数线等信息，即得到满足。,357,1.638,181,1.812,1.568,2.093,1.839,164,1.643,1.412,1.912,1.691,1,0.116,0.021,0.656,0.107,11,1.134,0.634,2.019,1.001,38.51,1.1064,1.5403,34.92,1.0033,1.3968,2.47,0.0711,0.099,24.1,0.6925,0.964,4,,,2025搜索,助手头部1k,1.696,15.57,10,13,29,16,查询考试成绩与出分动态,53.2,3.0,,用户提供考试类型或地区后，获得该考试（以中考为主）成绩的官方查询入口、查询步骤、发布时间或总分/分数线等信息，即得到满足。
25,汉字组词查询,用户输入一个汉字或“X组词”查询，希望系统返回由该字组成的一组词语列表。,320,1.468,128,1.281,1.079,1.521,0.679,150,1.503,1.282,1.761,0.725,34,3.958,2.846,5.48,2.326,8,0.825,0.418,1.619,1.168,16.93,0.8729,0.6774,19.86,1.0238,0.7944,52.31,2.6963,2.0923,10.9,0.5618,0.436,4,,,助手头部1k,助手随机1k,3.133,4.8,18,17,8,19,生成生字组词,93.4,3.0,,用户输入一个汉字或“X组词”查询，希望系统返回由该字组成的一组词语列表。
32,查询专业与院校信息,用户输入专业名称或高校简称后，希望获得该专业或高校的介绍、排名、学科设置等相关信息。,291,1.335,168,1.682,1.448,1.953,1.618,121,1.212,1.016,1.447,0.895,2,0.233,0.064,0.845,0.115,0,0.0,0.0,0.394,0.0,53.79,1.2599,2.1514,38.77,0.9081,1.5508,7.45,0.1744,0.2978,0.0,0.0,0.0,3,助手随机1k,,2025搜索,助手随机1k,1.682,inf,12,19,24,34,了解专业培养内容与就业前景,75.9,4.0,,用户输入专业名称或高校简称后，希望获得该专业或高校的介绍、排名、学科设置等相关信息。
8,教育考试院官网查询,用户获得所查询省/市教育考试院的官方网站地址或登录入口后即满足。,289,1.326,131,1.311,1.106,1.554,1.664,157,1.573,1.347,1.836,2.045,1,0.116,0.021,0.656,0.041,0,0.0,0.0,0.394,0.0,43.7,0.9892,1.7481,52.42,1.1865,2.0967,3.88,0.0878,0.1552,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,1.573,inf,17,14,29,34,导航至官方招考政务门户与登录入口,98.6,4.0,,用户获得所查询省/市教育考试院的官方网站地址或登录入口后即满足。
21,生肖谜底查询,用户提供一个谜面或描述（如成语、俗语、动物特征），希望得到该谜面对应的准确生肖答案；系统给出明确生肖即满足。,266,1.22,87,0.871,0.707,1.073,1.081,155,1.553,1.328,1.815,2.325,15,1.746,1.061,2.861,0.977,9,0.928,0.489,1.754,0.917,17.08,0.7138,0.6834,30.46,1.2727,1.2185,34.25,1.431,1.3701,18.2,0.7604,0.728,4,,,助手头部1k,2025搜索,0.875,2.0,24,15,13,18,求生肖谜语博彩谜底,96.2,3.0,,用户提供一个谜面或描述（如成语、俗语、动物特征），希望得到该谜面对应的准确生肖答案；系统给出明确生肖即满足。
2,查询词语对应生肖,收到一个成语、词语或句子后，用户希望知道它对应或代表的生肖，得到明确的生肖答案即满足。,230,1.055,96,0.961,0.788,1.172,0.875,115,1.152,0.961,1.381,1.407,11,1.281,0.717,2.278,0.453,8,0.825,0.418,1.619,0.751,22.78,0.9109,0.9113,27.31,1.092,1.0925,30.36,1.2137,1.2142,19.55,0.7817,0.782,4,,,助手头部1k,助手随机1k,0.456,1.55,22,21,16,19,求生肖谜语博彩谜底,96.1,4.0,,收到一个成语、词语或句子后，用户希望知道它对应或代表的生肖，得到明确的生肖答案即满足。
52,查询词语概念含义与基础常识,用户询问一个字词、符号、缩写或常识概念（是什么、指什么、读什么、是几月/几点/什么单位、如何区分读音等），得到直接、准确的事实性解释或答案后即满足。,224,1.028,69,0.691,0.546,0.873,0.362,80,0.802,0.645,0.996,0.48,18,2.095,1.33,3.288,3.279,57,5.876,4.563,7.538,4.837,7.3,0.6722,0.292,8.47,0.78,0.3388,22.14,2.0392,0.8857,62.09,5.7186,2.4836,4,,,助手随机1k,2025搜索,5.186,8.51,28,28,12,4,无意图或上下文依赖的残余查询,40.2,4.0,,用户询问一个字词、符号、缩写或常识概念（是什么、指什么、读什么、是几月/几点/什么单位、如何区分读音等），得到直接、准确的事实性解释或答案后即满足。
30,查询高校一本二本层次,用户输入某所中国高校名称，希望得到该校本科招生批次属于一本还是二本（或是否属于一本）的明确判断。,215,0.986,149,1.492,1.272,1.749,0.755,66,0.661,0.52,0.84,0.31,0,0.0,0.0,0.445,0.0,0,0.0,0.0,0.394,0.0,69.29,1.5124,2.7714,30.71,0.6705,1.2286,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2025搜索,助手头部1k,1.492,inf,13,31,32,34,判定高校办学层次与标签,98.1,4.0,,用户输入某所中国高校名称，希望得到该校本科招生批次属于一本还是二本（或是否属于一本）的明确判断。
34,高校985/211属性查询,用户想知道某所高校是否属于985或211，得到该校明确的归类结果后即满足。,211,0.968,93,0.931,0.761,1.139,0.637,116,1.162,0.97,1.392,0.852,2,0.233,0.064,0.845,0.087,0,0.0,0.0,0.394,0.0,40.03,0.9619,1.601,49.96,1.2007,1.9986,10.01,0.2405,0.4004,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,1.162,inf,23,20,24,34,判定高校办学层次与标签,91.5,4.0,,用户想知道某所高校是否属于985或211，得到该校明确的归类结果后即满足。
33,查询专业学习内容与就业方向,用户想知道某个专业学什么、是干什么的，得到该专业的课程内容、培养方向或就业去向说明后即满足。,188,0.862,101,1.011,0.833,1.227,0.676,85,0.852,0.689,1.052,0.59,1,0.116,0.021,0.656,0.035,1,0.103,0.018,0.582,0.083,48.56,1.1724,1.9424,40.9,0.9875,1.636,5.59,0.135,0.2236,4.95,0.1195,0.198,4,,,2025搜索,助手随机1k,0.908,9.81,20,27,29,29,了解专业培养内容与就业前景,98.9,4.0,,用户想知道某个专业学什么、是干什么的，得到该专业的课程内容、培养方向或就业去向说明后即满足。
5,查询职业资格考试报名信息,用户查询各类职业资格与教育考试的报名官网、报名入口、报名时间和报考条件，获得可核验的官方报名渠道与具体安排即可满足。,184,0.844,77,0.771,0.617,0.962,0.653,94,0.942,0.77,1.151,0.731,6,0.698,0.321,1.515,0.384,7,0.722,0.35,1.482,0.667,24.61,0.9132,0.9842,30.06,1.1158,1.2025,22.3,0.8275,0.8918,23.04,0.855,0.9214,4,,,2026搜索,助手头部1k,0.243,1.35,26,25,21,21,查询职业资格与成人学历提升,56.5,4.0,,用户查询各类职业资格与教育考试的报名官网、报名入口、报名时间和报考条件，获得可核验的官方报名渠道与具体安排即可满足。
28,专业就业方向及前景查询,用户输入某个专业名称后，希望获得该专业对应的就业方向、就业前景等信息。,183,0.839,83,0.831,0.671,1.029,0.544,95,0.952,0.779,1.162,0.684,0,0.0,0.0,0.445,0.0,5,0.515,0.22,1.201,0.417,36.16,0.9898,1.4462,41.42,1.1338,1.6566,0.0,0.0,0.0,22.43,0.614,0.8972,3,助手头部1k,,2026搜索,助手头部1k,0.952,inf,25,24,32,23,了解专业培养内容与就业前景,99.5,4.0,,用户输入某个专业名称后，希望获得该专业对应的就业方向、就业前景等信息。
48,高考志愿填报信息查询,用户获得高考志愿填报的时间、系统入口、填报流程与规则或辅助工具等具体信息后即满足。,176,0.807,100,1.001,0.824,1.216,1.226,74,0.741,0.591,0.93,0.827,2,0.233,0.064,0.845,0.077,0,0.0,0.0,0.394,0.0,50.68,1.2399,2.0272,37.53,0.9183,1.5013,11.79,0.2884,0.4715,0.0,0.0,0.0,3,助手随机1k,,2025搜索,助手随机1k,1.001,inf,21,29,24,34,进行升学与择校志愿决策咨询,93.2,4.0,,用户获得高考志愿填报的时间、系统入口、填报流程与规则或辅助工具等具体信息后即满足。
6,官网入口查询,用户给出机构或平台名称后，得到对应的官方网站地址或登录入口即满足。,172,0.789,69,0.691,0.546,0.873,1.535,101,1.012,0.834,1.228,2.145,0,0.0,0.0,0.445,0.0,2,0.206,0.057,0.749,0.167,36.19,0.8755,1.4475,53.01,1.2825,2.1205,0.0,0.0,0.0,10.8,0.2613,0.4321,3,助手头部1k,,2026搜索,助手头部1k,1.012,inf,28,23,32,26,导航至官方招考政务门户与登录入口,62.8,4.0,,用户给出机构或平台名称后，得到对应的官方网站地址或登录入口即满足。
49,高考信息查询,用户发出高考相关查询（如各省分数线、批次线、分数、时间、查分入口、成绩、政策及选科建议），获得与所问省份、年份和条件相符的准确答案后即被满足。,164,0.752,75,0.751,0.599,0.94,1.004,73,0.731,0.582,0.919,0.842,10,1.164,0.634,2.13,0.6,6,0.619,0.284,1.343,0.5,23.0,0.998,0.9199,22.4,0.9722,0.8961,35.66,1.5474,1.4262,18.95,0.8222,0.7578,4,,,助手头部1k,助手随机1k,0.546,1.88,27,30,17,22,进行升学与择校志愿决策咨询,53.7,4.0,,用户发出高考相关查询（如各省分数线、批次线、分数、时间、查分入口、成绩、政策及选科建议），获得与所问省份、年份和条件相符的准确答案后即被满足。
4,考试招生官网查询,用户输入地区或机构名称后，希望获得对应的官方招生考试、人事考试或招生报名网站及其登录/联系入口，以便查看公告、简章或办理报名。,159,0.729,53,0.531,0.406,0.693,1.03,103,1.032,0.852,1.25,1.223,2,0.233,0.064,0.845,0.084,1,0.103,0.018,0.582,0.083,27.95,0.7274,1.1179,54.36,1.4148,2.1743,12.26,0.3192,0.4906,5.43,0.1413,0.2172,4,,,2026搜索,助手随机1k,0.929,10.01,31,22,24,29,导航至官方招考政务门户与登录入口,89.9,3.0,,用户输入地区或机构名称后，希望获得对应的官方招生考试、人事考试或招生报名网站及其登录/联系入口，以便查看公告、简章或办理报名。
7,教育服务平台官网查询,用户输入某地区或某类教育服务平台名称后，获得对应官方服务平台或登录入口的准确网址即可满足。,157,0.72,64,0.641,0.502,0.817,0.613,92,0.922,0.752,1.129,0.991,0,0.0,0.0,0.445,0.0,1,0.103,0.018,0.582,0.083,38.47,0.8896,1.5387,55.34,1.2798,2.2137,0.0,0.0,0.0,6.19,0.1431,0.2476,3,助手头部1k,,2026搜索,助手头部1k,0.922,inf,30,26,32,29,导航至官方招考政务门户与登录入口,73.2,4.0,,用户输入某地区或某类教育服务平台名称后，获得对应官方服务平台或登录入口的准确网址即可满足。
31,考试升学报考条件与学制学费查询,用户查询公务员、研究生、专升本、选调生、部队文职等考试或招生项目的报考条件、学制、学费、专业和岗位要求时，获得对应的报考门槛、就读年限、费用标准或可选岗位说明即被满足。,145,0.665,34,0.34,0.244,0.475,0.193,60,0.601,0.467,0.773,0.295,15,1.746,1.061,2.861,1.224,36,3.711,2.693,5.095,3.169,5.32,0.5117,0.2128,9.39,0.9037,0.3758,27.29,2.6252,1.0915,58.0,5.5796,2.3199,4,,,助手随机1k,2025搜索,3.371,10.9,35,32,13,7,查询职业资格与成人学历提升,38.6,4.0,,用户查询公务员、研究生、专升本、选调生、部队文职等考试或招生项目的报考条件、学制、学费、专业和岗位要求时，获得对应的报考门槛、就读年限、费用标准或可选岗位说明即被满足。
55,查询院校基本信息,用户提出关于某所高校或学校的基本情况问题（如它是什么大学、位于哪个城市、属于什么档次、是公办还是民办、两校区别等），系统给出准确的事实性答案后，用户即满足。,116,0.532,46,0.461,0.345,0.614,0.294,36,0.361,0.261,0.499,0.264,5,0.582,0.249,1.355,0.388,29,2.99,2.09,4.261,3.086,10.48,0.8654,0.4193,8.21,0.6778,0.3284,13.25,1.0938,0.53,68.06,5.6183,2.7223,4,,,助手随机1k,2026搜索,2.629,8.29,32,34,22,8,进行升学与择校志愿决策咨询,36.2,4.0,,用户提出关于某所高校或学校的基本情况问题（如它是什么大学、位于哪个城市、属于什么档次、是公办还是民办、两校区别等），系统给出准确的事实性答案后，用户即满足。
57,查询拼音字母与声韵母发音表,用户需要获得汉语拼音字母表、声母表、韵母表、整体认读音节表及其正确读法或跟读内容，提供完整表格和发音示范后即满足。,96,0.44,45,0.45,0.337,0.602,0.338,39,0.391,0.286,0.534,0.284,8,0.931,0.473,1.827,0.64,4,0.412,0.16,1.055,0.334,20.62,1.023,0.8247,17.88,0.8873,0.7153,42.62,2.1148,1.705,18.87,0.9364,0.7549,4,,,助手头部1k,2026搜索,0.541,2.38,33,33,20,24,无意图或上下文依赖的残余查询,71.9,4.0,,用户需要获得汉语拼音字母表、声母表、韵母表、整体认读音节表及其正确读法或跟读内容，提供完整表格和发音示范后即满足。
1,查询汉字与词语,用户得到所问偏旁下的汉字列表、某个字形或部件的读音与写法，或所问四字词语的具体实例后即满足。,88,0.404,36,0.36,0.26,0.499,0.229,32,0.321,0.227,0.452,0.208,9,1.048,0.552,1.979,0.631,11,1.134,0.634,2.019,0.917,12.59,0.8928,0.5036,11.2,0.7942,0.448,36.6,2.5954,1.4639,39.61,2.8091,1.5845,4,,,助手随机1k,2026搜索,0.813,3.54,34,35,18,16,按结构约束列举字词,48.9,3.0,True,用户得到所问偏旁下的汉字列表、某个字形或部件的读音与写法，或所问四字词语的具体实例后即满足。
41,多音字组词查询,用户输入一个汉字后，希望获得该字的不同读音，以及每个读音对应的组词。,62,0.284,32,0.32,0.227,0.452,0.143,29,0.291,0.202,0.417,0.158,0,0.0,0.0,0.445,0.0,1,0.103,0.018,0.582,0.25,44.87,1.1263,1.7947,40.69,1.0216,1.6277,0.0,0.0,0.0,14.44,0.3625,0.5776,3,助手头部1k,,2025搜索,助手头部1k,0.32,inf,36,36,32,29,生成生字组词,82.3,5.0,,用户输入一个汉字后，希望获得该字的不同读音，以及每个读音对应的组词。
56,查询事物区别,用户想知道所问两个同类或易混淆对象之间的主要区别，获得针对二者清晰、可核对的对比说明后即满足。,60,0.275,27,0.27,0.186,0.393,0.13,29,0.291,0.202,0.417,0.162,2,0.233,0.064,0.845,0.259,2,0.206,0.057,0.749,0.167,27.03,0.982,1.0813,29.06,1.0556,1.1624,23.29,0.8459,0.9314,20.62,0.7491,0.8249,4,,,2026搜索,助手随机1k,0.084,1.41,37,36,24,26,进行升学与择校志愿决策咨询,66.7,4.0,,用户想知道所问两个同类或易混淆对象之间的主要区别，获得针对二者清晰、可核对的对比说明后即满足。
29,院校专业名单查询,用户想知道某一地区、层次、类型或学科范围内的学校、专业或科目都有哪些，获得一份明确、完整、可核验的名单即可满足。,60,0.275,21,0.21,0.138,0.321,0.098,20,0.2,0.13,0.309,0.096,0,0.0,0.0,0.445,0.0,19,1.959,1.258,3.039,1.585,8.87,0.7638,0.3549,8.46,0.728,0.3383,0.0,0.0,0.0,82.67,7.1165,3.3068,3,助手头部1k,,助手随机1k,助手头部1k,1.959,inf,38,38,32,14,进行升学与择校志愿决策咨询,53.3,3.0,,用户想知道某一地区、层次、类型或学科范围内的学校、专业或科目都有哪些，获得一份明确、完整、可核验的名单即可满足。
