key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
10,汉字笔顺查询,用户查询某个汉字的正确笔画书写顺序，获取该字逐笔笔顺的说明或演示后即满足。,382,1.752,133,1.331,1.125,1.576,0.771,246,2.465,2.178,2.788,1.402,0,0.0,0.0,0.445,0.0,3,0.309,0.105,0.905,0.25,32.43,0.7598,1.2973,60.03,1.4065,2.4014,0.0,0.0,0.0,7.53,0.1765,0.3013,3,助手头部1k,,2026搜索,助手头部1k,2.465,inf,12,9,19,15,查询汉字笔顺写法,98.4,是,
20,查询中考成绩,用户提供考试类型或地区后，希望获得该考试（以中考为主）成绩的官方查询入口、查询步骤、发布时间或总分/分数线等信息。,357,1.638,181,1.812,1.568,2.093,1.839,164,1.643,1.412,1.912,1.691,1,0.116,0.021,0.656,0.107,11,1.134,0.634,2.019,1.001,38.51,1.1064,1.5403,34.92,1.0033,1.3968,2.47,0.0711,0.099,24.1,0.6925,0.964,4,,,2025搜索,助手头部1k,1.696,15.57,9,11,17,10,查询考试成绩与出分动态,53.2,是,
19,教育考试院官网查询,用户希望获取所查询省/市教育考试院的官方网站地址或登录入口。,289,1.326,131,1.311,1.106,1.554,1.664,157,1.573,1.347,1.836,2.045,1,0.116,0.021,0.656,0.041,0,0.0,0.0,0.394,0.0,43.7,0.9892,1.7481,52.42,1.1865,2.0967,3.88,0.0878,0.1552,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,1.573,inf,13,12,17,20,导航至官方招考政务门户与登录入口,98.6,是,
15,生肖谜底查询,用户提供谜面或描述，希望查询该谜面对应的准确生肖答案。,266,1.22,87,0.871,0.707,1.073,1.081,155,1.553,1.328,1.815,2.325,15,1.746,1.061,2.861,0.977,9,0.928,0.489,1.754,0.917,17.08,0.7138,0.6834,30.46,1.2727,1.2185,34.25,1.431,1.3701,18.2,0.7604,0.728,4,,,助手头部1k,2025搜索,0.875,2.0,16,13,9,11,求生肖谜语博彩谜底,96.2,是,
14,查询词语对应生肖,用户提供一个成语、词语或句子，希望查询其对应或代表的生肖。,230,1.055,96,0.961,0.788,1.172,0.875,115,1.152,0.961,1.381,1.407,11,1.281,0.717,2.278,0.453,8,0.825,0.418,1.619,0.751,22.78,0.9109,0.9113,27.31,1.092,1.0925,30.36,1.2137,1.2142,19.55,0.7817,0.782,4,,,助手头部1k,助手随机1k,0.456,1.55,15,15,11,12,求生肖谜语博彩谜底,96.1,是,
1,职业资格考试报名信息查询,用户查询各类职业资格与教育考试的报名官网、报名入口、报名时间和报考条件，以获取可核验的官方报名渠道与具体安排。,184,0.844,77,0.771,0.617,0.962,0.653,94,0.942,0.77,1.151,0.731,6,0.698,0.321,1.515,0.384,7,0.722,0.35,1.482,0.667,24.61,0.9132,0.9842,30.06,1.1158,1.2025,22.3,0.8275,0.8918,23.04,0.855,0.9214,4,,,2026搜索,助手头部1k,0.243,1.35,17,18,13,13,查询职业资格与成人学历提升,56.5,是,
21,高考志愿填报信息查询,用户查询高考志愿填报的时间安排、系统入口、填报流程规则或辅助工具等信息。,176,0.807,100,1.001,0.824,1.216,1.226,74,0.741,0.591,0.93,0.827,2,0.233,0.064,0.845,0.077,0,0.0,0.0,0.394,0.0,50.68,1.2399,2.0272,37.53,0.9183,1.5013,11.79,0.2884,0.4715,0.0,0.0,0.0,3,助手随机1k,,2025搜索,助手随机1k,1.001,inf,14,20,15,20,进行升学与择校志愿决策咨询,93.2,是,
17,官网入口查询,用户给出机构或平台名称后，希望获得对应的官方网站地址或登录入口。,172,0.789,69,0.691,0.546,0.873,1.535,101,1.012,0.834,1.228,2.145,0,0.0,0.0,0.445,0.0,2,0.206,0.057,0.749,0.167,36.19,0.8755,1.4475,53.01,1.2825,2.1205,0.0,0.0,0.0,10.8,0.2613,0.4321,3,助手头部1k,,2026搜索,助手头部1k,1.012,inf,19,17,19,17,导航至官方招考政务门户与登录入口,62.8,是,
22,高考信息查询,用户查询高考相关信息（如各省分数线、批次线、分数、时间、查分入口、成绩、政策及选科建议），并获得与所问省份、年份和条件相符的准确答案。,164,0.752,75,0.751,0.599,0.94,1.004,73,0.731,0.582,0.919,0.842,10,1.164,0.634,2.13,0.6,6,0.619,0.284,1.343,0.5,23.0,0.998,0.9199,22.4,0.9722,0.8961,35.66,1.5474,1.4262,18.95,0.8222,0.7578,4,,,助手头部1k,助手随机1k,0.546,1.88,18,21,12,14,进行升学与择校志愿决策咨询,53.7,是,
16,考试招生官网查询,用户输入地区或机构名称后，希望获得对应的官方招生考试、人事考试或招生报名网站及其登录/联系入口，以便查看公告、简章或办理报名。,159,0.729,53,0.531,0.406,0.693,1.03,103,1.032,0.852,1.25,1.223,2,0.233,0.064,0.845,0.084,1,0.103,0.018,0.582,0.083,27.95,0.7274,1.1179,54.36,1.4148,2.1743,12.26,0.3192,0.4906,5.43,0.1413,0.2172,4,,,2026搜索,助手随机1k,0.929,10.01,21,16,15,18,导航至官方招考政务门户与登录入口,89.9,是,
18,教育服务平台官网查询,用户想要查找某地区或某类教育服务平台的官方网站或登录入口网址。,157,0.72,64,0.641,0.502,0.817,0.613,92,0.922,0.752,1.129,0.991,0,0.0,0.0,0.445,0.0,1,0.103,0.018,0.582,0.083,38.47,0.8896,1.5387,55.34,1.2798,2.2137,0.0,0.0,0.0,6.19,0.1431,0.2476,3,助手头部1k,,2026搜索,助手头部1k,0.922,inf,20,19,19,18,导航至官方招考政务门户与登录入口,73.2,是,
