key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
INSTITUTION_NAME_LOOKUP__5,INSTITUTION_NAME_LOOKUP__5,1382,704,0.9592,0.28,3.84,673,0.9558,0.0,3.86,1,0.5777,0.0,0.0,4,0.4807,0.0,75.0,2026搜索,0.0034,0.9559
ADMISSION_SCORE_LOOKUP__1,ADMISSION_SCORE_LOOKUP__1,337,268,0.9855,0.0,0.0,67,0.8493,0.0,1.49,0,,,,2,0.6641,50.0,0.0,2026搜索,0.1362,0.9565
CHARACTER_PRONUNCIATION_LOOKUP__2,CHARACTER_PRONUNCIATION_LOOKUP__2,712,247,0.9646,0.4,8.91,454,0.9673,0.66,7.49,4,0.7457,0.0,0.0,7,0.6446,0.0,28.57,2025搜索,0.0027,0.962
WORD_FORMATION__1,WORD_FORMATION__1,53,31,0.97,0.0,0.0,19,0.969,0.0,0.0,1,0.9469,0.0,100.0,2,0.8779,0.0,0.0,2025搜索,,0.9657
WORD_FORMATION__2,WORD_FORMATION__2,298,122,0.9703,0.0,0.0,145,0.9696,0.0,0.0,27,0.9606,0.0,0.0,4,0.9,0.0,25.0,助手头部1k,0.0097,0.9682
INSTITUTION_NAME_LOOKUP__2,INSTITUTION_NAME_LOOKUP__2,413,214,0.9711,0.0,0.47,196,0.9852,0.0,0.0,0,,,,3,0.5914,0.0,0.0,2025搜索,0.0141,0.975
STROKE_ORDER_LOOKUP__1,STROKE_ORDER_LOOKUP__1,234,82,0.9754,0.0,0.0,150,0.9763,0.0,0.0,0,,,,2,0.8908,0.0,0.0,2025搜索,0.0009,0.9753
INSTITUTION_TIER_VERDICT__3,INSTITUTION_TIER_VERDICT__3,213,147,0.9826,0.0,1.36,66,0.9823,0.0,0.0,0,,,,0,,,,2026搜索,0.0003,0.9825
INSTITUTION_NAME_LOOKUP__4,INSTITUTION_NAME_LOOKUP__4,783,416,0.9824,0.24,1.2,364,0.9848,0.27,0.82,2,0.9944,0.0,0.0,1,0.4515,0.0,0.0,2025搜索,0.0024,0.9829
INSTITUTION_NAME_LOOKUP__3,INSTITUTION_NAME_LOOKUP__3,847,448,0.9866,0.0,0.45,399,0.9847,0.0,0.5,0,,,,0,,,,2026搜索,0.0019,0.9857
INSTITUTION_NAME_LOOKUP__6,INSTITUTION_NAME_LOOKUP__6,790,427,0.9893,0.0,0.47,361,0.9893,0.0,0.55,0,,,,2,0.3468,0.0,50.0,2025搜索,0.0,0.9877
CHARACTER_PRONUNCIATION_LOOKUP__1,CHARACTER_PRONUNCIATION_LOOKUP__1,1657,759,0.9893,0.0,0.53,885,0.9868,0.0,0.45,8,0.9804,0.0,12.5,5,0.9087,0.0,0.0,2026搜索,0.0025,0.9877
