L1,L1名,对比,a,b,每侧抽样n,AUC,零分布95分位,p,两侧可分(p<0.05)
RESOLVE_BARE_ENTITY,解析裸非可报价名称,界面·头部层,2026搜索,助手头部1k,73,0.617,0.582,0.01,True
RESOLVE_BARE_ENTITY,解析裸非可报价名称,深度·搜索内,2026搜索,2026搜索随机1w,400,0.697,0.535,0.01,True
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·头部层,2025搜索,2026搜索,400,0.559,0.536,0.02,True
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.544,0.543,0.059,False
RESOLVE_BARE_ENTITY,解析裸非可报价名称,输入方式·头部层,助手头部1k,助手语音头部1k,73,0.562,0.595,0.158,False
OTHER_INTENT,其他非金融意图或无明确意图,界面·头部层,2026搜索,助手头部1k,59,0.743,0.606,0.01,True
OTHER_INTENT,其他非金融意图或无明确意图,界面·随机层,2026搜索随机1w,助手随机1k,100,0.834,0.604,0.01,True
OTHER_INTENT,其他非金融意图或无明确意图,深度·搜索内,2026搜索,2026搜索随机1w,97,0.867,0.584,0.01,True
OTHER_INTENT,其他非金融意图或无明确意图,深度·助手内,助手头部1k,助手随机1k,59,0.912,0.616,0.01,True
OTHER_INTENT,其他非金融意图或无明确意图,时间·头部层,2025搜索,2026搜索,97,0.59,0.576,0.05,True
OTHER_INTENT,其他非金融意图或无明确意图,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.535,0.542,0.109,False
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,深度·搜索内,2026搜索,2026搜索随机1w,331,0.924,0.544,0.01,True
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·头部层,2025搜索,2026搜索,331,0.538,0.543,0.099,False
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.508,0.544,0.426,False
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,界面·随机层,2026搜索随机1w,助手随机1k,139,0.808,0.568,0.01,True
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,深度·搜索内,2026搜索,2026搜索随机1w,154,0.759,0.562,0.01,True
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·头部层,2025搜索,2026搜索,154,0.566,0.57,0.089,False
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.542,0.545,0.069,False
RATE_CALC,查询利率、费率、限额并试算利息/还款,界面·随机层,2026搜索随机1w,助手随机1k,98,0.682,0.603,0.01,True
RATE_CALC,查询利率、费率、限额并试算利息/还款,深度·搜索内,2026搜索,2026搜索随机1w,84,0.805,0.571,0.01,True
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·头部层,2025搜索,2026搜索,84,0.442,0.59,0.832,False
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.538,0.529,0.03,True
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,界面·随机层,2026搜索随机1w,助手随机1k,76,0.735,0.585,0.01,True
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.535,0.535,0.059,False
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,界面·随机层,2026搜索随机1w,助手随机1k,83,0.724,0.6,0.01,True
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,深度·搜索内,2026搜索,2026搜索随机1w,84,0.694,0.594,0.01,True
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·头部层,2025搜索,2026搜索,84,0.369,0.598,0.96,False
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.512,0.54,0.277,False
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,时间·随机层,2025搜索随机1w,2026搜索随机1w,100,0.405,0.585,0.931,False
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,深度·搜索内,2026搜索,2026搜索随机1w,40,0.604,0.644,0.149,False
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,时间·随机层,2025搜索随机1w,2026搜索随机1w,78,0.669,0.597,0.01,True
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·头部层,2026搜索,助手头部1k,54,0.853,0.584,0.01,True
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·随机层,2026搜索随机1w,助手随机1k,160,0.668,0.552,0.01,True
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·搜索内,2026搜索,2026搜索随机1w,54,0.685,0.595,0.01,True
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·助手内,助手头部1k,助手随机1k,62,0.851,0.615,0.01,True
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·头部层,2025搜索,2026搜索,54,0.568,0.604,0.178,False
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·随机层,2025搜索随机1w,2026搜索随机1w,186,0.625,0.559,0.01,True
TXN_ISSUE,排查账户与交易异常,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.511,0.542,0.337,False
COMPARISON_DECISION,比较两个金融对象并给出取舍,时间·随机层,2025搜索随机1w,2026搜索随机1w,100,0.438,0.588,0.832,False
DEBT_DISTRESS,处理逾期催收与还款困境,时间·随机层,2025搜索随机1w,2026搜索随机1w,41,0.467,0.633,0.782,False
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,界面·随机层,2026搜索随机1w,助手随机1k,79,0.728,0.595,0.01,True
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,深度·搜索内,2026搜索,2026搜索随机1w,61,0.851,0.592,0.01,True
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·头部层,2025搜索,2026搜索,40,0.74,0.626,0.01,True
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·随机层,2025搜索随机1w,2026搜索随机1w,273,0.645,0.562,0.01,True
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,时间·随机层,2025搜索随机1w,2026搜索随机1w,56,0.569,0.613,0.178,False
