sid,_row,source,query,bu_leaf,td_l2,抽样权重,叶名
VER0021,3971,2025search,借记卡是信用卡吗,47,VERDICT_QUESTION__2,1.0,查询办理信用卡业务
VER0022,4495,2025search,今天香港股市休市吗?,27,VERDICT_QUESTION__1,1.0,查询市场行情
VER0023,4520,2025search,上海汇正财经服务费能退吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0024,4631,2025search,瑞众人寿保险可靠吗,16,VERDICT_QUESTION__1,1.0,查询人寿保险相关业务信息
VER0025,5172,2025search,自然灾害车子损坏保险会赔吗,19,VERDICT_QUESTION__1,1.0,车险购买与理赔咨询
VER0026,5641,2025search,信用卡可以转账吗,47,VERDICT_QUESTION__2,1.0,查询办理信用卡业务
VER0027,5692,2025search,银行卡注销了还能查到流水吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0028,5824,2025search,中国人寿是国企还是央企,16,VERDICT_QUESTION__1,1.0,查询人寿保险相关业务信息
VER0029,5941,2025search,银行中午能办业务吗,49,VERDICT_QUESTION__2,1.0,银行信息查询
VER0030,6007,2025search,众安保险可靠吗能买吗?,18,VERDICT_QUESTION__1,1.0,查询保险相关业务
VER0031,6093,2025search,存折不是本人能取钱吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0032,6195,2025search,申能财险是正规保险公司吗,17,VERDICT_QUESTION__1,1.0,查询保险公司信息
VER0033,6234,2025search,公户转账转给个人私户可以吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0034,6254,2025search,微信可以绑定别人银行卡不?,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0035,6345,2025search,2025年7月1日港股休市吗,66,VERDICT_QUESTION__1,1.0,金融行情数据查询
VER0036,6490,2025search,零钱通有风险吗,10,VERDICT_QUESTION__1,1.0,查询转账与账户业务可行性
VER0037,6520,2025search,香港股市今天休市吗?,27,VERDICT_QUESTION__1,1.0,查询市场行情
VER0038,6535,2025search,cny是人民币吗,36,VERDICT_QUESTION__1,1.0,人民币及货币信息查询
VER0039,6578,2025search,对公账户的钱可以转到私人账户吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0040,6582,2025search,农商银行是农村信用社吗,50,VERDICT_QUESTION__2,1.0,农业银行及农村信用社服务信息查询
VER0041,6604,2025search,微信理财通安全吗 风险有多大,10,VERDICT_QUESTION__1,1.0,查询转账与账户业务可行性
VER0042,6691,2025search,支付宝账号是不是手机号,44,VERDICT_QUESTION__2,1.0,支付宝相关操作查询
VER0043,6904,2025search,云闪付是干什么的?安全吗?,43,VERDICT_QUESTION__1,1.0,支付方式使用与设置查询
VER0044,7021,2025search,农村商业银行属于什么银行,50,VERDICT_QUESTION__2,1.0,农业银行及农村信用社服务信息查询
VER0045,7074,2025search,16岁可以办银行卡吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0046,7122,2025search,答题万福300元能提现吗,1,VERDICT_QUESTION__2,1.0,查询300开头股票代码与行情
VER0047,7161,2025search,借记卡是储蓄卡吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0048,7516,2025search,富德生命人寿保险可靠吗?,16,VERDICT_QUESTION__1,1.0,查询人寿保险相关业务信息
VER0049,7737,2025search,办银行卡要钱吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0050,7873,2025search,民生银行是国企还是私企,49,VERDICT_QUESTION__2,1.0,银行信息查询
VER0051,7948,2025search,信用卡可以取现金出来吗,47,VERDICT_QUESTION__2,1.0,查询办理信用卡业务
VER0052,8009,2025search,atm机可以跨行存钱吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0053,8091,2025search,港股今天开盘吗?,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0054,8131,2025search,银行理财产品安全可靠吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0055,8261,2025search,身份证过期影响银行卡的正常使用吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0056,8285,2025search,腾讯理财通可靠吗安全吗,10,VERDICT_QUESTION__1,1.0,查询转账与账户业务可行性
VER0057,8408,2025search,存单丢了还能取出存款吗,70,VERDICT_QUESTION__2,1.0,查询定期存款利率
VER0058,8466,2025search,抖音支付绑定银行卡安全吗可靠吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0059,8514,2025search,淘宝可以用微信支付吗,43,VERDICT_QUESTION__2,1.0,支付方式使用与设置查询
VER0060,8522,2025search,存折可以在自动取款机上取钱吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0061,8572,2025search,中信银行是国企还是私企,49,VERDICT_QUESTION__2,1.0,银行信息查询
VER0062,8646,2025search,天灾保险公司赔偿吗,17,VERDICT_QUESTION__1,1.0,查询保险公司信息
VER0063,8801,2025search,瑞众保险是央企还是国企,18,VERDICT_QUESTION__1,1.0,查询保险相关业务
VER0064,8823,2025search,贷记卡是信用卡吗,47,VERDICT_QUESTION__2,1.0,查询办理信用卡业务
VER0065,9035,2025search,银行卡会过期吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0066,9187,2025search,定期存款可以提前取出来吗,70,VERDICT_QUESTION__2,1.0,查询定期存款利率
VER0067,9222,2025search,余额宝有风险吗,19,VERDICT_QUESTION__1,1.0,车险购买与理赔咨询
VER0068,9259,2025search,7月1日港股通不能交易吗,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0069,9288,2025search,结构性存款属于存款还是理财,70,VERDICT_QUESTION__2,1.0,查询定期存款利率
VER0070,9423,2025search,未满十八岁可以办银行卡吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0071,9455,2025search,分转商城借钱是真的吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0072,9519,2025search,办银行卡需要钱吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0073,9557,2025search,"保险交满后,可以拿回全部本金吗",18,VERDICT_QUESTION__1,1.0,查询保险相关业务
VER0074,9651,2025search,美团月付上征信吗,14,VERDICT_QUESTION__2,1.0,个人征信报告查询与影响咨询
VER0075,9686,2025search,光大银行是国企还是央企,49,VERDICT_QUESTION__2,1.0,银行信息查询
VER0076,9726,2025search,花呗可以提现吗,13,VERDICT_QUESTION__2,1.0,花呗操作查询
VER0077,9794,2025search,平安普惠合法吗?欠款需要还吗,9,VERDICT_QUESTION__2,1.0,贷款提前还款查询
VER0078,9833,2025search,太平洋保险是国企还是私企,18,VERDICT_QUESTION__1,1.0,查询保险相关业务
VER0079,9990,2025search,转账记录删了还能查出来吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0080,14663,2025search_rand,"手机没有下载银行,会被诈骗吗",49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0081,14515,2025search_rand,理财产品在哪里存的是不是必须在哪里取,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0082,15880,2025search_rand,查挂证会查银行流水吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0083,13489,2025search_rand,山西银行卡到期了还能用吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0084,17488,2025search_rand,非机动车可以买交强险吗,20,VERDICT_QUESTION__1,7.253333333333333,查询交强险保费、赔偿与投保规定
VER0085,12824,2025search_rand,可以买外汇投资吗,10,VERDICT_QUESTION__1,7.253333333333333,查询转账与账户业务可行性
VER0086,11466,2025search_rand,国泰安并购数据库中有银行并购吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0087,10280,2025search_rand,支付宝备用金用了100块还能用吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0088,14770,2025search_rand,交人寿保险的钱可以取出来吗,16,VERDICT_QUESTION__1,7.253333333333333,查询人寿保险相关业务信息
VER0089,15724,2025search_rand,白条能一直提现吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0090,18336,2025search_rand,现在可小企业贷款容易吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0091,15380,2025search_rand,蚂蚁星愿的钱在余额宝显示吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0092,12077,2025search_rand,余额宝可以只放钱关闭支付功能吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0093,16927,2025search_rand,亲属卡没钱了还能扣吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0094,18593,2025search_rand,紫金融信属于商业承兑吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0095,13036,2025search_rand,三角洲保险会在局内过期吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0096,12313,2025search_rand,网贷没还完影响伴侣房贷吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0097,19853,2025search_rand,2.5吉祥如意a款两全保险分红型管大病吗?,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0098,14657,2025search_rand,中信银行信用卡好吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0099,13344,2025search_rand,钉钉能发红包给别人吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0100,16769,2025search_rand,手机关闭后手机银可以继续转账或被他人转走钱吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0101,16999,2025search_rand,冻结银行卡跟微信有关系吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0102,14833,2025search_rand,淘宝里的身份码可以代取吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0103,10462,2025search_rand,可不可以用网上借的钱还公积金贷款,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0104,10461,2025search_rand,江苏存折单异地能取钱吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0105,18151,2025search_rand,农行的承兑汇票可以到建行去贴现吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0106,18374,2025search_rand,交通银行可以代款吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0107,19237,2025search_rand,中船应急是港股股票吗,25,VERDICT_QUESTION__1,7.253333333333333,查询股票信息
VER0108,13377,2025search_rand,福建海峡银行顺鑫如意存款跟定期存款一样吗?,70,VERDICT_QUESTION__2,7.253333333333333,查询定期存款利率
VER0109,16710,2025search_rand,同一个公寓能抵押两次贷款吗现在,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0110,17152,2025search_rand,跨行取款能取吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0111,14553,2025search_rand,银保产品一般建议买吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0112,18911,2025search_rand,在手机银行里看到的我的资产里面是不是包括存钱的啊定期活期和利息都在里面,70,VERDICT_QUESTION__2,7.253333333333333,查询定期存款利率
VER0113,14096,2025search_rand,被平刺猬平台风控了还能贷款吗,15,VERDICT_QUESTION__2,7.253333333333333,查询借款平台正规性
VER0114,19054,2025search_rand,信用卡分期关闭后账单金额大影响贷款吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0115,17430,2025search_rand,退休人员能贷款买房吗?哪家银行可以办理,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0116,15277,2025search_rand,存银行每月扣钱吗,70,VERDICT_QUESTION__2,7.253333333333333,查询定期存款利率
VER0117,19140,2025search_rand,支付宝转账额度是一年还是终身,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0118,15755,2025search_rand,一个人能办同一个银行的两张卡吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0119,18487,2025search_rand,信用账户能不能做可转债,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0120,18976,2025search_rand,北京市孩子出生有保险吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0121,19147,2025search_rand,度小满要身份证认证安全吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0122,18032,2025search_rand,重庆通卡的老旧卡还能用吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0123,19651,2025search_rand,车上人员责任险司机和乘客有必要买吗,19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0124,15683,2025search_rand,蒙商银行单日限额第二天恢复吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0125,17196,2025search_rand,工商银行visa借记卡可以在国外用吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0126,11762,2025search_rand,"机动车过户了,保险还可以改为自己买吗",19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0127,13938,2025search_rand,开车追尾能走交强险,20,VERDICT_QUESTION__1,7.253333333333333,查询交强险保费、赔偿与投保规定
VER0128,13843,2025search_rand,漳州银行电话卡不是自己的可以办吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0129,18722,2025search_rand,中国工商银行app查询征信准吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0130,17790,2025search_rand,信用卡暂停使用会自动恢复吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0131,11678,2025search_rand,学评险必须买吗,19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0132,13974,2025search_rand,支付宝封了还能转账吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0133,17873,2025search_rand,信用卡遗失可以激活吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0134,17198,2025search_rand,线上可以办储蓄卡吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0135,19631,2025search_rand,兴业银行卡过期了柜台能取吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0136,11808,2025search_rand,银行对公网银都收费吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0137,14750,2025search_rand,银行卡里没钱会被诈骗吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0138,14169,2025search_rand,云闪付能查到已经注销的卡吗,43,VERDICT_QUESTION__2,7.253333333333333,支付方式使用与设置查询
VER0139,15152,2025search_rand,京东e卡被别人绑定了能追回吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0140,16183,2025search_rand,信用证算贷款吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0141,13251,2025search_rand,存钱去农商银行安全吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0142,19785,2025search_rand,中国企业银行的对公短信通和回单服务费用能否返还?,50,VERDICT_QUESTION__2,7.253333333333333,农业银行及农村信用社服务信息查询
VER0143,19783,2025search_rand,助学贷款可以上学后申请吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0144,15833,2025search_rand,车保险到期没买过段时间可以买吗?,19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0145,10001,2025search_rand,北方国际唯一一个兵装跟兵工共同持股吗,30,VERDICT_QUESTION__1,7.253333333333333,股票行情与选股建议查询
VER0146,15007,2025search_rand,招商银行手机转账不转款可以水单转账吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0147,15996,2025search_rand,新股能全部中签吗,30,VERDICT_QUESTION__1,7.253333333333333,股票行情与选股建议查询
VER0148,19945,2025search_rand,10685623345901是不是京东金融吗,72,VERDICT_QUESTION__1,7.253333333333333,金融代码查询
VER0149,16941,2025search_rand,保险续保有犹豫期吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0150,16784,2025search_rand,幼儿园买的保险辞职了可以取出来吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0151,10317,2025search_rand,盒马是不是要注销才能提现押金,10,VERDICT_QUESTION__1,7.253333333333333,查询转账与账户业务可行性
VER0152,10543,2025search_rand,支付宝可以删除银行卡吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0153,19591,2025search_rand,湖北武汉浦发银行可以办理企业贷款吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0154,15768,2025search_rand,企业微信可以用支付宝支付吗,43,VERDICT_QUESTION__2,7.253333333333333,支付方式使用与设置查询
VER0155,13490,2025search_rand,ok卡山姆可以用吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0156,13815,2025search_rand,锦程消费金融能下款吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0157,15449,2025search_rand,为什么不让办一类卡,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0158,13694,2025search_rand,儿童可以用支付宝坐地铁吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0159,14126,2025search_rand,绑银行卡给现金安全吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0160,18301,2025search_rand,微信延迟到账可以撤回资金吗?,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0161,19791,2025search_rand,st股票是不是都有调出融资融券吗,30,VERDICT_QUESTION__1,7.253333333333333,股票行情与选股建议查询
VER0162,11228,2025search_rand,银行里的流水可以删除吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0163,10723,2025search_rand,安行宝有必要买吗?三十年后能退回吗?,10,VERDICT_QUESTION__1,7.253333333333333,查询转账与账户业务可行性
VER0164,16823,2025search_rand,4050名下营业执照支付宝能查到吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0165,11233,2025search_rand,银行不让提高转账额度违法吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0166,11218,2025search_rand,花呗7月份还未还款8月份还能用吗,13,VERDICT_QUESTION__2,7.253333333333333,花呗操作查询
VER0167,10144,2025search_rand,支付宝的百万医疗险可以买吗,44,VERDICT_QUESTION__1,7.253333333333333,支付宝相关操作查询
VER0168,19088,2025search_rand,欠款一千多银行不给开卡吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0169,12582,2025search_rand,非货币基金属于权益类资产吗,7,VERDICT_QUESTION__1,7.253333333333333,基金净值查询
VER0170,17064,2025search_rand,车辆对贷款有影响吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0171,16993,2025search_rand,遇保险单位所交部分能遇吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0172,15626,2025search_rand,报了交警一定要报保险吗,19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0173,18263,2025search_rand,河南农商银行就是鹰城农商银行吗,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0174,12902,2025search_rand,2025年临沂夫妻两人公积金贷款100万7月1日实行吗,67,VERDICT_QUESTION__2,7.253333333333333,贷款月供计算
VER0175,13589,2025search_rand,重庆渝通行app乘车码有换成优惠吗,52,VERDICT_QUESTION__2,7.253333333333333,下载安装金融类App
VER0176,17374,2025search_rand,信用卡不吉利能换吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0177,14363,2025search_rand,东鹏特饮扫码后还能兑换吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0178,10664,2025search_rand,退市股票可以在北交所交易吗,30,VERDICT_QUESTION__1,7.253333333333333,股票行情与选股建议查询
VER0179,16100,2025search_rand,托珠单抗众安保险可以报销吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0180,16056,2025search_rand,对公账户u盾丢失了还能转账吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0181,14155,2025search_rand,"平安信用卡分期后,能再申请分期吗",47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0182,10080,2025search_rand,贷款合同号就是房贷账户吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0183,16403,2025search_rand,车辆意外险和交强险可以分开买吗,20,VERDICT_QUESTION__1,7.253333333333333,查询交强险保费、赔偿与投保规定
VER0184,14248,2025search_rand,入职公司会查征信吗,14,VERDICT_QUESTION__2,7.253333333333333,个人征信报告查询与影响咨询
VER0185,11618,2025search_rand,招商银行young卡是什么卡,49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0186,11468,2025search_rand,星辉娱乐属于创业板吗,22,VERDICT_QUESTION__1,7.253333333333333,查询科技股与科创板信息
VER0187,15723,2025search_rand,不同的银行卡转账要钱吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0188,15984,2025search_rand,支付宝网商银行可以停用吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0189,18909,2025search_rand,贫困户查微信支付宝吗,43,VERDICT_QUESTION__2,7.253333333333333,支付方式使用与设置查询
VER0190,13588,2025search_rand,银行卡收到转账会有短信吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0191,16379,2025search_rand,"45岁男,月薪一万,房贷二千多,短期借款20万,能辞职创业吗",67,VERDICT_QUESTION__2,7.253333333333333,贷款月供计算
VER0192,13089,2025search_rand,请问我的保险停交几年了还可以退保吗?,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0193,11822,2025search_rand,唯品会商品有运费险吗,19,VERDICT_QUESTION__1,7.253333333333333,车险购买与理赔咨询
VER0194,19172,2025search_rand,征信报告可以只打印两年的吗,14,VERDICT_QUESTION__2,7.253333333333333,个人征信报告查询与影响咨询
VER0195,17834,2025search_rand,"如果办了生源地助学贷款,但是我提前交了学费",8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0196,16776,2025search_rand,农行公积金贷款可以无本金还款吗,8,VERDICT_QUESTION__2,7.253333333333333,查询贷款信息
VER0197,13942,2025search_rand,支付宝经营贷可以借钱吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0198,18388,2025search_rand,支付宝开通经营码可以关闭吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0199,14061,2025search_rand,惠融钱包是中介还是直接放款平台的,15,VERDICT_QUESTION__2,7.253333333333333,查询借款平台正规性
VER0200,11553,2025search_rand,中国农业银行年费可以取消吗,50,VERDICT_QUESTION__2,7.253333333333333,农业银行及农村信用社服务信息查询
VER0201,19973,2025search_rand,征信可以自己网上查吗,14,VERDICT_QUESTION__2,7.253333333333333,个人征信报告查询与影响咨询
VER0202,12314,2025search_rand,房贷还款是选择还款总金额吗,9,VERDICT_QUESTION__2,7.253333333333333,贷款提前还款查询
VER0203,17675,2025search_rand,有贷款能办银行卡吗,48,VERDICT_QUESTION__2,7.253333333333333,银行卡业务查询与办理指导
VER0204,14802,2025search_rand,云闪付的优惠券和红包叠加吗,43,VERDICT_QUESTION__2,7.253333333333333,支付方式使用与设置查询
VER0205,12181,2025search_rand,平安保险意外险住院理疗能报销吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0206,17645,2025search_rand,国债能提前赎回吗,9,VERDICT_QUESTION__2,7.253333333333333,贷款提前还款查询
VER0207,13914,2025search_rand,客户打公司款是直接发对公账号的卡号吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0208,16157,2025search_rand,数字人明币被风控了提到卡上能提现吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0209,10654,2025search_rand,"银行周六,周天儿办理业务吗?",49,VERDICT_QUESTION__2,7.253333333333333,银行信息查询
VER0210,19491,2025search_rand,用支付宝套信用卡会影响信用吗,47,VERDICT_QUESTION__2,7.253333333333333,查询办理信用卡业务
VER0211,13310,2025search_rand,连具塘村有ATM机吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0212,18053,2025search_rand,保险和银行是一个部门监管吗,18,VERDICT_QUESTION__1,7.253333333333333,查询保险相关业务
VER0213,17644,2025search_rand,银行可以读取收钱吧的信息吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0214,12997,2025search_rand,中欣卡6月10日能消费了吗,10,VERDICT_QUESTION__2,7.253333333333333,查询转账与账户业务可行性
VER0215,18660,2025search_rand,信用账户可以买北交所股票吗,10,VERDICT_QUESTION__1,7.253333333333333,查询转账与账户业务可行性
VER0216,12026,2025search_rand,定期存单必须存款人账户吗,70,VERDICT_QUESTION__2,7.253333333333333,查询定期存款利率
VER0217,11770,2025search_rand,未成年绑定支付宝可以用吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
VER0218,10495,2025search_rand,支付宝账号可以在两个手机登录吗,44,VERDICT_QUESTION__2,7.253333333333333,支付宝相关操作查询
