层级,类,类名,快照,n,子群,stratum_share,query,typicality_pct,length_pct,pv_raw
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,查询金融业务数值与代码,0.0558,微粒贷利息是多少,0.539,0.215,207.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,查询贷款信息,0.0515,贷款计算器,0.307,0.064,7336.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,查询价格与金额,0.0472,取款机一天最多取多少钱,0.251,0.513,161.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,贷款提前还款查询,0.0386,房贷提前还款计算器,0.247,0.288,347.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,查询转账与账户业务可行性,0.2,腾讯理财通可靠吗安全吗,0.756,0.525,182.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,银行卡业务查询与办理指导,0.175,办银行卡要钱吗,0.944,0.044,194.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,股票行情与选股建议查询,0.0875,7月1号港股休市吗,0.294,0.238,362.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,查询保险相关业务,0.0625,众安保险可靠吗?能买吗?,0.994,0.7,1295.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,银行信息查询,0.0625,中信银行是国企还是私企,0.406,0.525,177.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,查询定期存款利率,0.05,定期存款可以提前取出来吗,0.644,0.7,166.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,查询办理信用卡业务,0.05,贷记卡是信用卡吗,0.581,0.144,172.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,车险购买与理赔咨询,0.0375,车损险有必要买吗,0.144,0.144,671.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,支付宝相关操作查询,0.2,支付宝登录,0.518,0.038,385.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,银行卡业务查询与办理指导,0.1422,银行卡怎么注销,0.962,0.164,155.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,金融业务操作与问题处理方法查询,0.1333,怎么开户,0.887,0.009,637.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,花呗操作查询,0.0978,花呗怎么关,0.549,0.038,153.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,个人征信报告查询与影响咨询,0.0756,怎么查征信个人征信,0.531,0.391,838.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,查询贷款信息,0.0622,助学贷款申请条件,0.056,0.269,812.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,支付方式使用与设置查询,0.0578,淘宝怎么用微信支付,0.722,0.391,288.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,贷款提前还款查询,0.04,安逸花怎么提前还款,0.264,0.391,346.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,查询借款平台正规性,0.6882,极融借款是正规平台吗,0.984,0.333,290.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,查询贷款信息,0.0538,众安贷是正规贷款吗,0.608,0.177,337.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,查询转账与账户业务可行性,0.043,国债逆回购是真的吗可靠吗,0.07,0.726,219.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,查询保险相关业务,0.043,蚂蚁保险是正规保险吗,0.36,0.333,191.0
L1意图,ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,股票行情与选股建议查询,0.5909,军工重组概念股龙头,0.977,0.295,319.0
L1意图,ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,查询股票信息,0.0909,科力尔 股票,0.205,0.091,386.0
L1意图,ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,查询保险公司信息,0.0909,碳化硅上市公司龙头企业,0.477,0.614,163.0
L1意图,ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,股指行情查询,0.0455,纳斯达克科技市值加权指数,0.114,0.75,320.0
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,股票行情与选股建议查询,0.614,固态电池龙头股票前十名,0.974,0.553,819.0
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,查询股票信息,0.0526,军工股票推荐,0.447,0.026,1446.0
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,查询转账与账户业务可行性,0.0526,汇正财经投资选股可靠吗,0.254,0.553,354.0
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,查询金价,0.0526,金价还会继续上涨吗?,0.184,0.325,173.0
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,查询价格走势图,0.0351,预计明天大盘走势如何,0.114,0.325,529.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索,36,银行卡业务查询与办理指导,0.4722,银行卡被冻结了怎么办最快解冻,0.986,0.653,1751.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索,36,金融业务操作与问题处理方法查询,0.1667,"综合评分不足网贷全拒,急需用钱怎么办",0.431,0.986,190.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索,36,查询转账与账户业务可行性,0.1389,黑户借款5000马上到账的口子,0.181,0.792,231.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索,36,花呗操作查询,0.0556,借呗有额度但是放款失败怎么解决,0.403,0.792,179.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,银行卡业务查询与办理指导,0.36,一类卡和二类银行卡有什么区别,0.94,0.8,336.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,计算存贷款利息,0.28,等额本金和等额本息哪个划算,0.46,0.68,181.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,查询定期存款利率,0.08,哪个银行的存款利息高一点,0.18,0.38,652.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,车险购买与理赔咨询,0.08,退货宝和运费险有啥区别,0.54,0.14,280.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,查询办理信用卡业务,0.08,储蓄卡和信用卡有什么区别,0.62,0.38,182.0
L1意图,DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,15,查询借款平台正规性,0.5333,和信普惠是哪个网贷,0.7,0.133,227.0
L1意图,DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,15,个人征信报告查询与影响咨询,0.2,征信逾期如何申请消除,0.3,0.3,227.0
L1意图,DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,15,金融业务操作与问题处理方法查询,0.1333,和信普惠发短信是怎么回事,0.367,0.633,454.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,股票行情与选股建议查询,0.3,中国重工重组最新消息,0.887,0.488,161.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,人民币及货币信息查询,0.175,稳定币最新消息,0.962,0.1,240.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,查询财经门户与市场行情,0.15,同宇新材料IPO,0.263,0.225,293.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,查询市场行情,0.1,美股今天最新消息,0.837,0.225,193.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,金融行情数据查询,0.05,半年报业绩预告披露时间规定,0.188,0.862,153.0
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,查询保险公司信息,0.05,旋极信息参股公司对赌完成,0.362,0.75,183.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,查询股票信息,0.1659,黑莓股票,0.971,0.027,9.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,股票行情与选股建议查询,0.1192,荣耀上市股价预估,0.75,0.491,1.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,基金净值查询,0.0677,011099基金净值今日查询,0.737,0.922,1.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,查询市场行情,0.0648,索通今日股票行情,0.944,0.491,4.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,股票代码查询,0.0553,股票002675,1.0,0.491,7.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,查询财经门户与市场行情,0.0477,东方智造股票东方财富,0.585,0.711,1.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,金融代码查询,0.0429,871459股票,0.957,0.491,1.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,市场价格行情查询,0.0391,sol币今天最新价格,0.444,0.711,1.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,金融业务操作与问题处理方法查询,0.1714,水电费去银行怎么交,0.982,0.13,1.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,银行卡业务查询与办理指导,0.1487,怎么订银行卡短信,0.991,0.058,1.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,支付宝相关操作查询,0.1405,支付宝怎么更改为他人的,0.86,0.379,1.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,查询贷款信息,0.065,专升本贷款怎么续贷,0.718,0.13,3.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,银行信息查询,0.0617,工商银行卡联行号是啥怎么查,0.95,0.652,3.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,支付方式使用与设置查询,0.0479,微信公交车扫码支付怎么用,0.723,0.518,1.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,查询办理信用卡业务,0.0447,信用卡激活方法,0.265,0.02,2.0
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,查询转账与账户业务可行性,0.0447,转账如何查到对方账号,0.309,0.241,1.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,查询财经门户与市场行情,0.1716,众融股权投资系统,0.796,0.709,2.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,银行信息查询,0.1314,中银银行,0.993,0.127,7.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,查询保险相关业务,0.0805,人保房屋保险,0.567,0.407,1.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,查询保险公司信息,0.0678,福建私募公司,0.603,0.407,1.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,查询贷款信息,0.0593,贷款条,0.56,0.022,2.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,证券股票信息查询,0.0466,证券行业前景,0.673,0.407,1.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,中国银行服务信息查询,0.0403,中国银行系统,0.933,0.407,2.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,农业银行及农村信用社服务信息查询,0.036,黔农村银行,0.887,0.252,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,查询转账与账户业务可行性,0.1737,没卡可以转钱吗,0.998,0.011,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,银行卡业务查询与办理指导,0.1278,办银行卡立马拿到卡吗,0.83,0.168,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,查询贷款信息,0.1094,贷款人贷款期间可以购房吗?,0.842,0.536,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,车险购买与理赔咨询,0.0818,面包车不年审可买保险吗,0.667,0.284,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,银行信息查询,0.0561,地方银行是小银行吗,0.613,0.087,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,支付宝相关操作查询,0.0542,支付宝可以删除账单吗,0.567,0.168,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,查询保险相关业务,0.0478,意外保险保疾病吗,0.166,0.039,1.0
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,查询办理信用卡业务,0.0423,信用卡遗失可以激活吗,0.928,0.168,1.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,查询借款平台正规性,0.281,HK平台U币是正规平台吗,0.892,0.569,1.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,查询贷款信息,0.1176,电商贷款是真的吗,0.99,0.046,1.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,查询转账与账户业务可行性,0.0915,利信惠普发的短信是真的吗,0.768,0.569,3.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,支付宝相关操作查询,0.0588,支付宝大病险是真的吗,0.709,0.291,1.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,查询保险相关业务,0.0523,众诚保险怎么样可靠吗,0.52,0.291,6.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,银行信息查询,0.0523,工商银行特批贷款是真的吗还是假的,0.918,0.928,1.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,查询保险公司信息,0.0458,众安行保险公司是正规的吗,0.899,0.569,2.0
L1意图,ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,车险购买与理赔咨询,0.0392,买车险众安保险怎么样,0.232,0.291,4.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,计算存贷款利息,0.2322,4.5的利息10万一年多少钱,0.992,0.626,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,利率查询与计算,0.1166,公司贷款利率2025最新利率,0.546,0.626,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,查询价格与金额,0.0889,车损险多少钱,0.337,0.007,21.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,贷款月供计算,0.0761,24万贷款30年每月还多少,0.817,0.528,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,查询金融业务数值与代码,0.0593,百分7.2年利率是多少,0.828,0.304,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,查询转账与账户业务可行性,0.0514,转账一万收多少手续费,0.582,0.207,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,查询贷款信息,0.0494,房贷款能贷多少钱,0.682,0.058,1.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,查询定期存款利率,0.0455,目前定期一年的存款利率,0.768,0.304,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,查询金融术语含义,0.375,银行卡提示黑灰名单什么意思,0.979,0.688,2.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,银行卡业务查询与办理指导,0.125,银行卡冻结通知图,0.562,0.062,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,个人征信报告查询与影响咨询,0.0833,征信报告上面非循环贷账户显示关闭是注销了吗,0.146,0.979,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,银行信息查询,0.0833,工商银行诈骗短信,0.271,0.062,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,查询贷款信息,0.0417,没有贷款出现贷款审批什么意思,0.354,0.771,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,建设银行网点与服务查询,0.0417,建设银行灰名单什么意思,0.771,0.312,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,金融行情数据查询,0.0417,22年10月以后的卡核心,0.229,0.542,1.0
L1意图,STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,支付宝相关操作查询,0.0417,支付宝支付界面黑色是什么级别,0.104,0.771,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,银行卡业务查询与办理指导,0.166,银行卡被冻结页面,0.787,0.023,2.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,金融业务操作与问题处理方法查询,0.1622,别人给我转不了账怎么办,0.947,0.195,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,查询转账与账户业务可行性,0.1564,微信转账把钱退回多久到账,0.617,0.291,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,支付宝相关操作查询,0.0714,支付宝刷视频怎么突然就没了呢,0.526,0.5,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,查询办理信用卡业务,0.0676,信用卡没到期但是显示未激活,0.789,0.396,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,查询贷款信息,0.0598,我被朋友骗去贷款钱都给了他,0.576,0.396,2.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,花呗操作查询,0.0483,花呗还进去没额度,0.047,0.023,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,支付方式使用与设置查询,0.0483,拼多多怎么用不了微信支付,0.503,0.291,1.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,银行信息查询,0.3908,工商银行新阳路支行行号,0.996,0.404,1.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,农业银行及农村信用社服务信息查询,0.1496,农业银行龙口支行行号,0.998,0.28,1.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,银行客服电话查询,0.0934,招行银行电话,0.958,0.01,6.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,建设银行网点与服务查询,0.0807,中国建设银行泾川县支行,0.768,0.404,1.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,中国银行服务信息查询,0.0589,中国银行土门支行,0.816,0.078,3.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,保险公司电话查询,0.0372,平常保险电话多少,0.121,0.078,1.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,338,下载安装金融类App,0.2515,欧亿交易所官网app安装 nayyaap.cn 欧亿平台app下载安装 nayyaap.cn,0.993,0.976,1.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,338,证券股吧查询,0.1864,粉笔股吧,0.768,0.001,26.0
