类,类名,快照,n,子群数,旧_例子数,旧_重复,旧_被代表质量%,旧_典型性分位,旧_长度分位,旧_顺序实为任意,旧_自助法Jaccard,H3_例子数,H3_被代表质量%,H3_分配TVD,H3_典型性分位,H3_长度分位,H3_自助法Jaccard,显式_例子数,显式_被代表质量%,显式_不可代表质量%,显式_典型性分位,显式_长度分位,显式_自助法Jaccard
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,37,3,0,45.7,0.166,0.673,False,0.645,3,63.4,0.4237,0.984,0.231,0.925,6,81.0,0.0,0.776,0.209,0.929
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索随机1w,338,38,3,0,23.1,0.57,0.302,False,0.575,3,53.8,0.4615,0.712,0.425,0.975,8,73.1,0.0,0.642,0.296,0.871
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索随机1w,78,17,3,0,37.2,0.741,0.259,False,0.52,3,46.2,0.5385,0.583,0.301,0.675,8,75.6,0.0,0.53,0.481,0.677
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,616,52,3,0,8.6,0.39,0.388,False,0.475,3,24.0,0.7597,0.748,0.385,0.8,8,51.3,0.0,0.715,0.335,0.878
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,1037,50,3,0,27.7,0.589,0.446,False,0.43,3,41.0,0.5902,0.895,0.477,0.7,8,62.0,0.0,0.681,0.497,0.88
FX_CONVERT,查询汇率并换算外币金额,2025搜索随机1w,584,20,3,0,26.4,0.172,0.084,False,0.59,3,74.7,0.2534,0.873,0.391,1.0,3,82.5,0.0,0.765,0.22,0.925
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索随机1w,273,43,3,0,36.3,0.438,0.231,False,0.47,3,52.4,0.4762,0.785,0.658,0.875,8,71.8,0.0,0.701,0.455,0.698
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索随机1w,186,32,3,0,46.2,0.331,0.407,False,0.695,3,50.0,0.5,0.972,0.338,0.829,8,76.3,0.0,0.71,0.532,0.762
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索随机1w,71,15,3,0,31.0,0.312,0.244,False,0.6,3,52.1,0.4789,0.787,0.334,0.62,6,80.3,0.0,0.655,0.405,0.785
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2025搜索随机1w,56,18,3,0,10.7,0.574,0.414,True,0.355,3,53.6,0.4643,0.925,0.464,0.6,8,82.1,0.0,0.578,0.463,0.602
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索随机1w,100,26,3,0,27.0,0.788,0.265,False,0.485,3,32.0,0.68,0.738,0.368,0.505,8,67.0,0.0,0.748,0.444,0.804
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2025搜索随机1w,11,4,3,0,63.6,0.561,0.303,False,0.58,3,81.8,0.1818,0.591,0.53,0.8,2,81.8,0.0,0.409,0.545,0.583
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索,6282,45,3,0,10.3,0.172,0.067,False,0.615,3,51.3,0.5102,0.447,0.487,0.725,8,71.6,0.0,0.617,0.44,0.967
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,1591,31,3,0,4.2,0.082,0.409,False,0.53,3,74.5,0.2673,0.99,0.109,1.0,4,83.1,0.0,0.629,0.526,0.782
FX_CONVERT,查询汇率并换算外币金额,2026搜索,717,9,3,0,52.0,0.666,0.328,False,0.59,3,74.8,0.2524,0.773,0.649,1.0,3,86.5,0.0,0.757,0.546,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,414,39,3,0,28.7,0.398,0.494,False,0.565,3,52.4,0.4758,0.926,0.05,1.0,8,69.8,0.0,0.658,0.179,0.74
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,97,22,3,0,52.6,0.871,0.538,False,0.52,3,67.0,0.3299,0.731,0.325,1.0,7,81.4,0.0,0.362,0.213,0.54
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,331,17,3,0,22.1,0.433,0.341,False,0.56,3,78.0,0.2679,0.661,0.67,0.958,4,84.6,0.0,0.692,0.589,0.91
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,84,18,3,0,35.7,0.292,0.397,False,0.575,3,52.4,0.4762,0.724,0.187,0.875,7,81.0,0.0,0.536,0.39,0.864
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,154,23,3,0,24.7,0.378,0.387,False,0.54,3,64.9,0.4264,0.635,0.321,0.858,7,80.5,0.0,0.524,0.274,0.813
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索,61,14,3,0,55.7,0.489,0.658,False,0.515,3,67.2,0.4044,0.828,0.366,0.875,6,82.0,0.0,0.702,0.456,0.67
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索,84,18,3,0,11.9,0.157,0.371,False,0.595,3,56.0,0.4405,0.764,0.341,0.975,8,83.3,0.0,0.464,0.412,0.798
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索,33,6,3,0,78.8,0.328,0.485,False,0.48,3,78.8,0.2121,0.914,0.738,0.825,2,87.9,0.0,0.728,0.508,0.733
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索,27,14,3,0,25.9,0.66,0.198,False,0.525,3,48.1,0.5185,0.66,0.303,0.7,8,77.8,0.0,0.518,0.454,0.527
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,54,14,3,0,63.0,0.775,0.599,False,0.45,3,70.4,0.2963,0.695,0.225,0.8,4,81.5,0.0,0.435,0.449,0.711
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索,40,12,3,0,62.5,0.646,0.579,False,0.59,3,77.5,0.3667,0.612,0.167,0.8,4,80.0,0.0,0.475,0.138,0.617
TXN_ISSUE,排查账户与交易异常,2026搜索,17,5,3,0,58.8,0.578,0.598,False,0.59,3,76.5,0.2353,0.598,0.461,0.725,4,94.1,0.0,0.544,0.581,0.838
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索随机1w,822,46,3,0,33.2,0.591,0.382,False,0.475,3,43.3,0.5669,0.772,0.507,0.65,8,69.8,0.0,0.647,0.362,0.856
FX_CONVERT,查询汇率并换算外币金额,2026搜索随机1w,627,25,3,0,32.5,0.404,0.155,False,0.64,3,68.3,0.3174,0.825,0.759,1.0,4,82.1,0.0,0.62,0.444,0.97
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索随机1w,320,38,3,0,26.6,0.648,0.322,False,0.575,3,57.5,0.425,0.766,0.402,1.0,8,71.2,0.0,0.584,0.402,0.691
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,1667,52,3,0,19.6,0.525,0.188,False,0.54,3,33.8,0.6623,0.935,0.353,0.95,8,58.9,0.0,0.721,0.322,0.833
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,954,46,3,0,30.9,0.427,0.488,False,0.485,3,46.7,0.5335,0.943,0.225,1.0,8,72.5,0.0,0.854,0.265,0.933
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,1071,51,3,0,44.6,0.75,0.173,False,0.54,3,50.0,0.4995,0.787,0.324,1.0,8,64.6,0.0,0.676,0.355,0.809
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,417,29,3,0,48.7,0.735,0.299,False,0.515,3,48.7,0.5132,0.897,0.414,1.0,8,78.2,0.0,0.591,0.312,0.989
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,907,34,3,0,14.2,0.262,0.51,False,0.445,3,61.5,0.423,0.89,0.307,1.0,6,80.0,0.0,0.752,0.248,0.898
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,529,53,3,0,17.4,0.123,0.109,False,0.47,3,24.9,0.7505,0.732,0.665,0.725,8,52.0,0.0,0.828,0.575,0.86
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,421,37,3,0,8.6,0.407,0.538,False,0.47,3,48.7,0.5131,0.951,0.57,1.0,8,72.2,0.0,0.617,0.384,0.789
COMPARISON_DECISION,比较两个金融对象并给出取舍,2026搜索随机1w,111,32,3,0,12.6,0.569,0.521,False,0.565,3,27.9,0.7207,0.566,0.317,0.515,8,59.5,0.0,0.662,0.557,0.793
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索随机1w,900,45,3,0,17.0,0.272,0.454,False,0.52,3,36.3,0.6367,0.99,0.147,1.0,8,63.4,0.0,0.675,0.407,0.933
STATUS_DECODE,解读粘贴的提示与界面状态,2026搜索随机1w,22,11,3,0,40.9,0.689,0.614,True,0.34,3,59.1,0.4091,0.704,0.553,0.875,7,81.8,0.0,0.471,0.491,0.561
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,459,41,3,0,29.2,0.549,0.519,False,0.665,3,50.5,0.4946,0.838,0.59,0.925,8,74.1,0.0,0.693,0.525,0.838
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,411,47,3,0,32.4,0.384,0.151,False,0.525,3,36.5,0.635,0.806,0.239,0.65,8,64.5,0.0,0.814,0.307,0.978
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索随机1w,100,27,3,0,30.0,0.728,0.498,False,0.63,3,50.0,0.5,0.828,0.513,0.875,8,71.0,0.0,0.682,0.502,0.608
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2026搜索随机1w,99,24,3,0,62.6,0.345,0.487,False,0.485,3,64.6,0.3535,0.961,0.626,0.767,8,80.8,0.0,0.459,0.506,0.54
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索随机1w,118,19,3,0,31.4,0.914,0.459,False,0.575,3,50.0,0.5,0.696,0.274,0.75,8,78.8,0.0,0.617,0.383,0.761
DEBT_DISTRESS,处理逾期催收与还款困境,2026搜索随机1w,41,10,3,0,41.5,0.687,0.528,True,0.435,3,61.0,0.3902,0.76,0.423,0.7,5,80.5,0.0,0.602,0.386,0.801
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,456,28,3,0,26.3,0.516,0.105,False,0.5,3,48.9,0.511,0.732,0.368,0.925,8,75.0,0.0,0.593,0.262,0.791
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手头部1k,29,12,3,0,37.9,0.511,0.782,False,0.615,3,58.6,0.4253,0.741,0.477,0.85,7,82.8,0.0,0.446,0.485,0.566
FX_CONVERT,查询汇率并换算外币金额,助手头部1k,84,7,3,0,78.6,0.633,0.399,False,0.59,3,78.6,0.2143,0.819,0.601,0.983,3,88.1,0.0,0.7,0.524,0.875
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,16,7,3,1,18.8,0.359,0.875,False,0.412,3,62.5,0.375,0.625,0.657,0.783,4,81.2,0.0,0.414,0.562,0.564
TXN_ISSUE,排查账户与交易异常,助手头部1k,44,7,3,0,70.5,0.746,0.663,False,0.455,3,70.5,0.2955,0.739,0.197,0.85,3,81.8,0.0,0.534,0.247,0.908
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,62,10,3,0,67.7,0.589,0.376,False,0.485,3,67.7,0.3226,0.745,0.661,0.85,4,82.3,0.0,0.641,0.446,0.732
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,59,13,3,0,6.8,0.082,0.35,False,0.515,3,67.8,0.322,0.783,0.393,0.883,4,81.4,0.0,0.464,0.504,0.753
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,18,8,3,0,22.2,0.25,0.324,False,0.525,3,66.7,0.3333,0.602,0.306,0.875,5,83.3,0.0,0.617,0.272,0.637
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手头部1k,20,9,3,0,45.0,0.858,0.8,False,0.485,3,60.0,0.4,0.492,0.733,0.75,5,80.0,0.0,0.555,0.57,0.633
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,73,23,3,0,23.3,0.511,0.518,False,0.51,3,37.0,0.6301,0.822,0.231,0.56,8,71.2,0.0,0.702,0.523,0.767
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手头部1k,12,7,3,0,41.7,0.875,0.569,False,0.405,3,58.3,0.4167,0.597,0.514,0.479,5,83.3,0.0,0.392,0.508,0.537
PAGE_NAV,打开目标页面或获取官方应用入口,助手头部1k,30,6,3,0,70.0,0.417,0.522,False,0.545,3,80.0,0.2,0.75,0.6,0.833,2,80.0,0.0,0.633,0.55,0.846
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,20,11,3,0,40.0,0.625,0.692,False,0.53,3,50.0,0.5,0.425,0.208,0.59,7,80.0,0.0,0.411,0.357,0.535
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,160,32,3,0,49.4,0.484,0.25,False,0.46,3,55.6,0.4437,0.772,0.648,0.9,8,76.2,0.0,0.605,0.526,0.657
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,79,19,3,0,17.7,0.437,0.156,False,0.55,3,50.6,0.4937,0.568,0.314,0.95,8,75.9,0.0,0.483,0.406,0.65
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手随机1k,98,19,3,0,22.4,0.342,0.311,False,0.545,3,48.0,0.5204,0.685,0.129,0.725,8,81.6,0.0,0.508,0.363,0.786
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,100,34,3,0,29.0,0.285,0.228,False,0.615,3,36.0,0.64,0.788,0.822,0.71,8,56.0,0.0,0.615,0.697,0.583
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,22,5,3,0,54.5,0.659,0.424,True,0.18,3,90.9,0.197,0.553,0.417,0.917,3,90.9,0.0,0.553,0.417,0.892
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手随机1k,76,25,3,0,36.8,0.743,0.186,False,0.42,3,43.4,0.5658,0.831,0.625,0.56,8,68.4,0.0,0.597,0.621,0.657
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,79,22,3,0,51.9,0.69,0.47,True,0.33,3,63.3,0.3671,0.791,0.707,0.975,8,82.3,0.0,0.611,0.524,0.707
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,139,33,3,0,33.8,0.574,0.456,True,0.13,3,44.6,0.554,0.723,0.648,0.925,8,61.2,0.0,0.597,0.478,0.567
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手随机1k,27,8,3,0,70.4,0.377,0.241,True,0.18,3,74.1,0.2593,0.697,0.79,0.658,3,81.5,0.0,0.401,0.685,0.579
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,83,25,3,0,13.2,0.267,0.145,True,0.405,3,36.1,0.6386,0.705,0.789,0.675,8,67.5,0.0,0.645,0.577,0.787
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手随机1k,34,12,3,0,23.5,0.319,0.544,True,0.18,3,67.7,0.3725,0.926,0.446,0.812,6,82.3,0.0,0.716,0.441,0.604
PAGE_NAV,打开目标页面或获取官方应用入口,助手随机1k,12,4,3,0,75.0,0.542,0.153,True,0.19,3,83.3,0.1667,0.597,0.528,0.942,2,83.3,0.0,0.5,0.584,0.662
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手随机1k,17,11,3,0,29.4,0.402,0.402,True,0.25,3,47.1,0.5294,0.598,0.47,0.545,8,82.3,0.0,0.5,0.533,0.571
TXN_ISSUE,排查账户与交易异常,助手随机1k,22,10,3,0,45.5,0.25,0.318,True,0.325,3,59.1,0.4848,0.629,0.575,0.603,6,81.8,0.0,0.531,0.602,0.57
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,12,3,0,19.1,0.579,0.333,True,0.11,3,52.4,0.4762,0.595,0.397,0.613,8,81.0,0.0,0.53,0.455,0.579
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,33,3,0,13.9,0.238,0.109,False,0.46,3,47.0,0.53,0.844,0.214,0.95,8,69.4,0.0,0.707,0.224,0.944
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,30,3,0,20.4,0.439,0.382,False,0.59,3,43.0,0.5699,0.723,0.478,0.825,8,66.7,0.0,0.621,0.559,0.664
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,7,3,0,38.1,0.421,0.381,False,0.435,3,76.2,0.381,0.722,0.476,0.783,4,85.7,0.0,0.559,0.363,0.767
FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,8,3,0,70.3,0.66,0.536,False,0.395,3,70.3,0.2973,0.8,0.781,0.767,3,82.4,0.0,0.723,0.694,0.75
OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,9,3,0,56.2,0.427,0.469,False,0.585,3,56.2,0.4375,0.635,0.614,0.583,6,81.2,0.0,0.333,0.375,0.507
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,8,3,0,56.5,0.851,0.489,False,0.535,3,71.7,0.3841,0.569,0.228,0.721,4,80.4,0.0,0.56,0.228,0.682
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音头部1k,10,3,3,0,90.0,0.45,0.483,False,0.54,3,90.0,0.1,0.783,0.667,0.767,2,90.0,0.0,0.7,0.775,0.817
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,23,3,0,25.0,0.148,0.476,True,0.03,3,50.0,0.5,0.869,0.323,0.95,8,73.7,0.0,0.547,0.388,0.798
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,13,3,0,35.1,0.221,0.523,True,0.06,3,56.8,0.4324,0.541,0.626,0.725,7,83.8,0.0,0.554,0.463,0.737
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,22,3,0,24.7,0.19,0.714,True,0.02,3,44.7,0.5529,0.876,0.435,0.825,8,74.1,0.0,0.572,0.471,0.813
FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,9,3,0,57.8,0.622,0.387,True,0.0,3,72.7,0.2734,0.751,0.538,1.0,3,83.6,0.0,0.574,0.301,0.938
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,11,3,0,40.0,0.428,0.456,True,0.105,3,56.7,0.4333,0.661,0.372,0.75,6,83.3,0.0,0.547,0.514,0.666
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,24,3,0,21.1,0.264,0.595,True,0.03,3,50.0,0.5,0.822,0.479,1.0,8,76.9,0.0,0.534,0.349,0.782
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,25,3,0,25.5,0.706,0.406,True,0.02,3,45.7,0.5426,0.826,0.608,0.65,8,70.2,0.0,0.428,0.36,0.635
OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,30,3,0,11.8,0.336,0.355,True,0.05,3,30.3,0.6974,0.561,0.32,0.42,8,55.3,0.0,0.576,0.447,0.585
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,13,3,0,32.0,0.18,0.531,True,0.01,3,61.3,0.3867,0.802,0.269,1.0,5,80.0,0.0,0.692,0.308,0.826
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,24,3,0,36.5,0.615,0.624,True,0.045,3,41.9,0.5811,0.818,0.671,0.7,8,68.9,0.0,0.523,0.556,0.652
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,12,3,0,50.0,0.83,0.92,True,0.045,3,57.7,0.4231,0.747,0.356,0.696,6,82.7,0.0,0.622,0.473,0.645
TXN_ISSUE,排查账户与交易异常,助手语音1k,41,17,3,0,17.1,0.463,0.492,True,0.04,3,39.0,0.6098,0.776,0.48,0.645,8,73.2,0.0,0.489,0.439,0.652
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,7,3,1,41.7,0.562,0.771,True,0.221,3,66.7,0.3333,0.709,0.458,0.8,5,83.3,0.0,0.625,0.442,0.569
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,7,3,1,18.8,0.422,0.594,True,0.113,3,68.8,0.4167,0.656,0.406,0.637,4,81.2,0.0,0.516,0.492,0.617
