L1,L1名,快照,n,咨询/求建议%,咨询/求建议_CI%,事件与进度%,事件与进度_CI%,问原因%,问原因_CI%,实体绑定%,实体绑定_CI%,时效%,时效_CI%,是非核实%,是非核实_CI%,问句%,问句_CI%,第一人称%,第一人称_CI%
PAGE_NAV,打开目标页面或获取官方应用入口,助手头部1k,30,0.0,"[0.0, 11.4]",3.33,"[0.6, 16.7]",0.0,"[0.0, 11.4]",20.0,"[9.5, 37.3]",3.33,"[0.6, 16.7]",0.0,"[0.0, 11.4]",0.0,"[0.0, 11.4]",0.0,"[0.0, 11.4]"
PAGE_NAV,打开目标页面或获取官方应用入口,助手随机1k,12,0.0,"[0.0, 24.3]",0.0,"[0.0, 24.3]",0.0,"[0.0, 24.3]",33.33,"[13.8, 60.9]",0.0,"[0.0, 24.3]",0.0,"[0.0, 24.3]",25.0,"[8.9, 53.2]",0.0,"[0.0, 24.3]"
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,0.0,"[0.0, 15.5]",0.0,"[0.0, 15.5]",0.0,"[0.0, 15.5]",52.38,"[32.4, 71.7]",0.0,"[0.0, 15.5]",0.0,"[0.0, 15.5]",0.0,"[0.0, 15.5]",0.0,"[0.0, 15.5]"
PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,0.0,"[0.0, 19.4]",0.0,"[0.0, 19.4]",0.0,"[0.0, 19.4]",75.0,"[50.5, 89.8]",0.0,"[0.0, 19.4]",0.0,"[0.0, 19.4]",6.25,"[1.1, 28.3]",0.0,"[0.0, 19.4]"
FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,0.0,"[0.0, 0.4]",0.0,"[0.0, 0.4]",0.0,"[0.0, 0.4]",0.81,"[0.4, 1.6]",8.32,"[6.8, 10.2]",0.0,"[0.0, 0.4]",30.46,"[27.7, 33.4]",0.0,"[0.0, 0.4]"
FX_CONVERT,查询汇率并换算外币金额,2025搜索随机1w,584,0.86,"[0.4, 2.0]",0.34,"[0.1, 1.2]",0.17,"[0.0, 1.0]",6.85,"[5.1, 9.2]",4.97,"[3.5, 7.0]",1.54,"[0.8, 2.9]",62.67,"[58.7, 66.5]",0.0,"[0.0, 0.7]"
FX_CONVERT,查询汇率并换算外币金额,2026搜索,717,0.0,"[0.0, 0.5]",0.0,"[0.0, 0.5]",0.0,"[0.0, 0.5]",0.7,"[0.3, 1.6]",6.0,"[4.5, 8.0]",0.0,"[0.0, 0.5]",19.94,"[17.2, 23.0]",0.0,"[0.0, 0.5]"
FX_CONVERT,查询汇率并换算外币金额,2026搜索随机1w,627,0.32,"[0.1, 1.2]",0.48,"[0.2, 1.4]",0.32,"[0.1, 1.2]",6.06,"[4.4, 8.2]",5.58,"[4.0, 7.7]",0.96,"[0.4, 2.1]",59.65,"[55.8, 63.4]",0.0,"[0.0, 0.6]"
FX_CONVERT,查询汇率并换算外币金额,助手头部1k,84,0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",15.48,"[9.3, 24.7]",0.0,"[0.0, 4.4]"
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,22,0.0,"[0.0, 14.9]",0.0,"[0.0, 14.9]",0.0,"[0.0, 14.9]",13.64,"[4.7, 33.3]",9.09,"[2.5, 27.8]",4.55,"[0.8, 21.8]",72.73,"[51.8, 86.8]",0.0,"[0.0, 14.9]"
FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,0.0,"[0.0, 4.9]",0.0,"[0.0, 4.9]",0.0,"[0.0, 4.9]",1.35,"[0.2, 7.3]",5.41,"[2.1, 13.1]",0.0,"[0.0, 4.9]",20.27,"[12.7, 30.8]",0.0,"[0.0, 4.9]"
FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,0.0,"[0.0, 2.9]",0.0,"[0.0, 2.9]",0.0,"[0.0, 2.9]",16.41,"[11.0, 23.8]",3.12,"[1.2, 7.8]",0.0,"[0.0, 2.9]",69.53,"[61.1, 76.8]",2.34,"[0.8, 6.7]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,0.0,"[0.0, 0.5]",0.55,"[0.2, 1.4]",0.0,"[0.0, 0.5]",36.83,"[33.4, 40.4]",0.0,"[0.0, 0.5]",0.0,"[0.0, 0.5]",0.83,"[0.4, 1.8]",0.41,"[0.1, 1.2]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,0.21,"[0.0, 1.2]",2.75,"[1.6, 4.7]",0.0,"[0.0, 0.8]",34.75,"[30.6, 39.1]",0.0,"[0.0, 0.8]",0.0,"[0.0, 0.8]",2.12,"[1.2, 3.9]",0.21,"[0.0, 1.2]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索,414,0.0,"[0.0, 0.9]",0.48,"[0.1, 1.7]",0.0,"[0.0, 0.9]",42.75,"[38.1, 47.6]",0.0,"[0.0, 0.9]",0.0,"[0.0, 0.9]",0.0,"[0.0, 0.9]",0.72,"[0.2, 2.1]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,411,0.24,"[0.0, 1.4]",2.43,"[1.3, 4.4]",0.0,"[0.0, 0.9]",34.55,"[30.1, 39.3]",1.22,"[0.5, 2.8]",0.0,"[0.0, 0.9]",4.14,"[2.6, 6.5]",0.0,"[0.0, 0.9]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,73,0.0,"[0.0, 5.0]",2.74,"[0.8, 9.5]",0.0,"[0.0, 5.0]",36.99,"[26.8, 48.5]",0.0,"[0.0, 5.0]",0.0,"[0.0, 5.0]",0.0,"[0.0, 5.0]",0.0,"[0.0, 5.0]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手随机1k,17,0.0,"[0.0, 18.4]",5.88,"[1.0, 27.0]",0.0,"[0.0, 18.4]",23.53,"[9.6, 47.3]",0.0,"[0.0, 18.4]",5.88,"[1.0, 27.0]",29.41,"[13.3, 53.1]",0.0,"[0.0, 18.4]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,0.0,"[0.0, 4.0]",0.0,"[0.0, 4.0]",0.0,"[0.0, 4.0]",44.09,"[34.4, 54.2]",0.0,"[0.0, 4.0]",0.0,"[0.0, 4.0]",0.0,"[0.0, 4.0]",0.0,"[0.0, 4.0]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,0.0,"[0.0, 11.4]",6.67,"[1.8, 21.3]",0.0,"[0.0, 11.4]",46.67,"[30.2, 63.9]",0.0,"[0.0, 11.4]",0.0,"[0.0, 11.4]",3.33,"[0.6, 16.7]",0.0,"[0.0, 11.4]"
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,0.49,"[0.1, 2.7]",0.98,"[0.3, 3.5]",0.49,"[0.1, 2.7]",5.39,"[3.0, 9.4]",35.78,"[29.5, 42.6]",0.49,"[0.1, 2.7]",11.76,"[8.0, 16.9]",1.47,"[0.5, 4.2]"
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索随机1w,616,1.46,"[0.8, 2.8]",3.41,"[2.2, 5.2]",1.46,"[0.8, 2.8]",30.03,"[26.5, 33.8]",4.71,"[3.3, 6.7]",6.01,"[4.4, 8.2]",34.09,"[30.5, 37.9]",1.62,"[0.9, 3.0]"
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索,97,0.0,"[0.0, 3.8]",0.0,"[0.0, 3.8]",0.0,"[0.0, 3.8]",9.28,"[5.0, 16.7]",47.42,"[37.8, 57.3]",1.03,"[0.2, 5.6]",5.15,"[2.2, 11.5]",0.0,"[0.0, 3.8]"
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,529,1.89,"[1.0, 3.4]",3.02,"[1.9, 4.9]",2.08,"[1.2, 3.7]",32.7,"[28.8, 36.8]",5.67,"[4.0, 8.0]",6.05,"[4.3, 8.4]",34.03,"[30.1, 38.2]",2.27,"[1.3, 3.9]"
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,59,0.0,"[0.0, 6.1]",0.0,"[0.0, 6.1]",1.69,"[0.3, 9.0]",5.08,"[1.7, 13.9]",47.46,"[35.3, 60.0]",3.39,"[0.9, 11.5]",33.9,"[23.1, 46.6]",1.69,"[0.3, 9.0]"
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,100,3.0,"[1.0, 8.5]",5.0,"[2.2, 11.2]",3.0,"[1.0, 8.5]",17.0,"[10.9, 25.5]",19.0,"[12.5, 27.8]",14.0,"[8.5, 22.1]",47.0,"[37.5, 56.7]",17.0,"[10.9, 25.5]"
OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,0.0,"[0.0, 19.4]",0.0,"[0.0, 19.4]",0.0,"[0.0, 19.4]",6.25,"[1.1, 28.3]",25.0,"[10.2, 49.5]",6.25,"[1.1, 28.3]",6.25,"[1.1, 28.3]",0.0,"[0.0, 19.4]"
OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,2.63,"[0.7, 9.1]",1.32,"[0.2, 7.1]",2.63,"[0.7, 9.1]",25.0,"[16.6, 35.8]",7.89,"[3.7, 16.2]",9.21,"[4.5, 17.8]",34.21,"[24.5, 45.4]",9.21,"[4.5, 17.8]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,0.0,"[0.0, 0.7]",0.0,"[0.0, 0.7]",0.17,"[0.0, 1.0]",74.65,"[70.9, 78.0]",0.87,"[0.4, 2.0]",0.17,"[0.0, 1.0]",26.04,"[22.6, 29.8]",0.0,"[0.0, 0.7]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,1103,0.09,"[0.0, 0.5]",0.18,"[0.0, 0.7]",0.09,"[0.0, 0.5]",80.69,"[78.3, 82.9]",0.73,"[0.4, 1.4]",3.63,"[2.7, 4.9]",22.39,"[20.0, 24.9]",0.27,"[0.1, 0.8]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索,331,0.0,"[0.0, 1.1]",0.0,"[0.0, 1.1]",0.3,"[0.1, 1.7]",71.3,"[66.2, 75.9]",0.6,"[0.2, 2.2]",0.0,"[0.0, 1.1]",26.59,"[22.1, 31.6]",0.0,"[0.0, 1.1]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,907,0.0,"[0.0, 0.4]",0.22,"[0.1, 0.8]",0.11,"[0.0, 0.6]",77.62,"[74.8, 80.2]",1.21,"[0.7, 2.2]",3.42,"[2.4, 4.8]",22.71,"[20.1, 25.6]",0.0,"[0.0, 0.4]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,18,0.0,"[0.0, 17.6]",0.0,"[0.0, 17.6]",0.0,"[0.0, 17.6]",50.0,"[29.0, 71.0]",0.0,"[0.0, 17.6]",16.67,"[5.8, 39.2]",27.78,"[12.5, 50.9]",0.0,"[0.0, 17.6]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手随机1k,34,0.0,"[0.0, 10.2]",2.94,"[0.5, 14.9]",0.0,"[0.0, 10.2]",64.71,"[47.9, 78.5]",11.76,"[4.7, 26.6]",23.53,"[12.4, 40.0]",61.76,"[45.0, 76.1]",11.76,"[4.7, 26.6]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,0.0,"[0.0, 7.7]",0.0,"[0.0, 7.7]",0.0,"[0.0, 7.7]",82.61,"[69.3, 90.9]",2.17,"[0.4, 11.3]",0.0,"[0.0, 7.7]",0.0,"[0.0, 7.7]",2.17,"[0.4, 11.3]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,0.0,"[0.0, 4.9]",0.0,"[0.0, 4.9]",1.33,"[0.2, 7.2]",84.0,"[74.1, 90.6]",2.67,"[0.7, 9.2]",9.33,"[4.6, 18.0]",32.0,"[22.5, 43.2]",2.67,"[0.7, 9.2]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,0.0,"[0.0, 1.4]",3.76,"[2.1, 6.8]",2.63,"[1.3, 5.3]",24.06,"[19.3, 29.5]",2.26,"[1.0, 4.8]",4.14,"[2.3, 7.3]",69.55,"[63.8, 74.8]",0.0,"[0.0, 1.4]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索随机1w,1037,2.12,"[1.4, 3.2]",3.28,"[2.4, 4.5]",3.57,"[2.6, 4.9]",33.17,"[30.4, 36.1]",0.58,"[0.3, 1.3]",9.84,"[8.2, 11.8]",61.72,"[58.7, 64.6]",0.58,"[0.3, 1.3]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索,154,0.65,"[0.1, 3.6]",5.84,"[3.1, 10.7]",1.95,"[0.7, 5.6]",27.92,"[21.4, 35.5]",1.95,"[0.7, 5.6]",3.9,"[1.8, 8.2]",62.99,"[55.1, 70.2]",0.0,"[0.0, 2.4]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,1071,1.21,"[0.7, 2.1]",5.6,"[4.4, 7.1]",3.08,"[2.2, 4.3]",37.35,"[34.5, 40.3]",0.93,"[0.5, 1.7]",10.46,"[8.8, 12.4]",63.31,"[60.4, 66.1]",0.09,"[0.0, 0.5]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手头部1k,20,0.0,"[0.0, 16.1]",5.0,"[0.9, 23.6]",10.0,"[2.8, 30.1]",15.0,"[5.2, 36.0]",0.0,"[0.0, 16.1]",0.0,"[0.0, 16.1]",55.0,"[34.2, 74.2]",5.0,"[0.9, 23.6]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,139,4.32,"[2.0, 9.1]",7.19,"[4.0, 12.7]",1.44,"[0.4, 5.1]",27.34,"[20.6, 35.3]",0.72,"[0.1, 4.0]",7.91,"[4.5, 13.6]",71.94,"[64.0, 78.7]",2.16,"[0.7, 6.2]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音头部1k,8,12.5,"[2.2, 47.1]",0.0,"[0.0, 32.4]",0.0,"[0.0, 32.4]",25.0,"[7.1, 59.1]",0.0,"[0.0, 32.4]",0.0,"[0.0, 32.4]",37.5,"[13.7, 69.4]",0.0,"[0.0, 32.4]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,4.26,"[1.7, 10.4]",5.32,"[2.3, 11.9]",4.26,"[1.7, 10.4]",34.04,"[25.3, 44.1]",1.06,"[0.2, 5.8]",10.64,"[5.9, 18.5]",70.21,"[60.3, 78.5]",1.06,"[0.2, 5.8]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,0.0,"[0.0, 1.6]",1.72,"[0.7, 4.3]",0.0,"[0.0, 1.6]",29.18,"[23.7, 35.3]",21.46,"[16.7, 27.2]",4.72,"[2.7, 8.3]",51.07,"[44.7, 57.4]",0.0,"[0.0, 1.6]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,0.3,"[0.1, 0.9]",0.99,"[0.5, 1.8]",0.0,"[0.0, 0.4]",30.93,"[28.2, 33.8]",3.95,"[2.9, 5.3]",7.41,"[6.0, 9.2]",69.17,"[66.3, 71.9]",0.2,"[0.1, 0.7]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索,84,0.0,"[0.0, 4.4]",2.38,"[0.7, 8.3]",0.0,"[0.0, 4.4]",32.14,"[23.1, 42.7]",11.9,"[6.6, 20.5]",2.38,"[0.7, 8.3]",51.19,"[40.7, 61.6]",0.0,"[0.0, 4.4]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索随机1w,822,0.73,"[0.3, 1.6]",0.97,"[0.5, 1.9]",0.0,"[0.0, 0.5]",34.91,"[31.7, 38.2]",3.28,"[2.3, 4.7]",5.72,"[4.3, 7.5]",68.61,"[65.4, 71.7]",0.36,"[0.1, 1.1]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手头部1k,29,0.0,"[0.0, 11.7]",3.45,"[0.6, 17.2]",3.45,"[0.6, 17.2]",68.97,"[50.8, 82.7]",0.0,"[0.0, 11.7]",0.0,"[0.0, 11.7]",41.38,"[25.5, 59.3]",0.0,"[0.0, 11.7]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手随机1k,98,2.04,"[0.6, 7.1]",2.04,"[0.6, 7.1]",0.0,"[0.0, 3.8]",28.57,"[20.6, 38.2]",3.06,"[1.0, 8.6]",4.08,"[1.6, 10.0]",86.73,"[78.6, 92.1]",1.02,"[0.2, 5.6]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音头部1k,10,0.0,"[0.0, 27.8]",0.0,"[0.0, 27.8]",0.0,"[0.0, 27.8]",30.0,"[10.8, 60.3]",20.0,"[5.7, 51.0]",0.0,"[0.0, 27.8]",30.0,"[10.8, 60.3]",0.0,"[0.0, 27.8]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,2.7,"[0.7, 9.3]",1.35,"[0.2, 7.3]",0.0,"[0.0, 4.9]",50.0,"[38.9, 61.1]",4.05,"[1.4, 11.3]",5.41,"[2.1, 13.1]",72.97,"[61.9, 81.8]",0.0,"[0.0, 4.9]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,12.5,"[6.9, 21.5]",1.25,"[0.2, 6.7]",0.0,"[0.0, 4.6]",41.25,"[31.1, 52.2]",6.25,"[2.7, 13.8]",85.0,"[75.6, 91.2]",88.75,"[80.0, 94.0]",1.25,"[0.2, 6.7]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,3.22,"[2.3, 4.4]",1.56,"[1.0, 2.5]",0.28,"[0.1, 0.8]",46.42,"[43.5, 49.4]",1.38,"[0.8, 2.3]",89.98,"[88.1, 91.6]",94.39,"[92.9, 95.6]",2.57,"[1.8, 3.7]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索,27,7.41,"[2.1, 23.4]",0.0,"[0.0, 12.5]",0.0,"[0.0, 12.5]",44.44,"[27.6, 62.7]",18.52,"[8.2, 36.7]",81.48,"[63.3, 91.8]",81.48,"[63.3, 91.8]",0.0,"[0.0, 12.5]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索随机1w,900,4.56,"[3.4, 6.1]",2.44,"[1.6, 3.7]",0.11,"[0.0, 0.6]",47.44,"[44.2, 50.7]",1.89,"[1.2, 3.0]",87.67,"[85.4, 89.7]",93.89,"[92.1, 95.3]",1.56,"[0.9, 2.6]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手头部1k,8,37.5,"[13.7, 69.4]",0.0,"[0.0, 32.4]",0.0,"[0.0, 32.4]",50.0,"[21.5, 78.5]",0.0,"[0.0, 32.4]",100.0,"[67.6, 100.0]",100.0,"[67.6, 100.0]",0.0,"[0.0, 32.4]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手随机1k,76,9.21,"[4.5, 17.8]",5.26,"[2.1, 12.8]",0.0,"[0.0, 4.8]",32.89,"[23.4, 44.1]",9.21,"[4.5, 17.8]",84.21,"[74.4, 90.7]",89.47,"[80.6, 94.6]",9.21,"[4.5, 17.8]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音头部1k,6,16.67,"[3.0, 56.4]",0.0,"[0.0, 39.0]",16.67,"[3.0, 56.4]",0.0,"[0.0, 39.0]",50.0,"[18.8, 81.2]",83.33,"[43.6, 97.0]",100.0,"[61.0, 100.0]",0.0,"[0.0, 39.0]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,3.53,"[1.2, 9.9]",2.35,"[0.6, 8.2]",0.0,"[0.0, 4.3]",50.59,"[40.2, 61.0]",2.35,"[0.6, 8.2]",77.65,"[67.7, 85.2]",83.53,"[74.2, 89.9]",4.71,"[1.8, 11.5]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,0.0,"[0.0, 1.7]",0.44,"[0.1, 2.5]",0.0,"[0.0, 1.7]",30.67,"[25.0, 37.0]",0.0,"[0.0, 1.7]",1.33,"[0.5, 3.8]",72.89,"[66.7, 78.3]",0.0,"[0.0, 1.7]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,1.87,"[1.2, 2.8]",0.89,"[0.5, 1.6]",0.41,"[0.2, 0.9]",45.09,"[42.3, 47.9]",0.49,"[0.2, 1.1]",5.52,"[4.4, 6.9]",70.92,"[68.3, 73.4]",1.54,"[1.0, 2.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索,84,0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",0.0,"[0.0, 4.4]",33.33,"[24.2, 43.9]",0.0,"[0.0, 4.4]",3.57,"[1.2, 10.0]",80.95,"[71.3, 87.9]",0.0,"[0.0, 4.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,954,1.68,"[1.0, 2.7]",1.57,"[1.0, 2.6]",0.42,"[0.2, 1.1]",45.6,"[42.5, 48.8]",0.31,"[0.1, 0.9]",4.61,"[3.5, 6.1]",72.54,"[69.6, 75.3]",2.2,"[1.4, 3.3]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,20,0.0,"[0.0, 16.1]",10.0,"[2.8, 30.1]",0.0,"[0.0, 16.1]",30.0,"[14.5, 51.9]",0.0,"[0.0, 16.1]",0.0,"[0.0, 16.1]",70.0,"[48.1, 85.5]",0.0,"[0.0, 16.1]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,83,0.0,"[0.0, 4.4]",6.02,"[2.6, 13.3]",1.2,"[0.2, 6.5]",38.55,"[28.8, 49.3]",2.41,"[0.7, 8.4]",7.23,"[3.4, 14.9]",77.11,"[67.0, 84.8]",8.43,"[4.1, 16.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音头部1k,7,14.29,"[2.6, 51.3]",0.0,"[0.0, 35.4]",14.29,"[2.6, 51.3]",42.86,"[15.8, 75.0]",0.0,"[0.0, 35.4]",0.0,"[0.0, 35.4]",42.86,"[15.8, 75.0]",0.0,"[0.0, 35.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,0.0,"[0.0, 3.6]",0.0,"[0.0, 3.6]",0.0,"[0.0, 3.6]",50.96,"[41.5, 60.4]",0.96,"[0.2, 5.2]",8.65,"[4.6, 15.6]",74.04,"[64.9, 81.5]",3.85,"[1.5, 9.5]"
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,11.83,"[6.7, 20.0]",1.08,"[0.2, 5.8]",0.0,"[0.0, 4.0]",10.75,"[5.9, 18.7]",0.0,"[0.0, 4.0]",77.42,"[67.9, 84.7]",95.7,"[89.5, 98.3]",1.08,"[0.2, 5.8]"
